Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180424_0914_21,20000,0,0,171.71,520.15,691.86,0,0,0,0,0
20180424_0914_21,20025,0,0,171.71,521.06,692.77,0,0,0,0,0
20180424_0914_21,20050.03125,0,0,171.69,521.06,692.75,0,0,0,0,0
20180424_0914_21,20075.09379,0,0,171.69,521.06,692.75,0,0,0,0,0
20180424_0914_21,20100.18766,0,0,171.25,521.38,692.63,0,0,0,0,0
20180424_0914_21,20125.31289,0,0,171.25,521.38,692.63,0,0,0,0,0
20180424_0914_22,20150.46953,0,0,171.25,521.99,693.24,0,0,0,0,0
20180424_0914_22,20175.65762,0,0,171.16,521.99,693.15,0,0,0,0,0
20180424_0914_22,20200.87719,0,0,171.16,521.99,693.15,0,0,0,0,0
20180424_0914_22,20226.12829,0,0,171.16,522.49,693.65,0,0,0,0,0
20180424_0914_22,20251.41095,0,0,171.12,522.49,693.61,0,0,0,0,0
20180424_0914_22,20276.72521,0,0,171.12,522.7,693.82,0,0,0,0,0
20180424_0914_22,20302.07112,0,0,171.09,522.7,693.79,0,0,0,0,0
20180424_0914_22,20327.44871,0,0,171.09,522.7,693.79,0,0,0,0,0
20180424_0914_22,20352.85802,0,0,171.09,523.25,694.34,0,0,0,0,0
20180424_0914_22,20378.29909,0,0,171.09,523.25,694.34,0,0,0,0,0
20180424_0914_22,20403.77196,0,0,171.09,523.71,694.8,0,0,0,0,0
20180424_0914_23,20429.27667,0,0,171.09,523.71,694.8,0,0,0,0,0
20180424_0914_23,20454.81327,0,0,171.09,523.71,694.8,0,0,0,0,0
20180424_0914_23,20480.38179,0,0,171.09,524.25,695.34,0,0,0,0,0
20180424_0914_23,20505.98227,0,0,171.08,524.25,695.33,0,0,0,0,0
20180424_0914_23,20531.61475,0,0,171.08,524.49,695.57,0,0,0,0,0
20180424_0914_23,20557.27927,0,0,170.92,524.49,695.41,0,0,0,0,0
20180424_0914_23,20582.97587,0,0,170.92,525.11,696.03,0,0,0,0,0
20180424_0914_23,20608.70459,0,0,170.62,525.11,695.73,0,0,0,0,0
20180424_0914_23,20634.46547,0,0,170.62,525.11,695.73,0,0,0,0,0
20180424_0914_23,20660.25855,0,0,170.62,525.11,695.73,0,0,0,0,0
20180424_0914_23,20686.08387,0,0,170.56,525.11,695.67,0,0,0,0,0
20180424_0914_24,20711.94147,0,0,170.56,525.73,696.29,0,0,0,0,0
20180424_0914_24,20737.8314,0,0,170.48,525.73,696.21,0,0,0,0,0
20180424_0914_24,20763.75369,0,0,170.48,525.73,696.21,0,0,0,0,0
20180424_0914_24,20789.70838,0,0,170.48,526.35,696.83,0,0,0,0,0
20180424_0914_24,20815.69552,0,0,170.47,526.35,696.82,0,0,0,0,0
20180424_0914_24,20841.71514,0,0,170.47,526.36,696.83,0,0,0,0,0
20180424_0914_24,20867.76728,0,0,170.46,526.36,696.82,0,0,0,0,0
20180424_0914_24,20893.85199,0,0,170.46,526.36,696.82,0,0,0,0,0
20180424_0914_24,20919.9693,0,0,170.03,526.93,696.96,0,0,0,0,0
20180424_0914_24,20946.11926,0,0,170.03,526.93,696.96,0,0,0,0,0
20180424_0914_24,20972.30191,0,0,170.03,527.08,697.11,0,0,0,0,0
20180424_0914_25,20998.51729,0,0,169.85,527.08,696.93,0,0,0,0,0
20180424_0914_25,21024.76544,0,0,169.85,527.6,697.45,0,0,0,0,0
20180424_0914_25,21051.0464,0,0,169.84,527.6,697.44,0,0,0,0,0
20180424_0914_25,21077.36021,0,0,169.84,527.6,697.44,0,0,0,0,0
20180424_0914_25,21103.70691,0,0,169.26,527.6,696.86,0,0,0,0,0
20180424_0914_25,21130.08654,0,0,169.26,527.6,696.86,0,0,0,0,0
20180424_0914_25,21156.49915,0,0,169.26,527.68,696.94,0,0,0,0,0
20180424_0914_25,21182.94477,0,0,169.23,527.68,696.91,0,0,0,0,0
20180424_0914_25,21209.42345,0,0,169.23,527.68,696.91,0,0,0,0,0
20180424_0914_25,21235.93523,0,0,169.22,528.22,697.44,0,0,0,0,0
20180424_0914_25,21262.48015,0,0,169.22,528.22,697.44,0,0,0,0,0
20180424_0914_26,21289.05825,0,0,169.22,528.22,697.44,0,0,0,0,0
20180424_0914_26,21315.66957,0,0,169.19,528.22,697.41,0,0,0,0,0
20180424_0914_26,21342.31416,0,0,169.19,528.73,697.92,0,0,0,0,0
20180424_0914_26,21368.99205,0,0,168.95,528.73,697.68,0,0,0,0,0
20180424_0914_26,21395.70329,0,0,168.95,528.73,697.68,0,0,0,0,0
20180424_0914_26,21422.44792,0,0,168.63,528.85,697.48,0,0,0,0,0
20180424_0914_26,21449.22598,0,0,168.63,528.85,697.48,0,0,0,0,0
20180424_0914_26,21476.03751,0,0,168.63,528.96,697.59,0,0,0,0,0
20180424_0914_26,21502.88256,0,0,168.34,528.96,697.3,0,0,0,0,0
20180424_0914_26,21529.76116,0,0,168.34,528.96,697.3,0,0,0,0,0
20180424_0914_26,21556.67336,0,0,168.34,529.04,697.38,0,0,0,0,0
20180424_0914_26,21583.6192,0,0,167.99,529.04,697.03,0,0,0,0,0
20180424_0914_27,21610.59872,0,0,167.99,529.04,697.03,0,0,0,0,0
20180424_0914_27,21637.61197,0,0,167.99,529.19,697.18,0,0,0,0,0
20180424_0914_27,21664.65898,0,0,167.99,529.19,697.18,0,0,0,0,0
20180424_0914_27,21691.7398,0,0,167.98,529.19,697.17,0,0,0,0,0
20180424_0914_27,21718.85447,0,0,167.98,529.19,697.17,0,0,0,0,0
