Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180427_0855_19,41000,0,0,130.416666666667,534.136666666667,664.553333333333,0,0,0,0,0
20180427_0855_19,41051.25,0,0,130.423333333333,534.193333333333,664.616666666667,0,0,0,0,0
20180427_0855_20,41102.56,0,0,130.43,534.183333333333,664.613333333333,0,0,0,0,0
20180427_0855_20,41153.94,0,0,130.41,534.156666666667,664.566666666667,0,0,0,0,0
20180427_0855_20,41205.38,0,0,130.43,534.193333333333,664.623333333333,0,0,0,0,0
20180427_0855_20,41256.89,0,0,130.42,534.16,664.58,0,0,0,0,0
20180427_0855_20,41308.46,0,0,130.413333333333,534.11,664.523333333333,0,0,0,0,0
20180427_0855_21,41360.1,0,0,130.416666666667,534.18,664.596666666667,0,0,0,0,0
20180427_0855_21,41411.8,0,0,130.42,534.17,664.59,0,0,0,0,0
20180427_0855_21,41463.56,0,0,130.413333333333,534.176666666667,664.59,0,0,0,0,0
20180427_0855_21,41515.39,0,0,130.4,534.153333333333,664.553333333333,0,0,0,0,0
20180427_0855_21,41567.28,0,0,130.36,534.163333333333,664.523333333333,0,0,0,0,0
20180427_0855_22,41619.24,0,0,130.4,534.2,664.6,0,0,0,0,0
20180427_0855_22,41671.26,0,0,130.16,534.18,664.34,0,0,0,0,0
20180427_0855_22,41723.35,0,0,129.913333333333,534.16,664.073333333333,0,0,0,0,0
20180427_0855_22,41775.5,0,0,129.803333333333,534.22,664.023333333333,0,0,0,0,0
20180427_0855_22,41827.72,0,0,129.806666666667,534.19,663.996666666667,0,0,0,0,0
20180427_0855_22,41880,0,0,129.8,534.123333333333,663.923333333333,0,0,0,0,0
20180427_0855_23,41932.35,0,0,129.78,534.123333333333,663.903333333333,0,0,0,0,0
20180427_0855_23,41984.77,0,0,129.8,534.19,663.99,0,0,0,0,0
20180427_0855_23,42037.25,0,0,129.8,534.19,663.99,0,0,0,0,0
20180427_0855_23,42089.8,0,0,129.793333333333,534.18,663.973333333333,0,0,0,0,0
20180427_0855_23,42142.41,0,0,129.73,534.15,663.88,0,0,0,0,0
20180427_0855_24,42195.09,0,0,129.553333333333,534.196666666667,663.75,0,0,0,0,0
20180427_0855_24,42247.83,0,0,129.26,534.173333333333,663.433333333333,0,0,0,0,0
20180427_0855_24,42300.64,0,0,129.17,534.173333333333,663.343333333333,0,0,0,0,0
20180427_0855_24,42353.52,0,0,128.93,534.21,663.14,0,0,0,0,0
20180427_0855_24,42406.46,0,0,128.72,534.19,662.91,0,0,0,0,0
20180427_0855_25,42459.47,0,0,128.72,534.22,662.94,0,0,0,0,0
20180427_0855_25,42512.54,0,0,128.693333333333,534.18,662.873333333333,0,0,0,0,0
20180427_0855_25,42565.68,0,0,128.69,534.186666666667,662.876666666667,0,0,0,0,0
20180427_0855_25,42618.89,0,0,128.71,534.196666666667,662.906666666667,0,0,0,0,0
20180427_0855_25,42672.16,0,0,128.75,534.223333333333,662.973333333333,0,0,0,0,0
20180427_0855_26,42725.5,0,0,128.59,534.236666666667,662.826666666667,0,0,0,0,0
20180427_0855_26,42778.91,0,0,128.56,534.21,662.77,0,0,0,0,0
20180427_0855_26,42832.38,0,0,128.56,534.21,662.77,0,0,0,0,0
20180427_0855_26,42885.92,0,0,128.556666666667,534.18,662.736666666667,0,0,0,0,0
20180427_0855_26,42939.53,0,0,128.546666666667,534.166666666667,662.713333333333,0,0,0,0,0
20180427_0855_26,42993.2,0,0,128.54,534.176666666667,662.716666666667,0,0,0,0,0
20180427_0855_27,43046.94,0,0,128.56,534.21,662.77,0,0,0,0,0
20180427_0855_27,43100.75,0,0,128.56,534.22,662.78,0,0,0,0,0
20180427_0855_27,43154.63,0,0,128.56,534.24,662.8,0,0,0,0,0
20180427_0855_27,43208.57,0,0,128.553333333333,534.16,662.713333333333,0,0,0,0,0
20180427_0855_27,43262.58,0,0,128.53,534.18,662.71,0,0,0,0,0
20180427_0855_28,43316.66,0,0,128.47,534.223333333333,662.693333333333,0,0,0,0,0
20180427_0855_28,43370.81,0,0,128.39,534.22,662.61,0,0,0,0,0
20180427_0855_28,43425.02,0,0,127.99,534.21,662.2,0,0,0,0,0
20180427_0855_28,43479.3,0,0,127.97,534.3,662.27,0,0,0,0,0
20180427_0855_28,43533.65,0,0,127.97,534.24,662.21,0,0,0,0,0
20180427_0855_29,43588.07,0,0,127.963333333333,534.25,662.213333333333,0,0,0,0,0
20180427_0855_29,43642.56,0,0,127.936666666667,534.23,662.166666666667,0,0,0,0,0
20180427_0855_29,43697.11,0,0,127.716666666667,534.21,661.926666666667,0,0,0,0,0
20180427_0855_29,43751.73,0,0,127.33,534.206666666667,661.536666666667,0,0,0,0,0
20180427_0855_29,43806.42,0,0,127.31,534.24,661.55,0,0,0,0,0
20180427_0855_29,43861.18,0,0,127.316666666667,534.27,661.586666666667,0,0,0,0,0
