Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180428_0902_17,41000,0,0,139.11,534.43,673.54,0,0,0,0,0
20180428_0902_17,41051.25,0,0,139.11,534.43,673.54,0,0,0,0,0
20180428_0902_17,41102.56,0,0,138.77,534.43,673.2,0,0,0,0,0
20180428_0902_17,41153.94,0,0,138.77,534.43,673.2,0,0,0,0,0
20180428_0902_17,41205.38,0,0,138.77,534.43,673.2,0,0,0,0,0
20180428_0902_17,41256.89,0,0,138.74,534.43,673.17,0,0,0,0,0
20180428_0902_17,41308.46,0,0,138.74,534.43,673.17,0,0,0,0,0
20180428_0902_17,41360.1,0,0,138.63,534.43,673.06,0,0,0,0,0
20180428_0902_17,41411.8,0,0,138.63,534.43,673.06,0,0,0,0,0
20180428_0902_17,41463.56,0,0,138.63,534.43,673.06,0,0,0,0,0
20180428_0902_18,41515.39,0,0,138.63,534.45,673.08,0,0,0,0,0
20180428_0902_18,41567.28,0,0,138.17,534.45,672.62,0,0,0,0,0
20180428_0902_18,41619.24,0,0,138.17,534.43,672.6,0,0,0,0,0
20180428_0902_18,41671.26,0,0,138.17,534.43,672.6,0,0,0,0,0
20180428_0902_18,41723.35,0,0,138.11,534.43,672.54,0,0,0,0,0
20180428_0902_18,41775.5,0,0,138.11,534.44,672.55,0,0,0,0,0
20180428_0902_18,41827.72,0,0,138.11,534.44,672.55,0,0,0,0,0
20180428_0902_18,41880,0,0,138.11,534.44,672.55,0,0,0,0,0
20180428_0902_18,41932.35,0,0,138.11,534.47,672.58,0,0,0,0,0
20180428_0902_18,41984.77,0,0,137.66,534.47,672.13,0,0,0,0,0
20180428_0902_18,42037.25,0,0,137.66,534.47,672.13,0,0,0,0,0
20180428_0902_18,42089.8,0,0,137.66,534.49,672.15,0,0,0,0,0
20180428_0902_18,42142.41,0,0,137.5,534.49,671.99,0,0,0,0,0
20180428_0902_19,42195.09,0,0,137.5,534.49,671.99,0,0,0,0,0
20180428_0902_19,42247.83,0,0,137.5,534.48,671.98,0,0,0,0,0
20180428_0902_19,42300.64,0,0,137.49,534.48,671.97,0,0,0,0,0
20180428_0902_19,42353.52,0,0,137.49,534.48,671.97,0,0,0,0,0
20180428_0902_19,42406.46,0,0,137.49,534.5,671.99,0,0,0,0,0
20180428_0902_19,42459.47,0,0,137.43,534.5,671.93,0,0,0,0,0
20180428_0902_19,42512.54,0,0,137.43,534.5,671.93,0,0,0,0,0
20180428_0902_19,42565.68,0,0,137.43,534.57,672,0,0,0,0,0
20180428_0902_19,42618.89,0,0,136.96,534.57,671.53,0,0,0,0,0
20180428_0902_19,42672.16,0,0,136.96,534.57,671.53,0,0,0,0,0
20180428_0902_19,42725.5,0,0,136.96,534.64,671.6,0,0,0,0,0
20180428_0902_19,42778.91,0,0,136.88,534.64,671.52,0,0,0,0,0
20180428_0902_19,42832.38,0,0,136.88,534.64,671.52,0,0,0,0,0
20180428_0902_20,42885.92,0,0,136.88,534.69,671.57,0,0,0,0,0
20180428_0902_20,42939.53,0,0,136.87,534.69,671.56,0,0,0,0,0
20180428_0902_20,42993.2,0,0,136.87,534.69,671.56,0,0,0,0,0
20180428_0902_20,43046.94,0,0,136.87,534.69,671.56,0,0,0,0,0
20180428_0902_20,43100.75,0,0,136.87,534.69,671.56,0,0,0,0,0
20180428_0902_20,43154.63,0,0,136.87,534.69,671.56,0,0,0,0,0
20180428_0902_20,43208.57,0,0,136.87,534.61,671.48,0,0,0,0,0
20180428_0902_20,43262.58,0,0,136.84,534.61,671.45,0,0,0,0,0
20180428_0902_20,43316.66,0,0,136.84,534.61,671.45,0,0,0,0,0
20180428_0902_20,43370.81,0,0,136.84,534.7,671.54,0,0,0,0,0
20180428_0902_20,43425.02,0,0,136.35,534.7,671.05,0,0,0,0,0
20180428_0902_20,43479.3,0,0,136.35,534.7,671.05,0,0,0,0,0
20180428_0902_20,43533.65,0,0,136.35,534.77,671.12,0,0,0,0,0
20180428_0902_20,43588.07,0,0,136.25,534.77,671.02,0,0,0,0,0
20180428_0902_21,43642.56,0,0,136.25,534.77,671.02,0,0,0,0,0
20180428_0902_21,43697.11,0,0,136.25,534.81,671.06,0,0,0,0,0
20180428_0902_21,43751.73,0,0,136.19,534.81,671,0,0,0,0,0
20180428_0902_21,43806.42,0,0,136.19,534.81,671,0,0,0,0,0
20180428_0902_21,43861.18,0,0,136.19,534.83,671.02,0,0,0,0,0
20180428_0902_21,43916.01,0,0,135.63,534.83,670.46,0,0,0,0,0
20180428_0902_21,43970.91,0,0,135.63,534.83,670.46,0,0,0,0,0
20180428_0902_21,44025.87,0,0,135.63,534.89,670.52,0,0,0,0,0
20180428_0902_21,44080.9,0,0,135.32,534.89,670.21,0,0,0,0,0
20180428_0902_21,44136,0,0,135.32,534.89,670.21,0,0,0,0,0
20180428_0902_21,44191.17,0,0,135.32,534.95,670.27,0,0,0,0,0
20180428_0902_21,44246.41,0,0,135.01,534.95,669.96,0,0,0,0,0
20180428_0902_21,44301.72,0,0,135.01,534.95,669.96,0,0,0,0,0
20180428_0902_21,44357.1,0,0,135.01,535,670.01,0,0,0,0,0
20180428_0902_22,44412.55,0,0,135.01,535,670.01,0,0,0,0,0
