Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180504_0911_08,41000,0,0,110.12,536.49,646.61,0,0,0,0,0
20180504_0911_09,41051.25,0,0,110.13,536.49,646.62,0,0,0,0,0
20180504_0911_09,41102.56,0,0,110.13,536.49,646.62,0,0,0,0,0
20180504_0911_09,41153.94,0,0,110.13,536.52,646.65,0,0,0,0,0
20180504_0911_09,41205.38,0,0,110.12,536.52,646.64,0,0,0,0,0
20180504_0911_09,41256.89,0,0,110.12,536.52,646.64,0,0,0,0,0
20180504_0911_09,41308.46,0,0,110.12,536.52,646.64,0,0,0,0,0
20180504_0911_09,41360.1,0,0,110.12,536.62,646.74,0,0,0,0,0
20180504_0911_09,41411.8,0,0,110.1,536.62,646.72,0,0,0,0,0
20180504_0911_09,41463.56,0,0,110.1,536.71,646.81,0,0,0,0,0
20180504_0911_09,41515.39,0,0,109.95,536.71,646.66,0,0,0,0,0
20180504_0911_09,41567.28,0,0,109.95,536.71,646.66,0,0,0,0,0
20180504_0911_09,41619.24,0,0,109.95,536.59,646.54,0,0,0,0,0
20180504_0911_09,41671.26,0,0,109.51,536.59,646.1,0,0,0,0,0
20180504_0911_10,41723.35,0,0,109.51,536.59,646.1,0,0,0,0,0
20180504_0911_10,41775.5,0,0,109.51,536.54,646.05,0,0,0,0,0
20180504_0911_10,41827.72,0,0,109.5,536.54,646.04,0,0,0,0,0
20180504_0911_10,41880,0,0,109.5,536.54,646.04,0,0,0,0,0
20180504_0911_10,41932.35,0,0,109.5,536.69,646.19,0,0,0,0,0
20180504_0911_10,41984.77,0,0,109.5,536.69,646.19,0,0,0,0,0
20180504_0911_10,42037.25,0,0,109.5,536.69,646.19,0,0,0,0,0
20180504_0911_10,42089.8,0,0,109.5,536.73,646.23,0,0,0,0,0
20180504_0911_10,42142.41,0,0,109.5,536.73,646.23,0,0,0,0,0
20180504_0911_10,42195.09,0,0,109.5,536.73,646.23,0,0,0,0,0
20180504_0911_10,42247.83,0,0,109.5,536.58,646.08,0,0,0,0,0
20180504_0911_10,42300.64,0,0,109.39,536.58,645.97,0,0,0,0,0
20180504_0911_10,42353.52,0,0,109.39,536.58,645.97,0,0,0,0,0
20180504_0911_10,42406.46,0,0,109.39,536.67,646.06,0,0,0,0,0
20180504_0911_11,42459.47,0,0,109.04,536.67,645.71,0,0,0,0,0
20180504_0911_11,42512.54,0,0,109.04,536.67,645.71,0,0,0,0,0
20180504_0911_11,42565.68,0,0,109.04,536.72,645.76,0,0,0,0,0
20180504_0911_11,42618.89,0,0,108.92,536.72,645.64,0,0,0,0,0
20180504_0911_11,42672.16,0,0,108.92,536.72,645.64,0,0,0,0,0
20180504_0911_11,42725.5,0,0,108.92,536.8,645.72,0,0,0,0,0
20180504_0911_11,42778.91,0,0,108.89,536.8,645.69,0,0,0,0,0
20180504_0911_11,42832.38,0,0,108.89,536.8,645.69,0,0,0,0,0
20180504_0911_11,42885.92,0,0,108.89,536.83,645.72,0,0,0,0,0
20180504_0911_11,42939.53,0,0,108.86,536.83,645.69,0,0,0,0,0
20180504_0911_11,42993.2,0,0,108.86,536.83,645.69,0,0,0,0,0
20180504_0911_11,43046.94,0,0,108.86,536.89,645.75,0,0,0,0,0
20180504_0911_11,43100.75,0,0,108.79,536.89,645.68,0,0,0,0,0
20180504_0911_12,43154.63,0,0,108.79,536.89,645.68,0,0,0,0,0
20180504_0911_12,43208.57,0,0,108.79,536.91,645.7,0,0,0,0,0
20180504_0911_12,43262.58,0,0,108.51,536.91,645.42,0,0,0,0,0
20180504_0911_12,43316.66,0,0,108.51,536.91,645.42,0,0,0,0,0
20180504_0911_12,43370.81,0,0,108.51,536.92,645.43,0,0,0,0,0
20180504_0911_12,43425.02,0,0,108.28,536.92,645.2,0,0,0,0,0
20180504_0911_12,43479.3,0,0,108.28,536.92,645.2,0,0,0,0,0
20180504_0911_12,43533.65,0,0,108.28,536.93,645.21,0,0,0,0,0
20180504_0911_12,43588.07,0,0,108.26,536.93,645.19,0,0,0,0,0
20180504_0911_12,43642.56,0,0,108.26,536.93,645.19,0,0,0,0,0
20180504_0911_12,43697.11,0,0,108.26,536.92,645.18,0,0,0,0,0
20180504_0911_12,43751.73,0,0,108.26,536.92,645.18,0,0,0,0,0
20180504_0911_12,43806.42,0,0,108.23,536.92,645.15,0,0,0,0,0
20180504_0911_12,43861.18,0,0,108.23,536.92,645.15,0,0,0,0,0
20180504_0911_13,43916.01,0,0,107.69,536.92,644.61,0,0,0,0,0
20180504_0911_13,43970.91,0,0,107.69,536.92,644.61,0,0,0,0,0
20180504_0911_13,44025.87,0,0,107.69,536.93,644.62,0,0,0,0,0
20180504_0911_13,44080.9,0,0,107.63,536.93,644.56,0,0,0,0,0
20180504_0911_13,44136,0,0,107.63,536.93,644.56,0,0,0,0,0
20180504_0911_13,44191.17,0,0,107.63,536.95,644.58,0,0,0,0,0
20180504_0911_13,44246.41,0,0,107.52,536.95,644.47,0,0,0,0,0
20180504_0911_13,44301.72,0,0,107.52,536.95,644.47,0,0,0,0,0
20180504_0911_13,44357.1,0,0,107.52,536.94,644.46,0,0,0,0,0
20180504_0911_13,44412.55,0,0,107.09,536.94,644.03,0,0,0,0,0
20180504_0911_13,44468.07,0,0,107.09,536.94,644.03,0,0,0,0,0
20180504_0911_13,44523.66,0,0,107.09,536.94,644.03,0,0,0,0,0
20180504_0911_13,44579.31,0,0,107.01,536.94,643.95,0,0,0,0,0
20180504_0911_14,44635.03,0,0,107.01,536.94,643.95,0,0,0,0,0
20180504_0911_14,44690.82,0,0,107.01,536.94,643.95,0,0,0,0,0
20180504_0911_14,44746.68,0,0,107.01,536.94,643.95,0,0,0,0,0
20180504_0911_14,44802.61,0,0,107.01,536.94,643.95,0,0,0,0,0
20180504_0911_14,44858.61,0,0,107.01,536.96,643.97,0,0,0,0,0
20180504_0911_14,44914.68,0,0,107.01,536.96,643.97,0,0,0,0,0
20180504_0911_14,44970.82,0,0,107.01,536.96,643.97,0,0,0,0,0
20180504_0911_14,45027.03,0,0,107.01,536.95,643.96,0,0,0,0,0
20180504_0911_14,45083.31,0,0,106.98,536.95,643.93,0,0,0,0,0
20180504_0911_14,45139.66,0,0,106.98,536.95,643.93,0,0,0,0,0
20180504_0911_14,45196.08,0,0,106.98,536.95,643.93,0,0,0,0,0
20180504_0911_14,45252.58,0,0,106.7,536.95,643.65,0,0,0,0,0
20180504_0911_14,45309.15,0,0,106.7,536.95,643.65,0,0,0,0,0
20180504_0911_14,45365.79,0,0,106.7,536.95,643.65,0,0,0,0,0
20180504_0911_15,45422.5,0,0,106.41,536.95,643.36,0,0,0,0,0
20180504_0911_15,45479.28,0,0,106.41,536.95,643.36,0,0,0,0,0
20180504_0911_15,45536.13,0,0,106.41,536.95,643.36,0,0,0,0,0
20180504_0911_15,45593.05,0,0,106.39,536.95,643.34,0,0,0,0,0
20180504_0911_15,45650.04,0,0,106.39,536.95,643.34,0,0,0,0,0
20180504_0911_15,45707.1,0,0,106.39,536.95,643.34,0,0,0,0,0
20180504_0911_15,45764.23,0,0,106.38,536.95,643.33,0,0,0,0,0
20180504_0911_15,45821.44,0,0,106.38,536.95,643.33,0,0,0,0,0
20180504_0911_15,45878.72,0,0,106.38,536.96,643.34,0,0,0,0,0
20180504_0911_15,45936.07,0,0,106.2,536.96,643.16,0,0,0,0,0
20180504_0911_15,45993.49,0,0,106.2,536.96,643.16,0,0,0,0,0
20180504_0911_15,46050.98,0,0,106.2,536.96,643.16,0,0,0,0,0
20180504_0911_15,46108.54,0,0,105.81,536.96,642.77,0,0,0,0,0
20180504_0911_16,46166.18,0,0,105.81,536.96,642.77,0,0,0,0,0
20180504_0911_16,46223.89,0,0,105.81,536.95,642.76,0,0,0,0,0
20180504_0911_16,46281.67,0,0,105.77,536.95,642.72,0,0,0,0,0
20180504_0911_16,46339.52,0,0,105.77,536.95,642.72,0,0,0,0,0
20180504_0911_16,46397.44,0,0,105.77,536.96,642.73,0,0,0,0,0
20180504_0911_16,46455.44,0,0,105.77,536.96,642.73,0,0,0,0,0
20180504_0911_16,46513.51,0,0,105.77,536.96,642.73,0,0,0,0,0
20180504_0911_16,46571.65,0,0,105.77,536.96,642.73,0,0,0,0,0
20180504_0911_16,46629.86,0,0,105.76,536.96,642.72,0,0,0,0,0
20180504_0911_16,46688.15,0,0,105.76,536.96,642.72,0,0,0,0,0
20180504_0911_16,46746.51,0,0,105.76,536.96,642.72,0,0,0,0,0
20180504_0911_16,46804.94,0,0,105.73,536.96,642.69,0,0,0,0,0
20180504_0911_16,46863.45,0,0,105.73,536.96,642.69,0,0,0,0,0
20180504_0911_16,46922.03,0,0,105.73,536.96,642.69,0,0,0,0,0
20180504_0911_17,46980.68,0,0,105.62,536.96,642.58,0,0,0,0,0
20180504_0911_17,47039.41,0,0,105.62,536.96,642.58,0,0,0,0,0
20180504_0911_17,47098.21,0,0,105.62,536.96,642.58,0,0,0,0,0
20180504_0911_17,47157.08,0,0,105.39,536.96,642.35,0,0,0,0,0
20180504_0911_17,47216.03,0,0,105.39,536.96,642.35,0,0,0,0,0
20180504_0911_17,47275.05,0,0,105.39,536.95,642.34,0,0,0,0,0
20180504_0911_17,47334.14,0,0,105.17,536.95,642.12,0,0,0,0,0
20180504_0911_17,47393.31,0,0,105.17,536.95,642.12,0,0,0,0,0
20180504_0911_17,47452.55,0,0,105.17,536.95,642.12,0,0,0,0,0
20180504_0911_17,47511.87,0,0,105.15,536.95,642.1,0,0,0,0,0
20180504_0911_17,47571.26,0,0,105.15,536.95,642.1,0,0,0,0,0
20180504_0911_17,47630.72,0,0,105.15,536.95,642.1,0,0,0,0,0
20180504_0911_17,47690.26,0,0,105.14,536.95,642.09,0,0,0,0,0
20180504_0911_18,47749.87,0,0,105.14,536.95,642.09,0,0,0,0,0
20180504_0911_18,47809.56,0,0,105.14,536.95,642.09,0,0,0,0,0
20180504_0911_18,47869.32,0,0,104.59,536.95,641.54,0,0,0,0,0
20180504_0911_18,47929.16,0,0,104.59,536.95,641.54,0,0,0,0,0
20180504_0911_18,47989.07,0,0,104.59,536.95,641.54,0,0,0,0,0
20180504_0911_18,48049.06,0,0,104.52,536.95,641.47,0,0,0,0,0
20180504_0911_18,48109.12,0,0,104.52,536.95,641.47,0,0,0,0,0
20180504_0911_18,48169.26,0,0,104.52,536.95,641.47,0,0,0,0,0
20180504_0911_18,48229.47,0,0,104.51,536.95,641.46,0,0,0,0,0
20180504_0911_18,48289.76,0,0,104.51,536.95,641.46,0,0,0,0,0
20180504_0911_18,48350.12,0,0,104.51,536.96,641.47,0,0,0,0,0
20180504_0911_18,48410.56,0,0,104.17,536.96,641.13,0,0,0,0,0
20180504_0911_18,48471.07,0,0,104.17,536.96,641.13,0,0,0,0,0
20180504_0911_19,48531.66,0,0,104.17,536.96,641.13,0,0,0,0,0
20180504_0911_19,48592.32,0,0,103.97,536.96,640.93,0,0,0,0,0
20180504_0911_19,48653.06,0,0,103.97,536.96,640.93,0,0,0,0,0
20180504_0911_19,48713.88,0,0,103.97,536.97,640.94,0,0,0,0,0
20180504_0911_19,48774.77,0,0,103.91,536.97,640.88,0,0,0,0,0
20180504_0911_19,48835.74,0,0,103.91,536.97,640.88,0,0,0,0,0
20180504_0911_19,48896.78,0,0,103.91,536.97,640.88,0,0,0,0,0
20180504_0911_19,48957.9,0,0,103.9,536.97,640.87,0,0,0,0,0
20180504_0911_19,49019.1,0,0,103.9,536.96,640.86,0,0,0,0,0
20180504_0911_19,49080.37,0,0,103.9,536.96,640.86,0,0,0,0,0
20180504_0911_19,49141.72,0,0,103.9,536.96,640.86,0,0,0,0,0
20180504_0911_19,49203.15,0,0,103.9,536.96,640.86,0,0,0,0,0
20180504_0911_19,49264.65,0,0,103.9,536.99,640.89,0,0,0,0,0
20180504_0911_19,49326.23,0,0,103.9,536.99,640.89,0,0,0,0,0
20180504_0911_20,49387.89,0,0,103.9,536.99,640.89,0,0,0,0,0
20180504_0911_20,49449.62,0,0,103.9,536.98,640.88,0,0,0,0,0
20180504_0911_20,49511.43,0,0,103.9,536.98,640.88,0,0,0,0,0
20180504_0911_20,49573.32,0,0,103.9,536.98,640.88,0,0,0,0,0
20180504_0911_20,49635.29,0,0,103.88,536.99,640.87,0,0,0,0,0
20180504_0911_20,49697.33,0,0,103.88,536.99,640.87,0,0,0,0,0
20180504_0911_20,49759.45,0,0,103.88,536.99,640.87,0,0,0,0,0
20180504_0911_20,49821.65,0,0,103.88,536.98,640.86,0,0,0,0,0
20180504_0911_20,49883.93,0,0,103.56,536.98,640.54,0,0,0,0,0
20180504_0911_20,49946.28,0,0,103.56,536.98,640.54,0,0,0,0,0
20180504_0911_20,50008.71,0,0,103.28,536.96,640.24,0,0,0,0,0
20180504_0911_20,50071.22,0,0,103.28,536.96,640.24,0,0,0,0,0
20180504_0911_20,50133.81,0,0,103.28,536.98,640.26,0,0,0,0,0
20180504_0911_21,50196.48,0,0,103.28,536.98,640.26,0,0,0,0,0
20180504_0911_21,50259.23,0,0,103.28,536.98,640.26,0,0,0,0,0
20180504_0911_21,50322.05,0,0,103.28,536.98,640.26,0,0,0,0,0
20180504_0911_21,50384.95,0,0,103.12,536.98,640.1,0,0,0,0,0
20180504_0911_21,50447.93,0,0,103.12,536.98,640.1,0,0,0,0,0
20180504_0911_21,50510.99,0,0,103.12,536.96,640.08,0,0,0,0,0
20180504_0911_21,50574.13,0,0,102.66,536.96,639.62,0,0,0,0,0
20180504_0911_21,50637.35,0,0,102.66,536.96,639.62,0,0,0,0,0
20180504_0911_21,50700.65,0,0,102.66,536.99,639.65,0,0,0,0,0
20180504_0911_21,50764.03,0,0,102.66,536.99,639.65,0,0,0,0,0
20180504_0911_21,50827.49,0,0,102.66,536.99,639.65,0,0,0,0,0
20180504_0911_21,50891.02,0,0,102.66,536.98,639.64,0,0,0,0,0
20180504_0911_21,50954.63,0,0,102.63,536.98,639.61,0,0,0,0,0
20180504_0911_22,51018.32,0,0,102.63,536.98,639.61,0,0,0,0,0
20180504_0911_22,51082.09,0,0,102.63,537.01,639.64,0,0,0,0,0
20180504_0911_22,51145.94,0,0,102.58,537.01,639.59,0,0,0,0,0
20180504_0911_22,51209.87,0,0,102.58,537.01,639.59,0,0,0,0,0
20180504_0911_22,51273.88,0,0,102.58,537.04,639.62,0,0,0,0,0
20180504_0911_22,51337.97,0,0,102.11,537.04,639.15,0,0,0,0,0
20180504_0911_22,51402.14,0,0,102.11,537.04,639.15,0,0,0,0,0
20180504_0911_22,51466.39,0,0,102.11,537.08,639.19,0,0,0,0,0
