Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180424_0926_11,20000,0,0,81.05,504.02,585.07,0,0,0,0,0
20180424_0926_11,20025,0,0,81.06,504.63,585.69,0,0,0,0,0
20180424_0926_11,20050.03125,0,0,81.06,504.63,585.69,0,0,0,0,0
20180424_0926_12,20075.09379,0,0,81.06,505.06,586.12,0,0,0,0,0
20180424_0926_12,20100.18766,0,0,81.03,505.06,586.09,0,0,0,0,0
20180424_0926_12,20125.31289,0,0,81.03,505.71,586.74,0,0,0,0,0
20180424_0926_12,20150.46953,0,0,80.97,505.71,586.68,0,0,0,0,0
20180424_0926_12,20175.65762,0,0,80.97,505.71,586.68,0,0,0,0,0
20180424_0926_12,20200.87719,0,0,80.97,506.28,587.25,0,0,0,0,0
20180424_0926_12,20226.12829,0,0,80.63,506.28,586.91,0,0,0,0,0
20180424_0926_12,20251.41095,0,0,80.63,506.86,587.49,0,0,0,0,0
20180424_0926_12,20276.72521,0,0,80.48,506.86,587.34,0,0,0,0,0
20180424_0926_12,20302.07112,0,0,80.48,506.86,587.34,0,0,0,0,0
20180424_0926_12,20327.44871,0,0,80.48,507.05,587.53,0,0,0,0,0
20180424_0926_13,20352.85802,0,0,80.42,507.05,587.47,0,0,0,0,0
20180424_0926_13,20378.29909,0,0,80.42,507.51,587.93,0,0,0,0,0
20180424_0926_13,20403.77196,0,0,80.42,507.51,587.93,0,0,0,0,0
20180424_0926_13,20429.27667,0,0,80.42,507.51,587.93,0,0,0,0,0
20180424_0926_13,20454.81327,0,0,80.42,508.31,588.73,0,0,0,0,0
20180424_0926_13,20480.38179,0,0,80.43,508.31,588.74,0,0,0,0,0
20180424_0926_13,20505.98227,0,0,80.43,508.83,589.26,0,0,0,0,0
20180424_0926_13,20531.61475,0,0,80.44,508.83,589.27,0,0,0,0,0
20180424_0926_13,20557.27927,0,0,80.44,508.83,589.27,0,0,0,0,0
20180424_0926_13,20582.97587,0,0,80.43,508.81,589.24,0,0,0,0,0
20180424_0926_13,20608.70459,0,0,80.43,508.81,589.24,0,0,0,0,0
20180424_0926_14,20634.46547,0,0,80.43,509.37,589.8,0,0,0,0,0
20180424_0926_14,20660.25855,0,0,80.42,509.37,589.79,0,0,0,0,0
20180424_0926_14,20686.08387,0,0,80.42,509.37,589.79,0,0,0,0,0
20180424_0926_14,20711.94147,0,0,80.42,509.86,590.28,0,0,0,0,0
20180424_0926_14,20737.8314,0,0,80.42,509.86,590.28,0,0,0,0,0
20180424_0926_14,20763.75369,0,0,80.42,510.06,590.48,0,0,0,0,0
20180424_0926_14,20789.70838,0,0,80.27,510.06,590.33,0,0,0,0,0
20180424_0926_14,20815.69552,0,0,80.27,510.06,590.33,0,0,0,0,0
20180424_0926_14,20841.71514,0,0,80.27,510.68,590.95,0,0,0,0,0
20180424_0926_14,20867.76728,0,0,80.42,510.68,591.1,0,0,0,0,0
20180424_0926_14,20893.85199,0,0,80.42,510.68,591.1,0,0,0,0,0
20180424_0926_14,20919.9693,0,0,80.42,510.68,591.1,0,0,0,0,0
20180424_0926_15,20946.11926,0,0,80.42,510.68,591.1,0,0,0,0,0
20180424_0926_15,20972.30191,0,0,80.42,511.26,591.68,0,0,0,0,0
20180424_0926_15,20998.51729,0,0,80.39,511.26,591.65,0,0,0,0,0
20180424_0926_15,21024.76544,0,0,80.39,511.26,591.65,0,0,0,0,0
20180424_0926_15,21051.0464,0,0,80.39,511.24,591.63,0,0,0,0,0
20180424_0926_15,21077.36021,0,0,79.81,511.24,591.05,0,0,0,0,0
20180424_0926_15,21103.70691,0,0,79.81,511.9,591.71,0,0,0,0,0
20180424_0926_15,21130.08654,0,0,79.81,511.9,591.71,0,0,0,0,0
20180424_0926_15,21156.49915,0,0,79.81,511.9,591.71,0,0,0,0,0
20180424_0926_15,21182.94477,0,0,79.81,512.13,591.94,0,0,0,0,0
20180424_0926_15,21209.42345,0,0,79.84,512.13,591.97,0,0,0,0,0
20180424_0926_15,21235.93523,0,0,79.84,512.51,592.35,0,0,0,0,0
20180424_0926_16,21262.48015,0,0,79.82,512.51,592.33,0,0,0,0,0
20180424_0926_16,21289.05825,0,0,79.82,512.51,592.33,0,0,0,0,0
20180424_0926_16,21315.66957,0,0,79.82,512.49,592.31,0,0,0,0,0
20180424_0926_16,21342.31416,0,0,79.8,512.49,592.29,0,0,0,0,0
20180424_0926_16,21368.99205,0,0,79.8,512.49,592.29,0,0,0,0,0
20180424_0926_16,21395.70329,0,0,79.8,513.02,592.82,0,0,0,0,0
20180424_0926_16,21422.44792,0,0,79.8,513.02,592.82,0,0,0,0,0
20180424_0926_16,21449.22598,0,0,79.8,513.18,592.98,0,0,0,0,0
20180424_0926_16,21476.03751,0,0,79.76,513.18,592.94,0,0,0,0,0
20180424_0926_16,21502.88256,0,0,79.76,513.18,592.94,0,0,0,0,0
20180424_0926_16,21529.76116,0,0,79.76,513.12,592.88,0,0,0,0,0
20180424_0926_16,21556.67336,0,0,79.42,513.12,592.54,0,0,0,0,0
20180424_0926_17,21583.6192,0,0,79.42,513.12,592.54,0,0,0,0,0
20180424_0926_17,21610.59872,0,0,79.42,513.22,592.64,0,0,0,0,0
20180424_0926_17,21637.61197,0,0,79.21,513.22,592.43,0,0,0,0,0
20180424_0926_17,21664.65898,0,0,79.21,513.22,592.43,0,0,0,0,0
20180424_0926_17,21691.7398,0,0,79.21,513.17,592.38,0,0,0,0,0
20180424_0926_17,21718.85447,0,0,79.18,513.17,592.35,0,0,0,0,0
20180424_0926_17,21746.00304,0,0,79.18,513.17,592.35,0,0,0,0,0
20180424_0926_17,21773.18554,0,0,79.18,513.15,592.33,0,0,0,0,0
20180424_0926_17,21800.40202,0,0,79.18,513.15,592.33,0,0,0,0,0
20180424_0926_17,21827.65252,0,0,79.18,513.15,592.33,0,0,0,0,0
20180424_0926_17,21854.93709,0,0,79.18,513.15,592.33,0,0,0,0,0
20180424_0926_17,21882.25576,0,0,79.13,513.15,592.28,0,0,0,0,0
20180424_0926_17,21909.60858,0,0,79.13,513.15,592.28,0,0,0,0,0
20180424_0926_18,21936.99559,0,0,79.13,513.15,592.28,0,0,0,0,0
20180424_0926_18,21964.41683,0,0,78.89,513.15,592.04,0,0,0,0,0
20180424_0926_18,21991.87235,0,0,78.89,513.15,592.04,0,0,0,0,0
20180424_0926_18,22019.36219,0,0,78.89,513.15,592.04,0,0,0,0,0
20180424_0926_18,22046.88639,0,0,78.89,513.14,592.03,0,0,0,0,0
20180424_0926_18,22074.445,0,0,78.62,513.14,591.76,0,0,0,0,0
20180424_0926_18,22102.03806,0,0,78.62,513.14,591.76,0,0,0,0,0
20180424_0926_18,22129.66561,0,0,78.62,513.13,591.75,0,0,0,0,0
20180424_0926_18,22157.32769,0,0,78.55,513.13,591.68,0,0,0,0,0
20180424_0926_18,22185.02435,0,0,78.55,513.13,591.68,0,0,0,0,0
20180424_0926_18,22212.75563,0,0,78.55,513.11,591.66,0,0,0,0,0
20180424_0926_18,22240.52157,0,0,78.55,513.11,591.66,0,0,0,0,0
20180424_0926_18,22268.32222,0,0,78.55,513.11,591.66,0,0,0,0,0
20180424_0926_18,22296.15762,0,0,78.55,513.16,591.71,0,0,0,0,0
20180424_0926_18,22324.02782,0,0,78.55,513.16,591.71,0,0,0,0,0
20180424_0926_19,22351.93285,0,0,78.55,513.16,591.71,0,0,0,0,0
20180424_0926_19,22379.87277,0,0,78.55,513.17,591.72,0,0,0,0,0
20180424_0926_19,22407.84761,0,0,78.4,513.17,591.57,0,0,0,0,0
20180424_0926_19,22435.85742,0,0,78.4,513.17,591.57,0,0,0,0,0
20180424_0926_19,22463.90224,0,0,78.4,513.14,591.54,0,0,0,0,0
20180424_0926_19,22491.98212,0,0,78,513.14,591.14,0,0,0,0,0
20180424_0926_19,22520.0971,0,0,78,513.14,591.14,0,0,0,0,0
20180424_0926_19,22548.24722,0,0,78,513.19,591.19,0,0,0,0,0
20180424_0926_19,22576.43253,0,0,77.94,513.19,591.13,0,0,0,0,0
20180424_0926_19,22604.65307,0,0,77.94,513.19,591.13,0,0,0,0,0
20180424_0926_19,22632.90889,0,0,77.94,513.18,591.12,0,0,0,0,0
20180424_0926_19,22661.20003,0,0,77.94,513.18,591.12,0,0,0,0,0
20180424_0926_19,22689.52653,0,0,77.94,513.18,591.12,0,0,0,0,0
20180424_0926_20,22717.88844,0,0,77.94,513.23,591.17,0,0,0,0,0
20180424_0926_20,22746.2858,0,0,77.94,513.23,591.17,0,0,0,0,0
20180424_0926_20,22774.71866,0,0,77.94,513.23,591.17,0,0,0,0,0
20180424_0926_20,22803.18706,0,0,77.94,513.19,591.13,0,0,0,0,0
20180424_0926_20,22831.69104,0,0,77.94,513.19,591.13,0,0,0,0,0
20180424_0926_20,22860.23065,0,0,77.92,513.19,591.11,0,0,0,0,0
20180424_0926_20,22888.80594,0,0,77.92,513.19,591.11,0,0,0,0,0
20180424_0926_20,22917.41695,0,0,77.92,513.21,591.13,0,0,0,0,0
20180424_0926_20,22946.06372,0,0,77.64,513.21,590.85,0,0,0,0,0
20180424_0926_20,22974.7463,0,0,77.64,513.21,590.85,0,0,0,0,0
20180424_0926_20,23003.46473,0,0,77.34,513.18,590.52,0,0,0,0,0
20180424_0926_20,23032.21906,0,0,77.34,513.18,590.52,0,0,0,0,0
20180424_0926_20,23061.00933,0,0,77.34,513.18,590.52,0,0,0,0,0
20180424_0926_20,23089.83559,0,0,77.34,513.17,590.51,0,0,0,0,0
20180424_0926_21,23118.69788,0,0,77.31,513.17,590.48,0,0,0,0,0
20180424_0926_21,23147.59625,0,0,77.31,513.21,590.52,0,0,0,0,0
