Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180427_0819_12,41000,0,0,102.01,511.34,613.35,0,0,0,0,0
20180427_0819_12,41051.25,0,0,102.01,511.34,613.35,0,0,0,0,0
20180427_0819_12,41102.56,0,0,102.01,511.35,613.36,0,0,0,0,0
20180427_0819_12,41153.94,0,0,101.92,511.35,613.27,0,0,0,0,0
20180427_0819_12,41205.38,0,0,101.92,511.35,613.27,0,0,0,0,0
20180427_0819_12,41256.89,0,0,101.92,511.34,613.26,0,0,0,0,0
20180427_0819_12,41308.46,0,0,101.43,511.34,612.77,0,0,0,0,0
20180427_0819_12,41360.1,0,0,101.43,511.34,612.77,0,0,0,0,0
20180427_0819_12,41411.8,0,0,101.39,511.34,612.73,0,0,0,0,0
20180427_0819_12,41463.56,0,0,101.39,511.34,612.73,0,0,0,0,0
20180427_0819_13,41515.39,0,0,101.39,511.34,612.73,0,0,0,0,0
20180427_0819_13,41567.28,0,0,101.39,511.33,612.72,0,0,0,0,0
20180427_0819_13,41619.24,0,0,101.39,511.33,612.72,0,0,0,0,0
20180427_0819_13,41671.26,0,0,101.39,511.34,612.73,0,0,0,0,0
20180427_0819_13,41723.35,0,0,101.08,511.34,612.42,0,0,0,0,0
20180427_0819_13,41775.5,0,0,101.08,511.34,612.42,0,0,0,0,0
20180427_0819_13,41827.72,0,0,101.08,511.33,612.41,0,0,0,0,0
20180427_0819_13,41880,0,0,100.77,511.33,612.1,0,0,0,0,0
20180427_0819_13,41932.35,0,0,100.77,511.33,612.1,0,0,0,0,0
20180427_0819_13,41984.77,0,0,100.77,511.35,612.12,0,0,0,0,0
20180427_0819_13,42037.25,0,0,100.75,511.35,612.1,0,0,0,0,0
20180427_0819_13,42089.8,0,0,100.75,511.35,612.1,0,0,0,0,0
20180427_0819_13,42142.41,0,0,100.75,511.43,612.18,0,0,0,0,0
20180427_0819_14,42195.09,0,0,100.19,511.43,611.62,0,0,0,0,0
20180427_0819_14,42247.83,0,0,100.19,511.43,611.62,0,0,0,0,0
20180427_0819_14,42300.64,0,0,100.19,511.57,611.76,0,0,0,0,0
20180427_0819_14,42353.52,0,0,100.14,511.57,611.71,0,0,0,0,0
20180427_0819_14,42406.46,0,0,100.14,511.57,611.71,0,0,0,0,0
20180427_0819_14,42459.47,0,0,100.14,511.86,612,0,0,0,0,0
20180427_0819_14,42512.54,0,0,99.53,511.86,611.39,0,0,0,0,0
20180427_0819_14,42565.68,0,0,99.53,511.86,611.39,0,0,0,0,0
20180427_0819_14,42618.89,0,0,99.53,511.83,611.36,0,0,0,0,0
20180427_0819_14,42672.16,0,0,99.09,511.83,610.92,0,0,0,0,0
20180427_0819_14,42725.5,0,0,99.09,511.83,610.92,0,0,0,0,0
20180427_0819_14,42778.91,0,0,99.09,511.91,611,0,0,0,0,0
20180427_0819_14,42832.38,0,0,98.91,511.91,610.82,0,0,0,0,0
20180427_0819_14,42885.92,0,0,98.91,511.91,610.82,0,0,0,0,0
20180427_0819_15,42939.53,0,0,98.91,511.92,610.83,0,0,0,0,0
20180427_0819_15,42993.2,0,0,98.43,511.92,610.35,0,0,0,0,0
20180427_0819_15,43046.94,0,0,98.43,511.92,610.35,0,0,0,0,0
