Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180426_1418_39,41000,0,0,87.86,537.97,625.83,0,0,0,0,0
20180426_1418_39,41051.25,0,0,87.86,537.97,625.83,0,0,0,0,0
20180426_1418_39,41102.56,0,0,87.86,537.97,625.83,0,0,0,0,0
20180426_1418_39,41153.94,0,0,87.86,537.97,625.83,0,0,0,0,0
20180426_1418_39,41205.38,0,0,87.8,537.97,625.77,0,0,0,0,0
20180426_1418_39,41256.89,0,0,87.8,537.95,625.75,0,0,0,0,0
20180426_1418_39,41308.46,0,0,87.8,537.95,625.75,0,0,0,0,0
20180426_1418_39,41360.1,0,0,87.77,537.95,625.72,0,0,0,0,0
20180426_1418_39,41411.8,0,0,87.77,537.95,625.72,0,0,0,0,0
20180426_1418_40,41463.56,0,0,87.77,537.95,625.72,0,0,0,0,0
20180426_1418_40,41515.39,0,0,87.75,537.95,625.7,0,0,0,0,0
20180426_1418_40,41567.28,0,0,87.75,537.98,625.73,0,0,0,0,0
20180426_1418_40,41619.24,0,0,87.73,537.98,625.71,0,0,0,0,0
20180426_1418_40,41671.26,0,0,87.73,537.98,625.71,0,0,0,0,0
20180426_1418_40,41723.35,0,0,87.73,538.02,625.75,0,0,0,0,0
20180426_1418_40,41775.5,0,0,87.73,538.02,625.75,0,0,0,0,0
20180426_1418_40,41827.72,0,0,87.73,538.02,625.75,0,0,0,0,0
20180426_1418_40,41880,0,0,87.73,538.02,625.75,0,0,0,0,0
20180426_1418_40,41932.35,0,0,87.73,538.05,625.78,0,0,0,0,0
20180426_1418_40,41984.77,0,0,87.73,538.05,625.78,0,0,0,0,0
20180426_1418_40,42037.25,0,0,87.73,538.05,625.78,0,0,0,0,0
20180426_1418_40,42089.8,0,0,87.73,538.08,625.81,0,0,0,0,0
20180426_1418_41,42142.41,0,0,87.73,538.08,625.81,0,0,0,0,0
