Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180507_1656_31,41000,0,0,96.13,498.13,594.26,0,0,0,0,0
20180507_1656_31,41051.25,0,0,96.13,498.13,594.26,0,0,0,0,0
20180507_1656_31,41102.56,0,0,96.13,498.2,594.33,0,0,0,0,0
20180507_1656_31,41153.94,0,0,95.52,498.2,593.72,0,0,0,0,0
20180507_1656_31,41205.38,0,0,95.52,498.48,594,0,0,0,0,0
20180507_1656_31,41256.89,0,0,95.5,498.48,593.98,0,0,0,0,0
20180507_1656_31,41308.46,0,0,95.5,498.48,593.98,0,0,0,0,0
20180507_1656_31,41360.1,0,0,95.5,498.83,594.33,0,0,0,0,0
20180507_1656_32,41411.8,0,0,94.89,498.83,593.72,0,0,0,0,0
20180507_1656_32,41463.56,0,0,94.89,498.83,593.72,0,0,0,0,0
20180507_1656_32,41515.39,0,0,94.89,498.84,593.73,0,0,0,0,0
20180507_1656_32,41567.28,0,0,94.89,498.84,593.73,0,0,0,0,0
20180507_1656_32,41619.24,0,0,94.89,498.9,593.79,0,0,0,0,0
20180507_1656_32,41671.26,0,0,94.89,498.9,593.79,0,0,0,0,0
20180507_1656_32,41723.35,0,0,94.89,498.9,593.79,0,0,0,0,0
20180507_1656_32,41775.5,0,0,94.89,498.91,593.8,0,0,0,0,0
20180507_1656_32,41827.72,0,0,94.89,498.91,593.8,0,0,0,0,0
20180507_1656_32,41880,0,0,94.89,498.91,593.8,0,0,0,0,0
20180507_1656_32,41932.35,0,0,94.89,498.91,593.8,0,0,0,0,0
20180507_1656_32,41984.77,0,0,94.89,498.88,593.77,0,0,0,0,0
20180507_1656_32,42037.25,0,0,94.89,498.88,593.77,0,0,0,0,0
20180507_1656_33,42089.8,0,0,94.89,498.88,593.77,0,0,0,0,0
20180507_1656_33,42142.41,0,0,94.89,498.87,593.76,0,0,0,0,0
20180507_1656_33,42195.09,0,0,94.89,498.87,593.76,0,0,0,0,0
20180507_1656_33,42247.83,0,0,94.89,498.87,593.76,0,0,0,0,0
20180507_1656_33,42300.64,0,0,94.89,498.88,593.77,0,0,0,0,0
20180507_1656_33,42353.52,0,0,94.9,498.88,593.78,0,0,0,0,0
20180507_1656_33,42406.46,0,0,94.9,498.88,593.78,0,0,0,0,0
20180507_1656_33,42459.47,0,0,94.9,498.88,593.78,0,0,0,0,0
20180507_1656_33,42512.54,0,0,94.96,498.88,593.84,0,0,0,0,0
20180507_1656_33,42565.68,0,0,94.96,498.88,593.84,0,0,0,0,0
20180507_1656_33,42618.89,0,0,94.96,498.88,593.84,0,0,0,0,0
20180507_1656_33,42672.16,0,0,95.16,498.88,594.04,0,0,0,0,0
20180507_1656_33,42725.5,0,0,95.16,498.88,594.04,0,0,0,0,0
20180507_1656_33,42778.91,0,0,95.16,498.88,594.04,0,0,0,0,0
20180507_1656_33,42832.38,0,0,95.49,498.88,594.37,0,0,0,0,0
20180507_1656_34,42885.92,0,0,95.49,498.88,594.37,0,0,0,0,0
20180507_1656_34,42939.53,0,0,95.49,498.88,594.37,0,0,0,0,0
20180507_1656_34,42993.2,0,0,95.49,498.9,594.39,0,0,0,0,0
20180507_1656_34,43046.94,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43100.75,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43154.63,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43208.57,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43262.58,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43316.66,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43370.81,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43425.02,0,0,95.52,498.9,594.42,0,0,0,0,0
20180507_1656_34,43479.3,0,0,95.52,498.91,594.43,0,0,0,0,0
20180507_1656_34,43533.65,0,0,95.52,498.91,594.43,0,0,0,0,0
20180507_1656_34,43588.07,0,0,95.52,498.91,594.43,0,0,0,0,0
20180507_1656_35,43642.56,0,0,95.52,498.92,594.44,0,0,0,0,0
20180507_1656_35,43697.11,0,0,95.52,498.92,594.44,0,0,0,0,0
20180507_1656_35,43751.73,0,0,95.52,498.92,594.44,0,0,0,0,0
20180507_1656_35,43806.42,0,0,95.52,498.94,594.46,0,0,0,0,0
20180507_1656_35,43861.18,0,0,95.56,498.94,594.5,0,0,0,0,0
20180507_1656_35,43916.01,0,0,95.56,498.94,594.5,0,0,0,0,0
20180507_1656_35,43970.91,0,0,95.56,498.96,594.52,0,0,0,0,0
20180507_1656_35,44025.87,0,0,95.68,498.96,594.64,0,0,0,0,0
20180507_1656_35,44080.9,0,0,95.68,498.96,594.64,0,0,0,0,0
20180507_1656_35,44136,0,0,95.68,498.98,594.66,0,0,0,0,0
20180507_1656_35,44191.17,0,0,95.92,498.98,594.9,0,0,0,0,0
20180507_1656_35,44246.41,0,0,95.92,498.98,594.9,0,0,0,0,0
20180507_1656_35,44301.72,0,0,95.92,499,594.92,0,0,0,0,0
20180507_1656_35,44357.1,0,0,96.08,499,595.08,0,0,0,0,0
20180507_1656_36,44412.55,0,0,96.08,499,595.08,0,0,0,0,0
20180507_1656_36,44468.07,0,0,96.08,499.02,595.1,0,0,0,0,0
20180507_1656_36,44523.66,0,0,96.08,499.02,595.1,0,0,0,0,0
20180507_1656_36,44579.31,0,0,96.14,499.02,595.16,0,0,0,0,0
20180507_1656_36,44635.03,0,0,96.14,499.02,595.16,0,0,0,0,0
20180507_1656_36,44690.82,0,0,96.14,499.04,595.18,0,0,0,0,0
20180507_1656_36,44746.68,0,0,96.14,499.04,595.18,0,0,0,0,0
20180507_1656_36,44802.61,0,0,96.14,499.04,595.18,0,0,0,0,0
20180507_1656_36,44858.61,0,0,96.14,499.05,595.19,0,0,0,0,0
20180507_1656_36,44914.68,0,0,96.14,499.05,595.19,0,0,0,0,0
20180507_1656_36,44970.82,0,0,96.14,499.05,595.19,0,0,0,0,0
20180507_1656_36,45027.03,0,0,96.14,499.08,595.22,0,0,0,0,0
20180507_1656_36,45083.31,0,0,96.14,499.08,595.22,0,0,0,0,0
20180507_1656_36,45139.66,0,0,96.14,499.08,595.22,0,0,0,0,0
20180507_1656_37,45196.08,0,0,96.14,499.09,595.23,0,0,0,0,0
20180507_1656_37,45252.58,0,0,96.14,499.09,595.23,0,0,0,0,0
20180507_1656_37,45309.15,0,0,96.14,499.09,595.23,0,0,0,0,0
20180507_1656_37,45365.79,0,0,96.14,499.09,595.23,0,0,0,0,0
20180507_1656_37,45422.5,0,0,96.14,499.1,595.24,0,0,0,0,0
20180507_1656_37,45479.28,0,0,96.14,499.1,595.24,0,0,0,0,0
20180507_1656_37,45536.13,0,0,96.14,499.1,595.24,0,0,0,0,0
20180507_1656_37,45593.05,0,0,96.14,499.15,595.29,0,0,0,0,0
20180507_1656_37,45650.04,0,0,96.17,499.15,595.32,0,0,0,0,0
20180507_1656_37,45707.1,0,0,96.17,499.15,595.32,0,0,0,0,0
20180507_1656_37,45764.23,0,0,96.17,499.16,595.33,0,0,0,0,0
20180507_1656_37,45821.44,0,0,96.27,499.16,595.43,0,0,0,0,0
20180507_1656_37,45878.72,0,0,96.27,499.16,595.43,0,0,0,0,0
20180507_1656_37,45936.07,0,0,96.27,499.16,595.43,0,0,0,0,0
20180507_1656_38,45993.49,0,0,96.47,499.16,595.63,0,0,0,0,0
20180507_1656_38,46050.98,0,0,96.47,499.16,595.63,0,0,0,0,0
20180507_1656_38,46108.54,0,0,96.47,499.19,595.66,0,0,0,0,0
20180507_1656_38,46166.18,0,0,96.7,499.19,595.89,0,0,0,0,0
20180507_1656_38,46223.89,0,0,96.7,499.19,595.89,0,0,0,0,0
20180507_1656_38,46281.67,0,0,96.7,499.19,595.89,0,0,0,0,0
20180507_1656_38,46339.52,0,0,96.7,499.21,595.91,0,0,0,0,0
20180507_1656_38,46397.44,0,0,96.75,499.21,595.96,0,0,0,0,0
20180507_1656_38,46455.44,0,0,96.75,499.21,595.96,0,0,0,0,0
20180507_1656_38,46513.51,0,0,96.75,499.24,595.99,0,0,0,0,0
20180507_1656_38,46571.65,0,0,96.76,499.24,596,0,0,0,0,0
20180507_1656_38,46629.86,0,0,96.76,499.24,596,0,0,0,0,0
20180507_1656_38,46688.15,0,0,96.76,499.25,596.01,0,0,0,0,0
20180507_1656_38,46746.51,0,0,96.77,499.25,596.02,0,0,0,0,0
20180507_1656_38,46804.94,0,0,96.77,499.25,596.02,0,0,0,0,0
20180507_1656_39,46863.45,0,0,96.77,499.31,596.08,0,0,0,0,0
20180507_1656_39,46922.03,0,0,96.77,499.31,596.08,0,0,0,0,0
20180507_1656_39,46980.68,0,0,96.77,499.31,596.08,0,0,0,0,0
20180507_1656_39,47039.41,0,0,96.77,499.33,596.1,0,0,0,0,0
20180507_1656_39,47098.21,0,0,96.78,499.33,596.11,0,0,0,0,0
20180507_1656_39,47157.08,0,0,96.78,499.33,596.11,0,0,0,0,0
20180507_1656_39,47216.03,0,0,96.78,499.3,596.08,0,0,0,0,0
20180507_1656_39,47275.05,0,0,96.84,499.3,596.14,0,0,0,0,0
20180507_1656_39,47334.14,0,0,96.84,499.3,596.14,0,0,0,0,0
20180507_1656_39,47393.31,0,0,96.84,499.3,596.14,0,0,0,0,0
20180507_1656_39,47452.55,0,0,96.84,499.35,596.19,0,0,0,0,0
20180507_1656_39,47511.87,0,0,97.02,499.35,596.37,0,0,0,0,0
20180507_1656_39,47571.26,0,0,97.02,499.35,596.37,0,0,0,0,0
20180507_1656_39,47630.72,0,0,97.02,499.35,596.37,0,0,0,0,0
20180507_1656_40,47690.26,0,0,97.27,499.35,596.62,0,0,0,0,0
20180507_1656_40,47749.87,0,0,97.27,499.35,596.62,0,0,0,0,0
20180507_1656_40,47809.56,0,0,97.27,499.38,596.65,0,0,0,0,0
20180507_1656_40,47869.32,0,0,97.38,499.38,596.76,0,0,0,0,0
20180507_1656_40,47929.16,0,0,97.38,499.38,596.76,0,0,0,0,0
20180507_1656_40,47989.07,0,0,97.38,499.4,596.78,0,0,0,0,0
20180507_1656_40,48049.06,0,0,97.39,499.4,596.79,0,0,0,0,0
20180507_1656_40,48109.12,0,0,97.39,499.4,596.79,0,0,0,0,0
20180507_1656_40,48169.26,0,0,97.39,499.42,596.81,0,0,0,0,0
20180507_1656_40,48229.47,0,0,97.39,499.42,596.81,0,0,0,0,0
20180507_1656_40,48289.76,0,0,97.39,499.42,596.81,0,0,0,0,0
20180507_1656_40,48350.12,0,0,97.39,499.4,596.79,0,0,0,0,0
20180507_1656_40,48410.56,0,0,97.39,499.4,596.79,0,0,0,0,0
20180507_1656_40,48471.07,0,0,97.39,499.4,596.79,0,0,0,0,0
20180507_1656_41,48531.66,0,0,97.39,499.4,596.79,0,0,0,0,0
20180507_1656_41,48592.32,0,0,97.39,499.42,596.81,0,0,0,0,0
20180507_1656_41,48653.06,0,0,97.4,499.42,596.82,0,0,0,0,0
20180507_1656_41,48713.88,0,0,97.4,499.42,596.82,0,0,0,0,0
20180507_1656_41,48774.77,0,0,97.4,499.42,596.82,0,0,0,0,0
20180507_1656_41,48835.74,0,0,97.53,499.42,596.95,0,0,0,0,0
