Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180525_1557_28,41000,0,0,75.41,506.74,582.15,0,0,0,0,0
20180525_1557_28,41051.25,0,0,75.41,506.73,582.14,0,0,0,0,0
20180525_1557_28,41102.56,0,0,75.41,506.73,582.14,0,0,0,0,0
20180525_1557_28,41153.94,0,0,75.41,506.73,582.14,0,0,0,0,0
20180525_1557_28,41205.38,0,0,75.41,506.75,582.16,0,0,0,0,0
20180525_1557_28,41256.89,0,0,75.41,506.75,582.16,0,0,0,0,0
20180525_1557_28,41308.46,0,0,75.41,506.75,582.16,0,0,0,0,0
20180525_1557_28,41360.1,0,0,75.41,506.76,582.17,0,0,0,0,0
20180525_1557_28,41411.8,0,0,75.41,506.76,582.17,0,0,0,0,0
20180525_1557_28,41463.56,0,0,75.41,506.76,582.17,0,0,0,0,0
20180525_1557_28,41515.39,0,0,75.41,506.76,582.17,0,0,0,0,0
20180525_1557_28,41567.28,0,0,75.41,506.77,582.18,0,0,0,0,0
20180525_1557_28,41619.24,0,0,75.42,506.77,582.19,0,0,0,0,0
20180525_1557_29,41671.26,0,0,75.42,506.77,582.19,0,0,0,0,0
20180525_1557_29,41723.35,0,0,75.42,506.75,582.17,0,0,0,0,0
20180525_1557_29,41775.5,0,0,75.41,506.75,582.16,0,0,0,0,0
20180525_1557_29,41827.72,0,0,75.41,506.75,582.16,0,0,0,0,0
20180525_1557_29,41880,0,0,75.41,506.77,582.18,0,0,0,0,0
20180525_1557_29,41932.35,0,0,75.45,506.77,582.22,0,0,0,0,0
20180525_1557_29,41984.77,0,0,75.45,506.77,582.22,0,0,0,0,0
20180525_1557_29,42037.25,0,0,75.45,506.79,582.24,0,0,0,0,0
20180525_1557_29,42089.8,0,0,75.67,506.79,582.46,0,0,0,0,0
20180525_1557_29,42142.41,0,0,75.67,506.79,582.46,0,0,0,0,0
20180525_1557_29,42195.09,0,0,75.67,506.81,582.48,0,0,0,0,0
20180525_1557_29,42247.83,0,0,76.01,506.81,582.82,0,0,0,0,0
20180525_1557_29,42300.64,0,0,76.01,506.81,582.82,0,0,0,0,0
20180525_1557_30,42353.52,0,0,76.01,506.82,582.83,0,0,0,0,0
20180525_1557_30,42406.46,0,0,76.04,506.82,582.86,0,0,0,0,0
20180525_1557_30,42459.47,0,0,76.04,506.82,582.86,0,0,0,0,0
20180525_1557_30,42512.54,0,0,76.04,506.81,582.85,0,0,0,0,0
