Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180529_0919_31,41000.00000,0,0,-0.66,0.62,-0.04,0,0,0,0,0
20180529_0919_31,41051.25000,0,0,-0.66,0.64,-0.02,0,0,0,0,0
20180529_0919_31,41102.56000,0,0,-0.67,0.64,-0.03,0,0,0,0,0
20180529_0919_31,41153.94000,0,0,-0.67,0.64,-0.03,0,0,0,0,0
20180529_0919_32,41205.38000,0,0,-0.68,0.64,-0.04,0,0,0,0,0
20180529_0919_32,41256.89000,0,0,-0.68,0.65,-0.03,0,0,0,0,0
20180529_0919_32,41308.46000,0,0,-0.68,0.64,-0.04,0,0,0,0,0
20180529_0919_32,41360.10000,0,0,-0.69,0.64,-0.05,0,0,0,0,0
20180529_0919_32,41411.80000,0,0,-0.75,0.64,-0.11,0,0,0,0,0
20180529_0919_32,41463.56000,0,0,-0.72,0.64,-0.08,0,0,0,0,0
20180529_0919_32,41515.39000,0,0,-0.78,0.63,-0.15,0,0,0,0,0
20180529_0919_32,41567.28000,0,0,-0.84,0.62,-0.22,0,0,0,0,0
20180529_0919_32,41619.24000,0,0,-0.69,0.62,-0.07,0,0,0,0,0
20180529_0919_32,41671.26000,0,0,-0.73,0.63,-0.10,0,0,0,0,0
20180529_0919_32,41723.35000,0,0,-0.75,0.63,-0.12,0,0,0,0,0
20180529_0919_32,41775.50000,0,0,-0.55,0.62,0.07,0,0,0,0,0
20180529_0919_32,41827.72000,0,0,-0.57,0.61,0.04,0,0,0,0,0
20180529_0919_32,41880.00000,0,0,-0.60,0.63,0.03,0,0,0,0,0
20180529_0919_33,41932.35000,0,0,-0.56,0.62,0.06,0,0,0,0,0
20180529_0919_33,41984.77000,0,0,-0.59,0.62,0.03,0,0,0,0,0
20180529_0919_33,42037.25000,0,0,-0.63,0.62,-0.01,0,0,0,0,0
20180529_0919_33,42089.80000,0,0,-0.66,0.62,-0.04,0,0,0,0,0
20180529_0919_33,42142.41000,0,0,-0.70,0.63,-0.07,0,0,0,0,0
20180529_0919_33,42195.09000,0,0,-0.73,0.60,-0.13,0,0,0,0,0
20180529_0919_33,42247.83000,0,0,-0.76,0.61,-0.15,0,0,0,0,0
20180529_0919_33,42300.64000,0,0,-0.80,0.61,-0.19,0,0,0,0,0
20180529_0919_33,42353.52000,0,0,-0.81,0.61,-0.20,0,0,0,0,0
20180529_0919_33,42406.46000,0,0,-0.82,0.63,-0.19,0,0,0,0,0
20180529_0919_33,42459.47000,0,0,-0.83,0.63,-0.20,0,0,0,0,0
20180529_0919_33,42512.54000,0,0,-0.84,0.63,-0.21,0,0,0,0,0
20180529_0919_33,42565.68000,0,0,-0.86,0.63,-0.23,0,0,0,0,0
20180529_0919_33,42618.89000,0,0,-0.87,0.63,-0.24,0,0,0,0,0
20180529_0919_34,42672.16000,0,0,-0.87,0.62,-0.25,0,0,0,0,0
20180529_0919_34,42725.50000,0,0,-0.90,0.63,-0.27,0,0,0,0,0
20180529_0919_34,42778.91000,0,0,-0.92,0.62,-0.30,0,0,0,0,0
20180529_0919_34,42832.38000,0,0,-0.98,0.61,-0.37,0,0,0,0,0
20180529_0919_34,42885.92000,0,0,-1.01,0.59,-0.42,0,0,0,0,0
20180529_0919_34,42939.53000,0,0,-1.02,0.58,-0.44,0,0,0,0,0
20180529_0919_34,42993.20000,0,0,-1.06,0.62,-0.44,0,0,0,0,0
20180529_0919_34,43046.94000,0,0,-1.03,0.62,-0.41,0,0,0,0,0
20180529_0919_34,43100.75000,0,0,-1.06,0.62,-0.44,0,0,0,0,0
20180529_0919_34,43154.63000,0,0,-1.08,0.63,-0.45,0,0,0,0,0
20180529_0919_34,43208.57000,0,0,-1.11,0.59,-0.52,0,0,0,0,0
20180529_0919_34,43262.58000,0,0,-0.98,0.60,-0.38,0,0,0,0,0
20180529_0919_34,43316.66000,0,0,-1.00,0.59,-0.41,0,0,0,0,0
20180529_0919_34,43370.81000,0,0,-1.06,0.58,-0.48,0,0,0,0,0
20180529_0919_35,43425.02000,0,0,-0.90,0.58,-0.32,0,0,0,0,0
20180529_0919_35,43479.30000,0,0,-0.98,0.57,-0.41,0,0,0,0,0
20180529_0919_35,43533.65000,0,0,-1.00,0.59,-0.41,0,0,0,0,0
20180529_0919_35,43588.07000,0,0,-0.90,0.58,-0.32,0,0,0,0,0
20180529_0919_35,43642.56000,0,0,-0.91,0.59,-0.32,0,0,0,0,0
