Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180520_1026_54,41000,0,0,72.97,519.6,592.57,0,0,0,0,0
20180520_1026_54,41051.25,0,0,72.97,519.6,592.57,0,0,0,0,0
20180520_1026_54,41102.56,0,0,72.97,519.56,592.53,0,0,0,0,0
20180520_1026_54,41153.94,0,0,72.95,519.56,592.51,0,0,0,0,0
20180520_1026_54,41205.38,0,0,72.95,519.56,592.51,0,0,0,0,0
20180520_1026_54,41256.89,0,0,72.95,519.51,592.46,0,0,0,0,0
20180520_1026_54,41308.46,0,0,72.83,519.51,592.34,0,0,0,0,0
20180520_1026_55,41360.1,0,0,72.83,519.51,592.34,0,0,0,0,0
20180520_1026_55,41411.8,0,0,72.83,519.6,592.43,0,0,0,0,0
20180520_1026_55,41463.56,0,0,72.65,519.6,592.25,0,0,0,0,0
20180520_1026_55,41515.39,0,0,72.65,519.6,592.25,0,0,0,0,0
20180520_1026_55,41567.28,0,0,72.65,519.58,592.23,0,0,0,0,0
20180520_1026_55,41619.24,0,0,72.43,519.58,592.01,0,0,0,0,0
20180520_1026_55,41671.26,0,0,72.43,519.58,592.01,0,0,0,0,0
20180520_1026_55,41723.35,0,0,72.43,519.6,592.03,0,0,0,0,0
20180520_1026_55,41775.5,0,0,72.36,519.6,591.96,0,0,0,0,0
20180520_1026_55,41827.72,0,0,72.36,519.6,591.96,0,0,0,0,0
20180520_1026_55,41880,0,0,72.36,519.58,591.94,0,0,0,0,0
20180520_1026_55,41932.35,0,0,72.35,519.58,591.93,0,0,0,0,0
20180520_1026_55,41984.77,0,0,72.35,519.58,591.93,0,0,0,0,0
20180520_1026_56,42037.25,0,0,72.35,519.7,592.05,0,0,0,0,0
20180520_1026_56,42089.8,0,0,72.36,519.7,592.06,0,0,0,0,0
20180520_1026_56,42142.41,0,0,72.36,519.7,592.06,0,0,0,0,0
20180520_1026_56,42195.09,0,0,72.36,519.59,591.95,0,0,0,0,0
20180520_1026_56,42247.83,0,0,72.34,519.59,591.93,0,0,0,0,0
20180520_1026_56,42300.64,0,0,72.34,519.59,591.93,0,0,0,0,0
20180520_1026_56,42353.52,0,0,72.34,519.62,591.96,0,0,0,0,0
20180520_1026_56,42406.46,0,0,72.28,519.62,591.9,0,0,0,0,0
20180520_1026_56,42459.47,0,0,72.28,519.62,591.9,0,0,0,0,0
20180520_1026_56,42512.54,0,0,72.28,519.68,591.96,0,0,0,0,0
20180520_1026_56,42565.68,0,0,72.28,519.68,591.96,0,0,0,0,0
20180520_1026_56,42618.89,0,0,72,519.68,591.68,0,0,0,0,0
20180520_1026_56,42672.16,0,0,72,519.68,591.68,0,0,0,0,0
20180520_1026_56,42725.5,0,0,72,519.68,591.68,0,0,0,0,0
20180520_1026_56,42778.91,0,0,71.79,519.68,591.47,0,0,0,0,0
20180520_1026_57,42832.38,0,0,71.79,519.68,591.47,0,0,0,0,0
20180520_1026_57,42885.92,0,0,71.79,519.72,591.51,0,0,0,0,0
20180520_1026_57,42939.53,0,0,71.74,519.72,591.46,0,0,0,0,0
20180520_1026_57,42993.2,0,0,71.74,519.72,591.46,0,0,0,0,0
20180520_1026_57,43046.94,0,0,71.74,519.67,591.41,0,0,0,0,0
20180520_1026_57,43100.75,0,0,71.73,519.67,591.4,0,0,0,0,0
20180520_1026_57,43154.63,0,0,71.73,519.67,591.4,0,0,0,0,0
20180520_1026_57,43208.57,0,0,71.73,519.7,591.43,0,0,0,0,0
20180520_1026_57,43262.58,0,0,71.73,519.7,591.43,0,0,0,0,0
20180520_1026_57,43316.66,0,0,71.73,519.7,591.43,0,0,0,0,0
20180520_1026_57,43370.81,0,0,71.73,519.67,591.4,0,0,0,0,0
20180520_1026_57,43425.02,0,0,71.73,519.67,591.4,0,0,0,0,0
20180520_1026_57,43479.3,0,0,71.73,519.67,591.4,0,0,0,0,0
20180520_1026_58,43533.65,0,0,71.73,519.76,591.49,0,0,0,0,0
20180520_1026_58,43588.07,0,0,71.73,519.76,591.49,0,0,0,0,0
20180520_1026_58,43642.56,0,0,71.73,519.76,591.49,0,0,0,0,0
20180520_1026_58,43697.11,0,0,71.73,519.77,591.5,0,0,0,0,0
20180520_1026_58,43751.73,0,0,71.62,519.77,591.39,0,0,0,0,0
20180520_1026_58,43806.42,0,0,71.62,519.77,591.39,0,0,0,0,0
20180520_1026_58,43861.18,0,0,71.62,519.71,591.33,0,0,0,0,0
20180520_1026_58,43916.01,0,0,71.26,519.71,590.97,0,0,0,0,0
20180520_1026_58,43970.91,0,0,71.26,519.71,590.97,0,0,0,0,0
20180520_1026_58,44025.87,0,0,71.26,519.69,590.95,0,0,0,0,0
20180520_1026_58,44080.9,0,0,71.12,519.69,590.81,0,0,0,0,0
20180520_1026_58,44136,0,0,71.12,519.69,590.81,0,0,0,0,0
20180520_1026_58,44191.17,0,0,71.12,519.69,590.81,0,0,0,0,0
20180520_1026_58,44246.41,0,0,71.1,519.69,590.79,0,0,0,0,0
20180520_1026_59,44301.72,0,0,71.1,519.69,590.79,0,0,0,0,0
20180520_1026_59,44357.1,0,0,71.1,519.78,590.88,0,0,0,0,0
20180520_1026_59,44412.55,0,0,71.1,519.78,590.88,0,0,0,0,0
20180520_1026_59,44468.07,0,0,71.1,519.78,590.88,0,0,0,0,0
20180520_1026_59,44523.66,0,0,71.1,519.89,590.99,0,0,0,0,0
20180520_1026_59,44579.31,0,0,71.11,519.89,591,0,0,0,0,0
20180520_1026_59,44635.03,0,0,71.11,519.89,591,0,0,0,0,0
20180520_1026_59,44690.82,0,0,71.11,519.89,591,0,0,0,0,0
20180520_1026_59,44746.68,0,0,71.11,519.86,590.97,0,0,0,0,0
20180520_1026_59,44802.61,0,0,70.95,519.86,590.81,0,0,0,0,0
20180520_1026_59,44858.61,0,0,70.95,519.75,590.7,0,0,0,0,0
20180520_1026_59,44914.68,0,0,70.59,519.75,590.34,0,0,0,0,0
20180520_1026_59,44970.82,0,0,70.59,519.75,590.34,0,0,0,0,0
20180520_1027_00,45027.03,0,0,70.59,519.87,590.46,0,0,0,0,0
20180520_1027_00,45083.31,0,0,70.53,519.87,590.4,0,0,0,0,0
20180520_1027_00,45139.66,0,0,70.53,519.87,590.4,0,0,0,0,0
20180520_1027_00,45196.08,0,0,70.53,519.88,590.41,0,0,0,0,0
20180520_1027_00,45252.58,0,0,70.48,519.88,590.36,0,0,0,0,0
20180520_1027_00,45309.15,0,0,70.48,519.88,590.36,0,0,0,0,0
20180520_1027_00,45365.79,0,0,70.48,519.88,590.36,0,0,0,0,0
20180520_1027_00,45422.5,0,0,70.48,519.88,590.36,0,0,0,0,0
20180520_1027_00,45479.28,0,0,70.48,519.88,590.36,0,0,0,0,0
20180520_1027_00,45536.13,0,0,70.48,519.97,590.45,0,0,0,0,0
20180520_1027_00,45593.05,0,0,70.49,519.97,590.46,0,0,0,0,0
20180520_1027_00,45650.04,0,0,70.49,519.97,590.46,0,0,0,0,0
