Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180522_0941_51,41000.00000,0,0,3.20,1.80,594.27,0,0,0,0,0
20180522_0941_51,41051.25000,0,0,3.20,1.62,594.10,0,0,0,0,0
20180522_0941_51,41102.56000,0,0,3.18,1.58,594.07,0,0,0,0,0
20180522_0941_51,41153.94000,0,0,3.18,1.54,594.07,0,0,0,0,0
20180522_0941_51,41205.38000,0,0,3.19,1.57,594.14,0,0,0,0,0
20180522_0941_51,41256.89000,0,0,3.21,1.55,594.15,0,0,0,0,0
20180522_0941_51,41308.46000,0,0,3.23,1.51,594.15,0,0,0,0,0
20180522_0941_51,41360.10000,0,0,3.24,1.60,594.27,0,0,0,0,0
20180522_0941_51,41411.80000,0,0,3.25,1.58,594.26,0,0,0,0,0
20180522_0941_51,41463.56000,0,0,3.27,1.59,594.26,0,0,0,0,0
20180522_0941_51,41515.39000,0,0,3.30,1.48,594.16,0,0,0,0,0
20180522_0941_51,41567.28000,0,0,3.22,1.47,594.06,0,0,0,0,0
20180522_0941_51,41619.24000,0,0,3.25,1.45,594.06,0,0,0,0,0
20180522_0941_52,41671.26000,0,0,3.29,1.55,594.17,0,0,0,0,0
20180522_0941_52,41723.35000,0,0,3.20,1.55,594.05,0,0,0,0,0
20180522_0941_52,41775.50000,0,0,3.23,1.54,594.05,0,0,0,0,0
20180522_0941_52,41827.72000,0,0,3.27,1.51,594.02,0,0,0,0,0
20180522_0941_52,41880.00000,0,0,3.13,1.52,593.84,0,0,0,0,0
20180522_0941_52,41932.35000,0,0,3.16,1.52,593.84,0,0,0,0,0
20180522_0941_52,41984.77000,0,0,3.19,1.45,593.77,0,0,0,0,0
20180522_0941_52,42037.25000,0,0,3.08,1.44,593.63,0,0,0,0,0
20180522_0941_52,42089.80000,0,0,3.09,1.43,593.63,0,0,0,0,0
20180522_0941_52,42142.41000,0,0,3.10,1.38,593.58,0,0,0,0,0
20180522_0941_52,42195.09000,0,0,3.04,1.39,593.51,0,0,0,0,0
20180522_0941_52,42247.83000,0,0,3.05,1.39,593.51,0,0,0,0,0
20180522_0941_52,42300.64000,0,0,3.05,1.50,593.63,0,0,0,0,0
20180522_0941_52,42353.52000,0,0,3.07,1.49,593.64,0,0,0,0,0
20180522_0941_53,42406.46000,0,0,3.08,1.48,593.64,0,0,0,0,0
20180522_0941_53,42459.47000,0,0,3.09,1.47,593.64,0,0,0,0,0
20180522_0941_53,42512.54000,0,0,3.09,1.47,593.64,0,0,0,0,0
20180522_0941_53,42565.68000,0,0,3.11,1.47,593.64,0,0,0,0,0
20180522_0941_53,42618.89000,0,0,3.13,1.51,593.67,0,0,0,0,0
20180522_0941_53,42672.16000,0,0,3.15,1.52,593.67,0,0,0,0,0
20180522_0941_53,42725.50000,0,0,3.16,1.52,593.67,0,0,0,0,0
20180522_0941_53,42778.91000,0,0,3.19,1.58,593.74,0,0,0,0,0
20180522_0941_53,42832.38000,0,0,3.21,1.58,593.74,0,0,0,0,0
20180522_0941_53,42885.92000,0,0,3.23,1.57,593.74,0,0,0,0,0
20180522_0941_53,42939.53000,0,0,3.25,1.54,593.70,0,0,0,0,0
20180522_0941_53,42993.20000,0,0,3.24,1.54,593.67,0,0,0,0,0
20180522_0941_53,43046.94000,0,0,3.27,1.54,593.67,0,0,0,0,0
20180522_0941_54,43100.75000,0,0,3.30,1.48,593.60,0,0,0,0,0
20180522_0941_54,43154.63000,0,0,3.22,1.48,593.49,0,0,0,0,0
20180522_0941_54,43208.57000,0,0,3.25,1.46,593.49,0,0,0,0,0
20180522_0941_54,43262.58000,0,0,3.26,1.60,593.64,0,0,0,0,0
20180522_0941_54,43316.66000,0,0,3.16,1.59,593.51,0,0,0,0,0
20180522_0941_54,43370.81000,0,0,3.19,1.60,593.51,0,0,0,0,0
20180522_0941_54,43425.02000,0,0,3.21,1.54,593.45,0,0,0,0,0
20180522_0941_54,43479.30000,0,0,3.10,1.54,593.32,0,0,0,0,0
20180522_0941_54,43533.65000,0,0,3.12,1.54,593.32,0,0,0,0,0
20180522_0941_54,43588.07000,0,0,3.13,1.46,593.24,0,0,0,0,0
20180522_0941_54,43642.56000,0,0,2.97,1.46,593.06,0,0,0,0,0
20180522_0941_54,43697.11000,0,0,2.99,1.45,593.06,0,0,0,0,0
20180522_0941_54,43751.73000,0,0,3.00,1.56,593.18,0,0,0,0,0
20180522_0941_54,43806.42000,0,0,2.97,1.55,593.15,0,0,0,0,0
20180522_0941_55,43861.18000,0,0,2.99,1.54,593.15,0,0,0,0,0
20180522_0941_55,43916.01000,0,0,3.00,1.59,593.20,0,0,0,0,0
20180522_0941_55,43970.91000,0,0,3.01,1.58,593.19,0,0,0,0,0
20180522_0941_55,44025.87000,0,0,3.01,1.59,593.19,0,0,0,0,0
20180522_0941_55,44080.90000,0,0,3.02,1.52,593.11,0,0,0,0,0
20180522_0941_55,44136.00000,0,0,3.01,1.52,593.09,0,0,0,0,0
20180522_0941_55,44191.17000,0,0,3.01,1.52,593.09,0,0,0,0,0
20180522_0941_55,44246.41000,0,0,3.02,1.57,593.14,0,0,0,0,0
