Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180522_0949_01,41000,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41051.25,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41102.56,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41153.94,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41205.38,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41256.89,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41308.46,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41360.1,0,0,72.92,520.45,593.37,0,0,0,0,0
20180522_0949_01,41411.8,0,0,72.91,520.45,593.36,0,0,0,0,0
20180522_0949_01,41463.56,0,0,72.91,520.45,593.36,0,0,0,0,0
20180522_0949_01,41515.39,0,0,72.91,520.46,593.37,0,0,0,0,0
20180522_0949_01,41567.28,0,0,72.87,520.46,593.33,0,0,0,0,0
20180522_0949_01,41619.24,0,0,72.87,520.46,593.33,0,0,0,0,0
20180522_0949_02,41671.26,0,0,72.87,520.45,593.32,0,0,0,0,0
20180522_0949_02,41723.35,0,0,72.73,520.45,593.18,0,0,0,0,0
20180522_0949_02,41775.5,0,0,72.73,520.45,593.18,0,0,0,0,0
20180522_0949_02,41827.72,0,0,72.73,520.45,593.18,0,0,0,0,0
20180522_0949_02,41880,0,0,72.6,520.45,593.05,0,0,0,0,0
20180522_0949_02,41932.35,0,0,72.6,520.45,593.05,0,0,0,0,0
20180522_0949_02,41984.77,0,0,72.6,520.43,593.03,0,0,0,0,0
20180522_0949_02,42037.25,0,0,72.38,520.43,592.81,0,0,0,0,0
20180522_0949_02,42089.8,0,0,72.38,520.43,592.81,0,0,0,0,0
20180522_0949_02,42142.41,0,0,72.38,520.45,592.83,0,0,0,0,0
20180522_0949_02,42195.09,0,0,72.31,520.45,592.76,0,0,0,0,0
20180522_0949_02,42247.83,0,0,72.31,520.45,592.76,0,0,0,0,0
20180522_0949_02,42300.64,0,0,72.31,520.45,592.76,0,0,0,0,0
20180522_0949_03,42353.52,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42406.46,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42459.47,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42512.54,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42565.68,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42618.89,0,0,72.3,520.43,592.73,0,0,0,0,0
20180522_0949_03,42672.16,0,0,72.3,520.43,592.73,0,0,0,0,0
20180522_0949_03,42725.5,0,0,72.3,520.43,592.73,0,0,0,0,0
20180522_0949_03,42778.91,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42832.38,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42885.92,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42939.53,0,0,72.3,520.45,592.75,0,0,0,0,0
20180522_0949_03,42993.2,0,0,72.28,520.45,592.73,0,0,0,0,0
20180522_0949_03,43046.94,0,0,72.28,520.45,592.73,0,0,0,0,0
20180522_0949_04,43100.75,0,0,72.28,520.45,592.73,0,0,0,0,0
20180522_0949_04,43154.63,0,0,72.18,520.45,592.63,0,0,0,0,0
20180522_0949_04,43208.57,0,0,72.18,520.45,592.63,0,0,0,0,0
20180522_0949_04,43262.58,0,0,72.18,520.46,592.64,0,0,0,0,0
20180522_0949_04,43316.66,0,0,72.18,520.46,592.64,0,0,0,0,0
20180522_0949_04,43370.81,0,0,71.89,520.46,592.35,0,0,0,0,0
20180522_0949_04,43425.02,0,0,71.89,520.46,592.35,0,0,0,0,0
20180522_0949_04,43479.3,0,0,71.89,520.46,592.35,0,0,0,0,0
20180522_0949_04,43533.65,0,0,71.76,520.46,592.22,0,0,0,0,0
20180522_0949_04,43588.07,0,0,71.76,520.46,592.22,0,0,0,0,0
20180522_0949_04,43642.56,0,0,71.76,520.45,592.21,0,0,0,0,0
20180522_0949_04,43697.11,0,0,71.69,520.45,592.14,0,0,0,0,0
20180522_0949_04,43751.73,0,0,71.69,520.45,592.14,0,0,0,0,0
20180522_0949_04,43806.42,0,0,71.69,520.45,592.14,0,0,0,0,0
20180522_0949_05,43861.18,0,0,71.68,520.45,592.13,0,0,0,0,0
20180522_0949_05,43916.01,0,0,71.68,520.45,592.13,0,0,0,0,0
20180522_0949_05,43970.91,0,0,71.68,520.45,592.13,0,0,0,0,0
20180522_0949_05,44025.87,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_05,44080.9,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_05,44136,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_05,44191.17,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_05,44246.41,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_05,44301.72,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_05,44357.1,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_05,44412.55,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_05,44468.07,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_05,44523.66,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_05,44579.31,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_06,44635.03,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,44690.82,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,44746.68,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,44802.61,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,44858.61,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,44914.68,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,44970.82,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,45027.03,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,45083.31,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,45139.66,0,0,71.67,520.45,592.12,0,0,0,0,0
20180522_0949_06,45196.08,0,0,71.67,520.43,592.1,0,0,0,0,0
20180522_0949_06,45252.58,0,0,71.66,520.43,592.09,0,0,0,0,0
20180522_0949_06,45309.15,0,0,71.66,520.43,592.09,0,0,0,0,0
20180522_0949_06,45365.79,0,0,71.66,520.43,592.09,0,0,0,0,0
20180522_0949_07,45422.5,0,0,71.62,520.43,592.05,0,0,0,0,0
20180522_0949_07,45479.28,0,0,71.62,520.43,592.05,0,0,0,0,0
20180522_0949_07,45536.13,0,0,71.62,520.45,592.07,0,0,0,0,0
20180522_0949_07,45593.05,0,0,71.57,520.45,592.02,0,0,0,0,0
20180522_0949_07,45650.04,0,0,71.57,520.45,592.02,0,0,0,0,0
20180522_0949_07,45707.1,0,0,71.57,520.45,592.02,0,0,0,0,0
20180522_0949_07,45764.23,0,0,71.47,520.45,591.92,0,0,0,0,0
20180522_0949_07,45821.44,0,0,71.47,520.45,591.92,0,0,0,0,0
20180522_0949_07,45878.72,0,0,71.47,520.44,591.91,0,0,0,0,0
20180522_0949_07,45936.07,0,0,71.33,520.44,591.77,0,0,0,0,0
