Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180515_0829_46,41000,0,0,80.87,524.89,605.76,0,0,0,0,0
20180515_0829_46,41051.25,0,0,80.88,524.89,605.77,0,0,0,0,0
20180515_0829_46,41102.56,0,0,80.88,524.89,605.77,0,0,0,0,0
20180515_0829_46,41153.94,0,0,80.88,525.1,605.98,0,0,0,0,0
20180515_0829_46,41205.38,0,0,80.86,525.1,605.96,0,0,0,0,0
20180515_0829_47,41256.89,0,0,80.86,525.1,605.96,0,0,0,0,0
20180515_0829_47,41308.46,0,0,80.86,525.11,605.97,0,0,0,0,0
20180515_0829_47,41360.1,0,0,80.85,525.11,605.96,0,0,0,0,0
20180515_0829_47,41411.8,0,0,80.85,525.11,605.96,0,0,0,0,0
20180515_0829_47,41463.56,0,0,80.85,525.11,605.96,0,0,0,0,0
20180515_0829_47,41515.39,0,0,80.83,525.11,605.94,0,0,0,0,0
20180515_0829_47,41567.28,0,0,80.83,525.11,605.94,0,0,0,0,0
20180515_0829_47,41619.24,0,0,80.83,525.11,605.94,0,0,0,0,0
20180515_0829_47,41671.26,0,0,80.76,525.11,605.87,0,0,0,0,0
20180515_0829_47,41723.35,0,0,80.76,525.11,605.87,0,0,0,0,0
20180515_0829_47,41775.5,0,0,80.76,525.13,605.89,0,0,0,0,0
20180515_0829_47,41827.72,0,0,80.66,525.13,605.79,0,0,0,0,0
20180515_0829_47,41880,0,0,80.66,525.13,605.79,0,0,0,0,0
20180515_0829_47,41932.35,0,0,80.66,525.12,605.78,0,0,0,0,0
20180515_0829_48,41984.77,0,0,80.6,525.12,605.72,0,0,0,0,0
20180515_0829_48,42037.25,0,0,80.6,525.12,605.72,0,0,0,0,0
20180515_0829_48,42089.8,0,0,80.6,525.13,605.73,0,0,0,0,0
20180515_0829_48,42142.41,0,0,80.45,525.13,605.58,0,0,0,0,0
20180515_0829_48,42195.09,0,0,80.45,525.13,605.58,0,0,0,0,0
20180515_0829_48,42247.83,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42300.64,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42353.52,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42406.46,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42459.47,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42512.54,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42565.68,0,0,80.35,525.12,605.47,0,0,0,0,0
20180515_0829_48,42618.89,0,0,80.3,525.12,605.42,0,0,0,0,0
