Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180515_0829_46,80.87,524.89,605.76,0.0000,0.0000,0.0000,20180508_1710_18,20180515_0829_46,4,79.02,80.81,83.51,523.61,524.27,524.95,603.49,605.09,607.12
41051.25,20180515_0829_46,80.88,524.89,605.77,0.0124,0.0000,0.0017,20180508_1710_19,20180515_0829_46,4,78.97,80.82,83.51,523.61,524.27,524.95,603.54,605.09,607.12
41102.56,20180515_0829_46,80.88,524.89,605.77,0.0062,0.0000,0.0008,20180508_1710_19,20180515_0829_46,4,78.97,80.82,83.51,524.10,524.52,524.95,603.92,605.34,607.65
41153.94,20180515_0829_46,80.88,525.10,605.98,0.0041,0.0400,0.0352,20180508_1710_19,20180515_0829_46,4,78.89,80.82,83.51,524.10,524.72,525.52,604.08,605.53,607.65
41205.38,20180515_0829_46,80.86,525.10,605.96,0.0216,0.0300,0.0231,20180508_1710_19,20180515_0829_46,4,78.89,80.81,83.51,524.10,524.74,525.52,604.08,605.55,607.75
41256.89,20180515_0829_47,80.86,525.10,605.96,0.0173,0.0240,0.0185,20180508_1710_19,20180515_0829_47,4,78.89,80.81,83.51,524.18,524.77,525.54,604.16,605.58,607.75
41308.46,20180515_0829_47,80.86,525.11,605.97,0.0144,0.0219,0.0170,20180508_1710_19,20180515_0829_47,4,78.76,80.78,83.51,524.18,524.77,525.54,604.17,605.55,607.75
41360.10,20180515_0829_47,80.85,525.11,605.96,0.0247,0.0188,0.0130,20180508_1710_19,20180515_0829_47,4,78.76,80.78,83.51,524.18,524.90,525.54,604.17,605.68,608.28
41411.80,20180515_0829_47,80.85,525.11,605.96,0.0216,0.0164,0.0114,20180508_1710_19,20180515_0829_47,4,78.76,80.76,83.51,524.69,525.03,525.53,604.29,605.78,608.28
41463.56,20180515_0829_47,80.85,525.11,605.96,0.0192,0.0146,0.0101,20180508_1710_19,20180515_0829_47,4,78.64,80.73,83.51,524.69,525.03,525.53,604.17,605.76,608.29
41515.39,20180515_0829_47,80.83,525.11,605.94,0.0421,0.0131,0.0058,20180508_1710_19,20180515_0829_47,4,78.64,80.72,83.48,524.74,525.04,525.53,604.17,605.76,608.26
41567.28,20180515_0829_47,80.83,525.11,605.94,0.0382,0.0119,0.0052,20180508_1710_19,20180515_0829_47,4,78.64,80.72,83.48,524.74,525.03,525.48,604.12,605.74,608.26
41619.24,20180515_0829_47,80.83,525.11,605.94,0.0350,0.0109,0.0048,20180508_1710_20,20180515_0829_47,4,78.52,80.69,83.48,524.74,525.03,525.48,604.00,605.71,608.26
41671.26,20180515_0829_47,80.76,525.11,605.87,0.1191,0.0101,0.0071,20180508_1710_20,20180515_0829_47,4,78.52,80.60,83.21,524.78,525.09,525.48,604.00,605.69,607.99
41723.35,20180515_0829_47,80.76,525.11,605.87,0.1106,0.0094,0.0066,20180508_1710_20,20180515_0829_47,4,78.52,80.60,83.21,524.78,525.08,525.43,603.95,605.67,607.99
41775.50,20180515_0829_47,80.76,525.13,605.89,0.1032,0.0126,0.0029,20180508_1710_20,20180515_0829_47,4,78.50,80.59,83.21,524.78,525.08,525.43,603.93,605.67,607.99
41827.72,20180515_0829_47,80.66,525.13,605.79,0.2208,0.0118,0.0192,20180508_1710_20,20180515_0829_47,4,78.50,80.55,83.21,524.79,525.18,525.43,603.93,605.73,608.00
41880.00,20180515_0829_47,80.66,525.13,605.79,0.2078,0.0111,0.0181,20180508_1710_20,20180515_0829_47,4,78.50,80.50,82.98,524.79,525.17,525.37,603.87,605.66,607.77
41932.35,20180515_0829_47,80.66,525.12,605.78,0.1963,0.0086,0.0187,20180508_1710_20,20180515_0829_47,4,78.45,80.48,82.98,524.78,525.16,525.38,603.82,605.65,607.76
41984.77,20180515_0829_48,80.60,525.12,605.72,0.2605,0.0081,0.0276,20180508_1710_20,20180515_0829_48,4,78.45,80.44,82.91,524.78,525.16,525.38,603.82,605.60,607.69
42037.25,20180515_0829_48,80.60,525.12,605.72,0.2475,0.0077,0.0263,20180508_1710_20,20180515_0829_48,4,78.45,80.44,82.91,524.78,525.16,525.38,603.82,605.60,607.69
42089.80,20180515_0829_48,80.60,525.13,605.73,0.2308,0.0074,0.0243,20180508_1710_20,20180515_0829_48,4,78.45,80.44,82.91,524.78,525.17,525.38,603.82,605.61,607.69
42142.41,20180515_0829_48,80.45,525.13,605.58,0.4003,0.0051,0.0487,20180508_1710_20,20180515_0829_48,4,78.45,80.40,82.91,524.79,525.17,525.38,603.82,605.57,607.70
42195.09,20180515_0829_48,80.45,525.13,605.58,0.3735,0.0029,0.0471,20180508_1710_20,20180515_0829_48,4,78.45,80.39,82.89,524.79,525.17,525.38,603.81,605.56,607.68
42247.83,20180515_0829_48,80.35,525.12,605.47,0.4717,0.0007,0.0620,20180508_1710_20,20180515_0829_48,4,78.44,80.37,82.89,524.79,525.16,525.36,603.80,605.52,607.68
42300.64,20180515_0829_48,80.35,525.12,605.47,0.4400,0.0005,0.0580,20180508_1710_21,20180515_0829_48,4,78.44,80.37,82.89,524.79,525.16,525.36,603.80,605.52,607.68
42353.52,20180515_0829_48,80.35,525.12,605.47,0.4082,0.0003,0.0539,20180508_1710_21,20180515_0829_48,4,78.44,80.37,82.89,524.79,525.18,525.43,603.87,605.54,607.68
42406.46,20180515_0829_48,80.35,525.12,605.47,0.3765,0.0002,0.0498,20180508_1710_21,20180515_0829_48,4,78.44,80.37,82.89,524.79,525.18,525.43,603.87,605.54,607.68
42459.47,20180515_0829_48,80.35,525.12,605.47,0.3454,0.0001,0.0458,20180508_1710_21,20180515_0829_48,4,78.44,80.37,82.89,524.80,525.18,525.43,603.87,605.54,607.69
42512.54,20180515_0829_48,80.35,525.12,605.47,0.3143,0.0000,0.0417,20180508_1710_21,20180515_0829_48,4,78.44,80.37,82.89,524.80,525.18,525.43,603.87,605.54,607.69
42565.68,20180515_0829_48,80.35,525.12,605.47,0.2831,0.0001,0.0377,20180508_1710_21,20180515_0829_48,4,78.44,80.37,82.89,524.80,525.19,525.46,603.90,605.56,607.69
42618.89,20180515_0829_48,80.30,525.12,605.42,0.3157,0.0002,0.0420,20180508_1710_21,20180515_0829_48,4,78.44,80.35,82.89,524.82,525.20,525.46,603.90,605.55,607.71
42672.16,20180515_0829_49,80.30,525.12,605.42,0.2827,0.0003,0.0377,20180508_1710_21,20180515_0829_49,4,78.44,80.35,82.88,524.82,525.19,525.44,603.88,605.54,607.70
42725.50,20180515_0829_49,80.30,525.12,605.42,0.2497,0.0004,0.0335,20180508_1710_21,20180515_0829_49,4,78.44,80.35,82.88,524.82,525.19,525.44,603.88,605.54,607.70
42778.91,20180515_0829_49,80.27,525.12,605.39,0.2585,0.0005,0.0347,20180508_1710_21,20180515_0829_49,4,78.44,80.34,82.88,524.82,525.19,525.44,603.88,605.53,607.70
42832.38,20180515_0829_49,80.27,525.12,605.39,0.2280,0.0006,0.0307,20180508_1710_21,20180515_0829_49,4,78.44,80.34,82.88,524.85,525.19,525.41,603.85,605.53,607.73
42885.92,20180515_0829_49,80.27,525.12,605.39,0.1975,0.0005,0.0266,20180508_1710_21,20180515_0829_49,4,78.44,80.34,82.87,524.85,525.19,525.41,603.85,605.52,607.72
42939.53,20180515_0829_49,80.27,525.12,605.39,0.1732,0.0004,0.0233,20180508_1710_21,20180515_0829_49,4,78.43,80.34,82.87,524.85,525.19,525.41,603.84,605.52,607.72
42993.20,20180515_0829_49,80.27,525.12,605.39,0.1489,0.0003,0.0200,20180508_1710_22,20180515_0829_49,4,78.43,80.34,82.87,524.87,525.19,525.41,603.84,605.53,607.74
43046.94,20180515_0829_49,80.27,525.11,605.38,0.1246,0.0022,0.0184,20180508_1710_22,20180515_0829_49,4,78.43,80.31,82.78,524.87,525.18,525.38,603.81,605.49,607.65
43100.75,20180515_0829_49,80.26,525.11,605.37,0.1165,0.0021,0.0173,20180508_1710_22,20180515_0829_49,4,78.43,80.31,82.78,524.87,525.18,525.38,603.81,605.49,607.65
43154.63,20180515_0829_49,80.26,525.11,605.37,0.0953,0.0020,0.0144,20180508_1710_22,20180515_0829_49,4,78.43,80.31,82.78,524.85,525.18,525.38,603.81,605.49,607.63
43208.57,20180515_0829_49,80.26,525.12,605.38,0.0741,0.0001,0.0097,20180508_1710_22,20180515_0829_49,4,78.43,80.27,82.60,524.85,525.22,525.54,603.97,605.48,607.45
43262.58,20180515_0829_49,80.26,525.12,605.38,0.0623,0.0002,0.0081,20180508_1710_22,20180515_0829_49,4,78.45,80.27,82.60,524.85,525.22,525.54,603.99,605.49,607.45
43316.66,20180515_0829_49,80.26,525.12,605.38,0.0505,0.0003,0.0064,20180508_1710_22,20180515_0829_49,4,78.45,80.27,82.60,524.89,525.23,525.54,603.99,605.50,607.49
43370.81,20180515_0829_49,80.26,525.12,605.38,0.0448,0.0003,0.0057,20180508_1710_22,20180515_0829_49,4,78.45,80.23,82.42,524.89,525.22,525.51,603.96,605.45,607.31
43425.02,20180515_0829_50,80.26,525.12,605.38,0.0392,0.0003,0.0050,20180508_1710_22,20180515_0829_50,4,78.45,80.23,82.42,524.89,525.22,525.51,603.96,605.44,607.31
43479.30,20180515_0829_50,80.26,525.12,605.38,0.0336,0.0003,0.0042,20180508_1710_22,20180515_0829_50,4,78.45,80.22,82.42,524.89,525.22,525.51,603.96,605.44,607.31
43533.65,20180515_0829_50,80.26,525.12,605.38,0.0280,0.0003,0.0035,20180508_1710_22,20180515_0829_50,4,78.45,80.19,82.30,524.89,525.21,525.47,603.92,605.40,607.19
43588.07,20180515_0829_50,80.26,525.13,605.39,0.0224,0.0022,0.0011,20180508_1710_22,20180515_0829_50,4,78.44,80.19,82.30,524.89,525.21,525.47,603.91,605.41,607.19
43642.56,20180515_0829_50,80.26,525.13,605.39,0.0168,0.0021,0.0004,20180508_1710_22,20180515_0829_50,4,78.44,80.19,82.30,524.89,525.21,525.47,603.91,605.41,607.19
43697.11,20180515_0829_50,80.26,525.11,605.37,0.0112,0.0018,0.0031,20180508_1710_22,20180515_0829_50,4,78.44,80.19,82.27,524.89,525.21,525.50,603.94,605.40,607.16
43751.73,20180515_0829_50,80.26,525.11,605.37,0.0087,0.0017,0.0026,20180508_1710_23,20180515_0829_50,4,78.45,80.19,82.27,524.89,525.21,525.50,603.95,605.40,607.16
43806.42,20180515_0829_50,80.26,525.11,605.37,0.0062,0.0016,0.0022,20180508_1710_23,20180515_0829_50,4,78.45,80.19,82.27,524.89,525.21,525.50,603.95,605.40,607.16
43861.18,20180515_0829_50,80.26,525.11,605.37,0.0037,0.0015,0.0018,20180508_1710_23,20180515_0829_50,4,78.45,80.19,82.27,524.95,525.23,525.51,603.96,605.42,607.22
