Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180427_0830_37,41000,0,0,138.36,534.76,673.12,0,0,0,0,0
20180427_0830_37,41051.25,0,0,138.36,534.76,673.12,0,0,0,0,0
20180427_0830_37,41102.56,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_37,41153.94,0,0,138.36,534.76,673.12,0,0,0,0,0
20180427_0830_38,41205.38,0,0,138.38,534.77,673.15,0,0,0,0,0
20180427_0830_38,41256.89,0,0,138.38,534.76,673.14,0,0,0,0,0
20180427_0830_38,41308.46,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_38,41360.1,0,0,138.36,534.77,673.13,0,0,0,0,0
20180427_0830_38,41411.8,0,0,138.36,534.77,673.13,0,0,0,0,0
20180427_0830_38,41463.56,0,0,138.36,534.77,673.13,0,0,0,0,0
20180427_0830_38,41515.39,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_38,41567.28,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_39,41619.24,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_39,41671.26,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_39,41723.35,0,0,138.36,534.75,673.11,0,0,0,0,0
20180427_0830_39,41775.5,0,0,138.36,534.77,673.13,0,0,0,0,0
20180427_0830_39,41827.72,0,0,138.35,534.77,673.12,0,0,0,0,0
20180427_0830_39,41880,0,0,138.33,534.77,673.1,0,0,0,0,0
20180427_0830_39,41932.35,0,0,138.31,534.77,673.08,0,0,0,0,0
20180427_0830_40,41984.77,0,0,137.76,534.77,672.53,0,0,0,0,0
20180427_0830_40,42037.25,0,0,137.76,534.76,672.52,0,0,0,0,0
20180427_0830_40,42089.8,0,0,137.73,534.75,672.48,0,0,0,0,0
20180427_0830_40,42142.41,0,0,137.71,534.75,672.46,0,0,0,0,0
20180427_0830_40,42195.09,0,0,137.69,534.76,672.45,0,0,0,0,0
20180427_0830_40,42247.83,0,0,137.68,534.77,672.45,0,0,0,0,0
20180427_0830_40,42300.64,0,0,137.68,534.77,672.45,0,0,0,0,0
20180427_0830_40,42353.52,0,0,137.55,534.77,672.32,0,0,0,0,0
20180427_0830_41,42406.46,0,0,137.465,534.75,672.215,0,0,0,0,0
20180427_0830_41,42459.47,0,0,137.38,534.75,672.13,0,0,0,0,0
20180427_0830_41,42512.54,0,0,137.28,534.75,672.03,0,0,0,0,0
20180427_0830_41,42565.68,0,0,137.28,534.77,672.05,0,0,0,0,0
20180427_0830_41,42618.89,0,0,137.21,534.77,671.98,0,0,0,0,0
20180427_0830_41,42672.16,0,0,137.18,534.75,671.93,0,0,0,0,0
20180427_0830_41,42725.5,0,0,137.15,534.76,671.91,0,0,0,0,0
20180427_0830_42,42778.91,0,0,137.12,534.77,671.89,0,0,0,0,0
20180427_0830_42,42832.38,0,0,137.12,534.76,671.88,0,0,0,0,0
20180427_0830_42,42885.92,0,0,137.11,534.75,671.86,0,0,0,0,0
20180427_0830_42,42939.53,0,0,137.11,534.77,671.88,0,0,0,0,0
20180427_0830_42,42993.2,0,0,137.12,534.77,671.89,0,0,0,0,0
20180427_0830_42,43046.94,0,0,137.12,534.77,671.89,0,0,0,0,0
20180427_0830_42,43100.75,0,0,137.12,534.77,671.89,0,0,0,0,0
20180427_0830_42,43154.63,0,0,137.11,534.77,671.88,0,0,0,0,0
20180427_0830_43,43208.57,0,0,137.11,534.775,671.885,0,0,0,0,0
20180427_0830_43,43262.58,0,0,137.01,534.78,671.79,0,0,0,0,0
20180427_0830_43,43316.66,0,0,136.815,534.78,671.595,0,0,0,0,0
20180427_0830_43,43370.81,0,0,136.62,534.775,671.395,0,0,0,0,0
20180427_0830_43,43425.02,0,0,136.49,534.77,671.26,0,0,0,0,0
20180427_0830_43,43479.3,0,0,136.49,534.78,671.27,0,0,0,0,0
20180427_0830_43,43533.65,0,0,136.49,534.8,671.29,0,0,0,0,0
20180427_0830_44,43588.07,0,0,136.49,534.82,671.31,0,0,0,0,0
20180427_0830_44,43642.56,0,0,136.49,534.86,671.35,0,0,0,0,0
20180427_0830_44,43697.11,0,0,136.37,534.86,671.23,0,0,0,0,0
20180427_0830_44,43751.73,0,0,136.37,534.89,671.26,0,0,0,0,0
20180427_0830_44,43806.42,0,0,135.98,534.89,670.87,0,0,0,0,0
20180427_0830_44,43861.18,0,0,135.925,534.95,670.875,0,0,0,0,0
20180427_0830_44,43916.01,0,0,135.87,534.975,670.845,0,0,0,0,0
20180427_0830_44,43970.91,0,0,135.86,535,670.86,0,0,0,0,0
20180427_0830_45,44025.87,0,0,135.86,535.045,670.905,0,0,0,0,0
20180427_0830_45,44080.9,0,0,135.38,535.09,670.47,0,0,0,0,0
20180427_0830_45,44136,0,0,135.31,535.11,670.42,0,0,0,0,0
20180427_0830_45,44191.17,0,0,135.24,535.11,670.35,0,0,0,0,0
20180427_0830_45,44246.41,0,0,135.24,535.32,670.56,0,0,0,0,0
20180427_0830_45,44301.72,0,0,135.24,535.325,670.565,0,0,0,0,0
20180427_0830_45,44357.1,0,0,135.24,535.33,670.57,0,0,0,0,0
20180427_0830_45,44412.55,0,0,135.245,535.38,670.625,0,0,0,0,0
20180427_0830_46,44468.07,0,0,135.25,535.38,670.63,0,0,0,0,0
20180427_0830_46,44523.66,0,0,135.25,535.39,670.64,0,0,0,0,0
20180427_0830_46,44579.31,0,0,135.25,535.39,670.64,0,0,0,0,0
20180427_0830_46,44635.03,0,0,135.25,535.39,670.64,0,0,0,0,0
20180427_0830_46,44690.82,0,0,135.25,535.35,670.6,0,0,0,0,0
20180427_0830_46,44746.68,0,0,134.76,535.31,670.07,0,0,0,0,0
20180427_0830_46,44802.61,0,0,134.695,535.36,670.055,0,0,0,0,0
20180427_0830_47,44858.61,0,0,134.63,535.37,670,0,0,0,0,0
20180427_0830_47,44914.68,0,0,134.62,535.38,670,0,0,0,0,0
20180427_0830_47,44970.82,0,0,134.62,535.39,670.01,0,0,0,0,0
20180427_0830_47,45027.03,0,0,134.66,535.39,670.05,0,0,0,0,0
20180427_0830_47,45083.31,0,0,134.64,535.39,670.03,0,0,0,0,0
20180427_0830_47,45139.66,0,0,134.62,535.39,670.01,0,0,0,0,0
20180427_0830_47,45196.08,0,0,134.62,535.39,670.01,0,0,0,0,0
20180427_0830_47,45252.58,0,0,134.62,535.38,670,0,0,0,0,0
20180427_0830_48,45309.15,0,0,134.62,535.38,670,0,0,0,0,0
20180427_0830_48,45365.79,0,0,134.62,535.39,670.01,0,0,0,0,0
20180427_0830_48,45422.5,0,0,134.62,535.39,670.01,0,0,0,0,0
20180427_0830_48,45479.28,0,0,134.62,535.39,670.01,0,0,0,0,0
20180427_0830_48,45536.13,0,0,134.585,535.39,669.975,0,0,0,0,0
20180427_0830_48,45593.05,0,0,134.55,535.39,669.94,0,0,0,0,0
20180427_0830_48,45650.04,0,0,134.24,535.39,669.63,0,0,0,0,0
20180427_0830_49,45707.1,0,0,134.24,535.39,669.63,0,0,0,0,0
20180427_0830_49,45764.23,0,0,134,535.39,669.39,0,0,0,0,0
20180427_0830_49,45821.44,0,0,134,535.39,669.39,0,0,0,0,0
20180427_0830_49,45878.72,0,0,134,535.39,669.39,0,0,0,0,0
20180427_0830_49,45936.07,0,0,133.975,535.38,669.355,0,0,0,0,0
20180427_0830_49,45993.49,0,0,133.95,535.385,669.335,0,0,0,0,0
20180427_0830_49,46050.98,0,0,133.64,535.39,669.03,0,0,0,0,0
20180427_0830_50,46108.54,0,0,133.535,535.39,668.925,0,0,0,0,0
20180427_0830_50,46166.18,0,0,133.43,535.39,668.82,0,0,0,0,0
20180427_0830_50,46223.89,0,0,133.39,535.39,668.78,0,0,0,0,0
20180427_0830_50,46281.67,0,0,133.39,535.39,668.78,0,0,0,0,0
20180427_0830_50,46339.52,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_50,46397.44,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_50,46455.44,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_50,46513.51,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_51,46571.65,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_51,46629.86,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_51,46688.15,0,0,133.38,535.39,668.77,0,0,0,0,0
20180427_0830_51,46746.51,0,0,133.36,535.39,668.75,0,0,0,0,0
20180427_0830_51,46804.94,0,0,133.115,535.39,668.505,0,0,0,0,0
20180427_0830_51,46863.45,0,0,132.87,535.39,668.26,0,0,0,0,0
20180427_0830_51,46922.03,0,0,132.815,535.39,668.205,0,0,0,0,0
20180427_0830_51,46980.68,0,0,132.76,535.39,668.15,0,0,0,0,0
20180427_0830_52,47039.41,0,0,132.755,535.39,668.145,0,0,0,0,0
20180427_0830_52,47098.21,0,0,132.75,535.395,668.145,0,0,0,0,0
20180427_0830_52,47157.08,0,0,132.75,535.4,668.15,0,0,0,0,0
20180427_0830_52,47216.03,0,0,132.48,535.39,667.87,0,0,0,0,0
20180427_0830_52,47275.05,0,0,132.21,535.39,667.6,0,0,0,0,0
20180427_0830_52,47334.14,0,0,132.17,535.39,667.56,0,0,0,0,0
20180427_0830_52,47393.31,0,0,132.13,535.4,667.53,0,0,0,0,0
20180427_0830_52,47452.55,0,0,132.18,535.41,667.59,0,0,0,0,0
20180427_0830_53,47511.87,0,0,132.455,535.51,667.965,0,0,0,0,0
20180427_0830_53,47571.26,0,0,132.73,535.47,668.2,0,0,0,0,0
20180427_0830_53,47630.72,0,0,132.52,535.43,667.95,0,0,0,0,0
20180427_0830_53,47690.26,0,0,132.31,535.41,667.72,0,0,0,0,0
20180427_0830_53,47749.87,0,0,131.99,535.39,667.38,0,0,0,0,0
20180427_0830_53,47809.56,0,0,131.75,535.39,667.14,0,0,0,0,0
20180427_0830_53,47869.32,0,0,131.51,535.39,666.9,0,0,0,0,0
20180427_0830_54,47929.16,0,0,131.41,535.39,666.8,0,0,0,0,0
20180427_0830_54,47989.07,0,0,131.41,535.39,666.8,0,0,0,0,0
20180427_0830_54,48049.06,0,0,131.03,535.39,666.42,0,0,0,0,0
20180427_0830_54,48109.12,0,0,130.995,535.39,666.385,0,0,0,0,0
20180427_0830_54,48169.26,0,0,130.96,535.39,666.35,0,0,0,0,0
20180427_0830_54,48229.47,0,0,130.91,535.39,666.3,0,0,0,0,0
20180427_0830_54,48289.76,0,0,130.91,535.39,666.3,0,0,0,0,0
20180427_0830_55,48350.12,0,0,130.89,535.39,666.28,0,0,0,0,0
20180427_0830_55,48410.56,0,0,130.89,535.39,666.28,0,0,0,0,0
20180427_0830_55,48471.07,0,0,130.89,535.39,666.28,0,0,0,0,0
20180427_0830_55,48531.66,0,0,130.88,535.39,666.27,0,0,0,0,0
20180427_0830_55,48592.32,0,0,130.88,535.39,666.27,0,0,0,0,0
20180427_0830_55,48653.06,0,0,130.88,535.395,666.275,0,0,0,0,0
20180427_0830_55,48713.88,0,0,130.88,535.4,666.28,0,0,0,0,0
20180427_0830_55,48774.77,0,0,130.88,535.405,666.285,0,0,0,0,0
20180427_0830_56,48835.74,0,0,130.88,535.41,666.29,0,0,0,0,0
20180427_0830_56,48896.78,0,0,130.88,535.415,666.295,0,0,0,0,0
20180427_0830_56,48957.9,0,0,130.8,535.42,666.22,0,0,0,0,0
20180427_0830_56,49019.1,0,0,130.645,535.41,666.055,0,0,0,0,0
20180427_0830_56,49080.37,0,0,130.49,535.41,665.9,0,0,0,0,0
20180427_0830_56,49141.72,0,0,130.27,535.41,665.68,0,0,0,0,0
20180427_0830_56,49203.15,0,0,130.27,535.41,665.68,0,0,0,0,0
20180427_0830_57,49264.65,0,0,130.26,535.41,665.67,0,0,0,0,0
20180427_0830_57,49326.23,0,0,130.26,535.41,665.67,0,0,0,0,0
20180427_0830_57,49387.89,0,0,130.26,535.41,665.67,0,0,0,0,0
20180427_0830_57,49449.62,0,0,130.245,535.41,665.655,0,0,0,0,0
20180427_0830_57,49511.43,0,0,130.23,535.42,665.65,0,0,0,0,0
20180427_0830_57,49573.32,0,0,129.98,535.43,665.41,0,0,0,0,0
20180427_0830_57,49635.29,0,0,129.855,535.42,665.275,0,0,0,0,0
20180427_0830_57,49697.33,0,0,129.73,535.475,665.205,0,0,0,0,0
20180427_0830_58,49759.45,0,0,129.7,535.53,665.23,0,0,0,0,0
20180427_0830_58,49821.65,0,0,129.7,535.525,665.225,0,0,0,0,0
20180427_0830_58,49883.93,0,0,129.67,535.52,665.19,0,0,0,0,0
20180427_0830_58,49946.28,0,0,129.67,535.65,665.32,0,0,0,0,0
20180427_0830_58,50008.71,0,0,129.68,535.65,665.33,0,0,0,0,0
20180427_0830_58,50071.22,0,0,129.66,535.6,665.26,0,0,0,0,0
20180427_0830_58,50133.81,0,0,129.64,535.575,665.215,0,0,0,0,0
20180427_0830_58,50196.48,0,0,129.64,535.55,665.19,0,0,0,0,0
20180427_0830_59,50259.23,0,0,129.64,535.59,665.23,0,0,0,0,0
20180427_0830_59,50322.05,0,0,129.64,535.655,665.295,0,0,0,0,0
20180427_0830_59,50384.95,0,0,129.64,535.72,665.36,0,0,0,0,0
20180427_0830_59,50447.93,0,0,129.64,535.755,665.395,0,0,0,0,0
20180427_0830_59,50510.99,0,0,129.64,535.79,665.43,0,0,0,0,0
20180427_0830_59,50574.13,0,0,129.64,535.82,665.46,0,0,0,0,0
20180427_0830_59,50637.35,0,0,129.64,535.85,665.49,0,0,0,0,0
20180427_0831_00,50700.65,0,0,129.64,535.98,665.62,0,0,0,0,0
20180427_0831_00,50764.03,0,0,129.64,535.98,665.62,0,0,0,0,0
20180427_0831_00,50827.49,0,0,129.63,535.98,665.61,0,0,0,0,0
20180427_0831_00,50891.02,0,0,129.63,535.985,665.615,0,0,0,0,0
20180427_0831_00,50954.63,0,0,129.53,535.99,665.52,0,0,0,0,0
20180427_0831_00,51018.32,0,0,129.425,536,665.425,0,0,0,0,0
20180427_0831_00,51082.09,0,0,129.32,536,665.32,0,0,0,0,0
20180427_0831_00,51145.94,0,0,129.235,535.98,665.215,0,0,0,0,0
20180427_0831_01,51209.87,0,0,129.15,535.99,665.14,0,0,0,0,0
20180427_0831_01,51273.88,0,0,129.05,536,665.05,0,0,0,0,0
20180427_0831_01,51337.97,0,0,129.035,536,665.035,0,0,0,0,0
20180427_0831_01,51402.14,0,0,129.02,536,665.02,0,0,0,0,0
20180427_0831_01,51466.39,0,0,128.975,536,664.975,0,0,0,0,0
20180427_0831_01,51530.72,0,0,128.93,536.005,664.935,0,0,0,0,0
20180427_0831_01,51595.13,0,0,128.61,536.01,664.62,0,0,0,0,0
