Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180505_0744_48,41000,0,0,122.8,536.95,659.75,0,0,0,0,0
20180505_0744_48,41051.25,0,0,122.8,536.96,659.76,0,0,0,0,0
20180505_0744_48,41102.56,0,0,122.78,536.96,659.74,0,0,0,0,0
20180505_0744_48,41153.94,0,0,122.78,536.96,659.74,0,0,0,0,0
20180505_0744_48,41205.38,0,0,122.78,536.95,659.73,0,0,0,0,0
20180505_0744_49,41256.89,0,0,122.61,536.95,659.56,0,0,0,0,0
20180505_0744_49,41308.46,0,0,122.61,536.95,659.56,0,0,0,0,0
20180505_0744_49,41360.1,0,0,122.61,536.95,659.56,0,0,0,0,0
20180505_0744_49,41411.8,0,0,122.57,536.95,659.52,0,0,0,0,0
20180505_0744_49,41463.56,0,0,122.57,536.95,659.52,0,0,0,0,0
20180505_0744_49,41515.39,0,0,122.57,536.95,659.52,0,0,0,0,0
20180505_0744_49,41567.28,0,0,122.57,536.95,659.52,0,0,0,0,0
20180505_0744_49,41619.24,0,0,122.57,536.95,659.52,0,0,0,0,0
20180505_0744_49,41671.26,0,0,122.57,536.94,659.51,0,0,0,0,0
20180505_0744_49,41723.35,0,0,122.42,536.94,659.36,0,0,0,0,0
20180505_0744_49,41775.5,0,0,122.42,536.94,659.36,0,0,0,0,0
20180505_0744_49,41827.72,0,0,122.42,536.95,659.37,0,0,0,0,0
20180505_0744_49,41880,0,0,121.97,536.95,658.92,0,0,0,0,0
20180505_0744_50,41932.35,0,0,121.97,536.95,658.92,0,0,0,0,0
20180505_0744_50,41984.77,0,0,121.97,536.95,658.92,0,0,0,0,0
20180505_0744_50,42037.25,0,0,121.95,536.95,658.9,0,0,0,0,0
20180505_0744_50,42089.8,0,0,121.95,536.95,658.9,0,0,0,0,0
20180505_0744_50,42142.41,0,0,121.95,536.96,658.91,0,0,0,0,0
20180505_0744_50,42195.09,0,0,121.94,536.96,658.9,0,0,0,0,0
20180505_0744_50,42247.83,0,0,121.94,536.96,658.9,0,0,0,0,0
20180505_0744_50,42300.64,0,0,121.94,536.97,658.91,0,0,0,0,0
20180505_0744_50,42353.52,0,0,121.94,536.97,658.91,0,0,0,0,0
20180505_0744_50,42406.46,0,0,121.94,536.97,658.91,0,0,0,0,0
20180505_0744_50,42459.47,0,0,121.94,536.98,658.92,0,0,0,0,0
20180505_0744_50,42512.54,0,0,121.66,536.98,658.64,0,0,0,0,0
20180505_0744_50,42565.68,0,0,121.66,536.98,658.64,0,0,0,0,0
20180505_0744_50,42618.89,0,0,121.66,537.02,658.68,0,0,0,0,0
20180505_0744_51,42672.16,0,0,121.33,537.02,658.35,0,0,0,0,0
20180505_0744_51,42725.5,0,0,121.33,537.02,658.35,0,0,0,0,0
20180505_0744_51,42778.91,0,0,121.33,537.06,658.39,0,0,0,0,0
20180505_0744_51,42832.38,0,0,121.33,537.06,658.39,0,0,0,0,0
20180505_0744_51,42885.92,0,0,121.33,537.06,658.39,0,0,0,0,0
20180505_0744_51,42939.53,0,0,121.33,537.07,658.4,0,0,0,0,0
20180505_0744_51,42993.2,0,0,121.19,537.07,658.26,0,0,0,0,0
20180505_0744_51,43046.94,0,0,121.19,537.07,658.26,0,0,0,0,0
20180505_0744_51,43100.75,0,0,121.19,537.11,658.3,0,0,0,0,0
20180505_0744_51,43154.63,0,0,120.72,537.11,657.83,0,0,0,0,0
20180505_0744_51,43208.57,0,0,120.72,537.11,657.83,0,0,0,0,0
20180505_0744_51,43262.58,0,0,120.72,537.11,657.83,0,0,0,0,0
20180505_0744_51,43316.66,0,0,120.7,537.11,657.81,0,0,0,0,0
20180505_0744_52,43370.81,0,0,120.7,537.11,657.81,0,0,0,0,0
20180505_0744_52,43425.02,0,0,120.7,537.19,657.89,0,0,0,0,0
20180505_0744_52,43479.3,0,0,120.7,537.19,657.89,0,0,0,0,0
20180505_0744_52,43533.65,0,0,120.7,537.19,657.89,0,0,0,0,0
20180505_0744_52,43588.07,0,0,120.7,537.3,658,0,0,0,0,0
20180505_0744_52,43642.56,0,0,120.61,537.3,657.91,0,0,0,0,0
20180505_0744_52,43697.11,0,0,120.61,537.3,657.91,0,0,0,0,0
20180505_0744_52,43751.73,0,0,120.61,537.51,658.12,0,0,0,0,0
20180505_0744_52,43806.42,0,0,120.22,537.51,657.73,0,0,0,0,0
20180505_0744_52,43861.18,0,0,120.22,537.51,657.73,0,0,0,0,0
20180505_0744_52,43916.01,0,0,120.22,537.5,657.72,0,0,0,0,0
20180505_0744_52,43970.91,0,0,120.08,537.5,657.58,0,0,0,0,0
20180505_0744_52,44025.87,0,0,120.08,537.5,657.58,0,0,0,0,0
20180505_0744_53,44080.9,0,0,120.08,537.46,657.54,0,0,0,0,0
20180505_0744_53,44136,0,0,119.99,537.46,657.45,0,0,0,0,0
20180505_0744_53,44191.17,0,0,119.99,537.46,657.45,0,0,0,0,0
20180505_0744_53,44246.41,0,0,119.99,537.29,657.28,0,0,0,0,0
20180505_0744_53,44301.72,0,0,119.47,537.29,656.76,0,0,0,0,0
20180505_0744_53,44357.1,0,0,119.47,537.29,656.76,0,0,0,0,0
20180505_0744_53,44412.55,0,0,119.47,537.26,656.73,0,0,0,0,0
20180505_0744_53,44468.07,0,0,119.46,537.26,656.72,0,0,0,0,0
20180505_0744_53,44523.66,0,0,119.46,537.26,656.72,0,0,0,0,0
20180505_0744_53,44579.31,0,0,119.46,537.45,656.91,0,0,0,0,0
20180505_0744_53,44635.03,0,0,119.46,537.45,656.91,0,0,0,0,0
20180505_0744_53,44690.82,0,0,119.46,537.45,656.91,0,0,0,0,0
20180505_0744_53,44746.68,0,0,119.46,537.48,656.94,0,0,0,0,0
20180505_0744_53,44802.61,0,0,119.36,537.48,656.84,0,0,0,0,0
20180505_0744_54,44858.61,0,0,119.36,537.48,656.84,0,0,0,0,0
20180505_0744_54,44914.68,0,0,119.36,537.53,656.89,0,0,0,0,0
20180505_0744_54,44970.82,0,0,118.92,537.53,656.45,0,0,0,0,0
20180505_0744_54,45027.03,0,0,118.92,537.53,656.45,0,0,0,0,0
20180505_0744_54,45083.31,0,0,118.92,537.57,656.49,0,0,0,0,0
20180505_0744_54,45139.66,0,0,118.85,537.57,656.42,0,0,0,0,0
20180505_0744_54,45196.08,0,0,118.85,537.57,656.42,0,0,0,0,0
20180505_0744_54,45252.58,0,0,118.85,537.56,656.41,0,0,0,0,0
20180505_0744_54,45309.15,0,0,118.83,537.56,656.39,0,0,0,0,0
20180505_0744_54,45365.79,0,0,118.83,537.58,656.41,0,0,0,0,0
20180505_0744_54,45422.5,0,0,118.83,537.58,656.41,0,0,0,0,0
20180505_0744_54,45479.28,0,0,118.83,537.58,656.41,0,0,0,0,0
20180505_0744_54,45536.13,0,0,118.83,537.58,656.41,0,0,0,0,0
20180505_0744_55,45593.05,0,0,118.83,537.56,656.39,0,0,0,0,0
20180505_0744_55,45650.04,0,0,118.74,537.56,656.3,0,0,0,0,0
20180505_0744_55,45707.1,0,0,118.74,537.56,656.3,0,0,0,0,0
20180505_0744_55,45764.23,0,0,118.74,537.58,656.32,0,0,0,0,0
20180505_0744_55,45821.44,0,0,118.29,537.58,655.87,0,0,0,0,0
20180505_0744_55,45878.72,0,0,118.29,537.58,655.87,0,0,0,0,0
20180505_0744_55,45936.07,0,0,118.29,537.56,655.85,0,0,0,0,0
20180505_0744_55,45993.49,0,0,118.21,537.56,655.77,0,0,0,0,0
20180505_0744_55,46050.98,0,0,118.21,537.56,655.77,0,0,0,0,0
20180505_0744_55,46108.54,0,0,118.21,537.56,655.77,0,0,0,0,0
20180505_0744_55,46166.18,0,0,118.18,537.56,655.74,0,0,0,0,0
20180505_0744_55,46223.89,0,0,118.18,537.56,655.74,0,0,0,0,0
20180505_0744_55,46281.67,0,0,118.18,537.57,655.75,0,0,0,0,0
20180505_0744_55,46339.52,0,0,117.63,537.57,655.2,0,0,0,0,0
