Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180509_0933_19,128.12,536.31,664.43,0.0000,0.0000,0.0000,20180425_0817_31,20180509_0933_19,10,110.12,130.73,155.53,532.09,535.07,537.01,646.13,665.80,687.62
41051.25,20180509_0933_19,128.12,536.36,664.48,0.0000,0.0093,0.0075,20180425_0817_31,20180509_0933_19,10,110.13,130.75,155.53,532.12,535.08,537.01,646.19,665.83,687.65
41102.56,20180509_0933_19,127.66,536.36,664.02,0.3603,0.0047,0.0655,20180425_0817_32,20180509_0933_19,10,110.13,130.62,155.04,532.12,535.08,537.01,646.22,665.71,687.16
41153.94,20180509_0933_19,127.66,536.36,664.02,0.2402,0.0031,0.0437,20180425_0817_32,20180509_0933_19,10,110.13,130.64,155.04,532.12,535.08,536.98,646.31,665.72,687.16
41205.38,20180509_0933_19,127.55,536.62,664.17,0.2666,0.0508,0.0102,20180425_0817_32,20180509_0933_19,10,110.12,130.62,155.04,532.13,535.11,536.98,646.31,665.73,687.17
41256.89,20180509_0933_19,127.55,536.62,664.17,0.2132,0.0406,0.0081,20180425_0817_32,20180509_0933_19,10,110.12,130.59,154.97,532.13,535.18,536.98,646.64,665.77,687.10
41308.46,20180509_0933_19,127.55,536.62,664.17,0.1777,0.0338,0.0068,20180425_0817_32,20180509_0933_19,10,110.12,130.55,154.97,532.13,535.17,536.98,646.64,665.72,687.10
41360.10,20180509_0933_19,127.55,536.94,664.49,0.1523,0.0886,0.0424,20180425_0817_32,20180509_0933_19,10,110.12,130.53,154.97,532.07,535.21,536.98,646.74,665.74,687.04
41411.80,20180509_0933_19,127.16,536.94,664.10,0.4404,0.0775,0.0217,20180425_0817_32,20180509_0933_19,10,110.10,130.47,154.95,532.07,535.22,536.98,646.72,665.69,687.02
41463.56,20180509_0933_20,127.16,536.94,664.10,0.3915,0.0689,0.0192,20180425_0817_32,20180509_0933_20,10,110.10,130.46,154.95,532.07,535.23,537.01,646.75,665.69,687.02
41515.39,20180509_0933_20,127.16,536.94,664.10,0.3523,0.0620,0.0173,20180425_0817_32,20180509_0933_20,10,109.95,130.43,154.95,532.10,535.24,537.01,646.66,665.66,687.05
41567.28,20180509_0933_20,126.92,536.94,663.86,0.5100,0.0564,0.0519,20180425_0817_32,20180509_0933_20,10,109.95,130.36,154.96,532.10,535.23,537.01,646.66,665.58,687.06
41619.24,20180509_0933_20,126.92,536.94,663.86,0.4675,0.0517,0.0476,20180425_0817_32,20180509_0933_20,10,109.95,130.35,154.96,532.10,535.21,537.01,646.54,665.56,687.06
41671.26,20180509_0933_20,126.92,536.96,663.88,0.4315,0.0514,0.0409,20180425_0817_32,20180509_0933_20,10,109.51,130.27,154.96,532.08,535.25,537.01,646.10,665.52,687.04
41723.35,20180509_0933_20,126.93,536.96,663.89,0.3928,0.0478,0.0365,20180425_0817_32,20180509_0933_20,10,109.51,130.24,154.84,532.08,535.25,537.01,646.10,665.49,686.92
41775.50,20180509_0933_20,126.93,536.96,663.89,0.3666,0.0446,0.0340,20180425_0817_32,20180509_0933_20,10,109.51,130.24,154.84,532.10,535.26,537.04,646.05,665.49,686.94
41827.72,20180509_0933_20,126.93,536.96,663.89,0.3437,0.0418,0.0319,20180425_0817_33,20180509_0933_20,10,109.50,130.17,154.41,532.10,535.26,537.04,646.04,665.43,686.51
41880.00,20180509_0933_20,126.91,536.96,663.87,0.3393,0.0393,0.0331,20180425_0817_33,20180509_0933_20,10,109.50,130.13,154.41,532.10,535.27,537.04,646.04,665.40,686.51
41932.35,20180509_0933_20,126.91,536.96,663.87,0.3204,0.0371,0.0312,20180425_0817_33,20180509_0933_20,10,109.50,130.09,154.41,532.26,535.31,536.98,646.19,665.40,686.78
41984.77,20180509_0933_20,126.91,536.95,663.86,0.3036,0.0333,0.0311,20180425_0817_33,20180509_0933_20,10,109.50,129.96,154.41,532.26,535.31,536.98,646.19,665.27,686.78
42037.25,20180509_0933_20,126.44,536.95,663.39,0.6612,0.0317,0.1004,20180425_0817_33,20180509_0933_20,10,109.50,129.86,154.34,532.30,535.31,536.98,646.19,665.17,686.71
42089.80,20180509_0933_20,126.44,536.95,663.39,0.5947,0.0257,0.0925,20180425_0817_33,20180509_0933_20,10,109.50,129.83,154.34,532.30,535.32,536.99,646.23,665.15,686.71
42142.41,20180509_0933_21,126.44,536.98,663.42,0.5283,0.0258,0.0798,20180425_0817_33,20180509_0933_21,10,109.50,129.79,154.33,532.30,535.34,536.99,646.23,665.13,686.83
42195.09,20180509_0933_21,126.31,536.98,663.29,0.5835,0.0200,0.0949,20180425_0817_33,20180509_0933_21,10,109.50,129.77,154.33,532.25,535.33,536.99,646.23,665.10,686.83
42247.83,20180509_0933_21,126.31,536.98,663.29,0.5300,0.0142,0.0894,20180425_0817_33,20180509_0933_21,10,109.50,129.76,154.33,532.25,535.33,537.02,646.08,665.09,686.94
