Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180505_0756_15,41000,0,0,71.79,515.12,586.91,0,0,0,0,0
20180505_0756_15,41051.25,0,0,71.79,515.12,586.91,0,0,0,0,0
20180505_0756_15,41102.56,0,0,71.79,515.14,586.93,0,0,0,0,0
20180505_0756_15,41153.94,0,0,71.7,515.14,586.84,0,0,0,0,0
20180505_0756_15,41205.38,0,0,71.7,515.14,586.84,0,0,0,0,0
20180505_0756_15,41256.89,0,0,71.7,515.13,586.83,0,0,0,0,0
20180505_0756_15,41308.46,0,0,71.69,515.13,586.82,0,0,0,0,0
20180505_0756_15,41360.1,0,0,71.69,515.13,586.82,0,0,0,0,0
20180505_0756_15,41411.8,0,0,71.69,515.16,586.85,0,0,0,0,0
20180505_0756_15,41463.56,0,0,71.68,515.16,586.84,0,0,0,0,0
20180505_0756_15,41515.39,0,0,71.68,515.16,586.84,0,0,0,0,0
20180505_0756_16,41567.28,0,0,71.68,515.27,586.95,0,0,0,0,0
20180505_0756_16,41619.24,0,0,71.5,515.27,586.77,0,0,0,0,0
20180505_0756_16,41671.26,0,0,71.5,515.27,586.77,0,0,0,0,0
20180505_0756_16,41723.35,0,0,71.5,515.35,586.85,0,0,0,0,0
20180505_0756_16,41775.5,0,0,71.13,515.35,586.48,0,0,0,0,0
20180505_0756_16,41827.72,0,0,71.13,515.35,586.48,0,0,0,0,0
20180505_0756_16,41880,0,0,71.13,515.39,586.52,0,0,0,0,0
20180505_0756_16,41932.35,0,0,71.07,515.39,586.46,0,0,0,0,0
20180505_0756_16,41984.77,0,0,71.07,515.39,586.46,0,0,0,0,0
20180505_0756_16,42037.25,0,0,71.07,515.48,586.55,0,0,0,0,0
20180505_0756_16,42089.8,0,0,71.07,515.48,586.55,0,0,0,0,0
20180505_0756_16,42142.41,0,0,71.07,515.48,586.55,0,0,0,0,0
20180505_0756_16,42195.09,0,0,71.07,515.44,586.51,0,0,0,0,0
20180505_0756_17,42247.83,0,0,71.02,515.44,586.46,0,0,0,0,0
20180505_0756_17,42300.64,0,0,71.02,515.44,586.46,0,0,0,0,0
20180505_0756_17,42353.52,0,0,71.02,515.5,586.52,0,0,0,0,0
20180505_0756_17,42406.46,0,0,70.72,515.5,586.22,0,0,0,0,0
20180505_0756_17,42459.47,0,0,70.72,515.5,586.22,0,0,0,0,0
20180505_0756_17,42512.54,0,0,70.72,515.52,586.24,0,0,0,0,0
20180505_0756_17,42565.68,0,0,70.49,515.52,586.01,0,0,0,0,0
20180505_0756_17,42618.89,0,0,70.49,515.52,586.01,0,0,0,0,0
20180505_0756_17,42672.16,0,0,70.49,515.53,586.02,0,0,0,0,0
20180505_0756_17,42725.5,0,0,70.44,515.53,585.97,0,0,0,0,0
20180505_0756_17,42778.91,0,0,70.44,515.53,585.97,0,0,0,0,0
20180505_0756_17,42832.38,0,0,70.44,515.54,585.98,0,0,0,0,0
20180505_0756_17,42885.92,0,0,70.44,515.54,585.98,0,0,0,0,0
20180505_0756_17,42939.53,0,0,70.44,515.54,585.98,0,0,0,0,0
20180505_0756_18,42993.2,0,0,70.44,515.58,586.02,0,0,0,0,0
20180505_0756_18,43046.94,0,0,70.45,515.58,586.03,0,0,0,0,0
20180505_0756_18,43100.75,0,0,70.45,515.58,586.03,0,0,0,0,0
20180505_0756_18,43154.63,0,0,70.45,515.57,586.02,0,0,0,0,0
20180505_0756_18,43208.57,0,0,70.44,515.57,586.01,0,0,0,0,0
20180505_0756_18,43262.58,0,0,70.44,515.57,586.01,0,0,0,0,0
20180505_0756_18,43316.66,0,0,70.44,515.58,586.02,0,0,0,0,0
20180505_0756_18,43370.81,0,0,70.42,515.58,586,0,0,0,0,0
20180505_0756_18,43425.02,0,0,70.42,515.58,586,0,0,0,0,0
20180505_0756_18,43479.3,0,0,70.42,515.59,586.01,0,0,0,0,0
20180505_0756_18,43533.65,0,0,70.3,515.59,585.89,0,0,0,0,0
20180505_0756_18,43588.07,0,0,70.3,515.59,585.89,0,0,0,0,0
20180505_0756_18,43642.56,0,0,70.3,515.64,585.94,0,0,0,0,0
20180505_0756_19,43697.11,0,0,70.06,515.64,585.7,0,0,0,0,0
20180505_0756_19,43751.73,0,0,70.06,515.64,585.7,0,0,0,0,0
20180505_0756_19,43806.42,0,0,70.06,515.64,585.7,0,0,0,0,0
20180505_0756_19,43861.18,0,0,70.06,515.57,585.63,0,0,0,0,0
20180505_0756_19,43916.01,0,0,69.86,515.57,585.43,0,0,0,0,0
20180505_0756_19,43970.91,0,0,69.86,515.57,585.43,0,0,0,0,0
20180505_0756_19,44025.87,0,0,69.86,515.64,585.5,0,0,0,0,0
20180505_0756_19,44080.9,0,0,69.83,515.64,585.47,0,0,0,0,0
20180505_0756_19,44136,0,0,69.83,515.64,585.47,0,0,0,0,0
20180505_0756_19,44191.17,0,0,69.83,515.6,585.43,0,0,0,0,0
20180505_0756_19,44246.41,0,0,69.82,515.6,585.42,0,0,0,0,0
20180505_0756_19,44301.72,0,0,69.82,515.6,585.42,0,0,0,0,0
20180505_0756_19,44357.1,0,0,69.82,515.6,585.42,0,0,0,0,0
20180505_0756_19,44412.55,0,0,69.82,515.6,585.42,0,0,0,0,0
20180505_0756_19,44468.07,0,0,69.82,515.6,585.42,0,0,0,0,0
20180505_0756_20,44523.66,0,0,69.82,515.59,585.41,0,0,0,0,0
20180505_0756_20,44579.31,0,0,69.82,515.59,585.41,0,0,0,0,0
20180505_0756_20,44635.03,0,0,69.82,515.59,585.41,0,0,0,0,0
20180505_0756_20,44690.82,0,0,69.82,515.57,585.39,0,0,0,0,0
20180505_0756_20,44746.68,0,0,69.82,515.57,585.39,0,0,0,0,0
20180505_0756_20,44802.61,0,0,69.82,515.57,585.39,0,0,0,0,0
20180505_0756_20,44858.61,0,0,69.82,515.62,585.44,0,0,0,0,0
20180505_0756_20,44914.68,0,0,69.83,515.62,585.45,0,0,0,0,0
20180505_0756_20,44970.82,0,0,69.83,515.62,585.45,0,0,0,0,0
20180505_0756_20,45027.03,0,0,69.83,515.62,585.45,0,0,0,0,0
20180505_0756_20,45083.31,0,0,69.83,515.62,585.45,0,0,0,0,0
20180505_0756_20,45139.66,0,0,69.83,515.62,585.45,0,0,0,0,0
20180505_0756_20,45196.08,0,0,69.83,515.6,585.43,0,0,0,0,0
20180505_0756_21,45252.58,0,0,69.8,515.6,585.4,0,0,0,0,0
20180505_0756_21,45309.15,0,0,69.8,515.6,585.4,0,0,0,0,0
20180505_0756_21,45365.79,0,0,69.8,515.53,585.33,0,0,0,0,0
