Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180509_0933_19,41000,0,0,128.12,536.31,664.43,0,0,0,0,0
20180509_0933_19,41051.25,0,0,128.12,536.36,664.48,0,0,0,0,0
20180509_0933_19,41102.56,0,0,127.66,536.36,664.02,0,0,0,0,0
20180509_0933_19,41153.94,0,0,127.66,536.36,664.02,0,0,0,0,0
20180509_0933_19,41205.38,0,0,127.55,536.62,664.17,0,0,0,0,0
20180509_0933_19,41256.89,0,0,127.55,536.62,664.17,0,0,0,0,0
20180509_0933_19,41308.46,0,0,127.55,536.62,664.17,0,0,0,0,0
20180509_0933_19,41360.1,0,0,127.55,536.94,664.49,0,0,0,0,0
20180509_0933_19,41411.8,0,0,127.16,536.94,664.1,0,0,0,0,0
20180509_0933_20,41463.56,0,0,127.16,536.94,664.1,0,0,0,0,0
20180509_0933_20,41515.39,0,0,127.16,536.94,664.1,0,0,0,0,0
20180509_0933_20,41567.28,0,0,126.92,536.94,663.86,0,0,0,0,0
20180509_0933_20,41619.24,0,0,126.92,536.94,663.86,0,0,0,0,0
20180509_0933_20,41671.26,0,0,126.92,536.96,663.88,0,0,0,0,0
20180509_0933_20,41723.35,0,0,126.93,536.96,663.89,0,0,0,0,0
20180509_0933_20,41775.5,0,0,126.93,536.96,663.89,0,0,0,0,0
20180509_0933_20,41827.72,0,0,126.93,536.96,663.89,0,0,0,0,0
20180509_0933_20,41880,0,0,126.91,536.96,663.87,0,0,0,0,0
20180509_0933_20,41932.35,0,0,126.91,536.96,663.87,0,0,0,0,0
20180509_0933_20,41984.77,0,0,126.91,536.95,663.86,0,0,0,0,0
20180509_0933_20,42037.25,0,0,126.44,536.95,663.39,0,0,0,0,0
20180509_0933_20,42089.8,0,0,126.44,536.95,663.39,0,0,0,0,0
20180509_0933_21,42142.41,0,0,126.44,536.98,663.42,0,0,0,0,0
20180509_0933_21,42195.09,0,0,126.31,536.98,663.29,0,0,0,0,0
20180509_0933_21,42247.83,0,0,126.31,536.98,663.29,0,0,0,0,0
20180509_0933_21,42300.64,0,0,126.31,536.96,663.27,0,0,0,0,0
20180509_0933_21,42353.52,0,0,126.14,536.96,663.1,0,0,0,0,0
20180509_0933_21,42406.46,0,0,126.14,536.96,663.1,0,0,0,0,0
20180509_0933_21,42459.47,0,0,126.14,536.95,663.09,0,0,0,0,0
20180509_0933_21,42512.54,0,0,125.7,536.95,662.65,0,0,0,0,0
20180509_0933_21,42565.68,0,0,125.7,536.95,662.65,0,0,0,0,0
20180509_0933_21,42618.89,0,0,125.7,536.96,662.66,0,0,0,0,0
20180509_0933_21,42672.16,0,0,125.68,536.96,662.64,0,0,0,0,0
20180509_0933_21,42725.5,0,0,125.68,536.96,662.64,0,0,0,0,0
20180509_0933_21,42778.91,0,0,125.68,536.96,662.64,0,0,0,0,0
20180509_0933_21,42832.38,0,0,125.68,536.96,662.64,0,0,0,0,0
