Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180506_0828_37,117.64,537.01,654.65,0.0000,0.0000,0.0000,20180425_0817_31,20180506_0828_37,6,110.12,134.59,155.53,532.09,534.51,537.01,646.61,669.09,687.62
41051.25,20180506_0828_37,117.61,537.01,654.62,0.0255,0.0000,0.0046,20180425_0817_31,20180506_0828_37,6,110.13,134.61,155.53,532.12,534.51,537.01,646.62,669.12,687.65
41102.56,20180506_0828_37,117.61,537.01,654.62,0.0128,0.0000,0.0023,20180425_0817_32,20180506_0828_37,6,110.13,134.47,155.04,532.12,534.52,537.01,646.62,668.99,687.16
41153.94,20180506_0828_37,117.61,536.98,654.59,0.0085,0.0056,0.0061,20180425_0817_32,20180506_0828_37,6,110.13,134.49,155.04,532.12,534.52,536.98,646.65,669.01,687.16
41205.38,20180506_0828_37,117.60,536.98,654.58,0.0149,0.0042,0.0061,20180425_0817_32,20180506_0828_37,6,110.12,134.47,155.04,532.13,534.52,536.98,646.64,668.99,687.17
41256.89,20180506_0828_38,117.60,536.98,654.58,0.0119,0.0034,0.0049,20180425_0817_32,20180506_0828_38,6,110.12,134.46,154.97,532.13,534.53,536.98,646.64,668.98,687.10
41308.46,20180506_0828_38,117.60,536.98,654.58,0.0099,0.0028,0.0041,20180425_0817_32,20180506_0828_38,6,110.12,134.40,154.97,532.13,534.53,536.98,646.64,668.93,687.10
41360.10,20180506_0828_38,117.59,536.98,654.57,0.0170,0.0024,0.0050,20180425_0817_32,20180506_0828_38,6,110.12,134.37,154.97,532.07,534.54,536.98,646.74,668.90,687.04
41411.80,20180506_0828_38,117.59,536.98,654.57,0.0149,0.0021,0.0044,20180425_0817_32,20180506_0828_38,6,110.10,134.36,154.95,532.07,534.54,536.98,646.72,668.90,687.02
41463.56,20180506_0828_38,117.59,537.01,654.60,0.0132,0.0037,0.0007,20180425_0817_32,20180506_0828_38,6,110.10,134.34,154.95,532.07,534.56,537.01,646.81,668.90,687.02
41515.39,20180506_0828_38,117.39,537.01,654.40,0.1823,0.0034,0.0299,20180425_0817_32,20180506_0828_38,6,109.95,134.28,154.95,532.10,534.57,537.01,646.66,668.85,687.05
41567.28,20180506_0828_38,117.39,537.01,654.40,0.1657,0.0030,0.0272,20180425_0817_32,20180506_0828_38,6,109.95,134.20,154.96,532.10,534.55,537.01,646.66,668.75,687.06
41619.24,20180506_0828_38,117.39,537.01,654.40,0.1519,0.0028,0.0250,20180425_0817_32,20180506_0828_38,6,109.95,134.19,154.96,532.10,534.53,537.01,646.54,668.72,687.06
41671.26,20180506_0828_38,117.04,537.01,654.05,0.4397,0.0026,0.0766,20180425_0817_32,20180506_0828_38,6,109.51,134.06,154.96,532.08,534.52,537.01,646.10,668.58,687.04
41723.35,20180506_0828_38,117.04,537.01,654.05,0.4083,0.0024,0.0711,20180425_0817_32,20180506_0828_38,6,109.51,134.03,154.84,532.08,534.53,537.01,646.10,668.55,686.92
41775.50,20180506_0828_38,117.04,537.04,654.08,0.3811,0.0078,0.0618,20180425_0817_32,20180506_0828_38,6,109.51,134.03,154.84,532.10,534.53,537.04,646.05,668.55,686.94
41827.72,20180506_0828_38,116.99,537.04,654.03,0.4001,0.0073,0.0655,20180425_0817_33,20180506_0828_38,6,109.50,133.93,154.41,532.10,534.53,537.04,646.04,668.45,686.51
41880.00,20180506_0828_38,116.99,537.04,654.03,0.3766,0.0069,0.0617,20180425_0817_33,20180506_0828_38,6,109.50,133.93,154.41,532.10,534.54,537.04,646.04,668.46,686.51
41932.35,20180506_0828_38,116.99,536.98,653.97,0.3557,0.0047,0.0675,20180425_0817_33,20180506_0828_38,6,109.50,133.88,154.41,532.26,534.60,536.98,646.19,668.47,686.78
41984.77,20180506_0828_39,116.97,536.98,653.95,0.3541,0.0044,0.0670,20180425_0817_33,20180506_0828_39,6,109.50,133.75,154.41,532.26,534.60,536.98,646.19,668.35,686.78
42037.25,20180506_0828_39,116.97,536.98,653.95,0.3364,0.0042,0.0636,20180425_0817_33,20180506_0828_39,6,109.50,133.74,154.34,532.30,534.61,536.98,646.19,668.35,686.71
42089.80,20180506_0828_39,116.97,536.99,653.96,0.3078,0.0020,0.0567,20180425_0817_33,20180506_0828_39,6,109.50,133.69,154.34,532.30,534.62,536.99,646.23,668.31,686.71
42142.41,20180506_0828_39,116.97,536.99,653.96,0.2804,0.0019,0.0517,20180425_0817_33,20180506_0828_39,6,109.50,133.63,154.33,532.30,534.64,536.99,646.23,668.27,686.83
42195.09,20180506_0828_39,116.97,536.99,653.96,0.2531,0.0017,0.0466,20180425_0817_33,20180506_0828_39,6,109.50,133.63,154.33,532.25,534.63,536.99,646.23,668.26,686.83
42247.83,20180506_0828_39,116.97,537.02,653.99,0.2257,0.0038,0.0372,20180425_0817_33,20180506_0828_39,6,109.50,133.63,154.33,532.25,534.63,537.02,646.08,668.26,686.94
42300.64,20180506_0828_39,116.58,537.02,653.60,0.5340,0.0035,0.0924,20180425_0817_33,20180506_0828_39,6,109.39,133.54,154.34,532.25,534.63,537.02,645.97,668.17,686.95
42353.52,20180506_0828_39,116.58,537.02,653.60,0.4902,0.0031,0.0849,20180425_0817_33,20180506_0828_39,6,109.39,133.54,154.34,532.30,534.64,537.02,645.97,668.18,686.95
42406.46,20180506_0828_39,116.58,537.02,653.60,0.4465,0.0027,0.0774,20180425_0817_33,20180506_0828_39,6,109.39,133.54,154.34,532.30,534.67,537.02,646.06,668.21,687.02
42459.47,20180506_0828_39,116.58,537.02,653.60,0.4032,0.0023,0.0700,20180425_0817_33,20180506_0828_39,6,109.04,133.47,154.34,532.30,534.67,537.02,645.71,668.14,687.02
42512.54,20180506_0828_39,116.36,537.02,653.38,0.5496,0.0020,0.0963,20180425_0817_34,20180506_0828_39,6,109.04,133.37,153.95,532.23,534.65,537.02,645.71,668.02,686.63
42565.68,20180506_0828_39,116.36,537.02,653.38,0.4967,0.0019,0.0869,20180425_0817_34,20180506_0828_39,6,109.04,133.28,153.95,532.23,534.67,537.02,645.76,667.95,686.63
42618.89,20180506_0828_39,116.32,536.99,653.31,0.4870,0.0038,0.0898,20180425_0817_34,20180506_0828_39,6,108.92,133.17,153.95,532.23,534.67,536.99,645.64,667.84,686.63
42672.16,20180506_0828_39,116.32,536.99,653.31,0.4410,0.0036,0.0815,20180425_0817_34,20180506_0828_39,6,108.92,133.13,153.71,532.29,534.68,536.99,645.64,667.81,686.39
42725.50,20180506_0828_40,116.32,537.04,653.36,0.3950,0.0059,0.0655,20180425_0817_34,20180506_0828_40,6,108.92,133.12,153.71,532.29,534.71,537.04,645.72,667.83,686.39
42778.91,20180506_0828_40,116.32,537.04,653.36,0.3641,0.0056,0.0602,20180425_0817_34,20180506_0828_40,6,108.89,133.10,153.71,532.29,534.71,537.04,645.69,667.81,686.41
42832.38,20180506_0828_40,115.81,537.04,652.85,0.7750,0.0053,0.1331,20180425_0817_34,20180506_0828_40,6,108.89,132.95,153.31,532.26,534.71,537.04,645.69,667.66,686.01
42885.92,20180506_0828_40,115.81,537.04,652.85,0.7219,0.0053,0.1237,20180425_0817_34,20180506_0828_40,6,108.89,132.88,153.31,532.26,534.72,537.04,645.72,667.60,686.01
