Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180507_1641_09,116.26,496.31,612.57,0.0000,0.0000,0.0000,20180425_0817_31,20180507_1641_09,8,110.12,129.29,155.53,496.31,529.87,537.01,612.57,659.16,687.62
41051.25,20180507_1641_09,116.26,496.31,612.57,0.0000,0.0000,0.0000,20180425_0817_31,20180507_1641_09,8,110.13,129.31,155.53,496.31,529.88,537.01,612.57,659.19,687.65
41102.56,20180507_1641_10,116.26,496.67,612.93,0.0000,0.0725,0.0587,20180425_0817_32,20180507_1641_10,8,110.13,129.21,155.04,496.67,529.93,537.01,612.93,659.14,687.16
41153.94,20180507_1641_10,116.11,496.67,612.78,0.1292,0.0483,0.0147,20180425_0817_32,20180507_1641_10,8,110.13,129.21,155.04,496.67,529.93,536.98,612.78,659.14,687.16
41205.38,20180507_1641_10,116.11,496.95,613.06,0.0969,0.0926,0.0567,20180425_0817_32,20180507_1641_10,8,110.12,129.20,155.04,496.95,529.97,536.98,613.06,659.17,687.17
41256.89,20180507_1641_10,115.97,496.95,612.92,0.1983,0.0741,0.0225,20180425_0817_32,20180507_1641_10,8,110.12,129.17,154.97,496.95,530.05,536.98,612.92,659.22,687.10
41308.46,20180507_1641_10,115.97,496.95,612.92,0.1653,0.0617,0.0188,20180425_0817_32,20180507_1641_10,8,110.12,129.12,154.97,496.95,530.05,536.98,612.92,659.16,687.10
41360.10,20180507_1641_10,115.97,496.96,612.93,0.1417,0.0549,0.0177,20180425_0817_32,20180507_1641_10,8,110.12,129.09,154.97,496.96,530.05,536.98,612.93,659.14,687.04
41411.80,20180507_1641_10,115.51,496.96,612.47,0.5227,0.0480,0.0596,20180425_0817_32,20180507_1641_10,8,110.10,129.02,154.95,496.96,530.06,536.98,612.47,659.08,687.02
41463.56,20180507_1641_10,115.51,496.96,612.47,0.4646,0.0427,0.0530,20180425_0817_32,20180507_1641_10,8,110.10,129.00,154.95,496.96,530.07,537.01,612.47,659.08,687.02
41515.39,20180507_1641_10,115.51,497.29,612.80,0.4181,0.1048,0.0062,20180425_0817_32,20180507_1641_10,8,109.95,128.96,154.95,497.29,530.13,537.01,612.80,659.09,687.05
41567.28,20180507_1641_10,115.49,497.29,612.78,0.3975,0.0952,0.0024,20180425_0817_32,20180507_1641_10,8,109.95,128.90,154.96,497.29,530.11,537.01,612.78,659.01,687.06
41619.24,20180507_1641_10,115.49,497.29,612.78,0.3644,0.0873,0.0022,20180425_0817_32,20180507_1641_10,8,109.95,128.89,154.96,497.29,530.10,537.01,612.78,658.99,687.06
41671.26,20180507_1641_10,115.49,497.30,612.79,0.3364,0.0826,0.0036,20180425_0817_32,20180507_1641_10,8,109.51,128.79,154.96,497.30,530.15,537.01,612.79,658.94,687.04
41723.35,20180507_1641_10,115.50,497.30,612.80,0.3036,0.0767,0.0050,20180425_0817_32,20180507_1641_10,8,109.51,128.77,154.84,497.30,530.15,537.01,612.80,658.92,686.92
41775.50,20180507_1641_11,115.50,497.30,612.80,0.2834,0.0716,0.0047,20180425_0817_32,20180507_1641_11,8,109.51,128.77,154.84,497.30,530.15,537.04,612.80,658.92,686.94
41827.72,20180507_1641_11,115.50,497.30,612.80,0.2657,0.0671,0.0044,20180425_0817_33,20180507_1641_11,8,109.50,128.69,154.41,497.30,530.15,537.04,612.80,658.84,686.51
41880.00,20180507_1641_11,115.61,497.30,612.91,0.1547,0.0632,0.0221,20180425_0817_33,20180507_1641_11,8,109.50,128.71,154.41,497.30,530.17,537.04,612.91,658.87,686.51
41932.35,20180507_1641_11,115.61,497.30,612.91,0.1461,0.0597,0.0208,20180425_0817_33,20180507_1641_11,8,109.50,128.66,154.41,497.30,530.21,536.98,612.91,658.87,686.78
41984.77,20180507_1641_11,115.61,497.32,612.93,0.1384,0.0605,0.0230,20180425_0817_33,20180507_1641_11,8,109.50,128.57,154.41,497.32,530.22,536.98,612.93,658.79,686.78
42037.25,20180507_1641_11,115.61,497.32,612.93,0.1315,0.0575,0.0219,20180425_0817_33,20180507_1641_11,8,109.50,128.51,154.34,497.32,530.22,536.98,612.93,658.73,686.71
42089.80,20180507_1641_11,116.00,497.32,613.32,0.2332,0.0474,0.0825,20180425_0817_33,20180507_1641_11,8,109.50,128.52,154.34,497.32,530.23,536.99,613.32,658.75,686.71
42142.41,20180507_1641_11,116.00,497.32,613.32,0.2444,0.0372,0.0764,20180425_0817_33,20180507_1641_11,8,109.50,128.48,154.33,497.32,530.25,536.99,613.32,658.72,686.83
42195.09,20180507_1641_11,116.00,497.32,613.32,0.2556,0.0307,0.0732,20180425_0817_33,20180507_1641_11,8,109.50,128.48,154.33,497.32,530.24,536.99,613.32,658.71,686.83
42247.83,20180507_1641_11,116.12,497.32,613.44,0.3634,0.0241,0.0884,20180425_0817_33,20180507_1641_11,8,109.50,128.47,154.33,497.32,530.24,537.02,613.44,658.71,686.94
42300.64,20180507_1641_11,116.12,497.32,613.44,0.3630,0.0204,0.0853,20180425_0817_33,20180507_1641_11,8,109.39,128.40,154.34,497.32,530.24,537.02,613.44,658.64,686.95
