Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180507_1656_31,96.13,498.13,594.26,0.0000,0.0000,0.0000,20180425_0817_31,20180507_1656_31,8,96.13,126.77,155.53,498.13,530.10,537.01,594.26,656.87,687.62
41051.25,20180507_1656_31,96.13,498.13,594.26,0.0000,0.0000,0.0000,20180425_0817_31,20180507_1656_31,8,96.13,126.80,155.53,498.13,530.10,537.01,594.26,656.90,687.65
41102.56,20180507_1656_31,96.13,498.20,594.33,0.0000,0.0141,0.0118,20180425_0817_32,20180507_1656_31,8,96.13,126.69,155.04,498.20,530.12,537.01,594.33,656.81,687.16
41153.94,20180507_1656_31,95.52,498.20,593.72,0.6386,0.0094,0.0949,20180425_0817_32,20180507_1656_31,8,95.52,126.64,155.04,498.20,530.12,536.98,593.72,656.76,687.16
41205.38,20180507_1656_31,95.52,498.48,594.00,0.4790,0.0632,0.0240,20180425_0817_32,20180507_1656_31,8,95.52,126.63,155.04,498.48,530.16,536.98,594.00,656.78,687.17
41256.89,20180507_1656_31,95.50,498.48,593.98,0.4042,0.0506,0.0226,20180425_0817_32,20180507_1656_31,8,95.50,126.61,154.97,498.48,530.24,536.98,593.98,656.85,687.10
41308.46,20180507_1656_31,95.50,498.48,593.98,0.3368,0.0421,0.0188,20180425_0817_32,20180507_1656_31,8,95.50,126.56,154.97,498.48,530.24,536.98,593.98,656.80,687.10
41360.10,20180507_1656_31,95.50,498.83,594.33,0.2887,0.1062,0.0428,20180425_0817_32,20180507_1656_31,8,95.50,126.53,154.97,498.83,530.29,536.98,594.33,656.82,687.04
41411.80,20180507_1656_32,94.89,498.83,593.72,0.8971,0.0930,0.0653,20180425_0817_32,20180507_1656_32,8,94.89,126.44,154.95,498.83,530.29,536.98,593.72,656.73,687.02
41463.56,20180507_1656_32,94.89,498.83,593.72,0.7974,0.0826,0.0580,20180425_0817_32,20180507_1656_32,8,94.89,126.43,154.95,498.83,530.31,537.01,593.72,656.73,687.02
41515.39,20180507_1656_32,94.89,498.84,593.73,0.7177,0.0764,0.0505,20180425_0817_32,20180507_1656_32,8,94.89,126.38,154.95,498.84,530.32,537.01,593.73,656.70,687.05
41567.28,20180507_1656_32,94.89,498.84,593.73,0.6524,0.0694,0.0459,20180425_0817_32,20180507_1656_32,8,94.89,126.33,154.96,498.84,530.31,537.01,593.73,656.63,687.06
41619.24,20180507_1656_32,94.89,498.90,593.79,0.5981,0.0757,0.0320,20180425_0817_32,20180507_1656_32,8,94.89,126.31,154.96,498.90,530.30,537.01,593.79,656.61,687.06
41671.26,20180507_1656_32,94.89,498.90,593.79,0.5521,0.0698,0.0295,20180425_0817_32,20180507_1656_32,8,94.89,126.22,154.96,498.90,530.35,537.01,593.79,656.56,687.04
41723.35,20180507_1656_32,94.89,498.90,593.79,0.5126,0.0649,0.0274,20180425_0817_32,20180507_1656_32,8,94.89,126.19,154.84,498.90,530.35,537.01,593.79,656.54,686.92
41775.50,20180507_1656_32,94.89,498.91,593.80,0.4785,0.0625,0.0239,20180425_0817_32,20180507_1656_32,8,94.89,126.19,154.84,498.91,530.35,537.04,593.80,656.54,686.94
41827.72,20180507_1656_32,94.89,498.91,593.80,0.4485,0.0586,0.0224,20180425_0817_33,20180507_1656_32,8,94.89,126.12,154.41,498.91,530.35,537.04,593.80,656.47,686.51
41880.00,20180507_1656_32,94.89,498.91,593.80,0.4222,0.0552,0.0211,20180425_0817_33,20180507_1656_32,8,94.89,126.12,154.41,498.91,530.37,537.04,593.80,656.48,686.51
41932.35,20180507_1656_32,94.89,498.91,593.80,0.3987,0.0521,0.0199,20180425_0817_33,20180507_1656_32,8,94.89,126.07,154.41,498.91,530.41,536.98,593.80,656.49,686.78
41984.77,20180507_1656_32,94.89,498.88,593.77,0.3777,0.0434,0.0239,20180425_0817_33,20180507_1656_32,8,94.89,125.98,154.41,498.88,530.41,536.98,593.77,656.39,686.78
42037.25,20180507_1656_32,94.89,498.88,593.77,0.3588,0.0412,0.0227,20180425_0817_33,20180507_1656_32,8,94.89,125.92,154.34,498.88,530.42,536.98,593.77,656.34,686.71
42089.80,20180507_1656_33,94.89,498.88,593.77,0.2935,0.0337,0.0186,20180425_0817_33,20180507_1656_33,8,94.89,125.88,154.34,498.88,530.43,536.99,593.77,656.31,686.71
42142.41,20180507_1656_33,94.89,498.87,593.76,0.2282,0.0242,0.0162,20180425_0817_33,20180507_1656_33,8,94.89,125.84,154.33,498.87,530.44,536.99,593.76,656.28,686.83
42195.09,20180507_1656_33,94.89,498.87,593.76,0.1628,0.0174,0.0114,20180425_0817_33,20180507_1656_33,8,94.89,125.84,154.33,498.87,530.43,536.99,593.76,656.27,686.83
42247.83,20180507_1656_33,94.89,498.87,593.76,0.1296,0.0107,0.0117,20180425_0817_33,20180507_1656_33,8,94.89,125.82,154.33,498.87,530.43,537.02,593.76,656.25,686.94
42300.64,20180507_1656_33,94.89,498.88,593.77,0.0964,0.0088,0.0080,20180425_0817_33,20180507_1656_33,8,94.89,125.75,154.34,498.88,530.43,537.02,593.77,656.18,686.95
42353.52,20180507_1656_33,94.90,498.88,593.78,0.0537,0.0048,0.0045,20180425_0817_33,20180507_1656_33,8,94.90,125.75,154.34,498.88,530.44,537.02,593.78,656.19,686.95
42406.46,20180507_1656_33,94.90,498.88,593.78,0.0221,0.0008,0.0029,20180425_0817_33,20180507_1656_33,8,94.90,125.75,154.34,498.88,530.46,537.02,593.78,656.21,687.02
