Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180502_0809_16,41000,0,0,83.99,513.31,597.3,0,0,0,0,0
20180502_0809_16,41051.25,0,0,83.99,513.31,597.3,0,0,0,0,0
20180502_0809_16,41102.56,0,0,83.99,513.31,597.3,0,0,0,0,0
20180502_0809_16,41153.94,0,0,83.99,513.31,597.3,0,0,0,0,0
20180502_0809_16,41205.38,0,0,83.99,513.31,597.3,0,0,0,0,0
20180502_0809_16,41256.89,0,0,83.93,513.31,597.24,0,0,0,0,0
20180502_0809_16,41308.46,0,0,83.93,513.31,597.24,0,0,0,0,0
20180502_0809_16,41360.1,0,0,83.93,513.31,597.24,0,0,0,0,0
20180502_0809_16,41411.8,0,0,83.93,513.31,597.24,0,0,0,0,0
20180502_0809_17,41463.56,0,0,83.37,513.31,596.68,0,0,0,0,0
20180502_0809_17,41515.39,0,0,83.37,513.31,596.68,0,0,0,0,0
20180502_0809_17,41567.28,0,0,83.37,513.31,596.68,0,0,0,0,0
20180502_0809_17,41619.24,0,0,83.37,513.31,596.68,0,0,0,0,0
20180502_0809_17,41671.26,0,0,83.37,513.31,596.68,0,0,0,0,0
20180502_0809_17,41723.35,0,0,83.37,513.31,596.68,0,0,0,0,0
20180502_0809_17,41775.5,0,0,83.03,513.31,596.34,0,0,0,0,0
20180502_0809_17,41827.72,0,0,83.03,513.31,596.34,0,0,0,0,0
20180502_0809_17,41880,0,0,83.03,513.31,596.34,0,0,0,0,0
20180502_0809_17,41932.35,0,0,82.75,513.31,596.06,0,0,0,0,0
20180502_0809_17,41984.77,0,0,82.75,513.31,596.06,0,0,0,0,0
20180502_0809_17,42037.25,0,0,82.75,513.31,596.06,0,0,0,0,0
20180502_0809_17,42089.8,0,0,82.74,513.31,596.05,0,0,0,0,0
20180502_0809_17,42142.41,0,0,82.74,513.31,596.05,0,0,0,0,0
20180502_0809_18,42195.09,0,0,82.74,513.31,596.05,0,0,0,0,0
20180502_0809_18,42247.83,0,0,82.32,513.31,595.63,0,0,0,0,0
20180502_0809_18,42300.64,0,0,82.32,513.31,595.63,0,0,0,0,0
20180502_0809_18,42353.52,0,0,82.32,513.31,595.63,0,0,0,0,0
20180502_0809_18,42406.46,0,0,82.12,513.31,595.43,0,0,0,0,0
20180502_0809_18,42459.47,0,0,82.12,513.31,595.43,0,0,0,0,0
20180502_0809_18,42512.54,0,0,82.12,513.31,595.43,0,0,0,0,0
20180502_0809_18,42565.68,0,0,82.12,513.31,595.43,0,0,0,0,0
20180502_0809_18,42618.89,0,0,82.12,513.31,595.43,0,0,0,0,0
20180502_0809_18,42672.16,0,0,82.12,513.33,595.45,0,0,0,0,0
20180502_0809_18,42725.5,0,0,82.12,513.33,595.45,0,0,0,0,0
20180502_0809_18,42778.91,0,0,81.79,513.33,595.12,0,0,0,0,0
20180502_0809_18,42832.38,0,0,81.79,513.37,595.16,0,0,0,0,0
20180502_0809_18,42885.92,0,0,81.79,513.37,595.16,0,0,0,0,0
20180502_0809_19,42939.53,0,0,81.51,513.37,594.88,0,0,0,0,0
20180502_0809_19,42993.2,0,0,81.51,513.37,594.88,0,0,0,0,0
20180502_0809_19,43046.94,0,0,81.51,513.43,594.94,0,0,0,0,0
20180502_0809_19,43100.75,0,0,81.5,513.43,594.93,0,0,0,0,0
20180502_0809_19,43154.63,0,0,81.5,513.49,594.99,0,0,0,0,0
20180502_0809_19,43208.57,0,0,81.5,513.49,594.99,0,0,0,0,0
20180502_0809_19,43262.58,0,0,81.23,513.49,594.72,0,0,0,0,0
20180502_0809_19,43316.66,0,0,81.23,513.58,594.81,0,0,0,0,0
20180502_0809_19,43370.81,0,0,80.92,513.58,594.5,0,0,0,0,0
20180502_0809_19,43425.02,0,0,80.92,513.58,594.5,0,0,0,0,0
20180502_0809_19,43479.3,0,0,80.92,513.66,594.58,0,0,0,0,0
20180502_0809_19,43533.65,0,0,80.88,513.66,594.54,0,0,0,0,0
20180502_0809_19,43588.07,0,0,80.88,513.66,594.54,0,0,0,0,0
20180502_0809_20,43642.56,0,0,80.88,513.73,594.61,0,0,0,0,0
20180502_0809_20,43697.11,0,0,80.87,513.73,594.6,0,0,0,0,0
20180502_0809_20,43751.73,0,0,80.87,513.73,594.6,0,0,0,0,0
20180502_0809_20,43806.42,0,0,80.87,513.73,594.6,0,0,0,0,0
20180502_0809_20,43861.18,0,0,80.87,513.81,594.68,0,0,0,0,0
20180502_0809_20,43916.01,0,0,80.47,513.81,594.28,0,0,0,0,0
20180502_0809_20,43970.91,0,0,80.47,513.84,594.31,0,0,0,0,0
20180502_0809_20,44025.87,0,0,80.26,513.84,594.1,0,0,0,0,0
20180502_0809_20,44080.9,0,0,80.26,513.84,594.1,0,0,0,0,0
20180502_0809_20,44136,0,0,80.26,513.88,594.14,0,0,0,0,0
20180502_0809_20,44191.17,0,0,80.26,513.88,594.14,0,0,0,0,0
20180502_0809_20,44246.41,0,0,80.26,513.88,594.14,0,0,0,0,0
20180502_0809_20,44301.72,0,0,80.26,513.9,594.16,0,0,0,0,0
20180502_0809_20,44357.1,0,0,80.11,513.9,594.01,0,0,0,0,0
20180502_0809_21,44412.55,0,0,80.11,513.9,594.01,0,0,0,0,0
20180502_0809_21,44468.07,0,0,80.11,513.91,594.02,0,0,0,0,0
20180502_0809_21,44523.66,0,0,79.66,513.91,593.57,0,0,0,0,0
20180502_0809_21,44579.31,0,0,79.66,513.91,593.57,0,0,0,0,0
20180502_0809_21,44635.03,0,0,79.66,513.92,593.58,0,0,0,0,0
20180502_0809_21,44690.82,0,0,79.64,513.92,593.56,0,0,0,0,0
20180502_0809_21,44746.68,0,0,79.64,513.92,593.56,0,0,0,0,0
20180502_0809_21,44802.61,0,0,79.64,513.92,593.56,0,0,0,0,0
20180502_0809_21,44858.61,0,0,79.64,513.92,593.56,0,0,0,0,0
20180502_0809_21,44914.68,0,0,79.64,513.92,593.56,0,0,0,0,0
20180502_0809_21,44970.82,0,0,79.64,513.93,593.57,0,0,0,0,0
20180502_0809_21,45027.03,0,0,79.51,513.93,593.44,0,0,0,0,0
20180502_0809_21,45083.31,0,0,79.51,513.93,593.44,0,0,0,0,0
20180502_0809_22,45139.66,0,0,79.51,513.93,593.44,0,0,0,0,0
20180502_0809_22,45196.08,0,0,79.06,513.93,592.99,0,0,0,0,0
20180502_0809_22,45252.58,0,0,79.06,513.93,592.99,0,0,0,0,0
20180502_0809_22,45309.15,0,0,79.06,513.93,592.99,0,0,0,0,0
20180502_0809_22,45365.79,0,0,79.01,513.93,592.94,0,0,0,0,0
20180502_0809_22,45422.5,0,0,79.01,513.93,592.94,0,0,0,0,0
20180502_0809_22,45479.28,0,0,79.01,513.93,592.94,0,0,0,0,0
20180502_0809_22,45536.13,0,0,78.97,513.93,592.9,0,0,0,0,0
20180502_0809_22,45593.05,0,0,78.97,513.93,592.9,0,0,0,0,0
20180502_0809_22,45650.04,0,0,78.97,513.93,592.9,0,0,0,0,0
20180502_0809_22,45707.1,0,0,78.6,513.93,592.53,0,0,0,0,0
20180502_0809_22,45764.23,0,0,78.6,513.93,592.53,0,0,0,0,0
20180502_0809_22,45821.44,0,0,78.6,513.93,592.53,0,0,0,0,0
20180502_0809_22,45878.72,0,0,78.39,513.93,592.32,0,0,0,0,0
20180502_0809_23,45936.07,0,0,78.39,513.93,592.32,0,0,0,0,0
20180502_0809_23,45993.49,0,0,78.39,513.93,592.32,0,0,0,0,0
20180502_0809_23,46050.98,0,0,78.39,513.93,592.32,0,0,0,0,0
20180502_0809_23,46108.54,0,0,78.39,513.93,592.32,0,0,0,0,0
20180502_0809_23,46166.18,0,0,78.39,513.93,592.32,0,0,0,0,0
20180502_0809_23,46223.89,0,0,78.37,513.93,592.3,0,0,0,0,0
20180502_0809_23,46281.67,0,0,78.37,513.93,592.3,0,0,0,0,0
20180502_0809_23,46339.52,0,0,78.37,513.93,592.3,0,0,0,0,0
20180502_0809_23,46397.44,0,0,77.98,513.93,591.91,0,0,0,0,0
20180502_0809_23,46455.44,0,0,77.98,513.93,591.91,0,0,0,0,0
20180502_0809_23,46513.51,0,0,77.98,513.94,591.92,0,0,0,0,0
20180502_0809_23,46571.65,0,0,77.77,513.94,591.71,0,0,0,0,0
20180502_0809_23,46629.86,0,0,77.77,513.94,591.71,0,0,0,0,0
20180502_0809_24,46688.15,0,0,77.77,513.94,591.71,0,0,0,0,0
20180502_0809_24,46746.51,0,0,77.77,513.94,591.71,0,0,0,0,0
20180502_0809_24,46804.94,0,0,77.77,513.94,591.71,0,0,0,0,0
20180502_0809_24,46863.45,0,0,77.77,513.94,591.71,0,0,0,0,0
20180502_0809_24,46922.03,0,0,77.54,513.94,591.48,0,0,0,0,0
20180502_0809_24,46980.68,0,0,77.54,513.94,591.48,0,0,0,0,0
20180502_0809_24,47039.41,0,0,77.54,513.93,591.47,0,0,0,0,0
20180502_0809_24,47098.21,0,0,77.16,513.93,591.09,0,0,0,0,0
20180502_0809_24,47157.08,0,0,77.16,513.93,591.09,0,0,0,0,0
20180502_0809_24,47216.03,0,0,77.15,513.93,591.08,0,0,0,0,0
20180502_0809_24,47275.05,0,0,77.15,513.93,591.08,0,0,0,0,0
20180502_0809_24,47334.14,0,0,77.15,513.93,591.08,0,0,0,0,0
20180502_0809_24,47393.31,0,0,77.15,513.93,591.08,0,0,0,0,0
20180502_0809_24,47452.55,0,0,77.13,513.93,591.06,0,0,0,0,0
20180502_0809_25,47511.87,0,0,77.13,513.93,591.06,0,0,0,0,0
20180502_0809_25,47571.26,0,0,77.13,513.93,591.06,0,0,0,0,0
20180502_0809_25,47630.72,0,0,76.62,513.93,590.55,0,0,0,0,0
20180502_0809_25,47690.26,0,0,76.62,513.93,590.55,0,0,0,0,0
20180502_0809_25,47749.87,0,0,76.62,513.93,590.55,0,0,0,0,0
20180502_0809_25,47809.56,0,0,76.52,513.93,590.45,0,0,0,0,0
20180502_0809_25,47869.32,0,0,76.52,513.93,590.45,0,0,0,0,0
20180502_0809_25,47929.16,0,0,76.52,513.94,590.46,0,0,0,0,0
20180502_0809_25,47989.07,0,0,76.5,513.94,590.44,0,0,0,0,0
20180502_0809_25,48049.06,0,0,76.5,513.94,590.44,0,0,0,0,0
