Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180510_0744_21,78.40,508.34,586.74,0.0000,0.0000,0.0000,20180427_0819_12,20180510_0744_21,7,67.33,84.46,102.01,508.34,512.45,515.60,582.93,596.90,613.35
41051.25,20180510_0744_21,78.39,508.34,586.73,0.0128,0.0000,0.0017,20180427_0819_12,20180510_0744_21,7,67.33,84.29,102.01,508.34,512.44,515.60,582.93,596.73,613.35
41102.56,20180510_0744_21,78.39,508.90,587.29,0.0064,0.1100,0.0945,20180427_0819_12,20180510_0744_21,7,67.33,84.29,102.01,508.90,512.54,515.60,582.93,596.83,613.36
41153.94,20180510_0744_21,78.30,508.90,587.20,0.1192,0.0734,0.0477,20180427_0819_12,20180510_0744_21,7,67.33,84.21,101.92,508.90,512.63,515.56,582.89,596.84,613.27
41205.38,20180510_0744_21,78.30,508.90,587.20,0.0894,0.0550,0.0358,20180427_0819_12,20180510_0744_21,7,67.32,84.07,101.92,508.90,512.63,515.56,582.88,596.70,613.27
41256.89,20180510_0744_21,78.30,508.96,587.26,0.0715,0.0558,0.0388,20180427_0819_12,20180510_0744_21,7,67.32,84.06,101.92,508.96,512.69,515.56,582.88,596.76,613.26
41308.46,20180510_0744_21,77.86,508.96,586.82,0.6250,0.0465,0.0426,20180427_0819_12,20180510_0744_21,7,67.32,83.89,101.43,508.96,512.70,515.59,582.91,596.59,612.77
41360.10,20180510_0744_22,77.86,508.96,586.82,0.5358,0.0399,0.0365,20180427_0819_12,20180510_0744_22,7,67.32,83.89,101.43,508.96,512.72,515.59,582.91,596.61,612.77
41411.80,20180510_0744_22,77.86,509.31,587.17,0.4688,0.1036,0.0277,20180427_0819_12,20180510_0744_22,7,67.33,83.80,101.39,509.31,512.77,515.59,582.92,596.57,612.73
41463.56,20180510_0744_22,77.77,509.31,587.08,0.5329,0.0921,0.0093,20180427_0819_12,20180510_0744_22,7,67.33,83.71,101.39,509.31,512.78,515.59,582.92,596.49,612.73
41515.39,20180510_0744_22,77.77,509.31,587.08,0.4796,0.0829,0.0083,20180427_0819_13,20180510_0744_22,7,67.33,83.70,101.39,509.31,512.81,515.56,582.89,596.51,612.73
41567.28,20180510_0744_22,77.61,509.58,587.19,0.6431,0.1283,0.0263,20180427_0819_13,20180510_0744_22,7,67.32,83.55,101.39,509.58,512.84,515.56,582.88,596.39,612.72
41619.24,20180510_0744_22,77.61,509.58,587.19,0.5895,0.1176,0.0241,20180427_0819_13,20180510_0744_22,7,67.32,83.55,101.39,509.58,512.92,515.56,582.88,596.47,612.72
41671.26,20180510_0744_22,77.61,509.60,587.21,0.5441,0.1125,0.0257,20180427_0819_13,20180510_0744_22,7,67.32,83.54,101.39,509.60,512.93,515.56,582.88,596.48,612.73
41723.35,20180510_0744_22,77.61,509.60,587.21,0.5053,0.1044,0.0238,20180427_0819_13,20180510_0744_22,7,67.32,83.49,101.08,509.60,512.93,515.56,582.88,596.42,612.42
41775.50,20180510_0744_22,77.15,509.60,586.75,1.0706,0.0975,0.0561,20180427_0819_13,20180510_0744_22,7,67.32,83.38,101.08,509.60,512.94,515.56,582.88,596.32,612.42
41827.72,20180510_0744_22,77.15,509.60,586.75,1.0037,0.0914,0.0526,20180427_0819_13,20180510_0744_22,7,67.32,83.37,101.08,509.60,512.94,515.57,582.89,596.32,612.41
41880.00,20180510_0744_22,77.15,509.58,586.73,0.9447,0.0821,0.0529,20180427_0819_13,20180510_0744_22,7,67.32,83.27,100.77,509.58,512.94,515.57,582.89,596.21,612.10
41932.35,20180510_0744_22,76.55,509.58,586.13,1.6830,0.0775,0.1524,20180427_0819_13,20180510_0744_22,7,67.32,83.14,100.77,509.58,512.96,515.57,582.89,596.10,612.10
41984.77,20180510_0744_23,76.55,509.58,586.13,1.5944,0.0734,0.1444,20180427_0819_13,20180510_0744_23,7,67.32,83.11,100.77,509.58,512.97,515.59,582.91,596.07,612.12
42037.25,20180510_0744_23,76.06,509.60,585.66,2.1687,0.0737,0.2175,20180427_0819_13,20180510_0744_23,7,67.32,82.95,100.75,509.60,512.98,515.59,582.91,595.93,612.10
42089.80,20180510_0744_23,76.06,509.60,585.66,2.0149,0.0613,0.2083,20180427_0819_13,20180510_0744_23,7,67.32,82.95,100.75,509.60,512.99,515.59,582.91,595.94,612.10
42142.41,20180510_0744_23,76.06,509.57,585.63,1.8617,0.0431,0.2043,20180427_0819_13,20180510_0744_23,7,67.32,82.91,100.75,509.57,513.00,515.59,582.91,595.91,612.18
42195.09,20180510_0744_23,76.06,509.57,585.63,1.7085,0.0365,0.1901,20180427_0819_14,20180510_0744_23,7,67.29,82.83,100.19,509.57,513.00,515.59,582.88,595.83,611.66
42247.83,20180510_0744_23,75.45,509.57,585.02,2.3824,0.0299,0.2812,20180427_0819_14,20180510_0744_23,7,67.29,82.65,100.19,509.57,513.01,515.59,582.88,595.66,611.71
42300.64,20180510_0744_23,75.45,509.57,585.02,2.1935,0.0234,0.2626,20180427_0819_14,20180510_0744_23,7,67.29,82.64,100.19,509.57,513.03,515.57,582.86,595.67,611.76
42353.52,20180510_0744_23,75.45,509.60,585.05,2.0046,0.0233,0.2383,20180427_0819_14,20180510_0744_23,7,67.23,82.57,100.14,509.60,513.04,515.57,582.80,595.60,611.71
42406.46,20180510_0744_23,74.86,509.60,584.46,2.6476,0.0170,0.3243,20180427_0819_14,20180510_0744_23,7,67.23,82.45,100.14,509.60,513.04,515.57,582.80,595.49,611.71
42459.47,20180510_0744_23,74.86,509.60,584.46,2.4472,0.0107,0.3041,20180427_0819_14,20180510_0744_23,7,67.23,82.45,100.14,509.60,513.09,515.59,582.82,595.53,612.00
42512.54,20180510_0744_23,74.86,509.59,584.45,2.2469,0.0059,0.2827,20180427_0819_14,20180510_0744_23,7,67.12,82.31,99.86,509.59,513.10,515.59,582.71,595.41,611.62
42565.68,20180510_0744_23,74.59,509.59,584.18,2.4219,0.0031,0.3065,20180427_0819_14,20180510_0744_23,7,67.12,82.27,99.86,509.59,513.10,515.59,582.71,595.37,611.60
42618.89,20180510_0744_23,74.59,509.59,584.18,2.2088,0.0004,0.2817,20180427_0819_14,20180510_0744_23,7,67.12,82.27,99.85,509.59,513.09,515.56,582.68,595.36,611.59
42672.16,20180510_0744_23,74.59,509.59,584.18,2.0063,0.0003,0.2559,20180427_0819_14,20180510_0744_23,7,66.96,82.19,99.85,509.59,513.10,515.56,582.52,595.28,611.62
42725.50,20180510_0744_24,74.04,509.59,583.63,2.5601,0.0002,0.3246,20180427_0819_14,20180510_0744_24,7,66.96,82.11,99.85,509.59,513.10,515.56,582.52,595.20,611.62
42778.91,20180510_0744_24,74.04,509.59,583.63,2.3190,0.0003,0.2939,20180427_0819_14,20180510_0744_24,7,66.96,82.06,99.85,509.59,513.11,515.57,582.53,595.17,611.62
42832.38,20180510_0744_24,74.04,509.57,583.61,2.0779,0.0035,0.2667,20180427_0819_14,20180510_0744_24,7,66.86,81.93,99.85,509.57,513.11,515.57,582.43,595.04,611.62
42885.92,20180510_0744_24,73.54,509.57,583.11,2.5605,0.0032,0.3258,20180427_0819_14,20180510_0744_24,7,66.86,81.86,99.85,509.57,513.12,515.57,582.43,594.98,611.67
42939.53,20180510_0744_24,73.54,509.57,583.11,2.3151,0.0029,0.2945,20180427_0819_15,20180510_0744_24,7,66.86,81.77,99.55,509.57,513.14,515.64,582.50,594.91,611.37
42993.20,20180510_0744_24,73.54,509.57,583.11,2.0696,0.0028,0.2635,20180427_0819_15,20180510_0744_24,7,66.80,81.62,99.55,509.57,513.15,515.64,582.44,594.77,611.43
43046.94,20180510_0744_24,73.40,509.57,582.97,2.0593,0.0027,0.2617,20180427_0819_15,20180510_0744_24,7,66.80,81.56,99.26,509.57,513.15,515.64,582.44,594.71,611.14
43100.75,20180510_0744_24,73.40,509.57,582.97,1.8447,0.0026,0.2346,20180427_0819_15,20180510_0744_24,7,66.80,81.56,99.26,509.57,513.16,515.62,582.42,594.72,611.14
43154.63,20180510_0744_24,73.40,509.59,582.99,1.6635,0.0016,0.2081,20180427_0819_15,20180510_0744_24,7,66.73,81.52,99.26,509.59,513.17,515.62,582.35,594.68,611.11
43208.57,20180510_0744_24,72.79,509.59,582.38,2.3327,0.0017,0.2901,20180427_0819_15,20180510_0744_24,7,66.73,81.43,99.25,509.59,513.17,515.62,582.35,594.59,611.10
43262.58,20180510_0744_24,72.79,509.59,582.38,2.1081,0.0015,0.2622,20180427_0819_15,20180510_0744_24,7,66.73,81.39,99.25,509.59,513.18,515.66,582.38,594.57,611.10
43316.66,20180510_0744_24,72.79,509.59,582.38,1.8835,0.0013,0.2343,20180427_0819_15,20180510_0744_24,7,66.73,81.30,99.25,509.59,513.18,515.66,582.38,594.48,611.05
43370.81,20180510_0744_24,72.56,509.59,582.15,2.0232,0.0011,0.2512,20180427_0819_15,20180510_0744_24,7,66.73,81.14,99.23,509.59,513.18,515.66,582.15,594.33,611.03
43425.02,20180510_0744_24,72.56,509.59,582.15,1.8240,0.0009,0.2266,20180427_0819_15,20180510_0744_24,7,66.73,81.14,99.23,509.59,513.18,515.66,582.15,594.32,611.03
43479.30,20180510_0744_25,72.56,509.59,582.15,1.6249,0.0010,0.2017,20180427_0819_15,20180510_0744_25,7,66.72,81.14,99.23,509.59,513.20,515.66,582.15,594.34,611.10
43533.65,20180510_0744_25,72.18,509.59,581.77,2.0006,0.0011,0.2473,20180427_0819_15,20180510_0744_25,7,66.72,80.99,99.22,509.59,513.20,515.66,581.77,594.19,611.09
43588.07,20180510_0744_25,72.18,509.59,581.77,1.8149,0.0012,0.2241,20180427_0819_15,20180510_0744_25,7,66.72,80.99,99.22,509.59,513.20,515.63,581.77,594.19,611.09
43642.56,20180510_0744_25,72.18,509.59,581.77,1.6293,0.0012,0.2011,20180427_0819_16,20180510_0744_25,7,66.71,80.90,99.22,509.59,513.21,515.63,581.77,594.11,611.10
43697.11,20180510_0744_25,72.17,509.59,581.76,1.4764,0.0012,0.1821,20180427_0819_16,20180510_0744_25,7,66.71,80.79,99.00,509.59,513.21,515.63,581.76,594.00,610.88
43751.73,20180510_0744_25,72.17,509.59,581.76,1.3087,0.0012,0.1613,20180427_0819_16,20180510_0744_25,7,66.71,80.79,99.00,509.59,513.21,515.63,581.76,594.00,610.88
43806.42,20180510_0744_25,72.17,509.59,581.76,1.1411,0.0012,0.1405,20180427_0819_16,20180510_0744_25,7,66.71,80.77,99.00,509.59,513.21,515.63,581.76,593.99,610.87
43861.18,20180510_0744_25,72.17,509.59,581.76,1.0115,0.0012,0.1244,20180427_0819_16,20180510_0744_25,7,66.71,80.69,98.62,509.59,513.22,515.63,581.76,593.92,610.49
43916.01,20180510_0744_25,72.17,509.59,581.76,0.8820,0.0012,0.1084,20180427_0819_16,20180510_0744_25,7,66.71,80.64,98.62,509.59,513.23,515.64,581.76,593.87,610.49
43970.91,20180510_0744_25,72.17,509.60,581.77,0.7524,0.0029,0.0907,20180427_0819_16,20180510_0744_25,7,66.71,80.63,98.62,509.60,513.24,515.64,581.77,593.87,610.49
44025.87,20180510_0744_25,72.17,509.60,581.77,0.6575,0.0027,0.0792,20180427_0819_16,20180510_0744_25,7,66.71,80.54,98.62,509.60,513.24,515.64,581.77,593.78,610.49
44080.90,20180510_0744_25,72.17,509.60,581.77,0.5626,0.0024,0.0677,20180427_0819_16,20180510_0744_25,7,66.71,80.48,98.62,509.60,513.23,515.59,581.77,593.71,610.49
44136.00,20180510_0744_25,72.17,509.59,581.76,0.4676,0.0001,0.0579,20180427_0819_16,20180510_0744_25,7,66.70,80.40,98.62,509.59,513.24,515.59,581.76,593.64,610.49
44191.17,20180510_0744_25,72.15,509.59,581.74,0.4103,0.0001,0.0510,20180427_0819_16,20180510_0744_25,7,66.70,80.37,98.46,509.59,513.23,515.59,581.74,593.61,610.33
44246.41,20180510_0744_26,72.15,509.59,581.74,0.3236,0.0003,0.0404,20180427_0819_16,20180510_0744_26,7,66.70,80.35,98.46,509.59,513.24,515.60,581.74,593.59,610.33
44301.72,20180510_0744_26,72.15,509.61,581.76,0.2370,0.0036,0.0262,20180427_0819_16,20180510_0744_26,7,66.71,80.34,98.46,509.61,513.24,515.60,581.76,593.58,610.30
44357.10,20180510_0744_26,72.15,509.61,581.76,0.1927,0.0034,0.0209,20180427_0819_17,20180510_0744_26,7,66.71,80.27,98.09,509.61,513.25,515.60,581.76,593.51,609.93
44412.55,20180510_0744_26,71.71,509.61,581.32,0.7628,0.0032,0.0913,20180427_0819_17,20180510_0744_26,7,66.71,80.12,98.09,509.61,513.26,515.64,581.32,593.38,609.93
44468.07,20180510_0744_26,71.71,509.59,581.30,0.6875,0.0009,0.0856,20180427_0819_17,20180510_0744_26,7,66.71,80.12,98.09,509.59,513.26,515.64,581.30,593.38,609.96
44523.66,20180510_0744_26,71.55,509.59,581.14,0.8532,0.0009,0.1058,20180427_0819_17,20180510_0744_26,7,66.71,80.00,98.00,509.59,513.26,515.64,581.14,593.26,609.87
44579.31,20180510_0744_26,71.55,509.59,581.14,0.7827,0.0009,0.0971,20180427_0819_17,20180510_0744_26,7,66.71,79.99,98.00,509.59,513.29,515.63,581.14,593.28,609.87
44635.03,20180510_0744_26,71.55,509.60,581.15,0.7121,0.0011,0.0867,20180427_0819_17,20180510_0744_26,7,66.71,79.91,98.00,509.60,513.29,515.63,581.15,593.20,609.85
44690.82,20180510_0744_26,71.55,509.60,581.15,0.6681,0.0010,0.0814,20180427_0819_17,20180510_0744_26,7,66.71,79.84,97.99,509.60,513.29,515.63,581.15,593.13,609.84
44746.68,20180510_0744_26,71.55,509.60,581.15,0.6240,0.0009,0.0761,20180427_0819_17,20180510_0744_26,7,66.71,79.84,97.99,509.60,513.31,515.63,581.15,593.15,609.84
44802.61,20180510_0744_26,71.55,509.61,581.16,0.5800,0.0027,0.0690,20180427_0819_17,20180510_0744_26,7,66.71,79.78,97.99,509.61,513.32,515.63,581.16,593.10,609.90
44858.61,20180510_0744_26,71.55,509.61,581.16,0.5367,0.0026,0.0638,20180427_0819_17,20180510_0744_26,7,66.71,79.78,98.00,509.61,513.33,515.66,581.16,593.11,609.91
44914.68,20180510_0744_26,71.07,509.61,580.68,1.1721,0.0024,0.1414,20180427_0819_17,20180510_0744_26,7,66.70,79.71,98.00,509.61,513.35,515.66,580.68,593.06,609.91
44970.82,20180510_0744_27,71.07,509.61,580.68,1.0947,0.0022,0.1321,20180427_0819_17,20180510_0744_27,7,66.70,79.66,98.00,509.61,513.35,515.66,580.68,593.02,609.94
45027.03,20180510_0744_27,71.07,509.61,580.68,1.0173,0.0020,0.1228,20180427_0819_17,20180510_0744_27,7,66.70,79.55,97.88,509.61,513.35,515.66,580.68,592.90,609.82
45083.31,20180510_0744_27,70.93,509.61,580.54,1.1391,0.0018,0.1376,20180427_0819_17,20180510_0744_27,7,66.70,79.53,97.88,509.61,513.36,515.57,580.54,592.88,609.82
45139.66,20180510_0744_27,70.93,509.61,580.54,1.0517,0.0017,0.1270,20180427_0819_17,20180510_0744_27,7,66.69,79.52,97.88,509.61,513.37,515.57,580.54,592.88,609.86
45196.08,20180510_0744_27,70.93,509.60,580.53,0.9643,0.0004,0.1182,20180427_0819_18,20180510_0744_27,7,66.69,79.33,97.47,509.60,513.37,515.57,580.53,592.70,609.45
45252.58,20180510_0744_27,70.52,509.60,580.12,1.4634,0.0004,0.1782,20180427_0819_18,20180510_0744_27,7,66.68,79.27,97.47,509.60,513.40,515.57,580.12,592.67,609.45
45309.15,20180510_0744_27,70.52,509.60,580.12,1.3464,0.0005,0.1641,20180427_0819_18,20180510_0744_27,7,66.68,79.19,97.47,509.60,513.41,515.57,580.12,592.61,609.55
45365.79,20180510_0744_27,70.52,509.59,580.11,1.2309,0.0026,0.1519,20180427_0819_18,20180510_0744_27,7,66.68,79.09,97.47,509.59,513.41,515.57,580.11,592.50,609.55
45422.50,20180510_0744_27,70.31,509.59,579.90,1.4173,0.0026,0.1741,20180427_0819_18,20180510_0744_27,7,66.67,79.04,97.38,509.59,513.41,515.57,579.90,592.45,609.46
45479.28,20180510_0744_27,70.31,509.59,579.90,1.2865,0.0024,0.1580,20180427_0819_18,20180510_0744_27,7,66.67,79.04,97.38,509.59,513.43,515.57,579.90,592.47,609.55
45536.13,20180510_0744_27,70.31,509.60,579.91,1.1556,0.0002,0.1403,20180427_0819_18,20180510_0744_27,7,66.67,79.01,97.37,509.60,513.44,515.63,579.91,592.46,609.54
45593.05,20180510_0744_27,70.29,509.60,579.89,1.0848,0.0001,0.1316,20180427_0819_18,20180510_0744_27,7,66.67,79.01,97.37,509.60,513.46,515.63,579.89,592.47,609.54
45650.04,20180510_0744_27,70.29,509.60,579.89,0.9838,0.0002,0.1194,20180427_0819_18,20180510_0744_27,7,66.67,79.01,97.37,509.60,513.47,515.63,579.89,592.48,609.62
45707.10,20180510_0744_27,70.29,509.61,579.90,0.8942,0.0017,0.1069,20180427_0819_18,20180510_0744_27,7,66.67,78.87,97.37,509.61,513.48,515.69,579.90,592.35,609.62
45764.23,20180510_0744_28,69.87,509.61,579.48,1.4105,0.0015,0.1688,20180427_0819_18,20180510_0744_28,7,66.65,78.81,97.37,509.61,513.48,515.69,579.48,592.28,609.62
45821.44,20180510_0744_28,69.87,509.61,579.48,1.2902,0.0014,0.1544,20180427_0819_18,20180510_0744_28,7,66.65,78.81,97.37,509.61,513.47,515.69,579.48,592.28,609.69
45878.72,20180510_0744_28,69.87,509.63,579.50,1.1700,0.0052,0.1365,20180427_0819_18,20180510_0744_28,7,66.65,78.71,97.36,509.63,513.47,515.62,579.50,592.17,609.68
45936.07,20180510_0744_28,69.68,509.63,579.31,1.3253,0.0049,0.1551,20180427_0819_19,20180510_0744_28,7,66.58,78.67,97.36,509.63,513.48,515.62,579.31,592.14,609.68
45993.49,20180510_0744_28,69.68,509.63,579.31,1.1912,0.0047,0.1391,20180427_0819_19,20180510_0744_28,7,66.58,78.63,97.36,509.63,513.49,515.62,579.31,592.12,609.72
46050.98,20180510_0744_28,69.68,509.66,579.34,1.0570,0.0104,0.1180,20180427_0819_19,20180510_0744_28,7,66.58,78.55,96.93,509.66,513.49,515.59,579.34,592.04,609.29
46108.54,20180510_0744_28,69.68,509.66,579.34,0.9572,0.0099,0.1064,20180427_0819_19,20180510_0744_28,7,66.48,78.51,96.93,509.66,513.50,515.59,579.34,592.01,609.29
46166.18,20180510_0744_28,69.68,509.66,579.34,0.8575,0.0094,0.0948,20180427_0819_19,20180510_0744_28,7,66.48,78.51,96.93,509.66,513.49,515.59,579.34,592.00,609.34
46223.89,20180510_0744_28,69.68,509.73,579.41,0.7577,0.0227,0.0712,20180427_0819_19,20180510_0744_28,7,66.48,78.39,96.75,509.73,513.50,515.62,579.41,591.89,609.16
46281.67,20180510_0744_28,69.68,509.73,579.41,0.6681,0.0215,0.0614,20180427_0819_19,20180510_0744_28,7,66.39,78.37,96.75,509.73,513.50,515.62,579.41,591.87,609.16
46339.52,20180510_0744_28,69.68,509.73,579.41,0.5784,0.0203,0.0517,20180427_0819_19,20180510_0744_28,7,66.39,78.37,96.75,509.73,513.53,515.62,579.41,591.90,609.18
46397.44,20180510_0744_28,69.68,509.80,579.48,0.4887,0.0328,0.0299,20180427_0819_19,20180510_0744_28,7,66.39,78.30,96.74,509.80,513.54,515.63,579.48,591.84,609.17
46455.44,20180510_0744_28,69.68,509.80,579.48,0.4284,0.0308,0.0244,20180427_0819_19,20180510_0744_28,7,66.30,78.28,96.74,509.80,513.54,515.63,579.48,591.82,609.17
46513.51,20180510_0744_28,69.68,509.80,579.48,0.3681,0.0288,0.0189,20180427_0819_19,20180510_0744_28,7,66.30,78.28,96.74,509.80,513.55,515.63,579.48,591.83,609.21
46571.65,20180510_0744_29,69.68,509.89,579.57,0.3078,0.0444,0.0021,20180427_0819_19,20180510_0744_29,7,66.30,78.22,96.57,509.89,513.55,515.58,579.57,591.78,609.04
46629.86,20180510_0744_29,69.62,509.89,579.51,0.3490,0.0415,0.0054,20180427_0819_19,20180510_0744_29,7,66.17,78.12,96.57,509.89,513.55,515.58,579.51,591.68,609.04
46688.15,20180510_0744_29,69.62,509.89,579.51,0.2995,0.0385,0.0021,20180427_0819_19,20180510_0744_29,7,66.17,78.12,96.57,509.89,513.55,515.58,579.51,591.68,609.06
46746.51,20180510_0744_29,69.62,509.96,579.58,0.2499,0.0494,0.0135,20180427_0819_20,20180510_0744_29,7,66.17,77.97,96.14,509.96,513.57,515.62,579.58,591.54,608.63
46804.94,20180510_0744_29,69.30,509.96,579.26,0.6645,0.0459,0.0391,20180427_0819_20,20180510_0744_29,7,66.12,77.91,96.14,509.96,513.57,515.62,579.26,591.47,608.63
46863.45,20180510_0744_29,69.30,509.96,579.26,0.5931,0.0424,0.0337,20180427_0819_20,20180510_0744_29,7,66.12,77.91,96.14,509.96,513.57,515.62,579.26,591.47,608.61
46922.03,20180510_0744_29,69.30,510.00,579.30,0.5216,0.0468,0.0212,20180427_0819_20,20180510_0744_29,7,66.12,77.80,96.12,510.00,513.57,515.60,579.30,591.38,608.59
46980.68,20180510_0744_29,69.13,510.00,579.13,0.7276,0.0429,0.0490,20180427_0819_20,20180510_0744_29,7,66.08,77.77,96.12,510.00,513.57,515.60,579.13,591.34,608.59
47039.41,20180510_0744_29,69.13,510.00,579.13,0.6741,0.0391,0.0460,20180427_0819_20,20180510_0744_29,7,66.08,77.77,96.12,510.00,513.58,515.60,579.13,591.35,608.62
47098.21,20180510_0744_29,69.13,510.09,579.22,0.6206,0.0531,0.0273,20180427_0819_20,20180510_0744_29,7,66.08,77.70,96.11,510.09,513.60,515.67,579.22,591.30,608.61
47157.08,20180510_0744_29,69.08,510.09,579.17,0.6536,0.0486,0.0351,20180427_0819_20,20180510_0744_29,7,66.09,77.62,96.11,510.09,513.60,515.67,579.17,591.22,608.61
47216.03,20180510_0744_29,69.08,510.09,579.17,0.6102,0.0441,0.0339,20180427_0819_20,20180510_0744_29,7,66.09,77.62,96.11,510.09,513.60,515.67,579.17,591.22,608.59
47275.05,20180510_0744_29,69.08,510.13,579.21,0.5667,0.0477,0.0255,20180427_0819_20,20180510_0744_29,7,66.09,77.49,95.70,510.13,513.60,515.67,579.21,591.10,608.18
47334.14,20180510_0744_30,69.05,510.13,579.18,0.5670,0.0431,0.0296,20180427_0819_20,20180510_0744_30,7,66.08,77.49,95.70,510.13,513.60,515.63,579.18,591.09,608.18
47393.31,20180510_0744_30,69.05,510.13,579.18,0.5214,0.0385,0.0282,20180427_0819_20,20180510_0744_30,7,66.08,77.47,95.70,510.13,513.59,515.63,579.18,591.07,608.19
47452.55,20180510_0744_30,69.05,510.16,579.21,0.4757,0.0405,0.0211,20180427_0819_20,20180510_0744_30,7,66.08,77.44,95.51,510.16,513.59,515.63,579.21,591.04,608.00
47511.87,20180510_0744_30,69.05,510.16,579.21,0.4301,0.0363,0.0193,20180427_0819_20,20180510_0744_30,7,66.08,77.42,95.51,510.16,513.60,515.64,579.21,591.02,608.00
47571.26,20180510_0744_30,69.00,510.16,579.16,0.4572,0.0321,0.0263,20180427_0819_21,20180510_0744_30,7,66.09,77.41,95.51,510.16,513.60,515.64,579.16,591.01,608.00
47630.72,20180510_0744_30,69.00,510.16,579.16,0.4080,0.0285,0.0235,20180427_0819_21,20180510_0744_30,7,66.09,77.34,95.50,510.16,513.61,515.64,579.16,590.95,607.99
47690.26,20180510_0744_30,69.00,510.18,579.18,0.3587,0.0289,0.0173,20180427_0819_21,20180510_0744_30,7,66.09,77.34,95.50,510.18,513.61,515.66,579.18,590.95,607.99
47749.87,20180510_0744_30,68.85,510.18,579.03,0.5280,0.0252,0.0406,20180427_0819_21,20180510_0744_30,7,66.09,77.29,95.50,510.18,513.61,515.66,579.03,590.89,607.93
47809.56,20180510_0744_30,68.85,510.22,579.07,0.4677,0.0302,0.0290,20180427_0819_21,20180510_0744_30,7,66.09,77.27,95.49,510.22,513.61,515.66,579.07,590.88,607.92
47869.32,20180510_0744_30,68.63,510.22,578.85,0.7336,0.0270,0.0632,20180427_0819_21,20180510_0744_30,7,66.09,77.22,95.49,510.22,513.60,515.65,578.85,590.82,607.92
