Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180428_0950_51,41000,0,0,101.13,511.28,612.41,0,0,0,0,0
20180428_0950_51,41051.25,0,0,101.13,511.25,612.38,0,0,0,0,0
20180428_0950_51,41102.56,0,0,101.12,511.25,612.37,0,0,0,0,0
20180428_0950_52,41153.94,0,0,101.12,511.25,612.37,0,0,0,0,0
20180428_0950_52,41205.38,0,0,100.85,511.25,612.1,0,0,0,0,0
20180428_0950_52,41256.89,0,0,100.85,511.25,612.1,0,0,0,0,0
20180428_0950_52,41308.46,0,0,100.85,511.29,612.14,0,0,0,0,0
20180428_0950_52,41360.1,0,0,100.85,511.29,612.14,0,0,0,0,0
20180428_0950_52,41411.8,0,0,100.54,511.29,611.83,0,0,0,0,0
20180428_0950_52,41463.56,0,0,100.54,511.34,611.88,0,0,0,0,0
20180428_0950_52,41515.39,0,0,100.49,511.34,611.83,0,0,0,0,0
20180428_0950_52,41567.28,0,0,100.49,511.34,611.83,0,0,0,0,0
20180428_0950_52,41619.24,0,0,100.49,511.41,611.9,0,0,0,0,0
20180428_0950_52,41671.26,0,0,100.49,511.41,611.9,0,0,0,0,0
20180428_0950_52,41723.35,0,0,100.49,511.41,611.9,0,0,0,0,0
20180428_0950_52,41775.5,0,0,100.49,511.49,611.98,0,0,0,0,0
20180428_0950_53,41827.72,0,0,100.48,511.49,611.97,0,0,0,0,0
20180428_0950_53,41880,0,0,100.48,511.49,611.97,0,0,0,0,0
20180428_0950_53,41932.35,0,0,100.48,511.59,612.07,0,0,0,0,0
20180428_0950_53,41984.77,0,0,100.24,511.59,611.83,0,0,0,0,0
20180428_0950_53,42037.25,0,0,100.24,511.59,611.83,0,0,0,0,0
20180428_0950_53,42089.8,0,0,100.24,511.7,611.94,0,0,0,0,0
20180428_0950_53,42142.41,0,0,99.96,511.7,611.66,0,0,0,0,0
20180428_0950_53,42195.09,0,0,99.96,511.7,611.66,0,0,0,0,0
20180428_0950_53,42247.83,0,0,99.96,511.75,611.71,0,0,0,0,0
20180428_0950_53,42300.64,0,0,99.87,511.75,611.62,0,0,0,0,0
20180428_0950_53,42353.52,0,0,99.87,511.75,611.62,0,0,0,0,0
20180428_0950_53,42406.46,0,0,99.87,511.76,611.63,0,0,0,0,0
20180428_0950_53,42459.47,0,0,99.86,511.76,611.62,0,0,0,0,0
20180428_0950_54,42512.54,0,0,99.86,511.76,611.62,0,0,0,0,0
20180428_0950_54,42565.68,0,0,99.86,511.74,611.6,0,0,0,0,0
20180428_0950_54,42618.89,0,0,99.85,511.74,611.59,0,0,0,0,0
20180428_0950_54,42672.16,0,0,99.85,511.77,611.62,0,0,0,0,0
20180428_0950_54,42725.5,0,0,99.85,511.77,611.62,0,0,0,0,0
20180428_0950_54,42778.91,0,0,99.85,511.77,611.62,0,0,0,0,0
20180428_0950_54,42832.38,0,0,99.85,511.77,611.62,0,0,0,0,0
20180428_0950_54,42885.92,0,0,99.85,511.82,611.67,0,0,0,0,0
20180428_0950_54,42939.53,0,0,99.55,511.82,611.37,0,0,0,0,0
20180428_0950_54,42993.2,0,0,99.55,511.88,611.43,0,0,0,0,0
20180428_0950_54,43046.94,0,0,99.26,511.88,611.14,0,0,0,0,0
20180428_0950_54,43100.75,0,0,99.26,511.88,611.14,0,0,0,0,0
20180428_0950_54,43154.63,0,0,99.26,511.85,611.11,0,0,0,0,0
20180428_0950_55,43208.57,0,0,99.25,511.85,611.1,0,0,0,0,0
20180428_0950_55,43262.58,0,0,99.25,511.85,611.1,0,0,0,0,0
20180428_0950_55,43316.66,0,0,99.25,511.8,611.05,0,0,0,0,0
20180428_0950_55,43370.81,0,0,99.23,511.8,611.03,0,0,0,0,0
20180428_0950_55,43425.02,0,0,99.23,511.8,611.03,0,0,0,0,0
20180428_0950_55,43479.3,0,0,99.23,511.87,611.1,0,0,0,0,0
20180428_0950_55,43533.65,0,0,99.22,511.87,611.09,0,0,0,0,0
20180428_0950_55,43588.07,0,0,99.22,511.87,611.09,0,0,0,0,0
20180428_0950_55,43642.56,0,0,99.22,511.88,611.1,0,0,0,0,0
20180428_0950_55,43697.11,0,0,99,511.88,610.88,0,0,0,0,0
20180428_0950_55,43751.73,0,0,99,511.88,610.88,0,0,0,0,0
20180428_0950_55,43806.42,0,0,99,511.87,610.87,0,0,0,0,0
20180428_0950_55,43861.18,0,0,98.62,511.87,610.49,0,0,0,0,0
20180428_0950_55,43916.01,0,0,98.62,511.87,610.49,0,0,0,0,0
20180428_0950_56,43970.91,0,0,98.62,511.87,610.49,0,0,0,0,0
20180428_0950_56,44025.87,0,0,98.62,511.87,610.49,0,0,0,0,0
20180428_0950_56,44080.9,0,0,98.62,511.87,610.49,0,0,0,0,0
20180428_0950_56,44136,0,0,98.62,511.87,610.49,0,0,0,0,0
20180428_0950_56,44191.17,0,0,98.46,511.87,610.33,0,0,0,0,0
20180428_0950_56,44246.41,0,0,98.46,511.87,610.33,0,0,0,0,0
20180428_0950_56,44301.72,0,0,98.46,511.84,610.3,0,0,0,0,0
20180428_0950_56,44357.1,0,0,98.09,511.84,609.93,0,0,0,0,0
20180428_0950_56,44412.55,0,0,98.09,511.84,609.93,0,0,0,0,0
20180428_0950_56,44468.07,0,0,98.09,511.87,609.96,0,0,0,0,0
20180428_0950_56,44523.66,0,0,98,511.87,609.87,0,0,0,0,0
20180428_0950_56,44579.31,0,0,98,511.87,609.87,0,0,0,0,0
20180428_0950_56,44635.03,0,0,98,511.85,609.85,0,0,0,0,0
20180428_0950_57,44690.82,0,0,97.99,511.85,609.84,0,0,0,0,0
20180428_0950_57,44746.68,0,0,97.99,511.85,609.84,0,0,0,0,0
20180428_0950_57,44802.61,0,0,97.99,511.91,609.9,0,0,0,0,0
20180428_0950_57,44858.61,0,0,98,511.91,609.91,0,0,0,0,0
20180428_0950_57,44914.68,0,0,98,511.91,609.91,0,0,0,0,0
20180428_0950_57,44970.82,0,0,98,511.94,609.94,0,0,0,0,0
20180428_0950_57,45027.03,0,0,97.88,511.94,609.82,0,0,0,0,0
20180428_0950_57,45083.31,0,0,97.88,511.94,609.82,0,0,0,0,0
20180428_0950_57,45139.66,0,0,97.88,511.98,609.86,0,0,0,0,0
20180428_0950_57,45196.08,0,0,97.47,511.98,609.45,0,0,0,0,0
20180428_0950_57,45252.58,0,0,97.47,511.98,609.45,0,0,0,0,0
