Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180506_0839_47,67.33,515.60,582.93,0.0000,0.0000,0.0000,20180427_0819_12,20180506_0839_47,4,67.33,88.62,102.01,511.28,512.88,515.60,582.93,601.50,613.35
41051.25,20180506_0839_47,67.33,515.60,582.93,0.0000,0.0000,0.0000,20180427_0819_12,20180506_0839_47,4,67.33,88.62,102.01,511.25,512.88,515.60,582.93,601.49,613.35
41102.56,20180506_0839_47,67.33,515.60,582.93,0.0000,0.0000,0.0000,20180427_0819_12,20180506_0839_47,4,67.33,88.61,102.01,511.25,512.88,515.60,582.93,601.49,613.36
41153.94,20180506_0839_48,67.33,515.56,582.89,0.0000,0.0078,0.0069,20180427_0819_12,20180506_0839_48,4,67.33,88.59,101.92,511.25,512.87,515.56,582.89,601.46,613.27
41205.38,20180506_0839_48,67.32,515.56,582.88,0.0149,0.0058,0.0069,20180427_0819_12,20180506_0839_48,4,67.32,88.52,101.92,511.25,512.87,515.56,582.88,601.39,613.27
41256.89,20180506_0839_48,67.32,515.56,582.88,0.0119,0.0047,0.0055,20180427_0819_12,20180506_0839_48,4,67.32,88.51,101.92,511.25,512.87,515.56,582.88,601.37,613.26
41308.46,20180506_0839_48,67.32,515.59,582.91,0.0099,0.0020,0.0006,20180427_0819_12,20180506_0839_48,4,67.32,88.38,101.43,511.29,512.88,515.59,582.91,601.27,612.77
41360.10,20180506_0839_48,67.32,515.59,582.91,0.0085,0.0017,0.0005,20180427_0819_12,20180506_0839_48,4,67.32,88.38,101.43,511.29,512.88,515.59,582.91,601.27,612.77
41411.80,20180506_0839_48,67.33,515.59,582.92,0.0074,0.0015,0.0021,20180427_0819_12,20180506_0839_48,4,67.33,88.30,101.39,511.29,512.88,515.59,582.92,601.18,612.73
41463.56,20180506_0839_48,67.33,515.59,582.92,0.0066,0.0013,0.0019,20180427_0819_12,20180506_0839_48,4,67.33,88.16,101.39,511.34,512.90,515.59,582.92,601.05,612.73
41515.39,20180506_0839_48,67.33,515.56,582.89,0.0059,0.0047,0.0034,20180427_0819_13,20180506_0839_48,4,67.33,88.15,101.39,511.34,512.89,515.56,582.89,601.03,612.73
41567.28,20180506_0839_48,67.32,515.56,582.88,0.0095,0.0042,0.0048,20180427_0819_13,20180506_0839_48,4,67.32,88.14,101.39,511.33,512.89,515.56,582.88,601.03,612.72
41619.24,20180506_0839_48,67.32,515.56,582.88,0.0087,0.0039,0.0044,20180427_0819_13,20180506_0839_48,4,67.32,88.14,101.39,511.33,512.90,515.56,582.88,601.05,612.72
41671.26,20180506_0839_48,67.32,515.56,582.88,0.0080,0.0036,0.0041,20180427_0819_13,20180506_0839_48,4,67.32,88.14,101.39,511.34,512.91,515.56,582.88,601.05,612.73
41723.35,20180506_0839_48,67.32,515.56,582.88,0.0074,0.0033,0.0038,20180427_0819_13,20180506_0839_48,4,67.32,88.07,101.08,511.34,512.91,515.56,582.88,600.97,612.42
41775.50,20180506_0839_48,67.32,515.56,582.88,0.0069,0.0031,0.0035,20180427_0819_13,20180506_0839_48,4,67.32,87.98,101.08,511.34,512.93,515.56,582.88,600.91,612.42
