Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180515_2142_47,41000,0,0,257.38,481.18,738.56,0,0,0,0,0
20180515_2142_47,41051.25,0,0,257.12,481.18,738.3,0,0,0,0,0
20180515_2142_47,41102.56,0,0,257.12,481.62,738.74,0,0,0,0,0
20180515_2142_47,41153.94,0,0,257.14,481.62,738.76,0,0,0,0,0
20180515_2142_47,41205.38,0,0,257.14,481.62,738.76,0,0,0,0,0
20180515_2142_48,41256.89,0,0,257.14,481.78,738.92,0,0,0,0,0
20180515_2142_48,41308.46,0,0,257.15,481.78,738.93,0,0,0,0,0
20180515_2142_48,41360.1,0,0,257.15,481.78,738.93,0,0,0,0,0
20180515_2142_48,41411.8,0,0,257.15,481.75,738.9,0,0,0,0,0
20180515_2142_48,41463.56,0,0,257.71,481.75,739.46,0,0,0,0,0
20180515_2142_48,41515.39,0,0,257.71,481.75,739.46,0,0,0,0,0
20180515_2142_48,41567.28,0,0,257.71,481.75,739.46,0,0,0,0,0
20180515_2142_48,41619.24,0,0,257.8,481.75,739.55,0,0,0,0,0
20180515_2142_48,41671.26,0,0,257.8,481.75,739.55,0,0,0,0,0
20180515_2142_48,41723.35,0,0,257.8,481.81,739.61,0,0,0,0,0
20180515_2142_48,41775.5,0,0,258.38,481.81,740.19,0,0,0,0,0
20180515_2142_48,41827.72,0,0,258.38,481.81,740.19,0,0,0,0,0
20180515_2142_48,41880,0,0,258.38,481.81,740.19,0,0,0,0,0
20180515_2142_49,41932.35,0,0,258.5,481.81,740.31,0,0,0,0,0
20180515_2142_49,41984.77,0,0,258.5,481.81,740.31,0,0,0,0,0
20180515_2142_49,42037.25,0,0,258.5,481.78,740.28,0,0,0,0,0
20180515_2142_49,42089.8,0,0,258.99,481.78,740.77,0,0,0,0,0
20180515_2142_49,42142.41,0,0,258.99,481.78,740.77,0,0,0,0,0
20180515_2142_49,42195.09,0,0,258.99,481.8,740.79,0,0,0,0,0
20180515_2142_49,42247.83,0,0,259.05,481.8,740.85,0,0,0,0,0
20180515_2142_49,42300.64,0,0,259.05,481.8,740.85,0,0,0,0,0
20180515_2142_49,42353.52,0,0,259.05,481.85,740.9,0,0,0,0,0
20180515_2142_49,42406.46,0,0,259.65,481.85,741.5,0,0,0,0,0
20180515_2142_49,42459.47,0,0,259.65,481.85,741.5,0,0,0,0,0
20180515_2142_49,42512.54,0,0,259.65,481.76,741.41,0,0,0,0,0
20180515_2142_49,42565.68,0,0,260.04,481.76,741.8,0,0,0,0,0
20180515_2142_49,42618.89,0,0,260.04,481.76,741.8,0,0,0,0,0
20180515_2142_50,42672.16,0,0,260.04,481.76,741.8,0,0,0,0,0
20180515_2142_50,42725.5,0,0,260.04,481.81,741.85,0,0,0,0,0
20180515_2142_50,42778.91,0,0,260.25,481.81,742.06,0,0,0,0,0
20180515_2142_50,42832.38,0,0,260.25,481.81,742.06,0,0,0,0,0
20180515_2142_50,42885.92,0,0,260.25,481.82,742.07,0,0,0,0,0
20180515_2142_50,42939.53,0,0,260.88,481.82,742.7,0,0,0,0,0
20180515_2142_50,42993.2,0,0,260.88,481.82,742.7,0,0,0,0,0
20180515_2142_50,43046.94,0,0,260.88,481.8,742.68,0,0,0,0,0
20180515_2142_50,43100.75,0,0,261.37,481.8,743.17,0,0,0,0,0
20180515_2142_50,43154.63,0,0,261.37,481.8,743.17,0,0,0,0,0
20180515_2142_50,43208.57,0,0,261.37,481.78,743.15,0,0,0,0,0
20180515_2142_50,43262.58,0,0,261.49,481.78,743.27,0,0,0,0,0
20180515_2142_50,43316.66,0,0,261.49,481.78,743.27,0,0,0,0,0
20180515_2142_50,43370.81,0,0,261.49,481.78,743.27,0,0,0,0,0
20180515_2142_50,43425.02,0,0,261.49,481.82,743.31,0,0,0,0,0
20180515_2142_51,43479.3,0,0,262.13,481.82,743.95,0,0,0,0,0
20180515_2142_51,43533.65,0,0,262.13,481.84,743.97,0,0,0,0,0
20180515_2142_51,43588.07,0,0,262.31,481.84,744.15,0,0,0,0,0
20180515_2142_51,43642.56,0,0,262.31,481.84,744.15,0,0,0,0,0
20180515_2142_51,43697.11,0,0,262.31,481.81,744.12,0,0,0,0,0
20180515_2142_51,43751.73,0,0,262.75,481.81,744.56,0,0,0,0,0
20180515_2142_51,43806.42,0,0,262.75,481.81,744.56,0,0,0,0,0
20180515_2142_51,43861.18,0,0,262.75,481.81,744.56,0,0,0,0,0
20180515_2142_51,43916.01,0,0,262.75,481.84,744.59,0,0,0,0,0
20180515_2142_51,43970.91,0,0,263.39,481.84,745.23,0,0,0,0,0
20180515_2142_51,44025.87,0,0,263.39,481.84,745.23,0,0,0,0,0
20180515_2142_51,44080.9,0,0,263.39,481.8,745.19,0,0,0,0,0
20180515_2142_51,44136,0,0,263.88,481.8,745.68,0,0,0,0,0
20180515_2142_52,44191.17,0,0,263.88,481.8,745.68,0,0,0,0,0
20180515_2142_52,44246.41,0,0,263.88,481.8,745.68,0,0,0,0,0
20180515_2142_52,44301.72,0,0,263.99,481.8,745.79,0,0,0,0,0
20180515_2142_52,44357.1,0,0,263.99,481.8,745.79,0,0,0,0,0
20180515_2142_52,44412.55,0,0,263.99,481.85,745.84,0,0,0,0,0
20180515_2142_52,44468.07,0,0,264.62,481.85,746.47,0,0,0,0,0
20180515_2142_52,44523.66,0,0,264.62,481.85,746.47,0,0,0,0,0
20180515_2142_52,44579.31,0,0,264.62,481.82,746.44,0,0,0,0,0
20180515_2142_52,44635.03,0,0,264.7,481.82,746.52,0,0,0,0,0
20180515_2142_52,44690.82,0,0,264.7,481.82,746.52,0,0,0,0,0
20180515_2142_52,44746.68,0,0,264.7,481.81,746.51,0,0,0,0,0
20180515_2142_52,44802.61,0,0,265.24,481.81,747.05,0,0,0,0,0
20180515_2142_52,44858.61,0,0,265.24,481.81,747.05,0,0,0,0,0
20180515_2142_52,44914.68,0,0,265.24,481.8,747.04,0,0,0,0,0
20180515_2142_53,44970.82,0,0,265.55,481.8,747.35,0,0,0,0,0
20180515_2142_53,45027.03,0,0,265.55,481.8,747.35,0,0,0,0,0
20180515_2142_53,45083.31,0,0,265.55,481.81,747.36,0,0,0,0,0
20180515_2142_53,45139.66,0,0,265.87,481.81,747.68,0,0,0,0,0
20180515_2142_53,45196.08,0,0,265.87,481.81,747.68,0,0,0,0,0
20180515_2142_53,45252.58,0,0,265.87,481.85,747.72,0,0,0,0,0
20180515_2142_53,45309.15,0,0,266.48,481.85,748.33,0,0,0,0,0
20180515_2142_53,45365.79,0,0,266.48,481.85,748.33,0,0,0,0,0
20180515_2142_53,45422.5,0,0,266.48,481.82,748.3,0,0,0,0,0
20180515_2142_53,45479.28,0,0,266.5,481.82,748.32,0,0,0,0,0
20180515_2142_53,45536.13,0,0,266.5,481.82,748.32,0,0,0,0,0
20180515_2142_53,45593.05,0,0,266.5,481.81,748.31,0,0,0,0,0
20180515_2142_53,45650.04,0,0,267.1,481.81,748.91,0,0,0,0,0
20180515_2142_53,45707.1,0,0,267.1,481.81,748.91,0,0,0,0,0
20180515_2142_54,45764.23,0,0,267.1,481.89,748.99,0,0,0,0,0
20180515_2142_54,45821.44,0,0,267.16,481.89,749.05,0,0,0,0,0
20180515_2142_54,45878.72,0,0,267.16,481.89,749.05,0,0,0,0,0
20180515_2142_54,45936.07,0,0,267.16,481.8,748.96,0,0,0,0,0
20180515_2142_54,45993.49,0,0,267.16,481.8,748.96,0,0,0,0,0
20180515_2142_54,46050.98,0,0,267.16,481.8,748.96,0,0,0,0,0
20180515_2142_54,46108.54,0,0,267.16,481.84,749,0,0,0,0,0
20180515_2142_54,46166.18,0,0,267.75,481.84,749.59,0,0,0,0,0
20180515_2142_54,46223.89,0,0,267.75,481.84,749.59,0,0,0,0,0
20180515_2142_54,46281.67,0,0,267.75,481.82,749.57,0,0,0,0,0
20180515_2142_54,46339.52,0,0,267.79,481.82,749.61,0,0,0,0,0
20180515_2142_54,46397.44,0,0,267.79,481.82,749.61,0,0,0,0,0
20180515_2142_54,46455.44,0,0,267.79,481.85,749.64,0,0,0,0,0
20180515_2142_54,46513.51,0,0,267.79,481.85,749.64,0,0,0,0,0
20180515_2142_55,46571.65,0,0,268.38,481.85,750.23,0,0,0,0,0
20180515_2142_55,46629.86,0,0,268.38,481.85,750.23,0,0,0,0,0
20180515_2142_55,46688.15,0,0,268.38,481.84,750.22,0,0,0,0,0
20180515_2142_55,46746.51,0,0,268.38,481.84,750.22,0,0,0,0,0
20180515_2142_55,46804.94,0,0,268.38,481.84,750.22,0,0,0,0,0
20180515_2142_55,46863.45,0,0,268.81,481.84,750.65,0,0,0,0,0
20180515_2142_55,46922.03,0,0,268.81,481.84,750.65,0,0,0,0,0
20180515_2142_55,46980.68,0,0,268.81,481.89,750.7,0,0,0,0,0
20180515_2142_55,47039.41,0,0,268.81,481.89,750.7,0,0,0,0,0
20180515_2142_55,47098.21,0,0,269.04,481.89,750.93,0,0,0,0,0
20180515_2142_55,47157.08,0,0,269.04,481.89,750.93,0,0,0,0,0
20180515_2142_55,47216.03,0,0,269.04,481.86,750.9,0,0,0,0,0
20180515_2142_55,47275.05,0,0,269.62,481.86,751.48,0,0,0,0,0
20180515_2142_56,47334.14,0,0,269.62,481.86,751.48,0,0,0,0,0
20180515_2142_56,47393.31,0,0,269.62,481.85,751.47,0,0,0,0,0
20180515_2142_56,47452.55,0,0,269.63,481.85,751.48,0,0,0,0,0
20180515_2142_56,47511.87,0,0,269.63,481.85,751.48,0,0,0,0,0
20180515_2142_56,47571.26,0,0,269.63,481.82,751.45,0,0,0,0,0
20180515_2142_56,47630.72,0,0,269.62,481.82,751.44,0,0,0,0,0
20180515_2142_56,47690.26,0,0,269.62,481.82,751.44,0,0,0,0,0
20180515_2142_56,47749.87,0,0,269.62,481.8,751.42,0,0,0,0,0
20180515_2142_56,47809.56,0,0,269.61,481.8,751.41,0,0,0,0,0
20180515_2142_56,47869.32,0,0,269.61,481.8,751.41,0,0,0,0,0
20180515_2142_56,47929.16,0,0,269.61,481.85,751.46,0,0,0,0,0
20180515_2142_56,47989.07,0,0,269.88,481.85,751.73,0,0,0,0,0
20180515_2142_56,48049.06,0,0,269.88,481.85,751.73,0,0,0,0,0
20180515_2142_56,48109.12,0,0,269.88,481.85,751.73,0,0,0,0,0
20180515_2142_57,48169.26,0,0,270.25,481.85,752.1,0,0,0,0,0
20180515_2142_57,48229.47,0,0,270.25,481.85,752.1,0,0,0,0,0
20180515_2142_57,48289.76,0,0,270.25,481.81,752.06,0,0,0,0,0
20180515_2142_57,48350.12,0,0,270.25,481.81,752.06,0,0,0,0,0
20180515_2142_57,48410.56,0,0,270.24,481.81,752.05,0,0,0,0,0
20180515_2142_57,48471.07,0,0,270.24,481.75,751.99,0,0,0,0,0
20180515_2142_57,48531.66,0,0,270.2,481.75,751.95,0,0,0,0,0
20180515_2142_57,48592.32,0,0,270.2,481.75,751.95,0,0,0,0,0
20180515_2142_57,48653.06,0,0,270.2,481.81,752.01,0,0,0,0,0
20180515_2142_57,48713.88,0,0,270.36,481.81,752.17,0,0,0,0,0
20180515_2142_57,48774.77,0,0,270.36,481.81,752.17,0,0,0,0,0
20180515_2142_57,48835.74,0,0,270.36,481.81,752.17,0,0,0,0,0
20180515_2142_57,48896.78,0,0,270.36,481.81,752.17,0,0,0,0,0
20180515_2142_57,48957.9,0,0,270.77,481.81,752.58,0,0,0,0,0
20180515_2142_58,49019.1,0,0,270.77,481.81,752.58,0,0,0,0,0
20180515_2142_58,49080.37,0,0,270.77,481.86,752.63,0,0,0,0,0
20180515_2142_58,49141.72,0,0,270.89,481.86,752.75,0,0,0,0,0
20180515_2142_58,49203.15,0,0,270.89,481.86,752.75,0,0,0,0,0
