Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180515_2142_47,41000.00000,0,0,2.44,99.53,1.97,0,0,0,0,0
20180515_2142_47,41051.25000,0,0,2.11,99.52,1.63,0,0,0,0,0
20180515_2142_47,41102.56000,0,0,1.99,99.93,1.92,0,0,0,0,0
20180515_2142_47,41153.94000,0,0,1.82,99.92,1.74,0,0,0,0,0
20180515_2142_47,41205.38000,0,0,1.65,99.92,1.57,0,0,0,0,0
20180515_2142_48,41256.89000,0,0,1.57,100.08,1.65,0,0,0,0,0
20180515_2142_48,41308.46000,0,0,1.49,100.08,1.57,0,0,0,0,0
20180515_2142_48,41360.10000,0,0,1.41,100.09,1.51,0,0,0,0,0
20180515_2142_48,41411.80000,0,0,1.33,100.07,1.41,0,0,0,0,0
20180515_2142_48,41463.56000,0,0,1.75,100.07,1.82,0,0,0,0,0
20180515_2142_48,41515.39000,0,0,1.54,100.06,1.59,0,0,0,0,0
20180515_2142_48,41567.28000,0,0,1.40,100.05,1.45,0,0,0,0,0
20180515_2142_48,41619.24000,0,0,1.37,100.07,1.44,0,0,0,0,0
20180515_2142_48,41671.26000,0,0,1.23,100.08,1.31,0,0,0,0,0
20180515_2142_48,41723.35000,0,0,1.14,100.15,1.29,0,0,0,0,0
20180515_2142_48,41775.50000,0,0,1.59,100.16,1.75,0,0,0,0,0
20180515_2142_48,41827.72000,0,0,1.52,100.16,1.68,0,0,0,0,0
20180515_2142_48,41880.00000,0,0,1.38,100.14,1.52,0,0,0,0,0
20180515_2142_49,41932.35000,0,0,1.37,100.13,1.50,0,0,0,0,0
20180515_2142_49,41984.77000,0,0,1.24,100.15,1.39,0,0,0,0,0
20180515_2142_49,42037.25000,0,0,1.18,100.13,1.31,0,0,0,0,0
20180515_2142_49,42089.80000,0,0,1.61,100.13,1.75,0,0,0,0,0
20180515_2142_49,42142.41000,0,0,1.49,100.12,1.61,0,0,0,0,0
20180515_2142_49,42195.09000,0,0,1.38,100.13,1.51,0,0,0,0,0
20180515_2142_49,42247.83000,0,0,1.39,100.12,1.51,0,0,0,0,0
20180515_2142_49,42300.64000,0,0,1.28,100.11,1.39,0,0,0,0,0
20180515_2142_49,42353.52000,0,0,1.12,100.17,1.28,0,0,0,0,0
20180515_2142_49,42406.46000,0,0,1.64,100.18,1.82,0,0,0,0,0
20180515_2142_49,42459.47000,0,0,1.53,100.20,1.73,0,0,0,0,0
20180515_2142_49,42512.54000,0,0,1.42,100.11,1.53,0,0,0,0,0
20180515_2142_49,42565.68000,0,0,1.69,100.12,1.80,0,0,0,0,0
20180515_2142_49,42618.89000,0,0,1.50,100.11,1.61,0,0,0,0,0
20180515_2142_50,42672.16000,0,0,1.40,100.11,1.51,0,0,0,0,0
20180515_2142_50,42725.50000,0,0,1.38,100.16,1.54,0,0,0,0,0
20180515_2142_50,42778.91000,0,0,1.56,100.17,1.73,0,0,0,0,0
20180515_2142_50,42832.38000,0,0,1.47,100.16,1.63,0,0,0,0,0
20180515_2142_50,42885.92000,0,0,1.29,100.16,1.45,0,0,0,0,0
20180515_2142_50,42939.53000,0,0,1.77,100.16,1.93,0,0,0,0,0
20180515_2142_50,42993.20000,0,0,1.60,100.16,1.76,0,0,0,0,0
20180515_2142_50,43046.94000,0,0,1.48,100.14,1.61,0,0,0,0,0
20180515_2142_50,43100.75000,0,0,1.86,100.13,1.99,0,0,0,0,0
20180515_2142_50,43154.63000,0,0,1.73,100.13,1.85,0,0,0,0,0
20180515_2142_50,43208.57000,0,0,1.60,100.10,1.70,0,0,0,0,0
20180515_2142_50,43262.58000,0,0,1.60,100.12,1.72,0,0,0,0,0
20180515_2142_50,43316.66000,0,0,1.48,100.14,1.63,0,0,0,0,0
20180515_2142_50,43370.81000,0,0,1.39,100.15,1.54,0,0,0,0,0
20180515_2142_50,43425.02000,0,0,1.31,100.17,1.48,0,0,0,0,0
20180515_2142_51,43479.30000,0,0,1.73,100.14,1.87,0,0,0,0,0
20180515_2142_51,43533.65000,0,0,1.57,100.16,1.73,0,0,0,0,0
20180515_2142_51,43588.07000,0,0,1.70,100.16,1.86,0,0,0,0,0
20180515_2142_51,43642.56000,0,0,1.51,100.17,1.68,0,0,0,0,0
20180515_2142_51,43697.11000,0,0,1.35,100.14,1.49,0,0,0,0,0
20180515_2142_51,43751.73000,0,0,1.70,100.15,1.85,0,0,0,0,0
20180515_2142_51,43806.42000,0,0,1.51,100.14,1.65,0,0,0,0,0
20180515_2142_51,43861.18000,0,0,1.41,100.14,1.55,0,0,0,0,0
20180515_2142_51,43916.01000,0,0,1.35,100.17,1.52,0,0,0,0,0
20180515_2142_51,43970.91000,0,0,1.78,100.17,1.95,0,0,0,0,0
20180515_2142_51,44025.87000,0,0,1.59,100.16,1.75,0,0,0,0,0
20180515_2142_51,44080.90000,0,0,1.47,100.11,1.58,0,0,0,0,0
20180515_2142_51,44136.00000,0,0,1.74,100.10,1.84,0,0,0,0,0
20180515_2142_52,44191.17000,0,0,1.65,100.10,1.75,0,0,0,0,0
20180515_2142_52,44246.41000,0,0,1.56,100.10,1.66,0,0,0,0,0
20180515_2142_52,44301.72000,0,0,1.49,100.11,1.60,0,0,0,0,0
20180515_2142_52,44357.10000,0,0,1.41,100.11,1.52,0,0,0,0,0
20180515_2142_52,44412.55000,0,0,1.36,100.16,1.52,0,0,0,0,0
20180515_2142_52,44468.07000,0,0,1.78,100.15,1.93,0,0,0,0,0
20180515_2142_52,44523.66000,0,0,1.55,100.14,1.69,0,0,0,0,0
20180515_2142_52,44579.31000,0,0,1.47,100.12,1.59,0,0,0,0,0
20180515_2142_52,44635.03000,0,0,1.49,100.12,1.61,0,0,0,0,0
20180515_2142_52,44690.82000,0,0,1.36,100.15,1.51,0,0,0,0,0
