Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180515_2142_47,257.38,481.18,738.56,0.0000,0.0000,0.0000,20180515_1514_07,20180515_2142_47,10,234.86,254.52,257.73,481.18,481.33,481.96,716.40,735.85,739.00
41051.25,20180515_2142_47,257.12,481.18,738.30,0.1011,0.0000,0.0352,20180515_1514_07,20180515_2142_47,10,234.64,254.48,257.73,481.18,481.44,481.96,716.18,735.91,739.00
41102.56,20180515_2142_47,257.12,481.62,738.74,0.0506,0.0914,0.0420,20180515_1514_07,20180515_2142_47,10,234.64,254.47,257.73,481.19,481.61,482.13,716.77,736.08,739.08
41153.94,20180515_2142_47,257.14,481.62,738.76,0.0259,0.0609,0.0307,20180515_1514_07,20180515_2142_47,10,234.58,254.42,257.35,481.19,481.66,482.13,716.71,736.08,738.77
41205.38,20180515_2142_47,257.14,481.62,738.76,0.0194,0.0457,0.0230,20180515_1514_08,20180515_2142_47,10,234.58,254.42,257.35,481.49,481.76,482.13,716.71,736.17,739.12
41256.89,20180515_2142_48,257.14,481.78,738.92,0.0155,0.0697,0.0401,20180515_1514_08,20180515_2142_48,10,234.81,254.56,257.79,481.49,481.77,482.12,716.93,736.33,739.53
41308.46,20180515_2142_48,257.15,481.78,738.93,0.0091,0.0581,0.0347,20180515_1514_08,20180515_2142_48,10,234.81,254.56,257.79,481.49,481.80,482.12,716.93,736.36,739.53
41360.10,20180515_2142_48,257.15,481.78,738.93,0.0078,0.0498,0.0298,20180515_1514_08,20180515_2142_48,10,234.81,254.63,257.79,481.63,481.85,482.12,716.93,736.48,739.73
41411.80,20180515_2142_48,257.15,481.75,738.90,0.0068,0.0374,0.0220,20180515_1514_08,20180515_2142_48,10,234.81,254.70,257.84,481.63,481.85,482.13,716.94,736.55,739.78
41463.56,20180515_2142_48,257.71,481.75,739.46,0.2113,0.0332,0.0953,20180515_1514_08,20180515_2142_48,10,234.84,254.84,257.84,481.63,481.85,482.13,716.97,736.69,739.78
41515.39,20180515_2142_48,257.71,481.75,739.46,0.1901,0.0299,0.0857,20180515_1514_08,20180515_2142_48,10,234.84,254.94,257.84,481.65,481.85,482.13,716.97,736.79,739.80
41567.28,20180515_2142_48,257.71,481.75,739.46,0.1728,0.0272,0.0779,20180515_1514_08,20180515_2142_48,10,234.84,255.01,258.18,481.65,481.86,482.12,716.96,736.87,740.07
41619.24,20180515_2142_48,257.80,481.75,739.55,0.1933,0.0249,0.0836,20180515_1514_08,20180515_2142_48,10,234.95,255.04,258.18,481.65,481.85,482.12,717.07,736.89,740.07
41671.26,20180515_2142_48,257.80,481.75,739.55,0.1784,0.0230,0.0772,20180515_1514_08,20180515_2142_48,10,234.95,255.14,258.18,481.67,481.86,482.12,717.07,736.99,740.11
41723.35,20180515_2142_48,257.80,481.81,739.61,0.1657,0.0338,0.0798,20180515_1514_08,20180515_2142_48,10,234.95,255.32,258.45,481.67,481.86,482.18,717.13,737.18,740.39
41775.50,20180515_2142_48,258.38,481.81,740.19,0.3788,0.0315,0.1528,20180515_1514_08,20180515_2142_48,10,235.48,255.49,258.45,481.67,481.87,482.18,717.66,737.36,740.39
41827.72,20180515_2142_48,258.38,481.81,740.19,0.3551,0.0296,0.1432,20180515_1514_08,20180515_2142_48,10,235.48,255.64,258.45,481.72,481.87,482.18,717.66,737.51,740.38
41880.00,20180515_2142_48,258.38,481.81,740.19,0.3342,0.0278,0.1348,20180515_1514_08,20180515_2142_48,10,235.48,255.72,258.98,481.72,481.87,482.13,717.61,737.59,740.90
41932.35,20180515_2142_49,258.50,481.81,740.31,0.3619,0.0263,0.1435,20180515_1514_09,20180515_2142_49,10,235.47,255.74,258.98,481.72,481.87,482.13,717.60,737.61,740.90
41984.77,20180515_2142_49,258.50,481.81,740.31,0.3429,0.0249,0.1359,20180515_1514_09,20180515_2142_49,10,235.47,255.79,258.98,481.61,481.86,482.13,717.60,737.65,740.91
42037.25,20180515_2142_49,258.50,481.78,740.28,0.3257,0.0174,0.1251,20180515_1514_09,20180515_2142_49,10,235.47,255.95,259.08,481.61,481.86,482.12,717.59,737.81,741.04
42089.80,20180515_2142_49,258.99,481.78,740.77,0.4927,0.0112,0.1795,20180515_1514_09,20180515_2142_49,10,235.76,256.09,259.08,481.61,481.85,482.12,717.88,737.94,741.04
42142.41,20180515_2142_49,258.99,481.78,740.77,0.4566,0.0050,0.1629,20180515_1514_09,20180515_2142_49,10,235.76,256.15,259.08,481.66,481.86,482.12,717.88,738.01,741.04
42195.09,20180515_2142_49,258.99,481.80,740.79,0.4205,0.0075,0.1519,20180515_1514_09,20180515_2142_49,10,235.76,256.31,259.68,481.66,481.86,482.15,717.91,738.17,741.62
42247.83,20180515_2142_49,259.05,481.80,740.85,0.4078,0.0056,0.1463,20180515_1514_09,20180515_2142_49,10,236.09,256.35,259.68,481.66,481.86,482.15,718.24,738.21,741.62
42300.64,20180515_2142_49,259.05,481.80,740.85,0.3710,0.0037,0.1321,20180515_1514_09,20180515_2142_49,10,236.09,256.35,259.68,481.66,481.85,482.15,718.24,738.20,741.61
42353.52,20180515_2142_49,259.05,481.85,740.90,0.3341,0.0139,0.1259,20180515_1514_09,20180515_2142_49,10,236.09,256.48,259.71,481.63,481.86,482.15,718.24,738.34,741.64
42406.46,20180515_2142_49,259.65,481.85,741.50,0.5278,0.0132,0.1934,20180515_1514_09,20180515_2142_49,10,236.09,256.66,259.71,481.63,481.86,482.15,718.24,738.52,741.64
42459.47,20180515_2142_49,259.65,481.85,741.50,0.4797,0.0125,0.1761,20180515_1514_09,20180515_2142_49,10,236.09,256.79,259.71,481.63,481.87,482.15,718.24,738.65,741.65
42512.54,20180515_2142_49,259.65,481.76,741.41,0.4315,0.0073,0.1464,20180515_1514_09,20180515_2142_49,10,236.09,256.89,259.98,481.58,481.85,482.12,718.21,738.74,741.94
42565.68,20180515_2142_49,260.04,481.76,741.80,0.5436,0.0074,0.1858,20180515_1514_09,20180515_2142_49,10,236.43,257.04,260.31,481.58,481.84,482.12,718.55,738.88,742.24
42618.89,20180515_2142_49,260.04,481.76,741.80,0.4988,0.0075,0.1700,20180515_1514_10,20180515_2142_49,10,236.43,257.06,260.31,481.58,481.83,482.12,718.55,738.89,742.24
42672.16,20180515_2142_50,260.04,481.76,741.80,0.4540,0.0076,0.1542,20180515_1514_10,20180515_2142_50,10,236.43,257.14,260.33,481.63,481.84,482.14,718.57,738.98,742.29
42725.50,20180515_2142_50,260.04,481.81,741.85,0.4109,0.0027,0.1458,20180515_1514_10,20180515_2142_50,10,236.72,257.31,260.66,481.63,481.85,482.14,718.86,739.16,742.59
42778.91,20180515_2142_50,260.25,481.81,742.06,0.4482,0.0021,0.1585,20180515_1514_10,20180515_2142_50,10,236.72,257.47,260.66,481.63,481.84,482.14,718.86,739.32,742.59
42832.38,20180515_2142_50,260.25,481.81,742.06,0.4012,0.0021,0.1420,20180515_1514_10,20180515_2142_50,10,236.72,257.60,260.91,481.68,481.85,482.19,718.91,739.45,742.84
42885.92,20180515_2142_50,260.25,481.82,742.07,0.3652,0.0042,0.1308,20180515_1514_10,20180515_2142_50,10,236.75,257.68,260.94,481.68,481.87,482.19,718.94,739.54,742.87
42939.53,20180515_2142_50,260.88,481.82,742.70,0.5700,0.0040,0.2028,20180515_1514_10,20180515_2142_50,10,236.75,257.84,260.94,481.68,481.87,482.19,718.94,739.71,742.87
42993.20,20180515_2142_50,260.88,481.82,742.70,0.5221,0.0039,0.1859,20180515_1514_10,20180515_2142_50,10,236.75,257.96,261.04,481.67,481.86,482.10,718.85,739.82,742.98
43046.94,20180515_2142_50,260.88,481.80,742.68,0.4765,0.0003,0.1672,20180515_1514_10,20180515_2142_50,10,237.28,258.09,261.56,481.67,481.86,482.10,719.38,739.95,743.49
43100.75,20180515_2142_50,261.37,481.80,743.17,0.6175,0.0002,0.2170,20180515_1514_10,20180515_2142_50,10,237.28,258.14,261.56,481.67,481.85,482.10,719.38,739.99,743.49
43154.63,20180515_2142_50,261.37,481.80,743.17,0.5626,0.0004,0.1976,20180515_1514_10,20180515_2142_50,10,237.28,258.34,261.56,481.68,481.86,482.14,719.42,740.20,743.50
43208.57,20180515_2142_50,261.37,481.78,743.15,0.5171,0.0048,0.1788,20180515_1514_10,20180515_2142_50,10,237.34,258.46,261.59,481.68,481.86,482.14,719.48,740.32,743.53
43262.58,20180515_2142_50,261.49,481.78,743.27,0.5172,0.0048,0.1789,20180515_1514_10,20180515_2142_50,10,237.34,258.48,261.59,481.68,481.84,482.14,719.48,740.32,743.53
43316.66,20180515_2142_50,261.49,481.78,743.27,0.4694,0.0046,0.1622,20180515_1514_10,20180515_2142_50,10,237.34,258.64,261.59,481.66,481.85,482.18,719.52,740.49,743.52
43370.81,20180515_2142_50,261.49,481.78,743.27,0.4228,0.0044,0.1459,20180515_1514_11,20180515_2142_50,10,237.47,258.79,262.19,481.66,481.85,482.18,719.65,740.64,744.12
43425.02,20180515_2142_50,261.49,481.82,743.31,0.3761,0.0042,0.1350,20180515_1514_11,20180515_2142_50,10,237.47,258.79,262.19,481.66,481.87,482.18,719.65,740.66,744.12
43479.30,20180515_2142_51,262.13,481.82,743.95,0.5728,0.0045,0.2047,20180515_1514_11,20180515_2142_51,10,237.47,259.03,262.19,481.75,481.88,482.16,719.63,740.90,744.15
43533.65,20180515_2142_51,262.13,481.84,743.97,0.5255,0.0089,0.1909,20180515_1514_11,20180515_2142_51,10,237.97,259.21,262.28,481.75,481.88,482.16,720.13,741.09,744.22
43588.07,20180515_2142_51,262.31,481.84,744.15,0.5465,0.0090,0.1985,20180515_1514_11,20180515_2142_51,10,237.97,259.33,262.81,481.71,481.88,482.16,720.13,741.21,744.77
43642.56,20180515_2142_51,262.31,481.84,744.15,0.4958,0.0082,0.1801,20180515_1514_11,20180515_2142_51,10,237.97,259.41,262.81,481.62,481.86,482.19,720.16,741.28,744.77
43697.11,20180515_2142_51,262.31,481.81,744.12,0.4525,0.0011,0.1603,20180515_1514_11,20180515_2142_51,10,238.54,259.63,262.82,481.62,481.85,482.19,720.73,741.48,744.76
43751.73,20180515_2142_51,262.75,481.81,744.56,0.5760,0.0006,0.2037,20180515_1514_11,20180515_2142_51,10,238.54,259.72,263.13,481.62,481.85,482.19,720.73,741.56,745.07
43806.42,20180515_2142_51,262.75,481.81,744.56,0.5244,0.0001,0.1851,20180515_1514_11,20180515_2142_51,10,238.54,259.89,263.13,481.64,481.84,482.14,720.68,741.73,745.07
43861.18,20180515_2142_51,262.75,481.81,744.56,0.4729,0.0001,0.1669,20180515_1514_11,20180515_2142_51,10,238.58,260.00,263.44,481.64,481.83,482.14,720.72,741.83,745.38
43916.01,20180515_2142_51,262.75,481.84,744.59,0.4253,0.0063,0.1542,20180515_1514_11,20180515_2142_51,10,238.58,260.02,263.44,481.64,481.85,482.14,720.72,741.87,745.38
43970.91,20180515_2142_51,263.39,481.84,745.23,0.6198,0.0060,0.2230,20180515_1514_11,20180515_2142_51,10,238.58,260.25,263.44,481.69,481.86,482.14,720.72,742.12,745.40
44025.87,20180515_2142_51,263.39,481.84,745.23,0.5602,0.0058,0.2017,20180515_1514_11,20180515_2142_51,10,238.58,260.41,263.72,481.70,481.88,482.19,720.77,742.28,745.68
44080.90,20180515_2142_51,263.39,481.80,745.19,0.5126,0.0027,0.1794,20180515_1514_11,20180515_2142_51,10,238.66,260.50,264.07,481.70,481.87,482.19,720.85,742.37,746.03
44136.00,20180515_2142_51,263.88,481.80,745.68,0.6497,0.0025,0.2283,20180515_1514_12,20180515_2142_51,10,238.66,260.63,264.07,481.64,481.86,482.19,720.85,742.49,746.03
44191.17,20180515_2142_52,263.88,481.80,745.68,0.5929,0.0025,0.2082,20180515_1514_12,20180515_2142_52,10,239.22,260.87,264.07,481.64,481.86,482.18,721.40,742.73,746.03
44246.41,20180515_2142_52,263.88,481.80,745.68,0.5453,0.0025,0.1914,20180515_1514_12,20180515_2142_52,10,239.22,260.87,264.09,481.64,481.85,482.18,721.40,742.72,746.03
44301.72,20180515_2142_52,263.99,481.80,745.79,0.5392,0.0025,0.1893,20180515_1514_12,20180515_2142_52,10,239.22,261.05,264.09,481.64,481.85,482.15,721.37,742.90,746.02
44357.10,20180515_2142_52,263.99,481.80,745.79,0.4896,0.0027,0.1716,20180515_1514_12,20180515_2142_52,10,239.65,261.14,264.46,481.64,481.85,482.15,721.80,742.99,746.40
44412.55,20180515_2142_52,263.99,481.85,745.84,0.4422,0.0075,0.1614,20180515_1514_12,20180515_2142_52,10,239.65,261.23,264.70,481.64,481.86,482.15,721.80,743.09,746.66
44468.07,20180515_2142_52,264.62,481.85,746.47,0.6320,0.0067,0.2284,20180515_1514_12,20180515_2142_52,10,239.65,261.38,264.70,481.62,481.86,482.15,721.80,743.24,746.66
44523.66,20180515_2142_52,264.62,481.85,746.47,0.5729,0.0060,0.2070,20180515_1514_12,20180515_2142_52,10,239.86,261.55,264.71,481.62,481.86,482.15,722.01,743.41,746.67
44579.31,20180515_2142_52,264.62,481.82,746.44,0.5138,0.0005,0.1818,20180515_1514_12,20180515_2142_52,10,239.86,261.65,265.14,481.62,481.86,482.15,722.01,743.52,747.06
44635.03,20180515_2142_52,264.70,481.82,746.52,0.4968,0.0005,0.1758,20180515_1514_12,20180515_2142_52,10,239.86,261.82,265.14,481.68,481.87,482.17,722.03,743.69,747.06
44690.82,20180515_2142_52,264.70,481.82,746.52,0.4483,0.0003,0.1587,20180515_1514_12,20180515_2142_52,10,240.46,262.04,265.31,481.68,481.87,482.17,722.63,743.90,747.24
44746.68,20180515_2142_52,264.70,481.81,746.51,0.4031,0.0022,0.1415,20180515_1514_12,20180515_2142_52,10,240.46,262.09,265.31,481.68,481.86,482.17,722.63,743.96,747.24
44802.61,20180515_2142_52,265.24,481.81,747.05,0.5608,0.0019,0.1979,20180515_1514_12,20180515_2142_52,10,240.46,262.18,265.31,481.68,481.86,482.16,722.62,744.04,747.25
44858.61,20180515_2142_52,265.24,481.81,747.05,0.5056,0.0019,0.1783,20180515_1514_13,20180515_2142_52,10,240.46,262.26,265.31,481.59,481.85,482.16,722.62,744.11,747.25
44914.68,20180515_2142_52,265.24,481.80,747.04,0.4586,0.0039,0.1603,20180515_1514_13,20180515_2142_52,10,241.08,262.42,265.89,481.59,481.84,482.16,723.24,744.26,747.83
44970.82,20180515_2142_53,265.55,481.80,747.35,0.5280,0.0038,0.1851,20180515_1514_13,20180515_2142_53,10,241.08,262.55,265.89,481.59,481.85,482.14,723.22,744.40,747.83
45027.03,20180515_2142_53,265.55,481.80,747.35,0.4752,0.0037,0.1664,20180515_1514_13,20180515_2142_53,10,241.08,262.61,265.89,481.65,481.86,482.14,723.22,744.46,747.83
45083.31,20180515_2142_53,265.55,481.81,747.36,0.4225,0.0012,0.1493,20180515_1514_13,20180515_2142_53,10,241.69,262.86,265.98,481.68,481.87,482.14,723.83,744.72,747.92
45139.66,20180515_2142_53,265.87,481.81,747.68,0.5017,0.0009,0.1778,20180515_1514_13,20180515_2142_53,10,241.69,263.02,265.98,481.68,481.87,482.22,723.91,744.89,747.92
45196.08,20180515_2142_53,265.87,481.81,747.68,0.4551,0.0006,0.1614,20180515_1514_13,20180515_2142_53,10,242.35,263.09,265.98,481.63,481.86,482.22,724.57,744.95,747.91
45252.58,20180515_2142_53,265.87,481.85,747.72,0.4085,0.0076,0.1501,20180515_1514_13,20180515_2142_53,10,242.35,263.18,266.47,481.63,481.86,482.22,724.57,745.04,748.43
45309.15,20180515_2142_53,266.48,481.85,748.33,0.5991,0.0071,0.2179,20180515_1514_13,20180515_2142_53,10,242.35,263.35,266.54,481.63,481.86,482.20,724.55,745.21,748.44
45365.79,20180515_2142_53,266.48,481.85,748.33,0.5503,0.0065,0.2002,20180515_1514_13,20180515_2142_53,10,242.96,263.48,266.54,481.71,481.87,482.20,725.16,745.35,748.44
45422.50,20180515_2142_53,266.48,481.82,748.30,0.5015,0.0002,0.1785,20180515_1514_13,20180515_2142_53,10,242.96,263.53,266.57,481.60,481.85,482.20,725.16,745.38,748.51
45479.28,20180515_2142_53,266.50,481.82,748.32,0.4623,0.0004,0.1644,20180515_1514_13,20180515_2142_53,10,242.96,263.66,266.86,481.60,481.86,482.20,725.16,745.52,748.79
45536.13,20180515_2142_53,266.50,481.82,748.32,0.4152,0.0006,0.1475,20180515_1514_13,20180515_2142_53,10,243.58,263.84,266.86,481.60,481.85,482.20,725.78,745.69,748.79
45593.05,20180515_2142_53,266.50,481.81,748.31,0.3681,0.0024,0.1296,20180515_1514_14,20180515_2142_53,10,243.58,263.98,267.18,481.67,481.87,482.20,725.78,745.85,749.11
45650.04,20180515_2142_53,267.10,481.81,748.91,0.5567,0.0020,0.1973,20180515_1514_14,20180515_2142_53,10,243.58,264.15,267.18,481.67,481.87,482.29,725.87,746.02,749.11
45707.10,20180515_2142_53,267.10,481.81,748.91,0.5103,0.0016,0.1810,20180515_1514_14,20180515_2142_53,10,244.25,264.28,267.18,481.68,481.87,482.29,726.54,746.15,749.12
45764.23,20180515_2142_54,267.10,481.89,748.99,0.4639,0.0152,0.1752,20180515_1514_14,20180515_2142_54,10,244.25,264.28,267.19,481.68,481.88,482.29,726.54,746.16,749.13
45821.44,20180515_2142_54,267.16,481.89,749.05,0.4413,0.0144,0.1667,20180515_1514_14,20180515_2142_54,10,244.25,264.39,267.19,481.68,481.88,482.26,726.51,746.27,749.13
45878.72,20180515_2142_54,267.16,481.89,749.05,0.3953,0.0137,0.1498,20180515_1514_14,20180515_2142_54,10,244.77,264.49,267.20,481.73,481.89,482.26,727.03,746.38,749.16
45936.07,20180515_2142_54,267.16,481.80,748.96,0.3492,0.0058,0.1208,20180515_1514_14,20180515_2142_54,10,244.77,264.50,267.22,481.73,481.88,482.26,727.03,746.38,749.16
