Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
4000000.00,20180516_1911_04,380.22,482.98,863.20,0.0000,0.0000,0.0000,20180516_1908_26,20180516_1911_04,3,380.22,380.35,380.53,482.98,483.24,483.68,863.20,863.59,863.98
4005000.00,20180516_1911_04,380.22,483.34,863.56,0.0000,0.0745,0.0417,20180516_1908_26,20180516_1911_04,3,380.22,380.35,380.53,483.34,483.52,483.65,863.56,863.87,864.11
4010006.00,20180516_1911_04,380.24,483.34,863.58,0.0053,0.0372,0.0232,20180516_1908_26,20180516_1911_04,3,380.24,380.38,380.58,483.34,483.52,483.65,863.58,863.90,864.16
4015019.00,20180516_1911_04,380.24,483.50,863.74,0.0035,0.0579,0.0340,20180516_1908_26,20180516_1911_04,3,380.24,380.38,380.58,483.50,483.58,483.65,863.74,863.95,864.16
4020038.00,20180516_1911_04,380.30,483.50,863.80,0.0184,0.0434,0.0324,20180516_1908_26,20180516_1911_04,3,380.30,380.40,380.58,483.50,483.70,483.97,863.80,864.09,864.28
4025063.00,20180516_1911_04,380.30,483.50,863.80,0.0147,0.0347,0.0259,20180516_1908_26,20180516_1911_04,3,380.30,380.49,380.62,483.50,483.70,483.97,863.80,864.18,864.51
4030094.00,20180516_1911_04,380.30,483.56,863.86,0.0123,0.0414,0.0286,20180516_1908_27,20180516_1911_04,3,380.30,380.49,380.62,483.56,483.72,483.97,863.86,864.20,864.51
4035132.00,20180516_1911_04,380.54,483.56,864.10,0.0736,0.0354,0.0522,20180516_1908_27,20180516_1911_04,3,380.54,380.59,380.70,483.56,483.81,484.17,864.10,864.41,864.71
4040176.00,20180516_1911_05,380.54,484.03,864.57,0.0644,0.1281,0.1000,20180516_1908_27,20180516_1911_05,3,380.54,380.61,380.70,484.03,484.13,484.20,864.57,864.74,864.90
4045226.00,20180516_1911_05,380.63,484.03,864.66,0.0809,0.1139,0.0993,20180516_1908_27,20180516_1911_05,3,380.59,380.62,380.64,484.03,484.13,484.20,864.66,864.75,864.84
4050282.00,20180516_1911_05,380.63,484.03,864.66,0.0728,0.1025,0.0894,20180516_1908_27,20180516_1911_05,3,380.59,380.62,380.64,484.03,484.18,484.31,864.66,864.80,864.90
4055345.00,20180516_1911_05,380.63,484.11,864.74,0.0662,0.1097,0.0905,20180516_1908_27,20180516_1911_05,3,380.63,380.66,380.70,484.11,484.19,484.31,864.74,864.85,865.01
4060414.00,20180516_1911_05,380.55,484.11,864.66,0.0396,0.1005,0.0737,20180516_1908_27,20180516_1911_05,3,380.55,380.61,380.70,484.11,484.19,484.31,864.66,864.81,865.01
4065490.00,20180516_1911_05,380.55,484.11,864.66,0.0366,0.0928,0.0681,20180516_1908_27,20180516_1911_05,3,380.55,380.61,380.70,484.11,484.14,484.16,864.66,864.76,864.86
4070572.00,20180516_1911_05,380.55,484.11,864.66,0.0340,0.0862,0.0632,20180516_1908_27,20180516_1911_05,3,380.55,380.58,380.59,484.11,484.14,484.16,864.66,864.72,864.75
4075660.00,20180516_1911_05,380.55,484.11,864.66,0.0317,0.0804,0.0590,20180516_1908_27,20180516_1911_05,3,380.55,380.58,380.59,484.11,484.16,484.20,864.66,864.73,864.79
4080755.00,20180516_1911_05,380.55,484.11,864.66,0.0297,0.0754,0.0553,20180516_1908_27,20180516_1911_05,3,380.55,380.59,380.63,484.11,484.15,484.20,864.66,864.74,864.83
4085855.00,20180516_1911_05,380.55,484.12,864.67,0.0280,0.0730,0.0532,20180516_1908_27,20180516_1911_05,3,380.55,380.58,380.63,484.12,484.15,484.20,864.67,864.74,864.83
4090963.00,20180516_1911_05,380.55,484.12,864.67,0.0264,0.0690,0.0502,20180516_1908_27,20180516_1911_05,3,380.55,380.58,380.63,484.12,484.17,484.24,864.67,864.75,864.87
4096076.00,20180516_1911_05,380.57,484.12,864.69,0.0303,0.0653,0.0499,20180516_1908_27,20180516_1911_05,3,380.57,380.62,380.72,484.12,484.17,484.24,864.69,864.79,864.96
