Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180516_1912_14,6000000,0,0,390.09,485.83,875.92,0,0,0,0,0
20180516_1912_14,6007500,0,0,390.09,485.83,875.92,0,0,0,0,0
20180516_1912_14,6015009.38,0,0,390.09,485.99,876.08,0,0,0,0,0
20180516_1912_14,6022528.14,0,0,390.1,485.99,876.09,0,0,0,0,0
20180516_1912_14,6030056.3,0,0,390.1,486.49,876.59,0,0,0,0,0
20180516_1912_14,6037593.87,0,0,390.38,486.49,876.87,0,0,0,0,0
20180516_1912_14,6045140.86,0,0,390.38,486.49,876.87,0,0,0,0,0
20180516_1912_14,6052697.29,0,0,390.38,486.55,876.93,0,0,0,0,0
20180516_1912_14,6060263.16,0,0,390.49,486.55,877.04,0,0,0,0,0
20180516_1912_15,6067838.49,0,0,390.49,486.55,877.04,0,0,0,0,0
20180516_1912_15,6075423.29,0,0,390.49,486.55,877.04,0,0,0,0,0
20180516_1912_15,6083017.57,0,0,390.49,486.55,877.04,0,0,0,0,0
20180516_1912_15,6090621.34,0,0,390.49,486.55,877.04,0,0,0,0,0
20180516_1912_15,6098234.62,0,0,390.49,486.52,877.01,0,0,0,0,0
20180516_1912_15,6105857.41,0,0,390.62,486.52,877.14,0,0,0,0,0
20180516_1912_15,6113489.73,0,0,390.62,486.52,877.14,0,0,0,0,0
20180516_1912_15,6121131.59,0,0,390.62,486.54,877.16,0,0,0,0,0
20180516_1912_15,6128783,0,0,391.08,486.54,877.62,0,0,0,0,0
20180516_1912_15,6136443.98,0,0,391.08,486.54,877.62,0,0,0,0,0
20180516_1912_15,6144114.53,0,0,391.08,486.49,877.57,0,0,0,0,0
20180516_1912_15,6151794.67,0,0,391.06,486.49,877.55,0,0,0,0,0
20180516_1912_15,6159484.41,0,0,391.06,486.49,877.55,0,0,0,0,0
20180516_1912_16,6167183.77,0,0,391.06,486.51,877.57,0,0,0,0,0
20180516_1912_16,6174892.75,0,0,391.08,486.51,877.59,0,0,0,0,0
20180516_1912_16,6182611.37,0,0,391.08,486.51,877.59,0,0,0,0,0
20180516_1912_16,6190339.63,0,0,391.08,486.45,877.53,0,0,0,0,0
20180516_1912_16,6198077.55,0,0,391.03,486.45,877.48,0,0,0,0,0
20180516_1912_16,6205825.15,0,0,391.03,486.45,877.48,0,0,0,0,0
20180516_1912_16,6213582.43,0,0,391.03,486.48,877.51,0,0,0,0,0
20180516_1912_16,6221349.41,0,0,391.08,486.48,877.56,0,0,0,0,0
20180516_1912_16,6229126.1,0,0,391.08,486.48,877.56,0,0,0,0,0
20180516_1912_16,6236912.51,0,0,391.08,486.47,877.55,0,0,0,0,0
20180516_1912_16,6244708.65,0,0,391.43,486.47,877.9,0,0,0,0,0
20180516_1912_16,6252514.54,0,0,391.43,486.47,877.9,0,0,0,0,0
20180516_1912_16,6260330.18,0,0,391.43,486.52,877.95,0,0,0,0,0
20180516_1912_16,6268155.59,0,0,391.69,486.52,878.21,0,0,0,0,0
20180516_1912_17,6275990.78,0,0,391.69,486.52,878.21,0,0,0,0,0
20180516_1912_17,6283835.77,0,0,391.69,486.54,878.23,0,0,0,0,0
20180516_1912_17,6291690.56,0,0,391.68,486.54,878.22,0,0,0,0,0
20180516_1912_17,6299555.17,0,0,391.68,486.54,878.22,0,0,0,0,0
20180516_1912_17,6307429.61,0,0,391.68,486.46,878.14,0,0,0,0,0
20180516_1912_17,6315313.9,0,0,391.6,486.46,878.06,0,0,0,0,0
20180516_1912_17,6323208.04,0,0,391.6,486.46,878.06,0,0,0,0,0
20180516_1912_17,6331112.05,0,0,391.6,486.58,878.18,0,0,0,0,0
20180516_1912_17,6339025.94,0,0,392.04,486.58,878.62,0,0,0,0,0
20180516_1912_17,6346949.72,0,0,392.04,486.58,878.62,0,0,0,0,0
20180516_1912_17,6354883.41,0,0,392.04,486.71,878.75,0,0,0,0,0
20180516_1912_17,6362827.01,0,0,392.3,486.71,879.01,0,0,0,0,0
20180516_1912_17,6370780.54,0,0,392.3,486.71,879.01,0,0,0,0,0
20180516_1912_18,6378744.02,0,0,392.3,486.82,879.12,0,0,0,0,0
20180516_1912_18,6386717.45,0,0,392.35,486.82,879.17,0,0,0,0,0
20180516_1912_18,6394700.85,0,0,392.35,486.82,879.17,0,0,0,0,0
20180516_1912_18,6402694.23,0,0,392.35,486.89,879.24,0,0,0,0,0
20180516_1912_18,6410697.6,0,0,392.41,486.89,879.3,0,0,0,0,0
20180516_1912_18,6418710.97,0,0,392.41,486.89,879.3,0,0,0,0,0
20180516_1912_18,6426734.36,0,0,392.41,487.05,879.46,0,0,0,0,0
20180516_1912_18,6434767.78,0,0,392.91,487.05,879.96,0,0,0,0,0
20180516_1912_18,6442811.24,0,0,392.91,487.05,879.96,0,0,0,0,0
20180516_1912_18,6450864.75,0,0,392.91,487.04,879.95,0,0,0,0,0
20180516_1912_18,6458928.33,0,0,392.96,487.04,880,0,0,0,0,0
20180516_1912_18,6467001.99,0,0,392.96,487.04,880,0,0,0,0,0
20180516_1912_18,6475085.74,0,0,392.96,487.11,880.07,0,0,0,0,0
20180516_1912_18,6483179.6,0,0,392.99,487.11,880.1,0,0,0,0,0
20180516_1912_19,6491283.57,0,0,392.99,487.11,880.1,0,0,0,0,0
20180516_1912_19,6499397.67,0,0,392.99,487.12,880.11,0,0,0,0,0
20180516_1912_19,6507521.92,0,0,392.98,487.12,880.1,0,0,0,0,0
