Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180530_1931_02,1,0,0,116.006666666667,403.58,519.586666666667,0,0,0,0,0
20180530_1931_03,1.00125,0,0,158.083333333333,403.577777777778,561.661111111111,0,0,0,0,0
20180530_1931_03,1.0025,0,0,128.081111111111,403.56,531.641111111111,0,0,0,0,0
20180530_1931_04,1.00375,0,0,86.5577777777778,403.666666666667,490.224444444444,0,0,0,0,0
20180530_1931_04,1.005,0,0,114.11,403.72,517.83,0,0,0,0,0
20180530_1931_05,1.00626,0,0,108.445555555556,403.653333333333,512.098888888889,0,0,0,0,0
20180530_1931_05,1.00752,0,0,151.516666666667,403.706666666667,555.223333333333,0,0,0,0,0
20180530_1931_05,1.00878,0,0,124.316666666667,403.634444444444,527.951111111111,0,0,0,0,0
20180530_1931_06,1.01004,0,0,97.4544444444444,403.473333333333,500.927777777778,0,0,0,0,0
20180530_1931_06,1.0113,0,0,102.624444444444,403.493333333333,506.117777777778,0,0,0,0,0
20180530_1931_07,1.01256,0,0,115.504444444444,403.58,519.084444444444,0,0,0,0,0
20180530_1931_07,1.01383,0,0,121.846666666667,403.645555555556,525.492222222222,0,0,0,0,0
20180530_1931_08,1.0151,0,0,98.7766666666667,403.635555555556,502.412222222222,0,0,0,0,0
20180530_1931_08,1.01637,0,0,112.25,403.546666666667,515.796666666667,0,0,0,0,0
20180530_1931_09,1.01764,0,0,99.8511111111111,403.595555555556,503.446666666667,0,0,0,0,0
20180530_1931_09,1.01891,0,0,129.485555555556,403.58,533.065555555556,0,0,0,0,0
20180530_1931_09,1.02018,0,0,117.521111111111,403.645555555556,521.166666666667,0,0,0,0,0
20180530_1931_10,1.02146,0,0,156.351111111111,403.503333333333,559.854444444445,0,0,0,0,0
20180530_1931_10,1.02274,0,0,136.923333333333,403.652222222222,540.575555555556,0,0,0,0,0
20180530_1931_11,1.02402,0,0,86.24,403.681111111111,489.921111111111,0,0,0,0,0
20180530_1931_11,1.0253,0,0,121.877777777778,403.798888888889,525.676666666667,0,0,0,0,0
20180530_1931_12,1.02658,0,0,98.9133333333333,403.594444444444,502.507777777778,0,0,0,0,0
20180530_1931_12,1.02786,0,0,161.326666666667,403.73,565.056666666667,0,0,0,0,0
20180530_1931_12,1.02914,0,0,109,403.72,512.72,0,0,0,0,0
20180530_1931_13,1.03043,0,0,122.823333333333,403.637777777778,526.461111111111,0,0,0,0,0
20180530_1931_13,1.03172,0,0,108.746666666667,403.686666666667,512.433333333333,0,0,0,0,0
20180530_1931_14,1.03301,0,0,113.111111111111,403.577777777778,516.688888888889,0,0,0,0,0
20180530_1931_14,1.0343,0,0,100.973333333333,403.584444444445,504.557777777778,0,0,0,0,0
20180530_1931_15,1.03559,0,0,122.373333333333,403.568888888889,525.942222222222,0,0,0,0,0
20180530_1931_15,1.03688,0,0,137.977777777778,403.573333333333,541.551111111111,0,0,0,0,0
20180530_1931_15,1.03818,0,0,101.815555555556,403.66,505.475555555556,0,0,0,0,0
20180530_1931_16,1.03948,0,0,121.95,403.585555555556,525.535555555556,0,0,0,0,0
20180530_1931_16,1.04078,0,0,106.267777777778,403.655555555556,509.923333333333,0,0,0,0,0
20180530_1931_17,1.04208,0,0,130.912222222222,403.511111111111,534.423333333333,0,0,0,0,0
20180530_1931_17,1.04338,0,0,105.117777777778,403.655555555556,508.773333333333,0,0,0,0,0
20180530_1931_18,1.04468,0,0,134.474444444444,403.52,537.994444444445,0,0,0,0,0
20180530_1931_18,1.04599,0,0,121.177777777778,403.513333333333,524.691111111111,0,0,0,0,0
20180530_1931_18,1.0473,0,0,121.945555555556,403.588888888889,525.534444444444,0,0,0,0,0
20180530_1931_19,1.04861,0,0,126.335555555556,403.455555555556,529.791111111111,0,0,0,0,0
20180530_1931_19,1.04992,0,0,89.8566666666667,403.593333333333,493.45,0,0,0,0,0
20180530_1931_20,1.05123,0,0,112.872222222222,403.615555555556,516.487777777778,0,0,0,0,0
20180530_1931_20,1.05254,0,0,89.7844444444444,403.813333333333,493.597777777778,0,0,0,0,0
20180530_1931_21,1.05386,0,0,117.61,403.65,521.26,0,0,0,0,0
20180530_1931_21,1.05518,0,0,108.161111111111,403.513333333333,511.674444444444,0,0,0,0,0
20180530_1931_21,1.0565,0,0,144.274444444444,403.573333333333,547.847777777778,0,0,0,0,0
20180530_1931_22,1.05782,0,0,119.225555555556,403.651111111111,522.876666666667,0,0,0,0,0
20180530_1931_22,1.05914,0,0,134.692222222222,403.592222222222,538.284444444444,0,0,0,0,0
20180530_1931_23,1.06046,0,0,120.728888888889,403.585555555556,524.314444444444,0,0,0,0,0
20180530_1931_23,1.06179,0,0,88.7266666666667,403.61,492.336666666667,0,0,0,0,0
20180530_1931_24,1.06312,0,0,98.5333333333334,403.525555555556,502.058888888889,0,0,0,0,0
20180530_1931_24,1.06445,0,0,86.33,403.605555555556,489.935555555556,0,0,0,0,0
20180530_1931_24,1.06578,0,0,127.903333333333,403.723333333333,531.626666666667,0,0,0,0,0
20180530_1931_25,1.06711,0,0,93.43,403.715555555556,497.145555555556,0,0,0,0,0
20180530_1931_25,1.06844,0,0,138.243333333333,403.644444444445,541.887777777778,0,0,0,0,0
