Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180523_2131_47,1,0,0,177.9,404.57,582.47,0,0,0,0,0
20180523_2131_47,1.00125,0,0,177.9,405.19,583.09,0,0,0,0,0
20180523_2131_47,1.0025,0,0,100.74,405.19,505.93,0,0,0,0,0
20180523_2131_47,1.00375,0,0,100.74,405.19,505.93,0,0,0,0,0
20180523_2131_48,1.005,0,0,100.74,404.58,505.32,0,0,0,0,0
20180523_2131_48,1.00626,0,0,164.07,404.58,568.65,0,0,0,0,0
20180523_2131_48,1.00752,0,0,164.07,405.19,569.26,0,0,0,0,0
20180523_2131_48,1.00878,0,0,96.96,405.19,502.15,0,0,0,0,0
20180523_2131_48,1.01004,0,0,96.96,405.19,502.15,0,0,0,0,0
20180523_2131_48,1.0113,0,0,78.75,405.08,483.83,0,0,0,0,0
20180523_2131_48,1.01256,0,0,78.75,405.08,483.83,0,0,0,0,0
20180523_2131_48,1.01383,0,0,78.75,405.11,483.86,0,0,0,0,0
20180523_2131_48,1.0151,0,0,123.07,405.11,528.18,0,0,0,0,0
20180523_2131_48,1.01637,0,0,123.07,405.11,528.18,0,0,0,0,0
20180523_2131_48,1.01764,0,0,83.35,405.17,488.52,0,0,0,0,0
20180523_2131_49,1.01891,0,0,83.35,405.17,488.52,0,0,0,0,0
20180523_2131_49,1.02018,0,0,83.35,405.02,488.37,0,0,0,0,0
20180523_2131_49,1.02146,0,0,125.47,405.02,530.49,0,0,0,0,0
20180523_2131_49,1.02274,0,0,125.47,405.02,530.49,0,0,0,0,0
20180523_2131_49,1.02402,0,0,125.47,405.23,530.7,0,0,0,0,0
20180523_2131_49,1.0253,0,0,81.35,405.23,486.58,0,0,0,0,0
20180523_2131_49,1.02658,0,0,81.35,404.58,485.93,0,0,0,0,0
20180523_2131_49,1.02786,0,0,169.14,404.58,573.72,0,0,0,0,0
20180523_2131_49,1.02914,0,0,169.14,404.58,573.72,0,0,0,0,0
20180523_2131_49,1.03043,0,0,169.14,405.19,574.33,0,0,0,0,0
20180523_2131_49,1.03172,0,0,96.13,405.19,501.32,0,0,0,0,0
20180523_2131_49,1.03301,0,0,96.13,404.57,500.7,0,0,0,0,0
20180523_2131_50,1.0343,0,0,156.57,404.57,561.14,0,0,0,0,0
20180523_2131_50,1.03559,0,0,156.57,404.57,561.14,0,0,0,0,0
20180523_2131_50,1.03688,0,0,156.57,405.22,561.79,0,0,0,0,0
20180523_2131_50,1.03818,0,0,91.73,405.22,496.95,0,0,0,0,0
20180523_2131_50,1.03948,0,0,91.73,404.6,496.33,0,0,0,0,0
20180523_2131_50,1.04078,0,0,153.77,404.6,558.37,0,0,0,0,0
20180523_2131_50,1.04208,0,0,153.77,404.6,558.37,0,0,0,0,0
20180523_2131_50,1.04338,0,0,153.77,405.19,558.96,0,0,0,0,0
20180523_2131_50,1.04468,0,0,108.6,405.19,513.79,0,0,0,0,0
20180523_2131_50,1.04599,0,0,108.6,404.67,513.27,0,0,0,0,0
20180523_2131_50,1.0473,0,0,150.91,404.67,555.58,0,0,0,0,0
20180523_2131_51,1.04861,0,0,150.91,404.67,555.58,0,0,0,0,0
20180523_2131_51,1.04992,0,0,101.97,405.19,507.16,0,0,0,0,0
20180523_2131_51,1.05123,0,0,101.97,405.19,507.16,0,0,0,0,0
20180523_2131_51,1.05254,0,0,101.97,405.16,507.13,0,0,0,0,0
20180523_2131_51,1.05386,0,0,75.15,405.16,480.31,0,0,0,0,0
20180523_2131_51,1.05518,0,0,75.15,405.16,480.31,0,0,0,0,0
20180523_2131_51,1.0565,0,0,75.15,405.14,480.29,0,0,0,0,0
20180523_2131_51,1.05782,0,0,131.99,405.14,537.13,0,0,0,0,0
20180523_2131_51,1.05914,0,0,131.99,405.17,537.16,0,0,0,0,0
20180523_2131_51,1.06046,0,0,87.68,405.17,492.85,0,0,0,0,0
20180523_2131_51,1.06179,0,0,87.68,405.17,492.85,0,0,0,0,0
20180523_2131_52,1.06312,0,0,87.68,404.91,492.59,0,0,0,0,0
20180523_2131_52,1.06445,0,0,116.02,404.91,520.93,0,0,0,0,0
20180523_2131_52,1.06578,0,0,116.02,405.21,521.23,0,0,0,0,0
20180523_2131_52,1.06711,0,0,78.33,405.21,483.54,0,0,0,0,0
20180523_2131_52,1.06844,0,0,78.33,405.21,483.54,0,0,0,0,0
20180523_2131_52,1.06978,0,0,78.33,404.7,483.03,0,0,0,0,0
20180523_2131_52,1.07112,0,0,147.94,404.7,552.64,0,0,0,0,0
20180523_2131_52,1.07246,0,0,147.94,405.19,553.13,0,0,0,0,0
20180523_2131_52,1.0738,0,0,88.59,405.19,493.78,0,0,0,0,0
20180523_2131_52,1.07514,0,0,88.59,405.19,493.78,0,0,0,0,0
20180523_2131_52,1.07648,0,0,88.59,404.67,493.26,0,0,0,0,0
20180523_2131_52,1.07783,0,0,132.14,404.67,536.81,0,0,0,0,0
20180523_2131_53,1.07918,0,0,132.14,405.24,537.38,0,0,0,0,0
20180523_2131_53,1.08053,0,0,83.31,405.24,488.55,0,0,0,0,0
20180523_2131_53,1.08188,0,0,83.31,405.24,488.55,0,0,0,0,0
20180523_2131_53,1.08323,0,0,83.31,404.57,487.88,0,0,0,0,0
20180523_2131_53,1.08458,0,0,156.26,404.57,560.83,0,0,0,0,0
20180523_2131_53,1.08594,0,0,156.26,404.57,560.83,0,0,0,0,0
20180523_2131_53,1.0873,0,0,91.93,405.2,497.13,0,0,0,0,0
20180523_2131_53,1.08866,0,0,91.93,405.2,497.13,0,0,0,0,0
20180523_2131_53,1.09002,0,0,91.93,404.57,496.5,0,0,0,0,0
20180523_2131_53,1.09138,0,0,143.2,404.57,547.77,0,0,0,0,0
20180523_2131_53,1.09274,0,0,143.2,405.3,548.5,0,0,0,0,0
20180523_2131_54,1.09411,0,0,87,405.3,492.3,0,0,0,0,0
20180523_2131_54,1.09548,0,0,87,405.3,492.3,0,0,0,0,0
20180523_2131_54,1.09685,0,0,87,404.6,491.6,0,0,0,0,0
20180523_2131_54,1.09822,0,0,163.52,404.6,568.12,0,0,0,0,0
