Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180523_2010_16,1,0,0,159.48,391.36,550.84,0,0,0,0,0
20180523_2010_16,1.00125,0,0,94.87,391.36,486.23,0,0,0,0,0
20180523_2010_16,1.0025,0,0,94.87,391.36,486.23,0,0,0,0,0
20180523_2010_16,1.00375,0,0,94.87,391.69,486.56,0,0,0,0,0
20180523_2010_17,1.005,0,0,106.13,391.69,497.82,0,0,0,0,0
20180523_2010_17,1.00626,0,0,106.13,391.77,497.9,0,0,0,0,0
20180523_2010_17,1.00752,0,0,75.56,391.77,467.33,0,0,0,0,0
20180523_2010_17,1.00878,0,0,75.56,391.77,467.33,0,0,0,0,0
20180523_2010_17,1.01004,0,0,223.52,391.26,614.78,0,0,0,0,0
20180523_2010_17,1.0113,0,0,223.52,391.26,614.78,0,0,0,0,0
20180523_2010_17,1.01256,0,0,223.52,391.21,614.73,0,0,0,0,0
20180523_2010_17,1.01383,0,0,115.99,391.21,507.2,0,0,0,0,0
20180523_2010_17,1.0151,0,0,115.99,391.21,507.2,0,0,0,0,0
20180523_2010_17,1.01637,0,0,135.56,391.64,527.2,0,0,0,0,0
20180523_2010_17,1.01764,0,0,135.56,391.64,527.2,0,0,0,0,0
20180523_2010_18,1.01891,0,0,135.56,391.59,527.15,0,0,0,0,0
20180523_2010_18,1.02018,0,0,85.13,391.59,476.72,0,0,0,0,0
20180523_2010_18,1.02146,0,0,85.13,391.59,476.72,0,0,0,0,0
20180523_2010_18,1.02274,0,0,85.13,391.78,476.91,0,0,0,0,0
20180523_2010_18,1.02402,0,0,128.91,391.78,520.69,0,0,0,0,0
20180523_2010_18,1.0253,0,0,128.91,391.31,520.22,0,0,0,0,0
20180523_2010_18,1.02658,0,0,144.19,391.31,535.5,0,0,0,0,0
20180523_2010_18,1.02786,0,0,144.19,391.31,535.5,0,0,0,0,0
20180523_2010_18,1.02914,0,0,144.19,391.38,535.57,0,0,0,0,0
20180523_2010_18,1.03043,0,0,115.13,391.38,506.51,0,0,0,0,0
20180523_2010_18,1.03172,0,0,115.13,391.78,506.91,0,0,0,0,0
20180523_2010_19,1.03301,0,0,100.54,391.78,492.32,0,0,0,0,0
20180523_2010_19,1.0343,0,0,100.54,391.78,492.32,0,0,0,0,0
20180523_2010_19,1.03559,0,0,100.54,391.75,492.29,0,0,0,0,0
20180523_2010_19,1.03688,0,0,73.83,391.75,465.58,0,0,0,0,0
20180523_2010_19,1.03818,0,0,73.83,391.47,465.3,0,0,0,0,0
20180523_2010_19,1.03948,0,0,189.94,391.47,581.41,0,0,0,0,0
20180523_2010_19,1.04078,0,0,189.94,391.47,581.41,0,0,0,0,0
20180523_2010_19,1.04208,0,0,189.94,391.33,581.27,0,0,0,0,0
20180523_2010_19,1.04338,0,0,103.03,391.33,494.36,0,0,0,0,0
20180523_2010_19,1.04468,0,0,103.03,391.74,494.77,0,0,0,0,0
20180523_2010_19,1.04599,0,0,108.54,391.74,500.28,0,0,0,0,0
20180523_2010_20,1.0473,0,0,108.54,391.74,500.28,0,0,0,0,0
20180523_2010_20,1.04861,0,0,108.54,391.85,500.39,0,0,0,0,0
20180523_2010_20,1.04992,0,0,76.23,391.85,468.08,0,0,0,0,0
20180523_2010_20,1.05123,0,0,76.23,391.85,468.08,0,0,0,0,0
20180523_2010_20,1.05254,0,0,216.53,391.55,608.08,0,0,0,0,0
20180523_2010_20,1.05386,0,0,216.53,391.55,608.08,0,0,0,0,0
20180523_2010_20,1.05518,0,0,216.53,391.34,607.87,0,0,0,0,0
20180523_2010_20,1.0565,0,0,116.16,391.34,507.5,0,0,0,0,0
