Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180516_0956_13,41000,0,0,140.35,495.43,635.78,0,0,0,0,0
20180516_0956_13,41051.25,0,0,140.35,495.43,635.78,0,0,0,0,0
20180516_0956_13,41102.56,0,0,139.81,496.02,635.83,0,0,0,0,0
20180516_0956_13,41153.94,0,0,139.81,496.02,635.83,0,0,0,0,0
20180516_0956_13,41205.38,0,0,139.81,495.99,635.8,0,0,0,0,0
20180516_0956_13,41256.89,0,0,139.75,495.99,635.74,0,0,0,0,0
20180516_0956_13,41308.46,0,0,139.75,495.99,635.74,0,0,0,0,0
20180516_0956_13,41360.1,0,0,139.75,496.16,635.91,0,0,0,0,0
20180516_0956_13,41411.8,0,0,139.73,496.16,635.89,0,0,0,0,0
20180516_0956_13,41463.56,0,0,139.73,496.16,635.89,0,0,0,0,0
20180516_0956_13,41515.39,0,0,139.73,496.29,636.02,0,0,0,0,0
20180516_0956_13,41567.28,0,0,139.74,496.29,636.03,0,0,0,0,0
20180516_0956_14,41619.24,0,0,139.74,496.29,636.03,0,0,0,0,0
20180516_0956_14,41671.26,0,0,139.74,496.23,635.97,0,0,0,0,0
20180516_0956_14,41723.35,0,0,139.73,496.23,635.96,0,0,0,0,0
20180516_0956_14,41775.5,0,0,139.73,496.23,635.96,0,0,0,0,0
20180516_0956_14,41827.72,0,0,139.73,496.27,636,0,0,0,0,0
20180516_0956_14,41880,0,0,140.34,496.27,636.61,0,0,0,0,0
20180516_0956_14,41932.35,0,0,140.34,496.27,636.61,0,0,0,0,0
20180516_0956_14,41984.77,0,0,140.34,496.3,636.64,0,0,0,0,0
20180516_0956_14,42037.25,0,0,140.4,496.3,636.7,0,0,0,0,0
20180516_0956_14,42089.8,0,0,140.4,496.3,636.7,0,0,0,0,0
20180516_0956_14,42142.41,0,0,140.4,496.36,636.76,0,0,0,0,0
20180516_0956_14,42195.09,0,0,140.99,496.36,637.35,0,0,0,0,0
20180516_0956_14,42247.83,0,0,140.99,496.36,637.35,0,0,0,0,0
20180516_0956_15,42300.64,0,0,140.99,496.37,637.36,0,0,0,0,0
20180516_0956_15,42353.52,0,0,141.62,496.37,637.99,0,0,0,0,0
20180516_0956_15,42406.46,0,0,141.62,496.37,637.99,0,0,0,0,0
20180516_0956_15,42459.47,0,0,141.62,496.37,637.99,0,0,0,0,0
20180516_0956_15,42512.54,0,0,141.62,496.34,637.96,0,0,0,0,0
20180516_0956_15,42565.68,0,0,142.23,496.34,638.57,0,0,0,0,0
20180516_0956_15,42618.89,0,0,142.23,496.34,638.57,0,0,0,0,0
20180516_0956_15,42672.16,0,0,142.23,496.39,638.62,0,0,0,0,0
20180516_0956_15,42725.5,0,0,142.87,496.39,639.26,0,0,0,0,0
20180516_0956_15,42778.91,0,0,142.87,496.39,639.26,0,0,0,0,0
20180516_0956_15,42832.38,0,0,142.87,496.37,639.24,0,0,0,0,0
20180516_0956_15,42885.92,0,0,143.48,496.37,639.85,0,0,0,0,0
20180516_0956_15,42939.53,0,0,143.48,496.37,639.85,0,0,0,0,0
20180516_0956_15,42993.2,0,0,143.48,496.47,639.95,0,0,0,0,0
20180516_0956_15,43046.94,0,0,144.11,496.47,640.58,0,0,0,0,0
20180516_0956_16,43100.75,0,0,144.11,496.47,640.58,0,0,0,0,0
20180516_0956_16,43154.63,0,0,144.11,496.43,640.54,0,0,0,0,0
20180516_0956_16,43208.57,0,0,144.72,496.43,641.15,0,0,0,0,0
20180516_0956_16,43262.58,0,0,144.72,496.43,641.15,0,0,0,0,0
20180516_0956_16,43316.66,0,0,144.72,496.43,641.15,0,0,0,0,0
20180516_0956_16,43370.81,0,0,145.34,496.43,641.77,0,0,0,0,0
20180516_0956_16,43425.02,0,0,145.34,496.43,641.77,0,0,0,0,0
20180516_0956_16,43479.3,0,0,145.34,496.4,641.74,0,0,0,0,0
20180516_0956_16,43533.65,0,0,145.98,496.4,642.38,0,0,0,0,0
20180516_0956_16,43588.07,0,0,145.98,496.4,642.38,0,0,0,0,0
20180516_0956_16,43642.56,0,0,145.98,496.4,642.38,0,0,0,0,0
20180516_0956_16,43697.11,0,0,145.98,496.45,642.43,0,0,0,0,0
20180516_0956_16,43751.73,0,0,146.62,496.45,643.07,0,0,0,0,0
20180516_0956_16,43806.42,0,0,146.62,496.33,642.95,0,0,0,0,0
20180516_0956_17,43861.18,0,0,147.21,496.33,643.54,0,0,0,0,0
20180516_0956_17,43916.01,0,0,147.21,496.33,643.54,0,0,0,0,0
20180516_0956_17,43970.91,0,0,147.21,496.33,643.54,0,0,0,0,0
20180516_0956_17,44025.87,0,0,147.21,496.42,643.63,0,0,0,0,0
20180516_0956_17,44080.9,0,0,147.23,496.42,643.65,0,0,0,0,0
20180516_0956_17,44136,0,0,147.23,496.42,643.65,0,0,0,0,0
20180516_0956_17,44191.17,0,0,147.23,496.4,643.63,0,0,0,0,0
20180516_0956_17,44246.41,0,0,147.81,496.4,644.21,0,0,0,0,0
20180516_0956_17,44301.72,0,0,147.81,496.4,644.21,0,0,0,0,0
20180516_0956_17,44357.1,0,0,147.81,496.31,644.12,0,0,0,0,0
20180516_0956_17,44412.55,0,0,147.84,496.31,644.15,0,0,0,0,0
20180516_0956_17,44468.07,0,0,147.84,496.31,644.15,0,0,0,0,0
20180516_0956_17,44523.66,0,0,147.84,496.38,644.22,0,0,0,0,0
20180516_0956_17,44579.31,0,0,148.43,496.38,644.81,0,0,0,0,0
20180516_0956_18,44635.03,0,0,148.43,496.38,644.81,0,0,0,0,0
20180516_0956_18,44690.82,0,0,148.43,496.38,644.81,0,0,0,0,0
20180516_0956_18,44746.68,0,0,148.43,496.39,644.82,0,0,0,0,0
20180516_0956_18,44802.61,0,0,148.47,496.39,644.86,0,0,0,0,0
20180516_0956_18,44858.61,0,0,148.47,496.39,644.86,0,0,0,0,0
20180516_0956_18,44914.68,0,0,148.47,496.4,644.87,0,0,0,0,0
20180516_0956_18,44970.82,0,0,148.48,496.4,644.88,0,0,0,0,0
20180516_0956_18,45027.03,0,0,148.48,496.4,644.88,0,0,0,0,0
20180516_0956_18,45083.31,0,0,148.64,496.4,645.04,0,0,0,0,0
20180516_0956_18,45139.66,0,0,148.64,496.4,645.04,0,0,0,0,0
20180516_0956_18,45196.08,0,0,148.64,496.33,644.97,0,0,0,0,0
20180516_0956_18,45252.58,0,0,148.64,496.33,644.97,0,0,0,0,0
20180516_0956_18,45309.15,0,0,149.01,496.33,645.34,0,0,0,0,0
20180516_0956_18,45365.79,0,0,149.01,496.33,645.34,0,0,0,0,0
20180516_0956_19,45422.5,0,0,149.01,496.35,645.36,0,0,0,0,0
20180516_0956_19,45479.28,0,0,149.1,496.35,645.45,0,0,0,0,0
20180516_0956_19,45536.13,0,0,149.1,496.35,645.45,0,0,0,0,0
20180516_0956_19,45593.05,0,0,149.1,496.33,645.43,0,0,0,0,0
20180516_0956_19,45650.04,0,0,149.22,496.33,645.55,0,0,0,0,0
20180516_0956_19,45707.1,0,0,149.22,496.33,645.55,0,0,0,0,0
20180516_0956_19,45764.23,0,0,149.22,496.43,645.65,0,0,0,0,0
20180516_0956_19,45821.44,0,0,149.71,496.43,646.14,0,0,0,0,0
20180516_0956_19,45878.72,0,0,149.71,496.43,646.14,0,0,0,0,0
