Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180518_1608_41,1,0,0,92.11,396.27,488.38,0,0,0,0,0
20180518_1608_41,1.00125,0,0,92.11,396.27,488.38,0,0,0,0,0
20180518_1608_41,1.0025,0,0,70.64,396.25,466.89,0,0,0,0,0
20180518_1608_41,1.00375,0,0,70.64,396.25,466.89,0,0,0,0,0
20180518_1608_41,1.005,0,0,70.64,395.63,466.27,0,0,0,0,0
20180518_1608_41,1.00626,0,0,122.62,395.63,518.25,0,0,0,0,0
20180518_1608_41,1.00752,0,0,122.62,395.63,518.25,0,0,0,0,0
20180518_1608_41,1.00878,0,0,122.62,395.64,518.26,0,0,0,0,0
20180518_1608_41,1.01004,0,0,80.34,395.64,475.98,0,0,0,0,0
20180518_1608_41,1.0113,0,0,80.34,395.83,476.17,0,0,0,0,0
20180518_1608_42,1.01256,0,0,112.51,395.83,508.34,0,0,0,0,0
20180518_1608_42,1.01383,0,0,112.51,395.83,508.34,0,0,0,0,0
20180518_1608_42,1.0151,0,0,112.51,396.31,508.82,0,0,0,0,0
20180518_1608_42,1.01637,0,0,76.92,396.31,473.23,0,0,0,0,0
20180518_1608_42,1.01764,0,0,76.92,395.74,472.66,0,0,0,0,0
20180518_1608_42,1.01891,0,0,153.02,395.74,548.76,0,0,0,0,0
20180518_1608_42,1.02018,0,0,153.02,395.74,548.76,0,0,0,0,0
20180518_1608_42,1.02146,0,0,153.02,395.58,548.6,0,0,0,0,0
20180518_1608_42,1.02274,0,0,96.6,395.58,492.18,0,0,0,0,0
20180518_1608_42,1.02402,0,0,96.6,395.58,492.18,0,0,0,0,0
20180518_1608_42,1.0253,0,0,123.78,395.64,519.42,0,0,0,0,0
20180518_1608_43,1.02658,0,0,123.78,395.64,519.42,0,0,0,0,0
20180518_1608_43,1.02786,0,0,123.78,396.21,519.99,0,0,0,0,0
20180518_1608_43,1.02914,0,0,87.98,396.21,484.19,0,0,0,0,0
20180518_1608_43,1.03043,0,0,87.98,396.21,484.19,0,0,0,0,0
20180518_1608_43,1.03172,0,0,87.98,396.25,484.23,0,0,0,0,0
20180518_1608_43,1.03301,0,0,70.42,396.25,466.67,0,0,0,0,0
20180518_1608_43,1.0343,0,0,70.42,396.25,466.67,0,0,0,0,0
20180518_1608_43,1.03559,0,0,114.97,395.69,510.66,0,0,0,0,0
20180518_1608_43,1.03688,0,0,114.97,395.69,510.66,0,0,0,0,0
20180518_1608_43,1.03818,0,0,114.97,395.7,510.67,0,0,0,0,0
20180518_1608_43,1.03948,0,0,77.91,395.7,473.61,0,0,0,0,0
20180518_1608_43,1.04078,0,0,77.91,395.7,473.61,0,0,0,0,0
20180518_1608_44,1.04208,0,0,77.91,396.27,474.18,0,0,0,0,0
20180518_1608_44,1.04338,0,0,95.81,396.27,492.08,0,0,0,0,0
20180518_1608_44,1.04468,0,0,95.81,396.27,492.08,0,0,0,0,0
20180518_1608_44,1.04599,0,0,71.6,396.24,467.84,0,0,0,0,0
20180518_1608_44,1.0473,0,0,71.6,396.24,467.84,0,0,0,0,0
20180518_1608_44,1.04861,0,0,71.6,395.58,467.18,0,0,0,0,0
