Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180518_1608_41,1.00000,0,0,93.60,396.03,489.63,0,0,0,0,0
20180518_1608_41,1.00125,0,0,93.60,395.81,489.41,0,0,0,0,0
20180518_1608_41,1.00250,0,0,100.23,395.81,496.04,0,0,0,0,0
20180518_1608_41,1.00375,0,0,105.09,395.80,500.89,0,0,0,0,0
20180518_1608_41,1.00500,0,0,101.29,395.65,496.94,0,0,0,0,0
20180518_1608_41,1.00626,0,0,90.38,395.65,486.03,0,0,0,0,0
20180518_1608_41,1.00752,0,0,102.48,395.79,498.26,0,0,0,0,0
20180518_1608_41,1.00878,0,0,108.14,395.77,503.91,0,0,0,0,0
20180518_1608_41,1.01004,0,0,98.01,395.77,493.77,0,0,0,0,0
20180518_1608_41,1.01130,0,0,98.01,395.83,493.83,0,0,0,0,0
20180518_1608_42,1.01256,0,0,92.56,395.87,488.42,0,0,0,0,0
20180518_1608_42,1.01383,0,0,98.54,395.74,494.27,0,0,0,0,0
20180518_1608_42,1.01510,0,0,110.86,395.92,506.78,0,0,0,0,0
20180518_1608_42,1.01637,0,0,86.55,395.92,482.47,0,0,0,0,0
20180518_1608_42,1.01764,0,0,86.55,395.93,482.48,0,0,0,0,0
20180518_1608_42,1.01891,0,0,103.86,395.70,499.56,0,0,0,0,0
20180518_1608_42,1.02018,0,0,118.90,395.71,514.62,0,0,0,0,0
20180518_1608_42,1.02146,0,0,118.90,395.69,514.60,0,0,0,0,0
20180518_1608_42,1.02274,0,0,90.55,395.67,486.22,0,0,0,0,0
20180518_1608_42,1.02402,0,0,90.55,395.92,486.47,0,0,0,0,0
20180518_1608_42,1.02530,0,0,94.00,395.79,489.79,0,0,0,0,0
20180518_1608_43,1.02658,0,0,112.97,395.79,508.77,0,0,0,0,0
20180518_1608_43,1.02786,0,0,126.47,395.81,522.28,0,0,0,0,0
20180518_1608_43,1.02914,0,0,103.68,395.94,499.62,0,0,0,0,0
20180518_1608_43,1.03043,0,0,96.16,395.81,491.97,0,0,0,0,0
20180518_1608_43,1.03172,0,0,100.16,395.85,496.00,0,0,0,0,0
20180518_1608_43,1.03301,0,0,98.66,395.82,494.48,0,0,0,0,0
20180518_1608_43,1.03430,0,0,98.66,395.79,494.45,0,0,0,0,0
20180518_1608_43,1.03559,0,0,100.99,395.67,496.66,0,0,0,0,0
20180518_1608_43,1.03688,0,0,102.73,395.82,498.55,0,0,0,0,0
20180518_1608_43,1.03818,0,0,96.40,395.74,492.14,0,0,0,0,0
20180518_1608_43,1.03948,0,0,109.45,395.74,505.19,0,0,0,0,0
20180518_1608_43,1.04078,0,0,101.76,395.84,497.60,0,0,0,0,0
20180518_1608_44,1.04208,0,0,91.30,396.02,487.32,0,0,0,0,0
20180518_1608_44,1.04338,0,0,87.67,395.89,483.56,0,0,0,0,0
20180518_1608_44,1.04468,0,0,106.50,395.92,502.42,0,0,0,0,0
20180518_1608_44,1.04599,0,0,102.22,395.91,498.13,0,0,0,0,0
