Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180518_1608_41,1.00000,0,0,-28.72,4.58,489.63,0,0,0,0,0
20180518_1608_41,1.00125,0,0,-28.72,4.42,489.41,0,0,0,0,0
20180518_1608_41,1.00250,0,0,-13.08,4.50,496.04,0,0,0,0,0
20180518_1608_41,1.00375,0,0,-21.77,4.57,500.89,0,0,0,0,0
20180518_1608_41,1.00500,0,0,-20.32,4.22,496.94,0,0,0,0,0
20180518_1608_41,1.00626,0,0,-4.79,4.21,486.03,0,0,0,0,0
20180518_1608_41,1.00752,0,0,7.31,4.30,498.27,0,0,0,0,0
20180518_1608_41,1.00878,0,0,5.48,4.20,503.91,0,0,0,0,0
20180518_1608_41,1.01004,0,0,-7.47,4.30,493.78,0,0,0,0,0
20180518_1608_41,1.01130,0,0,-14.83,4.43,493.84,0,0,0,0,0
20180518_1608_42,1.01256,0,0,-38.39,4.47,488.43,0,0,0,0,0
20180518_1608_42,1.01383,0,0,-32.41,4.34,494.28,0,0,0,0,0
20180518_1608_42,1.01510,0,0,-13.68,4.58,506.78,0,0,0,0,0
20180518_1608_42,1.01637,0,0,-66.34,4.58,482.47,0,0,0,0,0
20180518_1608_42,1.01764,0,0,-64.30,4.52,482.48,0,0,0,0,0
20180518_1608_42,1.01891,0,0,-9.96,4.33,499.56,0,0,0,0,0
20180518_1608_42,1.02018,0,0,5.08,4.33,514.61,0,0,0,0,0
20180518_1608_42,1.02146,0,0,-10.26,4.26,514.59,0,0,0,0,0
20180518_1608_42,1.02274,0,0,-41.27,4.26,486.22,0,0,0,0,0
20180518_1608_42,1.02402,0,0,-38.44,4.42,486.47,0,0,0,0,0
20180518_1608_42,1.02530,0,0,-39.26,4.29,489.79,0,0,0,0,0
20180518_1608_43,1.02658,0,0,-20.29,4.42,508.76,0,0,0,0,0
20180518_1608_43,1.02786,0,0,10.80,4.45,522.28,0,0,0,0,0
20180518_1608_43,1.02914,0,0,-28.13,4.57,499.62,0,0,0,0,0
20180518_1608_43,1.03043,0,0,-33.42,4.40,491.97,0,0,0,0,0
20180518_1608_43,1.03172,0,0,-28.25,4.56,496.01,0,0,0,0,0
20180518_1608_43,1.03301,0,0,-29.75,4.42,494.48,0,0,0,0,0
20180518_1608_43,1.03430,0,0,-17.50,4.36,494.45,0,0,0,0,0
20180518_1608_43,1.03559,0,0,-14.52,4.24,496.66,0,0,0,0,0
20180518_1608_43,1.03688,0,0,-6.39,4.30,498.55,0,0,0,0,0
20180518_1608_43,1.03818,0,0,-1.76,4.22,492.14,0,0,0,0,0
20180518_1608_43,1.03948,0,0,11.29,4.29,505.19,0,0,0,0,0
20180518_1608_43,1.04078,0,0,-6.93,4.50,497.60,0,0,0,0,0
20180518_1608_44,1.04208,0,0,-29.73,4.65,487.32,0,0,0,0,0
20180518_1608_44,1.04338,0,0,-27.25,4.67,483.56,0,0,0,0,0
20180518_1608_44,1.04468,0,0,-25.79,4.70,502.42,0,0,0,0,0
20180518_1608_44,1.04599,0,0,-30.07,4.57,498.13,0,0,0,0,0
20180518_1608_44,1.04730,0,0,-13.46,4.37,498.03,0,0,0,0,0
20180518_1608_44,1.04861,0,0,-13.41,4.23,484.88,0,0,0,0,0
20180518_1608_44,1.04992,0,0,-8.35,4.24,502.28,0,0,0,0,0
20180518_1608_44,1.05123,0,0,-1.76,4.25,506.14,0,0,0,0,0
20180518_1608_44,1.05254,0,0,-0.73,4.30,507.18,0,0,0,0,0
20180518_1608_44,1.05386,0,0,-27.07,4.48,486.11,0,0,0,0,0
20180518_1608_44,1.05518,0,0,-53.60,4.30,477.31,0,0,0,0,0
20180518_1608_44,1.05650,0,0,-24.21,4.29,487.41,0,0,0,0,0
20180518_1608_45,1.05782,0,0,-59.60,4.43,505.00,0,0,0,0,0
20180518_1608_45,1.05914,0,0,-43.96,4.60,501.62,0,0,0,0,0
20180518_1608_45,1.06046,0,0,-41.54,4.48,482.25,0,0,0,0,0
20180518_1608_45,1.06179,0,0,-27.73,4.27,481.21,0,0,0,0,0
20180518_1608_45,1.06312,0,0,-42.91,4.20,496.29,0,0,0,0,0
20180518_1608_45,1.06445,0,0,-9.24,4.26,520.18,0,0,0,0,0
20180518_1608_45,1.06578,0,0,-10.68,4.25,512.96,0,0,0,0,0
20180518_1608_45,1.06711,0,0,-27.18,4.46,490.99,0,0,0,0,0
20180518_1608_45,1.06844,0,0,-55.24,4.52,481.62,0,0,0,0,0
20180518_1608_45,1.06978,0,0,-66.71,4.39,486.21,0,0,0,0,0
20180518_1608_45,1.07112,0,0,-57.53,4.30,506.02,0,0,0,0,0
20180518_1608_45,1.07246,0,0,-28.93,4.44,514.67,0,0,0,0,0
20180518_1608_46,1.07380,0,0,-31.42,4.56,498.61,0,0,0,0,0
20180518_1608_46,1.07514,0,0,-18.17,4.48,500.03,0,0,0,0,0
20180518_1608_46,1.07648,0,0,-51.76,4.54,495.09,0,0,0,0,0
20180518_1608_46,1.07783,0,0,-31.34,4.36,505.68,0,0,0,0,0
20180518_1608_46,1.07918,0,0,-27.24,4.24,502.04,0,0,0,0,0
20180518_1608_46,1.08053,0,0,-0.81,4.12,500.16,0,0,0,0,0
20180518_1608_46,1.08188,0,0,-2.81,4.36,495.63,0,0,0,0,0
20180518_1608_46,1.08323,0,0,-27.87,4.32,488.49,0,0,0,0,0
20180518_1608_46,1.08458,0,0,-29.72,4.46,500.82,0,0,0,0,0
20180518_1608_46,1.08594,0,0,-26.60,4.50,496.28,0,0,0,0,0
20180518_1608_46,1.08730,0,0,-16.21,4.57,504.92,0,0,0,0,0
20180518_1608_46,1.08866,0,0,-32.68,4.50,490.00,0,0,0,0,0
20180518_1608_47,1.09002,0,0,-29.19,4.38,493.49,0,0,0,0,0
20180518_1608_47,1.09138,0,0,-31.46,4.36,497.23,0,0,0,0,0
20180518_1608_47,1.09274,0,0,-35.52,4.19,484.92,0,0,0,0,0
20180518_1608_47,1.09411,0,0,-18.74,4.07,496.99,0,0,0,0,0
20180518_1608_47,1.09548,0,0,0.07,4.10,495.38,0,0,0,0,0
20180518_1608_47,1.09685,0,0,-7.82,4.30,492.80,0,0,0,0,0
20180518_1608_47,1.09822,0,0,-25.26,4.41,488.76,0,0,0,0,0
20180518_1608_47,1.09959,0,0,-27.38,4.50,491.09,0,0,0,0,0
20180518_1608_47,1.10096,0,0,-36.32,4.61,499.02,0,0,0,0,0
20180518_1608_47,1.10234,0,0,-37.43,4.46,489.74,0,0,0,0,0
20180518_1608_47,1.10372,0,0,-26.54,4.45,501.79,0,0,0,0,0
20180518_1608_48,1.10510,0,0,-29.37,4.43,492.36,0,0,0,0,0
20180518_1608_48,1.10648,0,0,-21.92,4.36,484.49,0,0,0,0,0
20180518_1608_48,1.10786,0,0,-8.18,4.17,497.90,0,0,0,0,0
20180518_1608_48,1.10924,0,0,-7.64,4.16,490.15,0,0,0,0,0
20180518_1608_48,1.11063,0,0,8.25,4.30,505.00,0,0,0,0,0
20180518_1608_48,1.11202,0,0,-17.55,4.18,490.50,0,0,0,0,0
20180518_1608_48,1.11341,0,0,-18.44,4.50,498.29,0,0,0,0,0
20180518_1608_48,1.11480,0,0,-40.98,4.66,493.63,0,0,0,0,0
20180518_1608_48,1.11619,0,0,-33.21,4.67,497.68,0,0,0,0,0
20180518_1608_48,1.11759,0,0,-24.45,4.54,501.15,0,0,0,0,0
20180518_1608_48,1.11899,0,0,-20.75,4.35,495.86,0,0,0,0,0
20180518_1608_48,1.12039,0,0,-1.51,4.31,501.42,0,0,0,0,0
20180518_1608_49,1.12179,0,0,-6.68,4.14,496.13,0,0,0,0,0
20180518_1608_49,1.12319,0,0,-1.17,4.05,496.11,0,0,0,0,0
20180518_1608_49,1.12459,0,0,1.40,4.18,497.12,0,0,0,0,0
20180518_1608_49,1.12600,0,0,-14.64,4.14,489.58,0,0,0,0,0
20180518_1608_49,1.12741,0,0,-1.26,4.34,503.08,0,0,0,0,0
20180518_1608_49,1.12882,0,0,-45.65,4.63,489.37,0,0,0,0,0
20180518_1608_49,1.13023,0,0,-33.35,4.53,495.33,0,0,0,0,0
20180518_1608_49,1.13164,0,0,-26.12,4.46,497.54,0,0,0,0,0
20180518_1608_49,1.13305,0,0,-13.58,4.45,496.69,0,0,0,0,0
20180518_1608_49,1.13447,0,0,-4.16,4.27,503.01,0,0,0,0,0
20180518_1608_49,1.13589,0,0,-9.12,4.04,486.68,0,0,0,0,0
20180518_1608_49,1.13731,0,0,4.67,4.17,500.00,0,0,0,0,0
20180518_1608_50,1.13873,0,0,-3.74,4.29,491.70,0,0,0,0,0
20180518_1608_50,1.14015,0,0,-10.62,4.15,497.45,0,0,0,0,0
20180518_1608_50,1.14158,0,0,-14.86,4.47,490.49,0,0,0,0,0
20180518_1608_50,1.14301,0,0,-27.78,4.56,495.53,0,0,0,0,0
20180518_1608_50,1.14444,0,0,-14.41,4.68,499.35,0,0,0,0,0
20180518_1608_50,1.14587,0,0,-30.23,4.29,487.86,0,0,0,0,0
20180518_1608_50,1.14730,0,0,-21.32,4.37,494.24,0,0,0,0,0
20180518_1608_50,1.14873,0,0,-23.26,4.32,497.62,0,0,0,0,0
20180518_1608_50,1.15017,0,0,-3.33,4.10,501.36,0,0,0,0,0
20180518_1608_50,1.15161,0,0,-1.20,4.15,495.33,0,0,0,0,0
20180518_1608_50,1.15305,0,0,-7.38,4.35,489.19,0,0,0,0,0
20180518_1608_50,1.15449,0,0,-23.20,4.37,489.02,0,0,0,0,0
20180518_1608_51,1.15593,0,0,-14.05,4.37,501.18,0,0,0,0,0
20180518_1608_51,1.15737,0,0,-12.94,4.70,512.18,0,0,0,0,0
20180518_1608_51,1.15882,0,0,-32.57,4.65,503.29,0,0,0,0,0
20180518_1608_51,1.16027,0,0,-27.06,4.31,492.83,0,0,0,0,0
20180518_1608_51,1.16172,0,0,-21.73,4.44,492.65,0,0,0,0,0
20180518_1608_51,1.16317,0,0,-43.71,4.47,491.26,0,0,0,0,0
20180518_1608_51,1.16462,0,0,-22.30,4.24,499.18,0,0,0,0,0
20180518_1608_51,1.16608,0,0,-1.22,4.20,496.89,0,0,0,0,0
20180518_1608_51,1.16754,0,0,-8.73,4.58,489.65,0,0,0,0,0
20180518_1608_51,1.16900,0,0,-38.36,4.46,487.08,0,0,0,0,0
20180518_1608_51,1.17046,0,0,-51.77,4.30,488.34,0,0,0,0,0
20180518_1608_52,1.17192,0,0,-35.28,4.41,511.51,0,0,0,0,0
20180518_1608_52,1.17338,0,0,-26.55,4.55,502.62,0,0,0,0,0
20180518_1608_52,1.17485,0,0,-39.67,4.29,482.86,0,0,0,0,0
20180518_1608_52,1.17632,0,0,-18.94,4.44,493.51,0,0,0,0,0
20180518_1608_52,1.17779,0,0,-44.67,4.40,496.28,0,0,0,0,0
20180518_1608_52,1.17926,0,0,-42.68,4.26,505.25,0,0,0,0,0
20180518_1608_52,1.18073,0,0,-36.24,4.19,490.25,0,0,0,0,0
20180518_1608_52,1.18221,0,0,-12.50,4.45,495.02,0,0,0,0,0
20180518_1608_52,1.18369,0,0,-22.29,4.47,492.68,0,0,0,0,0
20180518_1608_52,1.18517,0,0,-73.99,4.43,490.13,0,0,0,0,0
20180518_1608_52,1.18665,0,0,-44.87,4.33,508.06,0,0,0,0,0
20180518_1608_52,1.18813,0,0,-34.83,4.52,493.55,0,0,0,0,0
20180518_1608_53,1.18962,0,0,-12.19,4.39,497.53,0,0,0,0,0
20180518_1608_53,1.19111,0,0,-17.36,4.13,482.11,0,0,0,0,0
20180518_1608_53,1.19260,0,0,-17.31,4.18,502.12,0,0,0,0,0
20180518_1608_53,1.19409,0,0,-33.63,4.41,500.70,0,0,0,0,0
20180518_1608_53,1.19558,0,0,-33.96,4.26,485.40,0,0,0,0,0
20180518_1608_53,1.19707,0,0,-6.04,4.40,497.34,0,0,0,0,0
20180518_1608_53,1.19857,0,0,-19.15,4.69,491.01,0,0,0,0,0
20180518_1608_53,1.20007,0,0,-69.45,4.55,483.56,0,0,0,0,0
20180518_1608_53,1.20157,0,0,-42.36,4.52,491.83,0,0,0,0,0
20180518_1608_53,1.20307,0,0,-28.95,4.65,491.49,0,0,0,0,0
20180518_1608_53,1.20457,0,0,-3.20,4.53,495.05,0,0,0,0,0
20180518_1608_53,1.20608,0,0,-1.88,4.11,487.73,0,0,0,0,0
20180518_1608_54,1.20759,0,0,-5.67,4.12,501.80,0,0,0,0,0
20180518_1608_54,1.20910,0,0,-3.85,4.40,497.19,0,0,0,0,0
20180518_1608_54,1.21061,0,0,-23.11,4.27,484.17,0,0,0,0,0
20180518_1608_54,1.21212,0,0,-8.29,4.39,493.19,0,0,0,0,0
20180518_1608_54,1.21364,0,0,-13.49,4.65,493.71,0,0,0,0,0
20180518_1608_54,1.21516,0,0,-30.79,4.51,501.38,0,0,0,0,0
20180518_1608_54,1.21668,0,0,-22.96,4.34,496.09,0,0,0,0,0
20180518_1608_54,1.21820,0,0,-28.99,4.23,486.20,0,0,0,0,0
20180518_1608_54,1.21972,0,0,-24.24,4.27,494.34,0,0,0,0,0
20180518_1608_54,1.22124,0,0,-15.44,4.17,499.69,0,0,0,0,0
20180518_1608_54,1.22277,0,0,-4.51,4.17,499.36,0,0,0,0,0
20180518_1608_55,1.22430,0,0,-6.40,4.26,489.67,0,0,0,0,0
20180518_1608_55,1.22583,0,0,-39.45,4.48,483.83,0,0,0,0,0
