Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180508_1002_23,41000,0,0,116.73,496.32,613.05,0,0,0,0,0
20180508_1002_23,41051.25,0,0,116.2,496.32,612.52,0,0,0,0,0
20180508_1002_23,41102.56,0,0,116.2,496.32,612.52,0,0,0,0,0
20180508_1002_23,41153.94,0,0,116.2,496.76,612.96,0,0,0,0,0
20180508_1002_23,41205.38,0,0,116.11,496.76,612.87,0,0,0,0,0
20180508_1002_23,41256.89,0,0,116.11,496.9,613.01,0,0,0,0,0
20180508_1002_23,41308.46,0,0,116.09,496.9,612.99,0,0,0,0,0
20180508_1002_23,41360.1,0,0,116.09,496.9,612.99,0,0,0,0,0
20180508_1002_23,41411.8,0,0,116.09,496.91,613,0,0,0,0,0
20180508_1002_23,41463.56,0,0,115.69,496.91,612.6,0,0,0,0,0
20180508_1002_23,41515.39,0,0,115.69,496.91,612.6,0,0,0,0,0
20180508_1002_23,41567.28,0,0,115.69,497.33,613.02,0,0,0,0,0
20180508_1002_24,41619.24,0,0,115.56,497.33,612.89,0,0,0,0,0
20180508_1002_24,41671.26,0,0,115.56,497.33,612.89,0,0,0,0,0
20180508_1002_24,41723.35,0,0,115.56,497.36,612.92,0,0,0,0,0
20180508_1002_24,41775.5,0,0,115.62,497.36,612.98,0,0,0,0,0
20180508_1002_24,41827.72,0,0,115.62,497.36,612.98,0,0,0,0,0
20180508_1002_24,41880,0,0,115.62,497.37,612.99,0,0,0,0,0
20180508_1002_24,41932.35,0,0,115.99,497.37,613.36,0,0,0,0,0
20180508_1002_24,41984.77,0,0,115.99,497.37,613.36,0,0,0,0,0
20180508_1002_24,42037.25,0,0,115.99,497.37,613.36,0,0,0,0,0
20180508_1002_24,42089.8,0,0,115.99,497.4,613.39,0,0,0,0,0
20180508_1002_24,42142.41,0,0,116.11,497.4,613.51,0,0,0,0,0
20180508_1002_24,42195.09,0,0,116.11,497.4,613.51,0,0,0,0,0
20180508_1002_24,42247.83,0,0,116.11,497.4,613.51,0,0,0,0,0
20180508_1002_24,42300.64,0,0,116.11,497.4,613.51,0,0,0,0,0
20180508_1002_25,42353.52,0,0,116.11,497.4,613.51,0,0,0,0,0
20180508_1002_25,42406.46,0,0,116.11,497.41,613.52,0,0,0,0,0
20180508_1002_25,42459.47,0,0,116.13,497.41,613.54,0,0,0,0,0
20180508_1002_25,42512.54,0,0,116.13,497.41,613.54,0,0,0,0,0
20180508_1002_25,42565.68,0,0,116.13,497.41,613.54,0,0,0,0,0
20180508_1002_25,42618.89,0,0,116.43,497.41,613.84,0,0,0,0,0
20180508_1002_25,42672.16,0,0,116.43,497.41,613.84,0,0,0,0,0
20180508_1002_25,42725.5,0,0,116.43,497.41,613.84,0,0,0,0,0
20180508_1002_25,42778.91,0,0,116.73,497.42,614.15,0,0,0,0,0
20180508_1002_25,42832.38,0,0,116.73,497.42,614.15,0,0,0,0,0
20180508_1002_25,42885.92,0,0,116.73,497.43,614.16,0,0,0,0,0
20180508_1002_25,42939.53,0,0,116.74,497.43,614.17,0,0,0,0,0
20180508_1002_25,42993.2,0,0,116.74,497.43,614.17,0,0,0,0,0
20180508_1002_25,43046.94,0,0,116.74,497.43,614.17,0,0,0,0,0
20180508_1002_25,43100.75,0,0,116.74,497.46,614.2,0,0,0,0,0
20180508_1002_26,43154.63,0,0,116.74,497.46,614.2,0,0,0,0,0
20180508_1002_26,43208.57,0,0,116.74,497.46,614.2,0,0,0,0,0
20180508_1002_26,43262.58,0,0,116.74,497.44,614.18,0,0,0,0,0
20180508_1002_26,43316.66,0,0,116.93,497.44,614.37,0,0,0,0,0
20180508_1002_26,43370.81,0,0,116.93,497.44,614.37,0,0,0,0,0
20180508_1002_26,43425.02,0,0,116.93,497.45,614.38,0,0,0,0,0
20180508_1002_26,43479.3,0,0,117.34,497.45,614.79,0,0,0,0,0
20180508_1002_26,43533.65,0,0,117.34,497.45,614.79,0,0,0,0,0
20180508_1002_26,43588.07,0,0,117.34,497.44,614.78,0,0,0,0,0
20180508_1002_26,43642.56,0,0,117.34,497.44,614.78,0,0,0,0,0
20180508_1002_26,43697.11,0,0,117.36,497.44,614.8,0,0,0,0,0
20180508_1002_26,43751.73,0,0,117.36,497.44,614.8,0,0,0,0,0
20180508_1002_26,43806.42,0,0,117.36,497.46,614.82,0,0,0,0,0
20180508_1002_26,43861.18,0,0,117.36,497.46,614.82,0,0,0,0,0
20180508_1002_27,43916.01,0,0,117.36,497.46,614.82,0,0,0,0,0
20180508_1002_27,43970.91,0,0,117.36,497.48,614.84,0,0,0,0,0
20180508_1002_27,44025.87,0,0,117.4,497.48,614.88,0,0,0,0,0
20180508_1002_27,44080.9,0,0,117.4,497.48,614.88,0,0,0,0,0
