Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180508_1110_49,116.72,496.15,612.87,0.0000,0.0000,0.0000,20180507_1641_09,20180508_1110_49,10,114.17,115.96,116.74,496.15,496.51,497.01,610.91,612.47,613.06
41051.25,20180508_1110_49,116.72,496.22,612.94,0.0000,0.0141,0.0114,20180507_1641_09,20180508_1110_49,10,113.56,115.83,116.74,496.22,496.54,497.01,610.30,612.37,613.06
41102.56,20180508_1110_50,116.09,496.22,612.31,0.5427,0.0071,0.0972,20180507_1641_10,20180508_1110_50,10,113.56,115.59,116.53,496.22,496.59,497.01,610.30,612.18,612.93
41153.94,20180508_1110_50,116.09,496.71,612.80,0.3618,0.1033,0.0152,20180507_1641_10,20180508_1110_50,10,113.56,115.54,116.53,496.31,496.88,497.48,610.79,612.42,613.03
41205.38,20180508_1110_50,116.08,496.71,612.79,0.2800,0.0775,0.0098,20180507_1641_10,20180508_1110_50,10,113.55,115.49,116.53,496.69,497.00,497.48,610.78,612.48,613.22
41256.89,20180508_1110_50,116.08,496.71,612.79,0.2240,0.0620,0.0078,20180507_1641_10,20180508_1110_50,10,113.55,115.40,116.12,496.69,497.07,497.48,610.83,612.47,613.03
41308.46,20180508_1110_50,116.08,496.82,612.90,0.1867,0.0738,0.0245,20180507_1641_10,20180508_1110_50,10,113.50,115.39,116.12,496.82,497.10,497.48,610.78,612.49,613.05
41360.10,20180508_1110_50,115.96,496.82,612.78,0.2636,0.0633,0.0014,20180507_1641_10,20180508_1110_50,10,113.50,115.37,116.12,496.82,497.11,497.49,610.78,612.48,613.05
41411.80,20180508_1110_50,115.96,496.89,612.85,0.2307,0.0694,0.0126,20180507_1641_10,20180508_1110_50,10,113.50,115.32,116.11,496.89,497.13,497.49,610.78,612.45,613.05
41463.56,20180508_1110_50,115.65,496.89,612.54,0.4736,0.0617,0.0394,20180507_1641_10,20180508_1110_50,10,113.50,115.21,116.11,496.89,497.14,497.49,610.83,612.34,613.05
41515.39,20180508_1110_50,115.65,496.89,612.54,0.4263,0.0555,0.0354,20180507_1641_10,20180508_1110_50,10,113.50,115.23,116.11,496.89,497.17,497.49,610.83,612.40,613.07
41567.28,20180508_1110_50,115.65,497.27,612.92,0.3875,0.1269,0.0298,20180507_1641_10,20180508_1110_50,10,113.50,115.22,116.11,496.92,497.25,497.49,610.83,612.47,613.03
41619.24,20180508_1110_50,115.48,497.27,612.75,0.5030,0.1163,0.0004,20180507_1641_10,20180508_1110_50,10,113.50,115.19,116.11,496.96,497.31,497.50,610.86,612.50,613.33
41671.26,20180508_1110_51,115.48,497.27,612.75,0.4643,0.1074,0.0004,20180507_1641_10,20180508_1110_51,10,113.57,115.19,116.10,496.98,497.32,497.50,610.93,612.51,613.32
