Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180519_0910_22,1,0,0,123.37,406.35,529.72,0,0,0,0,0
20180519_0910_22,1.00125,0,0,80.22,406.35,486.57,0,0,0,0,0
20180519_0910_22,1.0025,0,0,80.22,405.72,485.94,0,0,0,0,0
20180519_0910_22,1.00375,0,0,134.45,405.72,540.17,0,0,0,0,0
20180519_0910_22,1.005,0,0,134.45,405.72,540.17,0,0,0,0,0
20180519_0910_22,1.00626,0,0,93.34,406.31,499.65,0,0,0,0,0
20180519_0910_22,1.00752,0,0,93.34,406.31,499.65,0,0,0,0,0
20180519_0910_22,1.00878,0,0,93.34,405.86,499.2,0,0,0,0,0
20180519_0910_22,1.01004,0,0,106.51,405.86,512.37,0,0,0,0,0
20180519_0910_23,1.0113,0,0,106.51,406.03,512.54,0,0,0,0,0
20180519_0910_23,1.01256,0,0,95.37,406.03,501.4,0,0,0,0,0
20180519_0910_23,1.01383,0,0,95.37,406.15,501.52,0,0,0,0,0
20180519_0910_23,1.0151,0,0,71.02,406.15,477.17,0,0,0,0,0
20180519_0910_23,1.01637,0,0,71.02,406.15,477.17,0,0,0,0,0
20180519_0910_23,1.01764,0,0,71.02,405.87,476.89,0,0,0,0,0
20180519_0910_23,1.01891,0,0,115.57,405.87,521.44,0,0,0,0,0
20180519_0910_23,1.02018,0,0,115.57,405.87,521.44,0,0,0,0,0
20180519_0910_23,1.02146,0,0,77.69,406.33,484.02,0,0,0,0,0
20180519_0910_23,1.02274,0,0,77.69,406.33,484.02,0,0,0,0,0
20180519_0910_23,1.02402,0,0,77.69,405.52,483.21,0,0,0,0,0
20180519_0910_23,1.0253,0,0,116.43,405.52,521.95,0,0,0,0,0
20180519_0910_24,1.02658,0,0,116.43,405.52,521.95,0,0,0,0,0
20180519_0910_24,1.02786,0,0,116.43,406.34,522.77,0,0,0,0,0
20180519_0910_24,1.02914,0,0,77.8,406.34,484.14,0,0,0,0,0
20180519_0910_24,1.03043,0,0,77.8,405.53,483.33,0,0,0,0,0
20180519_0910_24,1.03172,0,0,140.45,405.53,545.98,0,0,0,0,0
