Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180519_1817_51,1.00000,0,0,89.34,405.57,494.91,0,0,0,0,0
20180519_1817_51,1.00125,0,0,96.07,405.64,501.71,0,0,0,0,0
20180519_1817_51,1.00250,0,0,111.33,405.57,516.90,0,0,0,0,0
20180519_1817_51,1.00375,0,0,114.16,405.63,519.78,0,0,0,0,0
20180519_1817_51,1.00500,0,0,102.95,405.65,508.60,0,0,0,0,0
20180519_1817_51,1.00626,0,0,96.91,405.46,502.38,0,0,0,0,0
20180519_1817_51,1.00752,0,0,104.23,405.39,509.63,0,0,0,0,0
20180519_1817_51,1.00878,0,0,105.52,405.50,511.01,0,0,0,0,0
20180519_1817_51,1.01004,0,0,89.70,405.75,495.45,0,0,0,0,0
20180519_1817_51,1.01130,0,0,83.73,405.63,489.36,0,0,0,0,0
20180519_1817_52,1.01256,0,0,101.66,405.44,507.10,0,0,0,0,0
20180519_1817_52,1.01383,0,0,122.72,405.31,528.03,0,0,0,0,0
20180519_1817_52,1.01510,0,0,110.13,405.47,515.61,0,0,0,0,0
20180519_1817_52,1.01637,0,0,99.01,405.81,504.81,0,0,0,0,0
20180519_1817_52,1.01764,0,0,89.78,405.72,495.50,0,0,0,0,0
20180519_1817_52,1.01891,0,0,96.73,405.28,502.01,0,0,0,0,0
20180519_1817_52,1.02018,0,0,116.07,405.32,521.39,0,0,0,0,0
20180519_1817_52,1.02146,0,0,105.82,405.59,511.42,0,0,0,0,0
20180519_1817_52,1.02274,0,0,96.22,405.78,502.00,0,0,0,0,0
20180519_1817_52,1.02402,0,0,87.31,405.50,492.80,0,0,0,0,0
20180519_1817_52,1.02530,0,0,101.31,405.40,506.71,0,0,0,0,0
20180519_1817_53,1.02658,0,0,106.24,405.40,511.63,0,0,0,0,0
20180519_1817_53,1.02786,0,0,95.20,405.53,500.73,0,0,0,0,0
20180519_1817_53,1.02914,0,0,96.54,405.69,502.23,0,0,0,0,0
20180519_1817_53,1.03043,0,0,92.99,405.38,498.37,0,0,0,0,0
20180519_1817_53,1.03172,0,0,110.86,405.46,516.32,0,0,0,0,0
20180519_1817_53,1.03301,0,0,106.61,405.56,512.17,0,0,0,0,0
20180519_1817_53,1.03430,0,0,84.34,405.59,489.92,0,0,0,0,0
20180519_1817_53,1.03559,0,0,94.77,405.58,500.35,0,0,0,0,0
20180519_1817_53,1.03688,0,0,101.29,405.54,506.83,0,0,0,0,0
20180519_1817_53,1.03818,0,0,108.30,405.60,513.90,0,0,0,0,0
20180519_1817_53,1.03948,0,0,97.36,405.65,503.01,0,0,0,0,0
20180519_1817_54,1.04078,0,0,104.24,405.43,509.68,0,0,0,0,0
20180519_1817_54,1.04208,0,0,103.56,405.36,508.92,0,0,0,0,0
20180519_1817_54,1.04338,0,0,112.72,405.45,518.18,0,0,0,0,0
20180519_1817_54,1.04468,0,0,106.14,405.58,511.72,0,0,0,0,0
20180519_1817_54,1.04599,0,0,98.16,405.69,503.85,0,0,0,0,0
20180519_1817_54,1.04730,0,0,88.69,405.44,494.14,0,0,0,0,0
