Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180519_1817_51,1.00000,0,0,-4.26,9.54,-18.86,0,0,0,0,0
20180519_1817_51,1.00125,0,0,2.47,9.83,-12.00,0,0,0,0,0
20180519_1817_51,1.00250,0,0,11.10,9.76,12.28,0,0,0,0,0
20180519_1817_51,1.00375,0,0,9.07,9.83,1.70,0,0,0,0,0
20180519_1817_51,1.00500,0,0,1.66,10.00,-4.44,0,0,0,0,0
20180519_1817_51,1.00626,0,0,6.53,9.81,15.76,0,0,0,0,0
20180519_1817_51,1.00752,0,0,1.75,9.60,22.96,0,0,0,0,0
20180519_1817_51,1.00878,0,0,-2.62,9.73,16.79,0,0,0,0,0
20180519_1817_51,1.01004,0,0,-8.31,9.98,-1.50,0,0,0,0,0
20180519_1817_51,1.01130,0,0,-14.28,9.80,-14.88,0,0,0,0,0
20180519_1817_52,1.01256,0,0,9.10,9.57,-15.25,0,0,0,0,0
20180519_1817_52,1.01383,0,0,24.18,9.57,5.68,0,0,0,0,0
20180519_1817_52,1.01510,0,0,-0.73,9.55,-0.28,0,0,0,0,0
20180519_1817_52,1.01637,0,0,12.46,9.89,-39.41,0,0,0,0,0
20180519_1817_52,1.01764,0,0,3.23,9.79,-46.76,0,0,0,0,0
20180519_1817_52,1.01891,0,0,-7.13,9.58,-3.18,0,0,0,0,0
20180519_1817_52,1.02018,0,0,-2.83,9.61,16.19,0,0,0,0,0
20180519_1817_52,1.02146,0,0,-13.08,9.90,-9.18,0,0,0,0,0
20180519_1817_52,1.02274,0,0,5.67,10.11,-21.23,0,0,0,0,0
20180519_1817_52,1.02402,0,0,-3.24,9.58,-27.68,0,0,0,0,0
20180519_1817_52,1.02530,0,0,7.31,9.61,-18.05,0,0,0,0,0
20180519_1817_53,1.02658,0,0,-6.73,9.61,-12.99,0,0,0,0,0
20180519_1817_53,1.02786,0,0,-31.27,9.72,-6.30,0,0,0,0,0
20180519_1817_53,1.02914,0,0,-7.14,9.75,-20.95,0,0,0,0,0
20180519_1817_53,1.03043,0,0,-3.17,9.57,-22.62,0,0,0,0,0
20180519_1817_53,1.03172,0,0,10.70,9.61,-3.38,0,0,0,0,0
20180519_1817_53,1.03301,0,0,7.95,9.74,-7.64,0,0,0,0,0
20180519_1817_53,1.03430,0,0,-14.32,9.80,-17.66,0,0,0,0,0
20180519_1817_53,1.03559,0,0,-6.22,9.91,-6.59,0,0,0,0,0
20180519_1817_53,1.03688,0,0,-1.44,9.72,6.19,0,0,0,0,0
20180519_1817_53,1.03818,0,0,11.90,9.86,24.22,0,0,0,0,0
20180519_1817_53,1.03948,0,0,-12.09,9.91,13.40,0,0,0,0,0
20180519_1817_54,1.04078,0,0,2.48,9.59,9.64,0,0,0,0,0
20180519_1817_54,1.04208,0,0,12.26,9.34,-3.48,0,0,0,0,0
20180519_1817_54,1.04338,0,0,25.05,9.56,12.03,0,0,0,0,0
20180519_1817_54,1.04468,0,0,-0.36,9.66,-11.79,0,0,0,0,0
20180519_1817_54,1.04599,0,0,-4.06,9.78,-19.78,0,0,0,0,0
20180519_1817_54,1.04730,0,0,-13.53,9.63,-12.99,0,0,0,0,0
20180519_1817_54,1.04861,0,0,21.35,9.77,21.94,0,0,0,0,0
20180519_1817_54,1.04992,0,0,10.04,9.82,15.75,0,0,0,0,0
20180519_1817_54,1.05123,0,0,-22.45,9.83,-10.13,0,0,0,0,0
20180519_1817_54,1.05254,0,0,-23.48,9.84,-10.07,0,0,0,0,0
20180519_1817_54,1.05386,0,0,11.21,9.50,-1.88,0,0,0,0,0
20180519_1817_55,1.05518,0,0,34.27,9.45,-5.58,0,0,0,0,0
20180519_1817_55,1.05650,0,0,35.17,9.74,24.99,0,0,0,0,0
20180519_1817_55,1.05782,0,0,-16.95,9.93,-62.19,0,0,0,0,0
20180519_1817_55,1.05914,0,0,-22.85,9.76,-52.45,0,0,0,0,0
20180519_1817_55,1.06046,0,0,9.88,9.67,-17.51,0,0,0,0,0
20180519_1817_55,1.06179,0,0,19.36,9.58,5.48,0,0,0,0,0
20180519_1817_55,1.06312,0,0,10.48,9.91,-18.32,0,0,0,0,0
20180519_1817_55,1.06445,0,0,-29.41,9.84,-24.55,0,0,0,0,0
