Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180520_0936_09,1,0,0,73.47,405.18,478.65,0,0,0,0,0
20180520_0936_09,1.00125,0,0,108.19,405.18,513.37,0,0,0,0,0
20180520_0936_10,1.0025,0,0,108.19,405.18,513.37,0,0,0,0,0
20180520_0936_10,1.00375,0,0,108.19,405.73,513.92,0,0,0,0,0
20180520_0936_10,1.005,0,0,75.31,405.73,481.04,0,0,0,0,0
20180520_0936_10,1.00626,0,0,75.31,404.93,480.24,0,0,0,0,0
20180520_0936_10,1.00752,0,0,132.06,404.93,536.99,0,0,0,0,0
20180520_0936_10,1.00878,0,0,132.06,404.93,536.99,0,0,0,0,0
20180520_0936_10,1.01004,0,0,132.06,405.79,537.85,0,0,0,0,0
20180520_0936_10,1.0113,0,0,83.85,405.79,489.64,0,0,0,0,0
20180520_0936_10,1.01256,0,0,83.85,404.85,488.7,0,0,0,0,0
20180520_0936_10,1.01383,0,0,138.22,404.85,543.07,0,0,0,0,0
20180520_0936_10,1.0151,0,0,138.22,404.85,543.07,0,0,0,0,0
20180520_0936_10,1.01637,0,0,138.22,405.6,543.82,0,0,0,0,0
20180520_0936_11,1.01764,0,0,87.19,405.6,492.79,0,0,0,0,0
20180520_0936_11,1.01891,0,0,87.19,405.19,492.38,0,0,0,0,0
20180520_0936_11,1.02018,0,0,88.09,405.19,493.28,0,0,0,0,0
20180520_0936_11,1.02146,0,0,88.09,405.19,493.28,0,0,0,0,0
20180520_0936_11,1.02274,0,0,101.05,405.66,506.71,0,0,0,0,0
20180520_0936_11,1.02402,0,0,101.05,405.66,506.71,0,0,0,0,0
20180520_0936_11,1.0253,0,0,101.05,405.51,506.56,0,0,0,0,0
20180520_0936_11,1.02658,0,0,75.91,405.51,481.42,0,0,0,0,0
20180520_0936_11,1.02786,0,0,75.91,405.51,481.42,0,0,0,0,0
20180520_0936_11,1.02914,0,0,75.91,405.22,481.13,0,0,0,0,0
20180520_0936_11,1.03043,0,0,99.15,405.22,504.37,0,0,0,0,0
20180520_0936_12,1.03172,0,0,99.15,405.54,504.69,0,0,0,0,0
20180520_0936_12,1.03301,0,0,72.42,405.54,477.96,0,0,0,0,0
20180520_0936_12,1.0343,0,0,72.42,405.01,477.43,0,0,0,0,0
20180520_0936_12,1.03559,0,0,116.14,405.01,521.15,0,0,0,0,0
20180520_0936_12,1.03688,0,0,116.14,405.01,521.15,0,0,0,0,0
20180520_0936_12,1.03818,0,0,116.14,405.79,521.93,0,0,0,0,0
20180520_0936_12,1.03948,0,0,77.93,405.79,483.72,0,0,0,0,0
20180520_0936_12,1.04078,0,0,77.93,404.9,482.83,0,0,0,0,0
20180520_0936_12,1.04208,0,0,122.05,404.9,526.95,0,0,0,0,0
20180520_0936_12,1.04338,0,0,122.05,404.9,526.95,0,0,0,0,0
20180520_0936_13,1.04468,0,0,79.85,405.81,485.66,0,0,0,0,0
20180520_0936_13,1.04599,0,0,79.85,405.81,485.66,0,0,0,0,0
20180520_0936_13,1.0473,0,0,79.85,405.01,484.86,0,0,0,0,0
20180520_0936_13,1.04861,0,0,130.16,405.01,535.17,0,0,0,0,0
20180520_0936_13,1.04992,0,0,130.16,405.01,535.17,0,0,0,0,0
20180520_0936_13,1.05123,0,0,130.16,405.81,535.97,0,0,0,0,0
20180520_0936_13,1.05254,0,0,84.57,405.81,490.38,0,0,0,0,0
20180520_0936_13,1.05386,0,0,84.57,404.97,489.54,0,0,0,0,0
20180520_0936_13,1.05518,0,0,132.53,404.97,537.5,0,0,0,0,0
20180520_0936_13,1.0565,0,0,132.53,404.97,537.5,0,0,0,0,0
20180520_0936_13,1.05782,0,0,86.11,405.71,491.82,0,0,0,0,0
20180520_0936_13,1.05914,0,0,86.11,405.71,491.82,0,0,0,0,0
20180520_0936_14,1.06046,0,0,86.11,405.15,491.26,0,0,0,0,0
20180520_0936_14,1.06179,0,0,99.89,405.15,505.04,0,0,0,0,0
20180520_0936_14,1.06312,0,0,99.89,405.7,505.59,0,0,0,0,0
20180520_0936_14,1.06445,0,0,99.89,405.7,505.59,0,0,0,0,0
20180520_0936_14,1.06578,0,0,94.06,405.7,499.76,0,0,0,0,0
20180520_0936_14,1.06711,0,0,94.06,405.7,499.76,0,0,0,0,0
20180520_0936_14,1.06844,0,0,96.63,405.39,502.02,0,0,0,0,0
20180520_0936_14,1.06978,0,0,96.63,405.39,502.02,0,0,0,0,0
20180520_0936_14,1.07112,0,0,91.5,405.45,496.95,0,0,0,0,0
20180520_0936_14,1.07246,0,0,91.5,405.45,496.95,0,0,0,0,0
20180520_0936_15,1.0738,0,0,91.5,405.34,496.84,0,0,0,0,0
20180520_0936_15,1.07514,0,0,70.13,405.34,475.47,0,0,0,0,0
20180520_0936_15,1.07648,0,0,70.13,405.34,475.47,0,0,0,0,0
20180520_0936_15,1.07783,0,0,70.13,405.36,475.49,0,0,0,0,0
20180520_0936_15,1.07918,0,0,106.07,405.36,511.43,0,0,0,0,0
20180520_0936_15,1.08053,0,0,106.07,405.63,511.7,0,0,0,0,0
20180520_0936_15,1.08188,0,0,75.17,405.63,480.8,0,0,0,0,0
20180520_0936_15,1.08323,0,0,75.17,405.63,480.8,0,0,0,0,0
20180520_0936_15,1.08458,0,0,103.39,405.25,508.64,0,0,0,0,0
20180520_0936_15,1.08594,0,0,103.39,405.25,508.64,0,0,0,0,0
20180520_0936_15,1.0873,0,0,103.39,405.64,509.03,0,0,0,0,0
20180520_0936_15,1.08866,0,0,73.7,405.64,479.34,0,0,0,0,0
20180520_0936_16,1.09002,0,0,73.7,405.21,478.91,0,0,0,0,0
20180520_0936_16,1.09138,0,0,110.37,405.21,515.58,0,0,0,0,0
20180520_0936_16,1.09274,0,0,110.37,405.21,515.58,0,0,0,0,0
20180520_0936_16,1.09411,0,0,110.37,405.7,516.07,0,0,0,0,0
20180520_0936_16,1.09548,0,0,75.93,405.7,481.63,0,0,0,0,0
20180520_0936_16,1.09685,0,0,75.93,405.7,481.63,0,0,0,0,0
20180520_0936_16,1.09822,0,0,75.93,405.15,481.08,0,0,0,0,0
20180520_0936_16,1.09959,0,0,107.96,405.15,513.11,0,0,0,0,0
20180520_0936_16,1.10096,0,0,107.96,405.64,513.6,0,0,0,0,0
20180520_0936_16,1.10234,0,0,75.08,405.64,480.72,0,0,0,0,0
20180520_0936_16,1.10372,0,0,75.08,405.64,480.72,0,0,0,0,0
20180520_0936_17,1.1051,0,0,75.08,405.12,480.2,0,0,0,0,0
20180520_0936_17,1.10648,0,0,112.71,405.12,517.83,0,0,0,0,0
20180520_0936_17,1.10786,0,0,112.71,405.12,517.83,0,0,0,0,0
20180520_0936_17,1.10924,0,0,76.72,405.88,482.6,0,0,0,0,0
20180520_0936_17,1.11063,0,0,76.72,405.88,482.6,0,0,0,0,0
20180520_0936_17,1.11202,0,0,76.72,405.11,481.83,0,0,0,0,0
20180520_0936_17,1.11341,0,0,110.39,405.11,515.5,0,0,0,0,0
20180520_0936_17,1.1148,0,0,110.39,405.72,516.11,0,0,0,0,0
20180520_0936_17,1.11619,0,0,75.85,405.72,481.57,0,0,0,0,0
20180520_0936_17,1.11759,0,0,75.85,405.72,481.57,0,0,0,0,0
20180520_0936_17,1.11899,0,0,75.85,404.98,480.83,0,0,0,0,0
20180520_0936_17,1.12039,0,0,113.57,404.98,518.55,0,0,0,0,0
20180520_0936_18,1.12179,0,0,113.57,404.98,518.55,0,0,0,0,0
20180520_0936_18,1.12319,0,0,76.99,405.78,482.77,0,0,0,0,0
20180520_0936_18,1.12459,0,0,76.99,405.78,482.77,0,0,0,0,0
20180520_0936_18,1.126,0,0,76.99,405.06,482.05,0,0,0,0,0
20180520_0936_18,1.12741,0,0,113.79,405.06,518.85,0,0,0,0,0
20180520_0936_18,1.12882,0,0,113.79,405.71,519.5,0,0,0,0,0
20180520_0936_18,1.13023,0,0,113.79,405.71,519.5,0,0,0,0,0
20180520_0936_18,1.13164,0,0,76.9,405.71,482.61,0,0,0,0,0
20180520_0936_18,1.13305,0,0,76.9,405.03,481.93,0,0,0,0,0
20180520_0936_18,1.13447,0,0,113.14,405.03,518.17,0,0,0,0,0
20180520_0936_18,1.13589,0,0,113.14,405.03,518.17,0,0,0,0,0
20180520_0936_19,1.13731,0,0,76.85,405.83,482.68,0,0,0,0,0
20180520_0936_19,1.13873,0,0,76.85,405.83,482.68,0,0,0,0,0
20180520_0936_19,1.14015,0,0,76.85,405.13,481.98,0,0,0,0,0
20180520_0936_19,1.14158,0,0,110.25,405.13,515.38,0,0,0,0,0
20180520_0936_19,1.14301,0,0,110.25,405.13,515.38,0,0,0,0,0
20180520_0936_19,1.14444,0,0,110.25,405.65,515.9,0,0,0,0,0
20180520_0936_19,1.14587,0,0,75.76,405.65,481.41,0,0,0,0,0
20180520_0936_19,1.1473,0,0,75.76,405.12,480.88,0,0,0,0,0
20180520_0936_19,1.14873,0,0,113.05,405.12,518.17,0,0,0,0,0
20180520_0936_19,1.15017,0,0,113.05,405.12,518.17,0,0,0,0,0
20180520_0936_19,1.15161,0,0,76.76,405.74,482.5,0,0,0,0,0
20180520_0936_20,1.15305,0,0,76.76,405.74,482.5,0,0,0,0,0
20180520_0936_20,1.15449,0,0,76.76,405.12,481.88,0,0,0,0,0
20180520_0936_20,1.15593,0,0,104.6,405.12,509.72,0,0,0,0,0
20180520_0936_20,1.15737,0,0,104.6,405.54,510.14,0,0,0,0,0
20180520_0936_20,1.15882,0,0,73.94,405.54,479.48,0,0,0,0,0
20180520_0936_20,1.16027,0,0,73.94,405.54,479.48,0,0,0,0,0
20180520_0936_20,1.16172,0,0,73.94,405.16,479.1,0,0,0,0,0
20180520_0936_20,1.16317,0,0,111.1,405.16,516.26,0,0,0,0,0
20180520_0936_20,1.16462,0,0,111.1,405.45,516.55,0,0,0,0,0
20180520_0936_20,1.16608,0,0,77.36,405.45,482.81,0,0,0,0,0
20180520_0936_20,1.16754,0,0,77.36,405.45,482.81,0,0,0,0,0
20180520_0936_21,1.169,0,0,101.13,405.31,506.44,0,0,0,0,0
20180520_0936_21,1.17046,0,0,101.13,405.31,506.44,0,0,0,0,0
20180520_0936_21,1.17192,0,0,101.13,405.53,506.66,0,0,0,0,0
20180520_0936_21,1.17338,0,0,73.2,405.53,478.73,0,0,0,0,0
20180520_0936_21,1.17485,0,0,73.2,405.52,478.72,0,0,0,0,0
20180520_0936_21,1.17632,0,0,102.18,405.52,507.7,0,0,0,0,0
20180520_0936_21,1.17779,0,0,102.18,405.52,507.7,0,0,0,0,0
20180520_0936_21,1.17926,0,0,102.18,405.38,507.56,0,0,0,0,0
20180520_0936_21,1.18073,0,0,100.03,405.38,505.41,0,0,0,0,0
20180520_0936_21,1.18221,0,0,100.03,405.59,505.62,0,0,0,0,0
20180520_0936_21,1.18369,0,0,89.75,405.59,495.34,0,0,0,0,0
20180520_0936_22,1.18517,0,0,89.75,405.59,495.34,0,0,0,0,0
20180520_0936_22,1.18665,0,0,89.75,405.21,494.96,0,0,0,0,0
20180520_0936_22,1.18813,0,0,100.49,405.21,505.7,0,0,0,0,0
20180520_0936_22,1.18962,0,0,100.49,405.72,506.21,0,0,0,0,0
20180520_0936_22,1.19111,0,0,89.13,405.72,494.85,0,0,0,0,0
20180520_0936_22,1.1926,0,0,89.13,405.72,494.85,0,0,0,0,0
20180520_0936_22,1.19409,0,0,89.13,405.07,494.2,0,0,0,0,0
20180520_0936_22,1.19558,0,0,125.35,405.07,530.42,0,0,0,0,0
20180520_0936_22,1.19707,0,0,125.35,405.07,530.42,0,0,0,0,0
20180520_0936_22,1.19857,0,0,125.35,405.81,531.16,0,0,0,0,0
20180520_0936_22,1.20007,0,0,83.29,405.81,489.1,0,0,0,0,0
20180520_0936_23,1.20157,0,0,83.29,405.09,488.38,0,0,0,0,0
20180520_0936_23,1.20307,0,0,128.28,405.09,533.37,0,0,0,0,0
20180520_0936_23,1.20457,0,0,128.28,405.09,533.37,0,0,0,0,0
