Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180520_0936_09,1.00000,0,0,-13.75,100.11,-13.64,0,0,0,0,0
20180520_0936_09,1.00125,0,0,-7.24,100.33,-6.91,0,0,0,0,0
20180520_0936_10,1.00250,0,0,-11.41,100.33,-11.08,0,0,0,0,0
20180520_0936_10,1.00375,0,0,-11.41,100.35,-11.06,0,0,0,0,0
20180520_0936_10,1.00500,0,0,-16.78,100.46,-16.32,0,0,0,0,0
20180520_0936_10,1.00626,0,0,-16.78,99.99,-16.79,0,0,0,0,0
20180520_0936_10,1.00752,0,0,28.28,99.94,28.22,0,0,0,0,0
20180520_0936_10,1.00878,0,0,36.06,99.94,36.00,0,0,0,0,0
20180520_0936_10,1.01004,0,0,36.06,100.49,36.55,0,0,0,0,0
20180520_0936_10,1.01130,0,0,-22.41,100.69,-21.72,0,0,0,0,0
20180520_0936_10,1.01256,0,0,-22.41,99.87,-22.54,0,0,0,0,0
20180520_0936_10,1.01383,0,0,25.08,99.70,24.78,0,0,0,0,0
20180520_0936_10,1.01510,0,0,41.11,99.70,40.81,0,0,0,0,0
20180520_0936_10,1.01637,0,0,34.39,100.62,35.01,0,0,0,0,0
20180520_0936_11,1.01764,0,0,-20.35,100.62,-19.73,0,0,0,0,0
20180520_0936_11,1.01891,0,0,-20.35,100.13,-20.22,0,0,0,0,0
20180520_0936_11,1.02018,0,0,8.56,99.87,8.43,0,0,0,0,0
20180520_0936_11,1.02146,0,0,8.56,100.07,8.63,0,0,0,0,0
20180520_0936_11,1.02274,0,0,7.58,100.79,8.37,0,0,0,0,0
20180520_0936_11,1.02402,0,0,-12.28,100.79,-11.49,0,0,0,0,0
20180520_0936_11,1.02530,0,0,-2.66,100.16,-2.50,0,0,0,0,0
20180520_0936_11,1.02658,0,0,-9.23,100.12,-9.11,0,0,0,0,0
20180520_0936_11,1.02786,0,0,-9.23,100.31,-8.92,0,0,0,0,0
20180520_0936_11,1.02914,0,0,-17.96,100.45,-17.51,0,0,0,0,0
20180520_0936_11,1.03043,0,0,-13.88,100.27,-13.61,0,0,0,0,0
20180520_0936_12,1.03172,0,0,-4.99,100.19,-4.80,0,0,0,0,0
20180520_0936_12,1.03301,0,0,-12.31,100.19,-12.12,0,0,0,0,0
20180520_0936_12,1.03430,0,0,-12.31,99.89,-12.42,0,0,0,0,0
20180520_0936_12,1.03559,0,0,18.79,100.12,18.91,0,0,0,0,0
20180520_0936_12,1.03688,0,0,7.90,100.01,7.91,0,0,0,0,0
20180520_0936_12,1.03818,0,0,9.39,100.71,10.10,0,0,0,0,0
20180520_0936_12,1.03948,0,0,-18.31,100.52,-17.79,0,0,0,0,0
20180520_0936_12,1.04078,0,0,-18.31,99.87,-18.44,0,0,0,0,0
20180520_0936_12,1.04208,0,0,18.36,99.95,18.31,0,0,0,0,0
20180520_0936_12,1.04338,0,0,16.27,99.94,16.21,0,0,0,0,0
20180520_0936_13,1.04468,0,0,-19.08,100.82,-18.26,0,0,0,0,0
20180520_0936_13,1.04599,0,0,-28.94,100.62,-28.32,0,0,0,0,0
20180520_0936_13,1.04730,0,0,-12.20,99.98,-12.22,0,0,0,0,0
20180520_0936_13,1.04861,0,0,36.30,99.90,36.20,0,0,0,0,0
20180520_0936_13,1.04992,0,0,39.22,99.94,39.16,0,0,0,0,0
20180520_0936_13,1.05123,0,0,31.48,100.83,32.31,0,0,0,0,0
20180520_0936_13,1.05254,0,0,-24.90,100.74,-24.16,0,0,0,0,0
20180520_0936_13,1.05386,0,0,-18.58,99.98,-18.60,0,0,0,0,0
20180520_0936_13,1.05518,0,0,19.79,99.76,19.55,0,0,0,0,0
20180520_0936_13,1.05650,0,0,35.59,99.86,35.45,0,0,0,0,0
20180520_0936_13,1.05782,0,0,-7.79,100.63,-7.16,0,0,0,0,0
20180520_0936_13,1.05914,0,0,-23.89,100.72,-23.17,0,0,0,0,0
20180520_0936_14,1.06046,0,0,-22.08,100.16,-21.92,0,0,0,0,0
20180520_0936_14,1.06179,0,0,-4.60,99.86,-4.74,0,0,0,0,0
20180520_0936_14,1.06312,0,0,7.70,100.45,8.15,0,0,0,0,0
20180520_0936_14,1.06445,0,0,7.70,100.73,8.43,0,0,0,0,0
