Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180520_0936_09,1.00000,0,0,87.22,405.07,492.29,0,0,0,0,0
20180520_0936_09,1.00125,0,0,115.43,404.85,520.29,0,0,0,0,0
20180520_0936_10,1.00250,0,0,119.60,404.85,524.46,0,0,0,0,0
20180520_0936_10,1.00375,0,0,119.60,405.38,524.98,0,0,0,0,0
20180520_0936_10,1.00500,0,0,92.09,405.27,497.35,0,0,0,0,0
20180520_0936_10,1.00626,0,0,92.09,404.94,497.02,0,0,0,0,0
20180520_0936_10,1.00752,0,0,103.78,404.99,508.77,0,0,0,0,0
20180520_0936_10,1.00878,0,0,96.00,404.99,500.99,0,0,0,0,0
20180520_0936_10,1.01004,0,0,96.00,405.30,501.30,0,0,0,0,0
20180520_0936_10,1.01130,0,0,106.26,405.10,511.36,0,0,0,0,0
20180520_0936_10,1.01256,0,0,106.26,404.98,511.24,0,0,0,0,0
20180520_0936_10,1.01383,0,0,113.14,405.15,518.29,0,0,0,0,0
20180520_0936_10,1.01510,0,0,97.11,405.15,502.26,0,0,0,0,0
20180520_0936_10,1.01637,0,0,103.83,404.98,508.80,0,0,0,0,0
20180520_0936_11,1.01764,0,0,107.54,404.98,512.52,0,0,0,0,0
20180520_0936_11,1.01891,0,0,107.54,405.06,512.60,0,0,0,0,0
20180520_0936_11,1.02018,0,0,79.53,405.32,484.85,0,0,0,0,0
20180520_0936_11,1.02146,0,0,79.53,405.12,484.65,0,0,0,0,0
20180520_0936_11,1.02274,0,0,93.47,404.87,498.34,0,0,0,0,0
20180520_0936_11,1.02402,0,0,113.33,404.87,518.20,0,0,0,0,0
20180520_0936_11,1.02530,0,0,103.71,405.35,509.06,0,0,0,0,0
20180520_0936_11,1.02658,0,0,85.14,405.39,490.53,0,0,0,0,0
20180520_0936_11,1.02786,0,0,85.14,405.20,490.34,0,0,0,0,0
20180520_0936_11,1.02914,0,0,93.87,404.77,498.64,0,0,0,0,0
20180520_0936_11,1.03043,0,0,113.03,404.95,517.97,0,0,0,0,0
20180520_0936_12,1.03172,0,0,104.14,405.35,509.49,0,0,0,0,0
20180520_0936_12,1.03301,0,0,84.73,405.35,490.08,0,0,0,0,0
20180520_0936_12,1.03430,0,0,84.73,405.12,489.86,0,0,0,0,0
20180520_0936_12,1.03559,0,0,97.35,404.89,502.24,0,0,0,0,0
20180520_0936_12,1.03688,0,0,108.24,405.00,513.23,0,0,0,0,0
20180520_0936_12,1.03818,0,0,106.75,405.08,511.82,0,0,0,0,0
20180520_0936_12,1.03948,0,0,96.24,405.27,501.52,0,0,0,0,0
20180520_0936_12,1.04078,0,0,96.24,405.03,501.28,0,0,0,0,0
20180520_0936_12,1.04208,0,0,103.69,404.95,508.64,0,0,0,0,0
20180520_0936_12,1.04338,0,0,105.78,404.96,510.74,0,0,0,0,0
20180520_0936_13,1.04468,0,0,98.93,404.99,503.91,0,0,0,0,0
20180520_0936_13,1.04599,0,0,108.79,405.19,513.98,0,0,0,0,0
20180520_0936_13,1.04730,0,0,92.05,405.03,497.08,0,0,0,0,0
20180520_0936_13,1.04861,0,0,93.86,405.11,498.97,0,0,0,0,0
20180520_0936_13,1.04992,0,0,90.94,405.07,496.00,0,0,0,0,0
20180520_0936_13,1.05123,0,0,98.68,404.98,503.66,0,0,0,0,0
20180520_0936_13,1.05254,0,0,109.47,405.07,514.54,0,0,0,0,0
20180520_0936_13,1.05386,0,0,103.15,404.99,508.14,0,0,0,0,0
20180520_0936_13,1.05518,0,0,112.74,405.21,517.95,0,0,0,0,0
20180520_0936_13,1.05650,0,0,96.94,405.11,502.05,0,0,0,0,0
20180520_0936_13,1.05782,0,0,93.90,405.08,498.98,0,0,0,0,0
20180520_0936_13,1.05914,0,0,110.00,404.99,514.99,0,0,0,0,0
20180520_0936_14,1.06046,0,0,108.19,404.99,513.18,0,0,0,0,0
20180520_0936_14,1.06179,0,0,104.49,405.29,509.77,0,0,0,0,0
20180520_0936_14,1.06312,0,0,92.19,405.25,497.44,0,0,0,0,0
20180520_0936_14,1.06445,0,0,92.19,404.97,497.16,0,0,0,0,0
20180520_0936_14,1.06578,0,0,103.55,405.12,508.66,0,0,0,0,0
20180520_0936_14,1.06711,0,0,104.54,405.12,509.66,0,0,0,0,0
20180520_0936_14,1.06844,0,0,96.38,405.39,501.77,0,0,0,0,0
20180520_0936_14,1.06978,0,0,95.20,405.17,500.37,0,0,0,0,0
20180520_0936_14,1.07112,0,0,94.17,404.90,499.07,0,0,0,0,0
20180520_0936_14,1.07246,0,0,104.72,404.97,509.69,0,0,0,0,0
20180520_0936_15,1.07380,0,0,103.22,404.95,508.17,0,0,0,0,0
