Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180520_0936_09,1.00000,0,0,-2.12,-0.50,2.66,0,0,0,0,0
20180520_0936_09,1.00125,0,0,19.36,-0.79,30.87,0,0,0,0,0
20180520_0936_10,1.00250,0,0,8.27,-0.72,28.41,0,0,0,0,0
20180520_0936_10,1.00375,0,0,5.44,-0.25,24.09,0,0,0,0,0
20180520_0936_10,1.00500,0,0,-10.86,-0.38,0.42,0,0,0,0,0
20180520_0936_10,1.00626,0,0,-4.82,-0.52,11.00,0,0,0,0,0
20180520_0936_10,1.00752,0,0,-0.45,-0.40,10.50,0,0,0,0,0
20180520_0936_10,1.00878,0,0,-9.52,-0.51,-2.92,0,0,0,0,0
20180520_0936_10,1.01004,0,0,6.30,-0.45,7.52,0,0,0,0,0
20180520_0936_10,1.01130,0,0,22.53,-0.53,17.52,0,0,0,0,0
20180520_0936_10,1.01256,0,0,4.60,-0.46,22.81,0,0,0,0,0
20180520_0936_10,1.01383,0,0,-9.58,-0.16,24.01,0,0,0,0,0
20180520_0936_10,1.01510,0,0,-13.02,-0.32,-4.52,0,0,0,0,0
20180520_0936_10,1.01637,0,0,4.82,-0.83,26.34,0,0,0,0,0
20180520_0936_11,1.01764,0,0,17.76,-0.74,30.04,0,0,0,0,0
20180520_0936_11,1.01891,0,0,10.81,-0.22,13.04,0,0,0,0,0
20180520_0936_11,1.02018,0,0,-36.54,0.00,-29.76,0,0,0,0,0
20180520_0936_11,1.02146,0,0,-26.29,-0.47,-29.94,0,0,0,0,0
20180520_0936_11,1.02274,0,0,-2.75,-0.91,12.12,0,0,0,0,0
20180520_0936_11,1.02402,0,0,26.02,-0.63,31.73,0,0,0,0,0
20180520_0936_11,1.02530,0,0,2.40,-0.05,19.27,0,0,0,0,0
20180520_0936_11,1.02658,0,0,-21.10,-0.01,-18.23,0,0,0,0,0
20180520_0936_11,1.02786,0,0,-10.06,-0.33,-31.94,0,0,0,0,0
20180520_0936_11,1.02914,0,0,-2.67,-0.92,-0.98,0,0,0,0,0
20180520_0936_11,1.03043,0,0,20.04,-0.43,26.01,0,0,0,0,0
20180520_0936_12,1.03172,0,0,-6.72,-0.11,13.48,0,0,0,0,0
20180520_0936_12,1.03301,0,0,-21.88,-0.21,-4.40,0,0,0,0,0
20180520_0936_12,1.03430,0,0,0.39,-0.47,-4.60,0,0,0,0,0
20180520_0936_12,1.03559,0,0,2.58,-0.69,5.58,0,0,0,0,0
20180520_0936_12,1.03688,0,0,6.95,-0.54,14.69,0,0,0,0,0
20180520_0936_12,1.03818,0,0,-1.55,-0.52,19.69,0,0,0,0,0
20180520_0936_12,1.03948,0,0,-1.12,-0.38,-3.68,0,0,0,0,0
20180520_0936_12,1.04078,0,0,-8.00,-0.40,3.67,0,0,0,0,0
20180520_0936_12,1.04208,0,0,0.13,-0.41,21.32,0,0,0,0,0
20180520_0936_12,1.04338,0,0,-6.94,-0.49,27.18,0,0,0,0,0
20180520_0936_13,1.04468,0,0,-7.21,-0.59,1.50,0,0,0,0,0
20180520_0936_13,1.04599,0,0,10.63,-0.50,15.85,0,0,0,0,0
20180520_0936_13,1.04730,0,0,3.36,-0.41,-0.95,0,0,0,0,0
20180520_0936_13,1.04861,0,0,-16.70,-0.33,14.09,0,0,0,0,0
20180520_0936_13,1.04992,0,0,-25.59,-0.54,-6.27,0,0,0,0,0
20180520_0936_13,1.05123,0,0,10.77,-0.63,-2.48,0,0,0,0,0
20180520_0936_13,1.05254,0,0,21.56,-0.56,7.36,0,0,0,0,0
20180520_0936_13,1.05386,0,0,1.76,-0.44,22.03,0,0,0,0,0
20180520_0936_13,1.05518,0,0,-3.04,-0.04,40.64,0,0,0,0,0
20180520_0936_13,1.05650,0,0,-29.94,-0.33,14.64,0,0,0,0,0
20180520_0936_13,1.05782,0,0,1.55,-0.55,-6.02,0,0,0,0,0
20180520_0936_13,1.05914,0,0,27.16,-0.70,13.37,0,0,0,0,0
20180520_0936_14,1.06046,0,0,11.85,-0.47,30.93,0,0,0,0,0
20180520_0936_14,1.06179,0,0,-0.40,0.03,28.57,0,0,0,0,0
20180520_0936_14,1.06312,0,0,-18.88,-0.36,1.15,0,0,0,0,0
20180520_0936_14,1.06445,0,0,-2.81,-0.64,-23.02,0,0,0,0,0
20180520_0936_14,1.06578,0,0,17.98,-0.59,-4.29,0,0,0,0,0
20180520_0936_14,1.06711,0,0,9.73,-0.36,18.67,0,0,0,0,0
20180520_0936_14,1.06844,0,0,-11.94,-0.01,20.15,0,0,0,0,0
20180520_0936_14,1.06978,0,0,-22.89,-0.23,14.16,0,0,0,0,0
20180520_0936_14,1.07112,0,0,-3.42,-0.72,-6.95,0,0,0,0,0
20180520_0936_14,1.07246,0,0,15.43,-0.72,-4.98,0,0,0,0,0
20180520_0936_15,1.07380,0,0,10.77,-0.49,9.56,0,0,0,0,0
20180520_0936_15,1.07514,0,0,-10.34,-0.30,1.47,0,0,0,0,0
20180520_0936_15,1.07648,0,0,-23.01,-0.37,0.06,0,0,0,0,0
