Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180522_2116_58,1,0,0,80.37,402.05,482.42,0,0,0,0,0
20180522_2116_58,1.00125,0,0,80.37,402.05,482.42,0,0,0,0,0
20180522_2116_58,1.0025,0,0,80.37,400.49,480.86,0,0,0,0,0
20180522_2116_58,1.00375,0,0,129.02,400.49,529.51,0,0,0,0,0
20180522_2116_58,1.005,0,0,129.02,402.05,531.07,0,0,0,0,0
20180522_2116_58,1.00626,0,0,82.42,402.05,484.47,0,0,0,0,0
20180522_2116_58,1.00752,0,0,82.42,402.05,484.47,0,0,0,0,0
20180522_2116_58,1.00878,0,0,82.42,400.81,483.23,0,0,0,0,0
20180522_2116_59,1.01004,0,0,140.48,400.81,541.29,0,0,0,0,0
20180522_2116_59,1.0113,0,0,140.48,400.81,541.29,0,0,0,0,0
20180522_2116_59,1.01256,0,0,96.85,401.85,498.7,0,0,0,0,0
20180522_2116_59,1.01383,0,0,96.85,401.85,498.7,0,0,0,0,0
20180522_2116_59,1.0151,0,0,96.85,401.14,497.99,0,0,0,0,0
20180522_2116_59,1.01637,0,0,110.04,401.14,511.18,0,0,0,0,0
20180522_2116_59,1.01764,0,0,110.04,401.44,511.48,0,0,0,0,0
20180522_2116_59,1.01891,0,0,94.43,401.44,495.87,0,0,0,0,0
20180522_2116_59,1.02018,0,0,94.43,401.44,495.87,0,0,0,0,0
20180522_2116_59,1.02146,0,0,94.43,401.45,495.88,0,0,0,0,0
20180522_2116_59,1.02274,0,0,71.32,401.45,472.77,0,0,0,0,0
20180522_2117_00,1.02402,0,0,71.32,401.45,472.77,0,0,0,0,0
20180522_2117_00,1.0253,0,0,71.32,401.14,472.46,0,0,0,0,0
20180522_2117_00,1.02658,0,0,120.65,401.14,521.79,0,0,0,0,0
20180522_2117_00,1.02786,0,0,120.65,401.88,522.53,0,0,0,0,0
20180522_2117_00,1.02914,0,0,79.64,401.88,481.52,0,0,0,0,0
20180522_2117_00,1.03043,0,0,79.64,400.82,480.46,0,0,0,0,0
20180522_2117_00,1.03172,0,0,79.64,400.82,480.46,0,0,0,0,0
20180522_2117_00,1.03301,0,0,119.87,400.82,520.69,0,0,0,0,0
20180522_2117_00,1.0343,0,0,119.87,402.06,521.93,0,0,0,0,0
20180522_2117_00,1.03559,0,0,79.29,402.06,481.35,0,0,0,0,0
20180522_2117_00,1.03688,0,0,79.29,402.06,481.35,0,0,0,0,0
20180522_2117_01,1.03818,0,0,146.02,400.6,546.62,0,0,0,0,0
20180522_2117_01,1.03948,0,0,146.02,400.6,546.62,0,0,0,0,0
20180522_2117_01,1.04078,0,0,146.02,402.07,548.09,0,0,0,0,0
20180522_2117_01,1.04208,0,0,89.18,402.07,491.25,0,0,0,0,0
