Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180516_1439_50,41000,0,0,243.39,468.69,712.08,0,0,0,0,0
20180516_1439_50,41051.25,0,0,243.41,469.21,712.62,0,0,0,0,0
20180516_1439_50,41102.56,0,0,243.41,469.21,712.62,0,0,0,0,0
20180516_1439_51,41153.94,0,0,243.41,469.16,712.57,0,0,0,0,0
20180516_1439_51,41205.38,0,0,243.94,469.16,713.1,0,0,0,0,0
20180516_1439_51,41256.89,0,0,243.94,469.16,713.1,0,0,0,0,0
20180516_1439_51,41308.46,0,0,243.94,469.18,713.12,0,0,0,0,0
20180516_1439_51,41360.1,0,0,244.22,469.18,713.4,0,0,0,0,0
20180516_1439_51,41411.8,0,0,244.22,469.18,713.4,0,0,0,0,0
20180516_1439_51,41463.56,0,0,244.22,469.19,713.41,0,0,0,0,0
20180516_1439_51,41515.39,0,0,244.22,469.19,713.41,0,0,0,0,0
20180516_1439_51,41567.28,0,0,244.58,469.19,713.77,0,0,0,0,0
20180516_1439_51,41619.24,0,0,244.58,469.19,713.77,0,0,0,0,0
20180516_1439_51,41671.26,0,0,244.58,469.24,713.82,0,0,0,0,0
20180516_1439_51,41723.35,0,0,245.22,469.24,714.46,0,0,0,0,0
20180516_1439_51,41775.5,0,0,245.22,469.24,714.46,0,0,0,0,0
20180516_1439_51,41827.72,0,0,245.22,469.21,714.43,0,0,0,0,0
20180516_1439_52,41880,0,0,245.73,469.21,714.94,0,0,0,0,0
20180516_1439_52,41932.35,0,0,245.73,469.21,714.94,0,0,0,0,0
20180516_1439_52,41984.77,0,0,245.73,469.23,714.96,0,0,0,0,0
20180516_1439_52,42037.25,0,0,245.93,469.23,715.16,0,0,0,0,0
20180516_1439_52,42089.8,0,0,245.93,469.23,715.16,0,0,0,0,0
20180516_1439_52,42142.41,0,0,245.93,469.2,715.13,0,0,0,0,0
20180516_1439_52,42195.09,0,0,246.45,469.2,715.65,0,0,0,0,0
20180516_1439_52,42247.83,0,0,246.45,469.2,715.65,0,0,0,0,0
20180516_1439_52,42300.64,0,0,246.45,469.18,715.63,0,0,0,0,0
20180516_1439_52,42353.52,0,0,247.06,469.18,716.24,0,0,0,0,0
20180516_1439_52,42406.46,0,0,247.06,469.18,716.24,0,0,0,0,0
20180516_1439_52,42459.47,0,0,247.06,469.21,716.27,0,0,0,0,0
20180516_1439_52,42512.54,0,0,247.06,469.21,716.27,0,0,0,0,0
20180516_1439_52,42565.68,0,0,247.08,469.21,716.29,0,0,0,0,0
20180516_1439_52,42618.89,0,0,247.08,469.21,716.29,0,0,0,0,0
20180516_1439_53,42672.16,0,0,247.08,469.18,716.26,0,0,0,0,0
20180516_1439_53,42725.5,0,0,247.69,469.18,716.87,0,0,0,0,0
20180516_1439_53,42778.91,0,0,247.69,469.18,716.87,0,0,0,0,0
20180516_1439_53,42832.38,0,0,247.69,469.23,716.92,0,0,0,0,0
20180516_1439_53,42885.92,0,0,248.33,469.23,717.56,0,0,0,0,0
20180516_1439_53,42939.53,0,0,248.33,469.2,717.53,0,0,0,0,0
20180516_1439_53,42993.2,0,0,248.33,469.2,717.53,0,0,0,0,0
20180516_1439_53,43046.94,0,0,248.34,469.2,717.54,0,0,0,0,0
20180516_1439_53,43100.75,0,0,248.34,469.2,717.54,0,0,0,0,0
20180516_1439_53,43154.63,0,0,248.34,469.16,717.5,0,0,0,0,0
20180516_1439_53,43208.57,0,0,248.93,469.16,718.09,0,0,0,0,0
20180516_1439_53,43262.58,0,0,248.93,469.16,718.09,0,0,0,0,0
20180516_1439_53,43316.66,0,0,248.93,469.19,718.12,0,0,0,0,0
20180516_1439_54,43370.81,0,0,249.57,469.19,718.76,0,0,0,0,0
20180516_1439_54,43425.02,0,0,249.57,469.19,718.76,0,0,0,0,0
20180516_1439_54,43479.3,0,0,249.57,469.28,718.85,0,0,0,0,0
20180516_1439_54,43533.65,0,0,249.61,469.28,718.89,0,0,0,0,0
20180516_1439_54,43588.07,0,0,249.61,469.28,718.89,0,0,0,0,0
20180516_1439_54,43642.56,0,0,249.61,469.25,718.86,0,0,0,0,0
20180516_1439_54,43697.11,0,0,249.61,469.25,718.86,0,0,0,0,0
20180516_1439_54,43751.73,0,0,249.88,469.25,719.13,0,0,0,0,0
20180516_1439_54,43806.42,0,0,249.88,469.2,719.08,0,0,0,0,0
20180516_1439_54,43861.18,0,0,250.2,469.2,719.4,0,0,0,0,0
20180516_1439_54,43916.01,0,0,250.2,469.2,719.4,0,0,0,0,0
20180516_1439_54,43970.91,0,0,250.2,469.25,719.45,0,0,0,0,0
20180516_1439_54,44025.87,0,0,250.57,469.25,719.82,0,0,0,0,0
20180516_1439_54,44080.9,0,0,250.57,469.25,719.82,0,0,0,0,0
20180516_1439_55,44136,0,0,250.57,469.25,719.82,0,0,0,0,0
20180516_1439_55,44191.17,0,0,250.57,469.24,719.81,0,0,0,0,0
20180516_1439_55,44246.41,0,0,250.84,469.24,720.08,0,0,0,0,0
20180516_1439_55,44301.72,0,0,250.84,469.24,720.08,0,0,0,0,0
