Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180516_1533_48,244.00,469.23,713.23,0.0000,0.0000,0.0000,20180516_1402_11,20180516_1533_48,10,240.10,242.84,244.68,468.52,468.99,469.39,709.06,711.82,714.07
41051.25,20180516_1533_48,244.00,469.29,713.29,0.0000,0.0128,0.0084,20180516_1402_11,20180516_1533_48,10,240.12,242.89,244.68,468.52,469.11,469.39,709.08,712.00,714.07
41102.56,20180516_1533_48,244.02,469.29,713.31,0.0082,0.0064,0.0070,20180516_1402_11,20180516_1533_48,10,240.12,243.03,244.68,468.96,469.15,469.34,709.14,712.18,714.02
41153.94,20180516_1533_48,244.02,469.29,713.31,0.0055,0.0043,0.0047,20180516_1402_11,20180516_1533_48,10,240.72,243.15,244.65,468.96,469.15,469.34,709.74,712.29,713.99
41205.38,20180516_1533_48,244.02,469.29,713.31,0.0041,0.0032,0.0035,20180516_1402_11,20180516_1533_48,10,240.72,243.20,244.65,468.96,469.14,469.34,709.74,712.34,713.99
41256.89,20180516_1533_48,244.02,469.29,713.31,0.0033,0.0026,0.0028,20180516_1402_11,20180516_1533_48,10,240.72,243.28,244.65,468.93,469.13,469.34,709.65,712.41,713.99
41308.46,20180516_1533_48,244.63,469.29,713.92,0.2521,0.0021,0.0878,20180516_1402_11,20180516_1533_48,10,240.98,243.52,245.22,468.93,469.13,469.34,709.91,712.65,714.56
41360.10,20180516_1533_49,244.63,469.29,713.92,0.2161,0.0018,0.0752,20180516_1402_12,20180516_1533_49,10,240.98,243.55,245.22,468.93,469.13,469.34,709.91,712.68,714.56
41411.80,20180516_1533_49,244.63,469.26,713.89,0.1891,0.0048,0.0616,20180516_1402_12,20180516_1533_49,10,241.33,243.88,245.22,468.93,469.14,469.34,710.41,713.02,714.56
41463.56,20180516_1533_49,245.07,469.26,714.33,0.3473,0.0043,0.1163,20180516_1402_12,20180516_1533_49,10,241.33,243.93,245.28,468.93,469.14,469.34,710.41,713.07,714.62
41515.39,20180516_1533_49,245.07,469.26,714.33,0.3126,0.0038,0.1047,20180516_1402_12,20180516_1533_49,10,241.33,243.93,245.28,468.93,469.15,469.34,710.41,713.08,714.62
41567.28,20180516_1533_49,245.07,469.26,714.33,0.2841,0.0035,0.0952,20180516_1402_12,20180516_1533_49,10,241.33,244.18,245.28,468.98,469.16,469.38,710.37,713.34,714.66
41619.24,20180516_1533_49,245.24,469.26,714.50,0.3296,0.0032,0.1110,20180516_1402_12,20180516_1533_49,10,241.93,244.37,245.92,468.98,469.16,469.38,710.97,713.53,715.30
41671.26,20180516_1533_49,245.24,469.26,714.50,0.3043,0.0030,0.1025,20180516_1402_12,20180516_1533_49,10,241.93,244.37,245.92,469.01,469.17,469.38,710.97,713.53,715.30
41723.35,20180516_1533_49,245.24,469.19,714.43,0.2825,0.0177,0.0854,20180516_1402_12,20180516_1533_49,10,241.93,244.53,245.92,468.94,469.16,469.34,711.07,713.70,715.26
41775.50,20180516_1533_49,245.82,469.19,715.01,0.4990,0.0165,0.1607,20180516_1402_12,20180516_1533_49,10,242.42,244.78,246.50,468.94,469.16,469.34,711.56,713.95,715.84
