Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180518_1415_51,1.00000,0,0,-1.63,100.10,-1.53,0,0,0,0,0
20180518_1415_51,1.00125,0,0,11.00,100.03,11.03,0,0,0,0,0
20180518_1415_51,1.00250,0,0,-1.29,100.05,-1.24,0,0,0,0,0
20180518_1415_51,1.00375,0,0,-5.57,100.05,-5.52,0,0,0,0,0
20180518_1415_51,1.00500,0,0,-3.74,100.05,-3.69,0,0,0,0,0
20180518_1415_51,1.00626,0,0,-24.18,100.05,-24.13,0,0,0,0,0
20180518_1415_51,1.00752,0,0,-24.18,100.06,-24.12,0,0,0,0,0
20180518_1415_51,1.00878,0,0,-29.52,100.04,-29.48,0,0,0,0,0
20180518_1415_51,1.01004,0,0,-29.07,100.04,-29.03,0,0,0,0,0
20180518_1415_51,1.01130,0,0,-29.07,100.03,-29.04,0,0,0,0,0
20180518_1415_51,1.01256,0,0,38.19,100.03,38.22,0,0,0,0,0
20180518_1415_52,1.01383,0,0,37.07,100.04,37.11,0,0,0,0,0
20180518_1415_52,1.01510,0,0,25.53,100.10,25.63,0,0,0,0,0
20180518_1415_52,1.01637,0,0,-5.81,100.10,-5.71,0,0,0,0,0
20180518_1415_52,1.01764,0,0,2.71,100.11,2.82,0,0,0,0,0
20180518_1415_52,1.01891,0,0,9.74,100.10,9.84,0,0,0,0,0
20180518_1415_52,1.02018,0,0,-0.92,100.11,-0.81,0,0,0,0,0
20180518_1415_52,1.02146,0,0,-0.91,100.01,-0.90,0,0,0,0,0
20180518_1415_52,1.02274,0,0,-16.22,100.01,-16.21,0,0,0,0,0
20180518_1415_52,1.02402,0,0,-16.22,100.03,-16.19,0,0,0,0,0
20180518_1415_52,1.02530,0,0,49.95,100.08,50.03,0,0,0,0,0
20180518_1415_52,1.02658,0,0,56.64,100.06,56.70,0,0,0,0,0
20180518_1415_52,1.02786,0,0,38.90,100.08,38.98,0,0,0,0,0
20180518_1415_53,1.02914,0,0,-1.80,100.08,-1.72,0,0,0,0,0
20180518_1415_53,1.03043,0,0,-1.80,100.08,-1.72,0,0,0,0,0
20180518_1415_53,1.03172,0,0,7.68,100.13,7.81,0,0,0,0,0
20180518_1415_53,1.03301,0,0,-3.87,100.13,-3.74,0,0,0,0,0
20180518_1415_53,1.03430,0,0,-0.94,100.04,-0.90,0,0,0,0,0
20180518_1415_53,1.03559,0,0,-23.95,100.04,-23.91,0,0,0,0,0
20180518_1415_53,1.03688,0,0,-23.95,100.12,-23.83,0,0,0,0,0
20180518_1415_53,1.03818,0,0,-35.67,100.11,-35.56,0,0,0,0,0
20180518_1415_53,1.03948,0,0,-3.40,100.11,-3.29,0,0,0,0,0
