Frequency,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current
1.00000,-41.44,8.80,55.58,13.04,13.16,13.44
1.00125,-41.44,19.23,55.58,13.16,13.47,13.80
1.00250,-32.43,1.30,44.55,13.14,13.55,13.88
1.00375,-39.09,-9.42,31.00,13.22,13.75,13.96
1.00500,-33.84,-15.58,9.83,13.02,13.32,13.69
1.00626,-18.79,19.51,68.90,13.07,13.37,13.65
1.00752,-21.42,14.11,68.90,13.40,13.57,13.70
1.00878,-28.91,-5.95,37.94,12.85,13.27,13.62
1.01004,-31.73,8.04,61.80,12.95,13.30,13.72
1.01130,-34.09,8.22,54.44,13.07,13.45,13.76
1.01256,-52.20,-18.99,37.79,13.07,13.45,13.76
1.01383,-52.20,-28.38,37.79,13.07,13.56,13.76
1.01510,-41.78,-26.07,-1.47,13.04,13.50,13.78
1.01637,-70.13,-30.58,8.55,13.04,13.40,13.78
1.01764,-67.50,-26.85,10.59,13.09,13.47,13.77
1.01891,-30.47,-2.01,49.71,13.13,13.64,13.81
1.02018,-30.77,-11.59,49.71,13.63,13.72,13.80
1.02146,-46.11,-18.51,34.37,13.11,13.46,13.74
1.02274,-48.77,-16.09,45.28,13.10,13.34,13.72
1.02402,-40.60,5.39,48.11,13.01,13.31,13.73
1.02530,-58.37,-6.77,43.84,13.01,13.44,13.73
1.02658,-58.37,-36.15,-10.44,13.21,13.57,13.80
1.02786,-14.97,8.92,53.47,13.14,13.34,13.79
1.02914,-39.02,-0.92,37.33,13.13,13.20,13.36
1.03043,-36.79,13.78,39.56,13.09,13.35,13.78
1.03172,-46.28,-15.84,34.64,13.21,13.61,13.90
1.03301,-46.28,-15.84,34.64,13.17,13.51,13.78
1.03430,-34.03,-4.97,40.41,13.10,13.37,13.74
1.03559,-37.51,-7.70,41.06,13.10,13.37,13.74
1.03688,-31.12,-0.45,47.45,13.03,13.41,13.70
1.03818,-20.16,-11.79,1.84,12.85,13.26,13.70
1.03948,-15.74,10.63,47.19,12.92,13.28,13.67
1.04078,-26.27,16.05,45.08,13.13,13.41,13.59
1.04208,-36.00,-1.53,32.74,13.10,13.30,13.56
1.04338,-29.89,3.92,38.85,13.25,13.57,13.97
1.04468,-47.26,-22.49,21.00,13.11,13.58,13.97
1.04599,-41.39,-16.69,13.16,12.99,13.42,13.77
1.04730,-24.78,8.74,35.23,13.02,13.41,13.74
1.04861,-23.43,13.65,48.29,13.02,13.41,13.74
1.04992,-36.35,-15.89,32.57,12.91,13.45,13.64
1.05123,-33.63,-24.89,-10.15,12.86,13.34,13.66
1.05254,-33.63,5.67,57.20,12.90,13.27,13.67
1.05386,-42.10,6.31,52.07,12.94,13.18,13.71
1.05518,-59.96,-22.81,26.30,13.00,13.50,13.69
1.05650,-40.77,-13.63,45.49,13.09,13.58,13.78
1.05782,-84.77,-65.56,-36.91,13.13,13.60,13.87
1.05914,-65.52,-23.07,16.74,13.07,13.43,13.84
1.06046,-40.32,-0.45,38.39,13.19,13.59,13.88
1.06179,-27.11,-0.87,43.56,13.09,13.49,13.78
1.06312,-57.35,-31.11,13.32,13.00,13.47,13.69
1.06445,-49.89,-37.05,-17.63,13.05,13.36,13.66
