Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180806_1129_22,41000,0,0,638.74,399.35,1038.09,0,0,0,0,0
20180806_1129_22,41051.25,0,0,638.74,399.37,1038.11,0,0,0,0,0
20180806_1129_23,41102.56,0,0,638.74,399.37,1038.11,0,0,0,0,0
20180806_1129_23,41153.94,0,0,638.74,399.37,1038.11,0,0,0,0,0
20180806_1129_23,41205.38,0,0,638.753333333333,399.34,1038.09333333333,0,0,0,0,0
20180806_1129_23,41256.89,0,0,638.76,399.343333333333,1038.10333333333,0,0,0,0,0
20180806_1129_23,41308.46,0,0,638.76,399.35,1038.11,0,0,0,0,0
20180806_1129_23,41360.1,0,0,638.76,399.42,1038.18,0,0,0,0,0
20180806_1129_24,41411.8,0,0,638.76,399.36,1038.12,0,0,0,0,0
20180806_1129_24,41463.56,0,0,638.74,399.336666666667,1038.07666666667,0,0,0,0,0
20180806_1129_24,41515.39,0,0,638.753333333333,399.35,1038.10333333333,0,0,0,0,0
20180806_1129_24,41567.28,0,0,638.76,399.39,1038.15,0,0,0,0,0
20180806_1129_24,41619.24,0,0,638.76,399.413333333333,1038.17333333333,0,0,0,0,0
20180806_1129_24,41671.26,0,0,638.76,399.42,1038.18,0,0,0,0,0
20180806_1129_24,41723.35,0,0,638.753333333333,399.32,1038.07333333333,0,0,0,0,0
20180806_1129_25,41775.5,0,0,638.74,399.34,1038.08,0,0,0,0,0
20180806_1129_25,41827.72,0,0,638.76,399.38,1038.14,0,0,0,0,0
20180806_1129_25,41880,0,0,638.753333333333,399.36,1038.11333333333,0,0,0,0,0
20180806_1129_25,41932.35,0,0,638.74,399.346666666667,1038.08666666667,0,0,0,0,0
20180806_1129_25,41984.77,0,0,638.74,399.32,1038.06,0,0,0,0,0
20180806_1129_25,42037.25,0,0,638.746666666667,399.353333333333,1038.1,0,0,0,0,0
20180806_1129_25,42089.8,0,0,638.76,399.376666666667,1038.13666666667,0,0,0,0,0
20180806_1129_26,42142.41,0,0,638.76,399.39,1038.15,0,0,0,0,0
20180806_1129_26,42195.09,0,0,638.76,399.33,1038.09,0,0,0,0,0
20180806_1129_26,42247.83,0,0,638.74,399.33,1038.07,0,0,0,0,0
20180806_1129_26,42300.64,0,0,638.74,399.37,1038.11,0,0,0,0,0
20180806_1129_26,42353.52,0,0,638.74,399.33,1038.07,0,0,0,0,0
20180806_1129_26,42406.46,0,0,638.74,399.35,1038.09,0,0,0,0,0
20180806_1129_26,42459.47,0,0,638.74,399.39,1038.13,0,0,0,0,0
20180806_1129_27,42512.54,0,0,638.74,399.33,1038.07,0,0,0,0,0
20180806_1129_27,42565.68,0,0,638.74,399.303333333333,1038.04333333333,0,0,0,0,0
20180806_1129_27,42618.89,0,0,638.74,399.31,1038.05,0,0,0,0,0
20180806_1129_27,42672.16,0,0,638.753333333333,399.37,1038.12333333333,0,0,0,0,0
20180806_1129_27,42725.5,0,0,638.76,399.366666666667,1038.12666666667,0,0,0,0,0
20180806_1129_27,42778.91,0,0,638.74,399.36,1038.1,0,0,0,0,0
20180806_1129_28,42832.38,0,0,638.753333333333,399.33,1038.08333333333,0,0,0,0,0
20180806_1129_28,42885.92,0,0,638.76,399.363333333333,1038.12333333333,0,0,0,0,0
20180806_1129_28,42939.53,0,0,638.78,399.38,1038.16,0,0,0,0,0
20180806_1129_28,42993.2,0,0,638.78,399.36,1038.14,0,0,0,0,0
20180806_1129_28,43046.94,0,0,638.78,399.353333333333,1038.13333333333,0,0,0,0,0
