Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_0829_10,1,0,0,638.69,391.42,1030.11,0,0,0,0,0
20180807_0829_10,1.00125,0,0,638.69,391.426666666667,1030.11666666667,0,0,0,0,0
20180807_0829_10,1.0025,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_10,1.00375,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_10,1.005,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_10,1.00626,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_11,1.00752,0,0,638.696666666667,391.44,1030.13666666667,0,0,0,0,0
20180807_0829_11,1.00878,0,0,638.71,391.44,1030.15,0,0,0,0,0
20180807_0829_11,1.01004,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_11,1.0113,0,0,638.69,391.433333333333,1030.12333333333,0,0,0,0,0
20180807_0829_11,1.01256,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_11,1.01383,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_11,1.0151,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_12,1.01637,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_12,1.01764,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_12,1.01891,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_12,1.02018,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_12,1.02146,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_12,1.02274,0,0,638.69,391.443333333333,1030.13333333333,0,0,0,0,0
20180807_0829_12,1.02402,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_13,1.0253,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_13,1.02658,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_13,1.02786,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_13,1.02914,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_13,1.03043,0,0,638.69,391.446666666667,1030.13666666667,0,0,0,0,0
20180807_0829_13,1.03172,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_13,1.03301,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_14,1.0343,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_14,1.03559,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_14,1.03688,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_14,1.03818,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_14,1.03948,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_14,1.04078,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_14,1.04208,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_15,1.04338,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_15,1.04468,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_15,1.04599,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_15,1.0473,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_15,1.04861,0,0,638.69,391.426666666667,1030.11666666667,0,0,0,0,0
20180807_0829_15,1.04992,0,0,638.69,391.423333333333,1030.11333333333,0,0,0,0,0
20180807_0829_16,1.05123,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_16,1.05254,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_16,1.05386,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_16,1.05518,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_16,1.0565,0,0,638.69,391.41,1030.1,0,0,0,0,0
20180807_0829_16,1.05782,0,0,638.69,391.41,1030.1,0,0,0,0,0
20180807_0829_16,1.05914,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_17,1.06046,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_17,1.06179,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_17,1.06312,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_17,1.06445,0,0,638.69,391.426666666667,1030.11666666667,0,0,0,0,0
20180807_0829_17,1.06578,0,0,638.69,391.42,1030.11,0,0,0,0,0
20180807_0829_17,1.06711,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_17,1.06844,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_18,1.06978,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_18,1.07112,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_18,1.07246,0,0,638.69,391.42,1030.11,0,0,0,0,0
20180807_0829_18,1.0738,0,0,638.69,391.423333333333,1030.11333333333,0,0,0,0,0
20180807_0829_18,1.07514,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_18,1.07648,0,0,638.69,391.41,1030.1,0,0,0,0,0
20180807_0829_18,1.07783,0,0,638.69,391.423333333333,1030.11333333333,0,0,0,0,0
20180807_0829_19,1.07918,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_19,1.08053,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_19,1.08188,0,0,638.69,391.42,1030.11,0,0,0,0,0
20180807_0829_19,1.08323,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_19,1.08458,0,0,638.69,391.433333333333,1030.12333333333,0,0,0,0,0
20180807_0829_19,1.08594,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_19,1.0873,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_20,1.08866,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_20,1.09002,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_20,1.09138,0,0,638.69,391.41,1030.1,0,0,0,0,0
20180807_0829_20,1.09274,0,0,638.69,391.423333333333,1030.11333333333,0,0,0,0,0
20180807_0829_20,1.09411,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_20,1.09548,0,0,638.69,391.443333333333,1030.13333333333,0,0,0,0,0
20180807_0829_20,1.09685,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_21,1.09822,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_21,1.09959,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_21,1.10096,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_21,1.10234,0,0,638.696666666667,391.46,1030.15666666667,0,0,0,0,0
20180807_0829_21,1.10372,0,0,638.71,391.45,1030.16,0,0,0,0,0
20180807_0829_21,1.1051,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_22,1.10648,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_22,1.10786,0,0,638.69,391.443333333333,1030.13333333333,0,0,0,0,0
20180807_0829_22,1.10924,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_22,1.11063,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_22,1.11202,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_22,1.11341,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_22,1.1148,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_23,1.11619,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_23,1.11759,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_23,1.11899,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_23,1.12039,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_23,1.12179,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_23,1.12319,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_23,1.12459,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_24,1.126,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_24,1.12741,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_24,1.12882,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_24,1.13023,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_24,1.13164,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_24,1.13305,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_24,1.13447,0,0,638.69,391.45,1030.14,0,0,0,0,0
20180807_0829_25,1.13589,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_25,1.13731,0,0,638.69,391.436666666667,1030.12666666667,0,0,0,0,0
20180807_0829_25,1.13873,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_25,1.14015,0,0,638.69,391.42,1030.11,0,0,0,0,0
20180807_0829_25,1.14158,0,0,638.69,391.426666666667,1030.11666666667,0,0,0,0,0
20180807_0829_25,1.14301,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_26,1.14444,0,0,638.69,391.42,1030.11,0,0,0,0,0
20180807_0829_26,1.14587,0,0,638.69,391.423333333333,1030.11333333333,0,0,0,0,0
20180807_0829_26,1.1473,0,0,638.69,391.43,1030.12,0,0,0,0,0
20180807_0829_26,1.14873,0,0,638.69,391.44,1030.13,0,0,0,0,0
20180807_0829_26,1.15017,0,0,638.69,391.433333333333,1030.12333333333,0,0,0,0,0
