Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_0939_31,1,0,0,68.92,409.63,478.55,0,0,0,0,0
20180807_0939_31,1.00125,0,0,65.2266666666667,403.9,469.126666666667,0,0,0,0,0
20180807_0939_32,1.0025,0,0,64.4566666666667,408.02,472.476666666667,0,0,0,0,0
20180807_0939_32,1.00375,0,0,66.61,405.706666666667,472.316666666667,0,0,0,0,0
20180807_0939_32,1.005,0,0,62.93,406.076666666667,469.006666666667,0,0,0,0,0
20180807_0939_32,1.00626,0,0,67.51,409.13,476.64,0,0,0,0,0
20180807_0939_32,1.00752,0,0,64.91,407.89,472.8,0,0,0,0,0
20180807_0939_33,1.00878,0,0,63.2566666666667,407.29,470.546666666667,0,0,0,0,0
20180807_0939_33,1.01004,0,0,62.9833333333333,407.55,470.533333333333,0,0,0,0,0
20180807_0939_33,1.0113,0,0,63.5233333333333,406.306666666667,469.83,0,0,0,0,0
20180807_0939_33,1.01256,0,0,62.39,408.36,470.75,0,0,0,0,0
20180807_0939_33,1.01383,0,0,68.01,409.73,477.74,0,0,0,0,0
20180807_0939_33,1.0151,0,0,63.11,404.27,467.38,0,0,0,0,0
20180807_0939_34,1.01637,0,0,66.1,408.23,474.33,0,0,0,0,0
20180807_0939_34,1.01764,0,0,64.9333333333333,403.6,468.533333333333,0,0,0,0,0
20180807_0939_34,1.01891,0,0,65.3166666666667,407.626666666667,472.943333333333,0,0,0,0,0
20180807_0939_34,1.02018,0,0,68.6166666666667,407.56,476.176666666667,0,0,0,0,0
20180807_0939_34,1.02146,0,0,64.35,406.976666666667,471.326666666667,0,0,0,0,0
20180807_0939_35,1.02274,0,0,63.29,407.89,471.18,0,0,0,0,0
20180807_0939_35,1.02402,0,0,63.4766666666667,407.09,470.566666666667,0,0,0,0,0
20180807_0939_35,1.0253,0,0,62.6366666666667,407.57,470.206666666667,0,0,0,0,0
20180807_0939_35,1.02658,0,0,63.5966666666667,409.41,473.006666666667,0,0,0,0,0
20180807_0939_35,1.02786,0,0,66.45,407.043333333333,473.493333333333,0,0,0,0,0
20180807_0939_36,1.02914,0,0,62.84,406.71,469.55,0,0,0,0,0
20180807_0939_36,1.03043,0,0,64.92,406.843333333333,471.763333333333,0,0,0,0,0
20180807_0939_36,1.03172,0,0,62.43,403.71,466.14,0,0,0,0,0
20180807_0939_36,1.03301,0,0,67.23,409.85,477.08,0,0,0,0,0
20180807_0939_36,1.0343,0,0,65.6033333333333,404.14,469.743333333333,0,0,0,0,0
20180807_0939_36,1.03559,0,0,63.59,406.966666666667,470.556666666667,0,0,0,0,0
