Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1657_53,41000,0,0,638.71,390.726666666667,1029.43666666667,0,0,0,0,0
20180807_1657_55,41051.25,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_55,41102.56,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_55,41153.94,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_55,41205.38,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_56,41256.89,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_56,41308.46,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_56,41360.1,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_56,41411.8,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_56,41463.56,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_56,41515.39,0,0,638.69,395.823333333333,1034.51333333333,0,0,0,0,0
20180807_1657_56,41567.28,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1657_57,41619.24,0,0,638.696666666667,395.82,1034.51666666667,0,0,0,0,0
20180807_1657_57,41671.26,0,0,638.69,395.823333333333,1034.51333333333,0,0,0,0,0
20180807_1657_57,41723.35,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1657_57,41775.5,0,0,638.696666666667,395.82,1034.51666666667,0,0,0,0,0
20180807_1657_57,41827.72,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_57,41880,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,41932.35,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,41984.77,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,42037.25,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,42089.8,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,42142.41,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,42195.09,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_58,42247.83,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_59,42300.64,0,0,638.69,395.82,1034.51,0,0,0,0,0
20180807_1657_59,42353.52,0,0,638.69,395.823333333333,1034.51333333333,0,0,0,0,0
20180807_1657_59,42406.46,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1657_59,42459.47,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1657_59,42512.54,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1657_59,42565.68,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1658_00,42618.89,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1658_00,42672.16,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1658_00,42725.5,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1658_00,42778.91,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1658_00,42832.38,0,0,638.703333333333,395.82,1034.52333333333,0,0,0,0,0
20180807_1658_00,42885.92,0,0,638.69,395.826666666667,1034.51666666667,0,0,0,0,0
20180807_1658_00,42939.53,0,0,638.71,395.83,1034.54,0,0,0,0,0
20180807_1658_01,42993.2,0,0,638.71,395.78,1034.49,0,0,0,0,0
20180807_1658_01,43046.94,0,0,638.71,394.133333333333,1032.84333333333,0,0,0,0,0
20180807_1658_01,43100.75,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_01,43154.63,0,0,638.696666666667,390.83,1029.52666666667,0,0,0,0,0
20180807_1658_01,43208.57,0,0,638.696666666667,390.84,1029.53666666667,0,0,0,0,0
20180807_1658_01,43262.58,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43316.66,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43370.81,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43425.02,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43479.3,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43533.65,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43588.07,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_02,43642.56,0,0,638.71,390.84,1029.55,0,0,0,0,0
20180807_1658_03,43697.11,0,0,638.71,390.84,1029.55,0,0,0,0,0
