Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1243_50,41000,0,0,64.89,547.12,612.01,0,0,0,0,0
20180807_1243_50,41051.25,0,0,64.89,547.14,612.03,0,0,0,0,0
20180807_1243_50,41102.56,0,0,64.9,547.15,612.05,0,0,0,0,0
20180807_1243_50,41153.94,0,0,64.88,547.13,612.01,0,0,0,0,0
20180807_1243_50,41205.38,0,0,64.87,547.136666666667,612.006666666667,0,0,0,0,0
20180807_1243_50,41256.89,0,0,64.86,547.14,612,0,0,0,0,0
20180807_1243_50,41308.46,0,0,64.8733333333333,547.11,611.983333333333,0,0,0,0,0
20180807_1243_51,41360.1,0,0,64.88,547.123333333333,612.003333333333,0,0,0,0,0
20180807_1243_51,41411.8,0,0,64.88,547.13,612.01,0,0,0,0,0
20180807_1243_51,41463.56,0,0,64.85,547.13,611.98,0,0,0,0,0
20180807_1243_51,41515.39,0,0,64.85,547.11,611.96,0,0,0,0,0
20180807_1243_51,41567.28,0,0,64.86,547.11,611.97,0,0,0,0,0
20180807_1243_51,41619.24,0,0,64.8666666666667,547.12,611.986666666667,0,0,0,0,0
20180807_1243_51,41671.26,0,0,64.88,547.12,612,0,0,0,0,0
20180807_1243_52,41723.35,0,0,64.9,547.12,612.02,0,0,0,0,0
20180807_1243_52,41775.5,0,0,64.8733333333333,547.12,611.993333333333,0,0,0,0,0
20180807_1243_52,41827.72,0,0,64.86,547.106666666667,611.966666666667,0,0,0,0,0
20180807_1243_52,41880,0,0,64.82,547.1,611.92,0,0,0,0,0
20180807_1243_52,41932.35,0,0,64.88,547.1,611.98,0,0,0,0,0
20180807_1243_52,41984.77,0,0,64.8633333333333,547.12,611.983333333333,0,0,0,0,0
20180807_1243_52,42037.25,0,0,64.83,547.12,611.95,0,0,0,0,0
20180807_1243_53,42089.8,0,0,64.88,547.12,612,0,0,0,0,0
20180807_1243_53,42142.41,0,0,64.82,547.11,611.93,0,0,0,0,0
20180807_1243_53,42195.09,0,0,64.79,547.113333333333,611.903333333333,0,0,0,0,0
20180807_1243_53,42247.83,0,0,64.85,547.12,611.97,0,0,0,0,0
20180807_1243_53,42300.64,0,0,64.8233333333333,547.2,612.023333333333,0,0,0,0,0
20180807_1243_53,42353.52,0,0,64.77,547.193333333333,611.963333333333,0,0,0,0,0
20180807_1243_54,42406.46,0,0,64.83,547.19,612.02,0,0,0,0,0
20180807_1243_54,42459.47,0,0,64.84,547.09,611.93,0,0,0,0,0
20180807_1243_54,42512.54,0,0,64.86,547.093333333333,611.953333333333,0,0,0,0,0
20180807_1243_54,42565.68,0,0,64.77,547.1,611.87,0,0,0,0,0
20180807_1243_54,42618.89,0,0,64.79,547.08,611.87,0,0,0,0,0
20180807_1243_54,42672.16,0,0,64.8,547.08,611.88,0,0,0,0,0
20180807_1243_54,42725.5,0,0,64.8,547.08,611.88,0,0,0,0,0
20180807_1243_55,42778.91,0,0,64.7666666666667,547.09,611.856666666667,0,0,0,0,0
20180807_1243_55,42832.38,0,0,64.75,547.083333333333,611.833333333333,0,0,0,0,0
20180807_1243_55,42885.92,0,0,64.71,547.08,611.79,0,0,0,0,0
20180807_1243_55,42939.53,0,0,64.7333333333333,547.07,611.803333333333,0,0,0,0,0
20180807_1243_55,42993.2,0,0,64.78,547.063333333333,611.843333333333,0,0,0,0,0
20180807_1243_55,43046.94,0,0,64.75,547.05,611.8,0,0,0,0,0
20180807_1243_55,43100.75,0,0,64.7366666666667,547.08,611.816666666667,0,0,0,0,0
20180807_1243_56,43154.63,0,0,64.73,547.07,611.8,0,0,0,0,0
20180807_1243_56,43208.57,0,0,64.75,547.05,611.8,0,0,0,0,0
20180807_1243_56,43262.58,0,0,64.74,547.07,611.81,0,0,0,0,0
20180807_1243_56,43316.66,0,0,64.72,547.06,611.78,0,0,0,0,0
20180807_1243_56,43370.81,0,0,64.65,547.04,611.69,0,0,0,0,0
20180807_1243_56,43425.02,0,0,64.7,547.04,611.74,0,0,0,0,0
20180807_1243_57,43479.3,0,0,64.8,547.04,611.84,0,0,0,0,0
20180807_1243_57,43533.65,0,0,64.68,547.04,611.72,0,0,0,0,0
20180807_1243_57,43588.07,0,0,64.6733333333333,547.02,611.693333333333,0,0,0,0,0
