Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1102_56,41000,0,0,64.93,546.32,611.25,0,0,0,0,0
20180807_1102_56,41051.25,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1102_57,41102.56,0,0,64.93,546.296666666667,611.226666666667,0,0,0,0,0
20180807_1102_57,41153.94,0,0,64.93,546.296666666667,611.226666666667,0,0,0,0,0
20180807_1102_57,41205.38,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1102_57,41256.89,0,0,64.93,546.31,611.24,0,0,0,0,0
20180807_1102_57,41308.46,0,0,64.93,546.32,611.25,0,0,0,0,0
20180807_1102_57,41360.1,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1102_58,41411.8,0,0,64.93,546.296666666667,611.226666666667,0,0,0,0,0
20180807_1102_58,41463.56,0,0,64.93,546.3,611.23,0,0,0,0,0
20180807_1102_58,41515.39,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1102_58,41567.28,0,0,64.93,546.3,611.23,0,0,0,0,0
20180807_1102_58,41619.24,0,0,64.93,546.31,611.24,0,0,0,0,0
20180807_1102_58,41671.26,0,0,64.93,546.31,611.24,0,0,0,0,0
20180807_1102_58,41723.35,0,0,64.93,546.296666666667,611.226666666667,0,0,0,0,0
20180807_1102_59,41775.5,0,0,64.93,546.293333333333,611.223333333333,0,0,0,0,0
20180807_1102_59,41827.72,0,0,64.93,546.3,611.23,0,0,0,0,0
20180807_1102_59,41880,0,0,64.93,546.27,611.2,0,0,0,0,0
20180807_1102_59,41932.35,0,0,64.93,546.27,611.2,0,0,0,0,0
20180807_1102_59,41984.77,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1102_59,42037.25,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_00,42089.8,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_00,42142.41,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_00,42195.09,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_00,42247.83,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_00,42300.64,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_00,42353.52,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1103_00,42406.46,0,0,64.93,546.296666666667,611.226666666667,0,0,0,0,0
20180807_1103_01,42459.47,0,0,64.93,546.31,611.24,0,0,0,0,0
20180807_1103_01,42512.54,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1103_01,42565.68,0,0,64.93,546.296666666667,611.226666666667,0,0,0,0,0
20180807_1103_01,42618.89,0,0,64.93,546.3,611.23,0,0,0,0,0
20180807_1103_01,42672.16,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1103_01,42725.5,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1103_01,42778.91,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1103_02,42832.38,0,0,64.9366666666667,546.31,611.246666666667,0,0,0,0,0
20180807_1103_02,42885.92,0,0,64.94,546.296666666667,611.236666666667,0,0,0,0,0
20180807_1103_02,42939.53,0,0,64.93,546.29,611.22,0,0,0,0,0
20180807_1103_02,42993.2,0,0,64.9366666666667,546.3,611.236666666667,0,0,0,0,0
20180807_1103_02,43046.94,0,0,64.9366666666667,546.27,611.206666666667,0,0,0,0,0
20180807_1103_02,43100.75,0,0,64.93,546.27,611.2,0,0,0,0,0
20180807_1103_03,43154.63,0,0,64.93,546.28,611.21,0,0,0,0,0
20180807_1103_03,43208.57,0,0,64.93,546.26,611.19,0,0,0,0,0
20180807_1103_03,43262.58,0,0,64.93,546.266666666667,611.196666666667,0,0,0,0,0
