Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1024_58,41000,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_58,41051.25,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41102.56,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41153.94,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41205.38,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41256.89,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41308.46,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41360.1,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1024_59,41411.8,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_00,41463.56,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_00,41515.39,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_00,41567.28,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_00,41619.24,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_00,41671.26,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_00,41723.35,0,0,64.3,546.3,610.6,0,0,0,0,0
20180807_1025_01,41775.5,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_01,41827.72,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_01,41880,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_01,41932.35,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_01,41984.77,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_01,42037.25,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_01,42089.8,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42142.41,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42195.09,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42247.83,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42300.64,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42353.52,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42406.46,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_02,42459.47,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_03,42512.54,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_03,42565.68,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_03,42618.89,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_03,42672.16,0,0,64.31,546.306666666667,610.616666666667,0,0,0,0,0
20180807_1025_03,42725.5,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_03,42778.91,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_04,42832.38,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_04,42885.92,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_04,42939.53,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_04,42993.2,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_04,43046.94,0,0,64.31,546.303333333333,610.613333333333,0,0,0,0,0
20180807_1025_04,43100.75,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_04,43154.63,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43208.57,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43262.58,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43316.66,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43370.81,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43425.02,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43479.3,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_05,43533.65,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_06,43588.07,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_06,43642.56,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_06,43697.11,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_06,43751.73,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_06,43806.42,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_06,43861.18,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_07,43916.01,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_07,43970.91,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_07,44025.87,0,0,64.31,546.3,610.61,0,0,0,0,0
20180807_1025_07,44080.9,0,0,64.31,546.303333333333,610.613333333333,0,0,0,0,0
20180807_1025_07,44136,0,0,64.31,546.31,610.62,0,0,0,0,0
20180807_1025_07,44191.17,0,0,64.31,546.31,610.62,0,0,0,0,0
