Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1629_34,41000,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_34,41051.25,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_34,41102.56,0,0,638.71,395.903333333333,1034.61333333333,0,0,0,0,0
20180807_1629_34,41153.94,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_34,41205.38,0,0,638.703333333333,395.9,1034.60333333333,0,0,0,0,0
20180807_1629_34,41256.89,0,0,638.69,395.886666666667,1034.57666666667,0,0,0,0,0
20180807_1629_35,41308.46,0,0,638.703333333333,395.86,1034.56333333333,0,0,0,0,0
20180807_1629_35,41360.1,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1629_35,41411.8,0,0,638.71,395.896666666667,1034.60666666667,0,0,0,0,0
20180807_1629_35,41463.56,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1629_35,41515.39,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_35,41567.28,0,0,638.71,395.856666666667,1034.56666666667,0,0,0,0,0
20180807_1629_36,41619.24,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_36,41671.26,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_36,41723.35,0,0,638.71,395.876666666667,1034.58666666667,0,0,0,0,0
20180807_1629_36,41775.5,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_36,41827.72,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_36,41880,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_36,41932.35,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_37,41984.77,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_37,42037.25,0,0,638.71,395.913333333333,1034.62333333333,0,0,0,0,0
20180807_1629_37,42089.8,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_37,42142.41,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_37,42195.09,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
20180807_1629_37,42247.83,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_37,42300.64,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_38,42353.52,0,0,638.71,395.883333333333,1034.59333333333,0,0,0,0,0
20180807_1629_38,42406.46,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_38,42459.47,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_38,42512.54,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1629_38,42565.68,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_38,42618.89,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_38,42672.16,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_39,42725.5,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_39,42778.91,0,0,638.696666666667,395.85,1034.54666666667,0,0,0,0,0
20180807_1629_39,42832.38,0,0,638.69,395.863333333333,1034.55333333333,0,0,0,0,0
20180807_1629_39,42885.92,0,0,638.69,395.87,1034.56,0,0,0,0,0
20180807_1629_39,42939.53,0,0,638.69,395.91,1034.6,0,0,0,0,0
20180807_1629_39,42993.2,0,0,638.69,395.87,1034.56,0,0,0,0,0
20180807_1629_40,43046.94,0,0,638.71,395.883333333333,1034.59333333333,0,0,0,0,0
20180807_1629_40,43100.75,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1629_40,43154.63,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_40,43208.57,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
20180807_1629_40,43262.58,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_40,43316.66,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_40,43370.81,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_41,43425.02,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_41,43479.3,0,0,638.71,395.93,1034.64,0,0,0,0,0
20180807_1629_41,43533.65,0,0,638.71,395.923333333333,1034.63333333333,0,0,0,0,0
20180807_1629_41,43588.07,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_41,43642.56,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_41,43697.11,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
20180807_1629_42,43751.73,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_42,43806.42,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_42,43861.18,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1629_42,43916.01,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_42,43970.91,0,0,638.71,395.99,1034.7,0,0,0,0,0
20180807_1629_42,44025.87,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_42,44080.9,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_43,44136,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_43,44191.17,0,0,638.71,395.943333333333,1034.65333333333,0,0,0,0,0
20180807_1629_43,44246.41,0,0,638.71,395.933333333333,1034.64333333333,0,0,0,0,0
20180807_1629_43,44301.72,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_43,44357.1,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1629_43,44412.55,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_44,44468.07,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_44,44523.66,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_44,44579.31,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_44,44635.03,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_44,44690.82,0,0,638.71,395.886666666667,1034.59666666667,0,0,0,0,0
20180807_1629_44,44746.68,0,0,638.71,395.886666666667,1034.59666666667,0,0,0,0,0
20180807_1629_44,44802.61,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_45,44858.61,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_45,44914.68,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_45,44970.82,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_45,45027.03,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_45,45083.31,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_45,45139.66,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_45,45196.08,0,0,638.71,395.916666666667,1034.62666666667,0,0,0,0,0
20180807_1629_46,45252.58,0,0,638.71,395.936666666667,1034.64666666667,0,0,0,0,0
20180807_1629_46,45309.15,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_46,45365.79,0,0,638.71,395.876666666667,1034.58666666667,0,0,0,0,0
20180807_1629_46,45422.5,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_46,45479.28,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_46,45536.13,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1629_46,45593.05,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1629_47,45650.04,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_47,45707.1,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_47,45764.23,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_47,45821.44,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_47,45878.72,0,0,638.71,395.893333333333,1034.60333333333,0,0,0,0,0
20180807_1629_47,45936.07,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_48,45993.49,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_48,46050.98,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_48,46108.54,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_48,46166.18,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_48,46223.89,0,0,638.71,395.93,1034.64,0,0,0,0,0
20180807_1629_48,46281.67,0,0,638.71,395.903333333333,1034.61333333333,0,0,0,0,0
20180807_1629_48,46339.52,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_49,46397.44,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_49,46455.44,0,0,638.71,395.856666666667,1034.56666666667,0,0,0,0,0
20180807_1629_49,46513.51,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_49,46571.65,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_49,46629.86,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_49,46688.15,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_50,46746.51,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_50,46804.94,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_50,46863.45,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_50,46922.03,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_50,46980.68,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_50,47039.41,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_50,47098.21,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_51,47157.08,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_51,47216.03,0,0,638.71,395.903333333333,1034.61333333333,0,0,0,0,0
20180807_1629_51,47275.05,0,0,638.71,395.903333333333,1034.61333333333,0,0,0,0,0
20180807_1629_51,47334.14,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_51,47393.31,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_51,47452.55,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_52,47511.87,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_52,47571.26,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_52,47630.72,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_52,47690.26,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_52,47749.87,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_52,47809.56,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
20180807_1629_52,47869.32,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_53,47929.16,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_53,47989.07,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_53,48049.06,0,0,638.73,395.87,1034.6,0,0,0,0,0
20180807_1629_53,48109.12,0,0,638.716666666667,395.86,1034.57666666667,0,0,0,0,0
20180807_1629_53,48169.26,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_53,48229.47,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_54,48289.76,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_54,48350.12,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_54,48410.56,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_54,48471.07,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_54,48531.66,0,0,638.71,395.876666666667,1034.58666666667,0,0,0,0,0
20180807_1629_54,48592.32,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_54,48653.06,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_55,48713.88,0,0,638.71,395.856666666667,1034.56666666667,0,0,0,0,0
20180807_1629_55,48774.77,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_55,48835.74,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_55,48896.78,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_55,48957.9,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_55,49019.1,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_56,49080.37,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_56,49141.72,0,0,638.71,395.886666666667,1034.59666666667,0,0,0,0,0
20180807_1629_56,49203.15,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_56,49264.65,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_56,49326.23,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_56,49387.89,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1629_56,49449.62,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_57,49511.43,0,0,638.71,395.926666666667,1034.63666666667,0,0,0,0,0
20180807_1629_57,49573.32,0,0,638.71,395.94,1034.65,0,0,0,0,0
20180807_1629_57,49635.29,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_57,49697.33,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1629_57,49759.45,0,0,638.71,395.906666666667,1034.61666666667,0,0,0,0,0
20180807_1629_57,49821.65,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1629_58,49883.93,0,0,638.71,396.02,1034.73,0,0,0,0,0
20180807_1629_58,49946.28,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1629_58,50008.71,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1629_58,50071.22,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_58,50133.81,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_58,50196.48,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_58,50259.23,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_59,50322.05,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_59,50384.95,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1629_59,50447.93,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1629_59,50510.99,0,0,638.71,395.886666666667,1034.59666666667,0,0,0,0,0
20180807_1629_59,50574.13,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1629_59,50637.35,0,0,638.71,395.93,1034.64,0,0,0,0,0
20180807_1629_59,50700.65,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_00,50764.03,0,0,638.71,395.896666666667,1034.60666666667,0,0,0,0,0
20180807_1630_00,50827.49,0,0,638.71,395.93,1034.64,0,0,0,0,0
20180807_1630_00,50891.02,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_00,50954.63,0,0,638.71,395.903333333333,1034.61333333333,0,0,0,0,0
20180807_1630_00,51018.32,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1630_00,51082.09,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_01,51145.94,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1630_01,51209.87,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_01,51273.88,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1630_01,51337.97,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_01,51402.14,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_01,51466.39,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_01,51530.72,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1630_02,51595.13,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1630_02,51659.62,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_02,51724.19,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_02,51788.85,0,0,638.71,395.883333333333,1034.59333333333,0,0,0,0,0
20180807_1630_02,51853.59,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_02,51918.41,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_03,51983.31,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_03,52048.29,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_03,52113.35,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1630_03,52178.49,0,0,638.71,395.92,1034.63,0,0,0,0,0
20180807_1630_03,52243.71,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_03,52309.01,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1630_03,52374.4,0,0,638.71,395.853333333333,1034.56333333333,0,0,0,0,0
20180807_1630_04,52439.87,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_04,52505.42,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_04,52571.05,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_04,52636.76,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_04,52702.56,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_04,52768.44,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_04,52834.4,0,0,638.71,395.95,1034.66,0,0,0,0,0
20180807_1630_05,52900.44,0,0,638.71,395.896666666667,1034.60666666667,0,0,0,0,0
20180807_1630_05,52966.57,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_05,53032.78,0,0,638.71,395.85,1034.56,0,0,0,0,0
20180807_1630_05,53099.07,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_05,53165.44,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_05,53231.9,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_05,53298.44,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_06,53365.06,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_06,53431.77,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_06,53498.56,0,0,638.71,395.893333333333,1034.60333333333,0,0,0,0,0
20180807_1630_06,53565.43,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_06,53632.39,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_06,53699.43,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_07,53766.55,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_07,53833.76,0,0,638.71,395.86,1034.57,0,0,0,0,0
20180807_1630_07,53901.05,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_07,53968.43,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_07,54035.89,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_07,54103.43,0,0,638.71,395.896666666667,1034.60666666667,0,0,0,0,0
20180807_1630_07,54171.06,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_08,54238.77,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1630_08,54306.57,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_08,54374.45,0,0,638.71,395.866666666667,1034.57666666667,0,0,0,0,0
20180807_1630_08,54442.42,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_08,54510.47,0,0,638.71,395.9,1034.61,0,0,0,0,0
20180807_1630_08,54578.61,0,0,638.71,395.896666666667,1034.60666666667,0,0,0,0,0
20180807_1630_08,54646.83,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_09,54715.14,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_09,54783.53,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
20180807_1630_09,54852.01,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_09,54920.58,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_09,54989.23,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_09,55057.97,0,0,638.71,395.893333333333,1034.60333333333,0,0,0,0,0
20180807_1630_10,55126.79,0,0,638.71,395.94,1034.65,0,0,0,0,0
20180807_1630_10,55195.7,0,0,638.71,395.906666666667,1034.61666666667,0,0,0,0,0
20180807_1630_10,55264.69,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_10,55333.77,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_10,55402.94,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1630_10,55472.19,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1630_10,55541.53,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1630_11,55610.96,0,0,638.71,395.88,1034.59,0,0,0,0,0
20180807_1630_11,55680.47,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
20180807_1630_11,55750.07,0,0,638.71,395.87,1034.58,0,0,0,0,0
20180807_1630_11,55819.76,0,0,638.71,395.91,1034.62,0,0,0,0,0
20180807_1630_11,55889.53,0,0,638.71,395.89,1034.6,0,0,0,0,0
20180807_1630_11,55959.39,0,0,638.71,395.873333333333,1034.58333333333,0,0,0,0,0
