Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1132_25,41000,0,0,64.35,546.96,611.31,0,0,0,0,0
20180807_1132_25,41051.25,0,0,64.35,546.96,611.31,0,0,0,0,0
20180807_1132_25,41102.56,0,0,64.35,546.96,611.31,0,0,0,0,0
20180807_1132_25,41153.94,0,0,64.35,546.963333333333,611.313333333333,0,0,0,0,0
20180807_1132_25,41205.38,0,0,64.3566666666667,546.97,611.326666666667,0,0,0,0,0
20180807_1132_25,41256.89,0,0,64.3533333333333,546.97,611.323333333333,0,0,0,0,0
20180807_1132_26,41308.46,0,0,64.34,546.97,611.31,0,0,0,0,0
20180807_1132_26,41360.1,0,0,64.35,546.97,611.32,0,0,0,0,0
20180807_1132_26,41411.8,0,0,64.35,546.96,611.31,0,0,0,0,0
20180807_1132_26,41463.56,0,0,64.35,546.963333333333,611.313333333333,0,0,0,0,0
20180807_1132_26,41515.39,0,0,64.34,546.97,611.31,0,0,0,0,0
20180807_1132_26,41567.28,0,0,64.3366666666667,546.99,611.326666666667,0,0,0,0,0
20180807_1132_26,41619.24,0,0,64.33,546.99,611.32,0,0,0,0,0
20180807_1132_27,41671.26,0,0,64.34,546.99,611.33,0,0,0,0,0
20180807_1132_27,41723.35,0,0,64.3366666666667,546.99,611.326666666667,0,0,0,0,0
20180807_1132_27,41775.5,0,0,64.33,546.983333333333,611.313333333333,0,0,0,0,0
20180807_1132_27,41827.72,0,0,64.34,546.97,611.31,0,0,0,0,0
20180807_1132_27,41880,0,0,64.3333333333333,546.96,611.293333333333,0,0,0,0,0
20180807_1132_27,41932.35,0,0,64.32,546.963333333333,611.283333333333,0,0,0,0,0
20180807_1132_28,41984.77,0,0,64.33,546.97,611.3,0,0,0,0,0
20180807_1132_28,42037.25,0,0,64.33,546.96,611.29,0,0,0,0,0
20180807_1132_28,42089.8,0,0,64.33,546.966666666667,611.296666666667,0,0,0,0,0
20180807_1132_28,42142.41,0,0,64.33,546.97,611.3,0,0,0,0,0
20180807_1132_28,42195.09,0,0,64.33,546.97,611.3,0,0,0,0,0
20180807_1132_28,42247.83,0,0,64.3266666666667,546.97,611.296666666667,0,0,0,0,0
20180807_1132_28,42300.64,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_29,42353.52,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_29,42406.46,0,0,64.3233333333333,546.983333333333,611.306666666667,0,0,0,0,0
20180807_1132_29,42459.47,0,0,64.33,546.98,611.31,0,0,0,0,0
20180807_1132_29,42512.54,0,0,64.32,546.96,611.28,0,0,0,0,0
20180807_1132_29,42565.68,0,0,64.32,546.966666666667,611.286666666667,0,0,0,0,0
20180807_1132_29,42618.89,0,0,64.32,546.98,611.3,0,0,0,0,0
20180807_1132_30,42672.16,0,0,64.32,547,611.32,0,0,0,0,0
20180807_1132_30,42725.5,0,0,64.32,547.02,611.34,0,0,0,0,0
20180807_1132_30,42778.91,0,0,64.32,547.01,611.33,0,0,0,0,0
20180807_1132_30,42832.38,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_30,42885.92,0,0,64.32,547,611.32,0,0,0,0,0
20180807_1132_30,42939.53,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_30,42993.2,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_31,43046.94,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_31,43100.75,0,0,64.32,546.976666666667,611.296666666667,0,0,0,0,0
20180807_1132_31,43154.63,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_31,43208.57,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_31,43262.58,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_31,43316.66,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_31,43370.81,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_32,43425.02,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_32,43479.3,0,0,64.32,546.99,611.31,0,0,0,0,0
20180807_1132_32,43533.65,0,0,64.3266666666667,546.99,611.316666666667,0,0,0,0,0
20180807_1132_32,43588.07,0,0,64.3266666666667,546.976666666667,611.303333333333,0,0,0,0,0
20180807_1132_32,43642.56,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_32,43697.11,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_33,43751.73,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_33,43806.42,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_33,43861.18,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_33,43916.01,0,0,64.32,547,611.32,0,0,0,0,0
20180807_1132_33,43970.91,0,0,64.32,547,611.32,0,0,0,0,0
20180807_1132_33,44025.87,0,0,64.3266666666667,547,611.326666666667,0,0,0,0,0
20180807_1132_33,44080.9,0,0,64.33,546.99,611.32,0,0,0,0,0
20180807_1132_34,44136,0,0,64.33,546.983333333333,611.313333333333,0,0,0,0,0
20180807_1132_34,44191.17,0,0,64.32,546.97,611.29,0,0,0,0,0
20180807_1132_34,44246.41,0,0,64.32,546.983333333333,611.303333333333,0,0,0,0,0
20180807_1132_34,44301.72,0,0,64.32,546.983333333333,611.303333333333,0,0,0,0,0
20180807_1132_34,44357.1,0,0,64.33,546.97,611.3,0,0,0,0,0
20180807_1132_34,44412.55,0,0,64.33,546.99,611.32,0,0,0,0,0
20180807_1132_34,44468.07,0,0,64.33,546.99,611.32,0,0,0,0,0
20180807_1132_35,44523.66,0,0,64.33,546.99,611.32,0,0,0,0,0
