Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180807_1838_27,41000,0,0,638.69,396,1034.69,0,0,0,0,0
20180807_1838_27,41051.25,0,0,638.69,396.04,1034.73,0,0,0,0,0
20180807_1838_28,41102.56,0,0,638.69,396.03,1034.72,0,0,0,0,0
20180807_1838_28,41153.94,0,0,638.69,395.97,1034.66,0,0,0,0,0
20180807_1838_28,41205.38,0,0,638.69,396.16,1034.85,0,0,0,0,0
20180807_1838_28,41256.89,0,0,638.69,396.14,1034.83,0,0,0,0,0
20180807_1838_28,41308.46,0,0,638.69,396.1,1034.79,0,0,0,0,0
20180807_1838_28,41360.1,0,0,638.69,395.98,1034.67,0,0,0,0,0
20180807_1838_28,41411.8,0,0,638.69,395.98,1034.67,0,0,0,0,0
20180807_1838_29,41463.56,0,0,638.69,395.98,1034.67,0,0,0,0,0
20180807_1838_29,41515.39,0,0,638.69,395.93,1034.62,0,0,0,0,0
20180807_1838_29,41567.28,0,0,638.69,395.943333333333,1034.63333333333,0,0,0,0,0
20180807_1838_29,41619.24,0,0,638.69,395.95,1034.64,0,0,0,0,0
20180807_1838_29,41671.26,0,0,638.696666666667,396.2,1034.89666666667,0,0,0,0,0
20180807_1838_29,41723.35,0,0,638.71,396.2,1034.91,0,0,0,0,0
20180807_1838_30,41775.5,0,0,638.696666666667,396.02,1034.71666666667,0,0,0,0,0
20180807_1838_30,41827.72,0,0,638.69,395.98,1034.67,0,0,0,0,0
20180807_1838_30,41880,0,0,638.69,396.003333333333,1034.69333333333,0,0,0,0,0
20180807_1838_30,41932.35,0,0,638.69,396.05,1034.74,0,0,0,0,0
20180807_1838_30,41984.77,0,0,638.69,396.063333333333,1034.75333333333,0,0,0,0,0
20180807_1838_30,42037.25,0,0,638.69,396.066666666667,1034.75666666667,0,0,0,0,0
20180807_1838_30,42089.8,0,0,638.69,396.06,1034.75,0,0,0,0,0
20180807_1838_31,42142.41,0,0,638.69,396.12,1034.81,0,0,0,0,0
20180807_1838_31,42195.09,0,0,638.69,396.07,1034.76,0,0,0,0,0
20180807_1838_31,42247.83,0,0,638.69,395.97,1034.66,0,0,0,0,0
20180807_1838_31,42300.64,0,0,638.69,396,1034.69,0,0,0,0,0
20180807_1838_31,42353.52,0,0,638.69,395.973333333333,1034.66333333333,0,0,0,0,0
20180807_1838_31,42406.46,0,0,638.69,395.96,1034.65,0,0,0,0,0
20180807_1838_31,42459.47,0,0,638.69,395.9,1034.59,0,0,0,0,0
20180807_1838_32,42512.54,0,0,638.69,395.933333333333,1034.62333333333,0,0,0,0,0
20180807_1838_32,42565.68,0,0,638.69,395.956666666667,1034.64666666667,0,0,0,0,0
20180807_1838_32,42618.89,0,0,638.69,395.97,1034.66,0,0,0,0,0
20180807_1838_32,42672.16,0,0,638.69,395.99,1034.68,0,0,0,0,0
20180807_1838_32,42725.5,0,0,638.69,396.006666666667,1034.69666666667,0,0,0,0,0
20180807_1838_32,42778.91,0,0,638.69,396.02,1034.71,0,0,0,0,0
20180807_1838_33,42832.38,0,0,638.69,395.98,1034.67,0,0,0,0,0
20180807_1838_33,42885.92,0,0,638.69,396.006666666667,1034.69666666667,0,0,0,0,0
20180807_1838_33,42939.53,0,0,638.69,396.06,1034.75,0,0,0,0,0
20180807_1838_33,42993.2,0,0,638.69,395.97,1034.66,0,0,0,0,0
20180807_1838_33,43046.94,0,0,638.69,396.016666666667,1034.70666666667,0,0,0,0,0
20180807_1838_33,43100.75,0,0,638.69,396.04,1034.73,0,0,0,0,0
