Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180913_1225_21,41000,0,0,345.963333333333,434.84,780.803333333333,0,0,0,0,0
20180913_1225_22,41051.25,0,0,345.913333333333,434.76,780.673333333333,0,0,0,0,0
20180913_1225_22,41102.56,0,0,345.86,434.763333333333,780.623333333333,0,0,0,0,0
20180913_1225_22,41153.94,0,0,345.63,434.77,780.4,0,0,0,0,0
20180913_1225_22,41205.38,0,0,345.63,434.836666666667,780.466666666667,0,0,0,0,0
20180913_1225_22,41256.89,0,0,345.41,434.87,780.28,0,0,0,0,0
20180913_1225_22,41308.46,0,0,345.396666666667,434.86,780.256666666667,0,0,0,0,0
20180913_1225_22,41360.1,0,0,345.39,434.826666666667,780.216666666667,0,0,0,0,0
20180913_1225_23,41411.8,0,0,345.43,434.81,780.24,0,0,0,0,0
20180913_1225_23,41463.56,0,0,345.55,434.83,780.38,0,0,0,0,0
20180913_1225_23,41515.39,0,0,345.79,434.823333333333,780.613333333333,0,0,0,0,0
20180913_1225_23,41567.28,0,0,345.4,434.82,780.22,0,0,0,0,0
20180913_1225_23,41619.24,0,0,345.386666666667,434.78,780.166666666667,0,0,0,0,0
20180913_1225_23,41671.26,0,0,345.38,434.793333333333,780.173333333333,0,0,0,0,0
20180913_1225_23,41723.35,0,0,345.46,434.82,780.28,0,0,0,0,0
20180913_1225_24,41775.5,0,0,345.433333333333,434.77,780.203333333333,0,0,0,0,0
20180913_1225_24,41827.72,0,0,345.38,434.783333333333,780.163333333333,0,0,0,0,0
20180913_1225_24,41880,0,0,345.41,434.81,780.22,0,0,0,0,0
20180913_1225_24,41932.35,0,0,345.41,434.87,780.28,0,0,0,0,0
20180913_1225_24,41984.77,0,0,345.8,434.9,780.7,0,0,0,0,0
20180913_1225_24,42037.25,0,0,345.52,434.79,780.31,0,0,0,0,0
20180913_1225_24,42089.8,0,0,345.38,434.81,780.19,0,0,0,0,0
20180913_1225_25,42142.41,0,0,346.02,434.83,780.85,0,0,0,0,0
20180913_1225_25,42195.09,0,0,345.973333333333,434.85,780.823333333333,0,0,0,0,0
20180913_1225_25,42247.83,0,0,345.96,434.81,780.77,0,0,0,0,0
20180913_1225_25,42300.64,0,0,345.98,434.81,780.79,0,0,0,0,0
20180913_1225_25,42353.52,0,0,345.68,434.85,780.53,0,0,0,0,0
20180913_1225_25,42406.46,0,0,345.79,434.84,780.63,0,0,0,0,0
20180913_1225_26,42459.47,0,0,346.01,434.85,780.86,0,0,0,0,0
20180913_1225_26,42512.54,0,0,346.05,434.87,780.92,0,0,0,0,0
20180913_1225_26,42565.68,0,0,346.05,434.89,780.94,0,0,0,0,0
20180913_1225_26,42618.89,0,0,346.02,434.89,780.91,0,0,0,0,0
20180913_1225_26,42672.16,0,0,346.033333333333,434.86,780.893333333333,0,0,0,0,0
20180913_1225_26,42725.5,0,0,346.04,434.866666666667,780.906666666667,0,0,0,0,0
20180913_1225_26,42778.91,0,0,345.78,434.87,780.65,0,0,0,0,0
20180913_1225_27,42832.38,0,0,345.866666666667,434.83,780.696666666667,0,0,0,0,0
20180913_1225_27,42885.92,0,0,346.04,434.843333333333,780.883333333334,0,0,0,0,0
20180913_1225_27,42939.53,0,0,346.06,434.85,780.91,0,0,0,0,0
20180913_1225_27,42993.2,0,0,345.936666666667,434.82,780.756666666667,0,0,0,0,0
20180913_1225_27,43046.94,0,0,345.69,434.806666666667,780.496666666667,0,0,0,0,0
20180913_1225_27,43100.75,0,0,345.62,434.8,780.42,0,0,0,0,0
